drug,window_end,rolling12,rolling12_reported,percent_complete,percent_pending_investigation
all_drug,2015-01-01,47856.0,47523.0,100,0.143178355985338
all_drug,2015-02-01,48075.0,47725.0,100,0.146002798636808
all_drug,2015-03-01,48546.0,48198.0,100,0.145000790235669
all_drug,2015-04-01,49108.0,48748.0,100,0.14645411624489
all_drug,2015-05-01,49656.0,49293.0,100,0.146196609053962
all_drug,2015-06-01,50063.0,49691.0,100,0.147394042278837
all_drug,2015-07-01,50681.0,50301.0,100,0.147934447308352
all_drug,2015-08-01,51223.0,50834.0,100,0.148719883671925
all_drug,2015-09-01,51982.0,51575.0,100,0.150740135533958
all_drug,2015-10-01,52538.0,52114.0,100,0.15293214597802
all_drug,2015-11-01,52809.0,52386.0,100,0.152393367717461
all_drug,2015-12-01,53053.0,52623.0,100,0.153226512564574
all_drug,2016-01-01,53319.0,52902.0,100,0.150668764023293
all_drug,2016-02-01,54239.0,53834.0,100,0.14757664491327
all_drug,2016-03-01,55199.0,54781.0,100,0.148564499225548
all_drug,2016-04-01,56197.0,55763.0,100,0.149963599274203
all_drug,2016-05-01,56927.0,56465.0,100,0.15327337853094
all_drug,2016-06-01,57907.0,57428.0,100,0.154681724815674
all_drug,2016-07-01,59033.0,58525.0,100,0.157625860967647
all_drug,2016-08-01,59959.0,59417.0,100,0.161393319383945
all_drug,2016-09-01,60707.0,60147.0,100,0.163075370731903
all_drug,2016-10-01,61646.0,61062.0,100,0.165318715266751
all_drug,2016-11-01,62940.0,62340.0,100,0.165850094188956
all_drug,2016-12-01,64557.0,63938.0,100,0.166299133338958
all_drug,2017-01-01,66194.0,65571.0,100,0.164728689174528
all_drug,2017-02-01,66809.0,66189.0,100,0.163530261399387
all_drug,2017-03-01,67477.0,66858.0,100,0.162691522475906
all_drug,2017-04-01,68102.0,67493.0,100,0.16065818470984
all_drug,2017-05-01,68966.0,68370.0,100,0.157993861732237
all_drug,2017-06-01,69753.0,69153.0,100,0.157585544648999
all_drug,2017-07-01,70092.0,69504.0,100,0.155811199882131
all_drug,2017-08-01,70568.0,69988.0,100,0.154268102023496
all_drug,2017-09-01,71168.0,70599.0,100,0.15233443970737
all_drug,2017-10-01,71240.0,70690.0,100,0.149893307461566
all_drug,2017-11-01,71248.0,70723.0,100,0.146849670700199
all_drug,2017-12-01,71193.0,70699.0,100,0.14297699956809
all_drug,2018-01-01,70608.0,70122.0,100,0.142471479333549
all_drug,2018-02-01,70234.0,69745.0,100,0.143253846588792
all_drug,2018-03-01,69860.0,69364.0,100,0.144451873866691
all_drug,2018-04-01,69535.0,69042.0,100,0.144310792107075
all_drug,2018-05-01,69288.0,68789.0,100,0.145301479481175
all_drug,2018-06-01,69201.0,68714.0,100,0.143831864976519
all_drug,2018-07-01,69213.0,68728.0,100,0.143596330082063
all_drug,2018-08-01,69184.0,68714.0,100,0.14172073231962
all_drug,2018-09-01,68889.0,68421.0,100,0.14169245125485
all_drug,2018-10-01,68866.0,68404.0,100,0.140994835446445
all_drug,2018-11-01,68581.0,68102.0,100,0.143393699921632
all_drug,2018-12-01,68313.0,67850.0,100,0.141657341711447
all_drug,2019-01-01,68187.0,67697.0,100,0.1451494730744
all_drug,2019-02-01,68130.0,67631.0,100,0.146364320239587
all_drug,2019-03-01,68235.0,67727.0,100,0.147470911123323
all_drug,2019-04-01,68259.0,67736.0,100,0.149345951228781
all_drug,2019-05-01,68320.0,67795.0,100,0.149552808471666
all_drug,2019-06-01,68322.0,67787.0,100,0.1507894395177
all_drug,2019-07-01,68562.0,68023.0,100,0.151098005851569
all_drug,2019-08-01,68932.0,68371.0,100,0.153545122135766
all_drug,2019-09-01,69324.0,68757.0,100,0.153856156091252
all_drug,2019-10-01,69950.0,69371.0,100,0.154744051093264
all_drug,2019-11-01,70942.0,70357.0,100,0.154509264075633
all_drug,2019-12-01,71740.0,71130.0,100,0.156699771415432
all_drug,2020-01-01,72732.0,72124.0,100,0.155476854381403
all_drug,2020-02-01,73952.0,73343.0,100,0.154361020039846
all_drug,2020-03-01,75273.0,74679.0,100,0.15134662211962
all_drug,2020-04-01,77581.0,77017.0,100,0.14594034227204
all_drug,2020-05-01,81163.0,80577.0,100,0.145445886887547
all_drug,2020-06-01,83519.0,82916.0,100,0.145493220376793
all_drug,2020-07-01,85861.0,85236.0,100,0.146056852403804
all_drug,2020-08-01,87918.0,87293.0,100,0.144523227469328
all_drug,2020-09-01,89504.0,88879.0,100,0.143389751326772
all_drug,2020-10-01,90735.0,90093.0,100,0.144220695281164
all_drug,2020-11-01,91847.0,91200.0,100,0.143918629870251
all_drug,2020-12-01,93129.0,92478.0,100,0.143469060649304
all_drug,2021-01-01,95418.0,94788.0,100,0.140087161534615
all_drug,2021-02-01,96747.0,96118.0,100,0.139220399690345
all_drug,2021-03-01,98876.0,98211.0,100,0.141206689737586
all_drug,2021-04-01,100508.0,99772.0,100,0.146427514205053
all_drug,2021-05-01,100427.0,99679.0,100,0.147485444180715
all_drug,2021-06-01,101358.0,100569.0,100,0.150493566653992
all_drug,2021-07-01,102288.0,101477.0,100,0.151711123331068
all_drug,2021-08-01,103447.0,102612.0,100,0.152996736649151
all_drug,2021-09-01,104962.0,104099.0,100,0.154289079555841
all_drug,2021-10-01,106405.0,105528.0,100,0.154469116791617
all_drug,2021-11-01,107460.0,106554.0,100,0.15614073522822
all_drug,2021-12-01,108553.0,107573.0,100,0.161371150766679
all_drug,2022-01-01,108795.0,107800.0,100,0.16244632928952
all_drug,2022-02-01,109649.0,108636.0,100,0.163257676518588
all_drug,2022-03-01,109622.0,108604.0,100,0.163703044001847
all_drug,2022-04-01,108785.0,107785.0,100,0.162804732160096
all_drug,2022-05-01,108429.0,107429.0,100,0.163102165046911
all_drug,2022-06-01,108326.0,107370.0,100,0.159637232181273
all_drug,2022-07-01,108538.0,107583.0,100,0.159381755632709
all_drug,2022-08-01,108444.0,107474.0,100,0.160625821564571
all_drug,2022-09-01,108407.0,107432.0,100,0.161096478891247
all_drug,2022-10-01,108799.0,107819.0,100,0.161206301405914
all_drug,2022-11-01,109431.0,108429.0,100,0.162527755460564
all_drug,2022-12-01,110393.0,109413.0,100,0.16008176147088
all_drug,2023-01-01,110751.0,109745.0,100,0.161896611795298
all_drug,2023-02-01,110720.0,109714.0,100,0.161909215280214
all_drug,2023-03-01,111058.0,110084.0,100,0.159158109787529
all_drug,2023-04-01,111739.0,110774.0,100,0.157953094264251
all_drug,2023-05-01,112357.0,111422.0,100,0.155224618504679
all_drug,2023-06-01,112412.0,111466.0,100,0.156031139226424
all_drug,2023-07-01,112360.0,111382.0,100,0.158540425110518
all_drug,2023-08-01,112418.0,111451.0,100,0.157655055322505
all_drug,2023-09-01,111700.0,110716.0,100,0.159443545534544
all_drug,2023-10-01,110748.0,109703.0,100,0.164997407731545
all_drug,2023-11-01,109576.0,108529.0,100,0.166004913437546
all_drug,2023-12-01,107966.0,106881.0,100,0.170331272073411
all_drug,2024-01-01,106587.0,105522.0,100,0.169845844859966
all_drug,2024-02-01,105405.0,104361.0,100,0.169105012124813
all_drug,2024-03-01,103192.0,102174.0,100,0.16873238348971
all_drug,2024-04-01,101049.0,100052.0,100,0.168723239460433
all_drug,2024-05-01,98685.0,97687.0,100,0.170940005665772
all_drug,2024-06-01,96726.0,95741.0,100,0.171569961791376
all_drug,2024-07-01,94100.0,93193.0,100,0.166768455521275
all_drug,2024-08-01,91043.0,90202.0,100,0.163199140935173
all_drug,2024-09-01,88406.0,87654.0,100,0.156800206188888
all_drug,2024-10-01,85835.0,85178.0,100,0.149276020974765
all_drug,2024-11-01,83512.0,82946.0,100,0.141617349726909
all_drug,2024-12-01,81313.0,80860.0,100,0.131031538405639
all_drug,2025-01-01,79626.0,79332.0,100,0.130345290341301
all_drug,2025-02-01,78056.0,77830.0,100,0.128504951599477
all_drug,2025-03-01,77306.0,77063.0,100,0.127158663578818
all_drug,2025-04-01,76176.0,75966.0,100,0.124450333659787
all_drug,2025-05-01,75093.0,74876.0,100,0.121616673870609
all_drug,2025-06-01,74119.0,73903.0,100,0.115483448121356
all_drug,2025-07-01,73238.0,72983.0,100,0.111326571536554
all_drug,2025-08-01,72887.0,72368.0,100,0.108907417762359
all_drug,2025-09-01,72364.0,71884.0,100,0.108187298174231
all_drug,2025-10-01,71774.0,71375.0,100,0.107426020998163
all_drug,2025-11-01,71289.0,71009.0,100,0.105981312262411
all_drug,2025-12-01,70731.0,70637.0,100,0.103230210453105
all_drug,2026-01-01,69784.0,69465.0,100,0.138069191779369
all_drug,2026-02-01,69089.0,68487.0,100,0.179529359880262
all_drug,2026-03-01,67798.0,66712.0,100,0.240064540013534
cocaine,2015-01-01,5532.0,5496.0,100,0.143178355985338
cocaine,2015-02-01,5631.0,5592.0,100,0.146002798636808
cocaine,2015-03-01,5768.0,5729.0,100,0.145000790235669
cocaine,2015-04-01,5949.0,5908.0,100,0.14645411624489
cocaine,2015-05-01,6029.0,5987.0,100,0.146196609053962
cocaine,2015-06-01,6065.0,6022.0,100,0.147394042278837
cocaine,2015-07-01,6194.0,6150.0,100,0.147934447308352
cocaine,2015-08-01,6333.0,6287.0,100,0.148719883671925
cocaine,2015-09-01,6485.0,6437.0,100,0.150740135533958
cocaine,2015-10-01,6641.0,6590.0,100,0.15293214597802
cocaine,2015-11-01,6772.0,6720.0,100,0.152393367717461
cocaine,2015-12-01,6894.0,6841.0,100,0.153226512564574
cocaine,2016-01-01,7040.0,6988.0,100,0.150668764023293
cocaine,2016-02-01,7202.0,7151.0,100,0.14757664491327
cocaine,2016-03-01,7411.0,7358.0,100,0.148564499225548
cocaine,2016-04-01,7662.0,7606.0,100,0.149963599274203
cocaine,2016-05-01,7903.0,7842.0,100,0.15327337853094
cocaine,2016-06-01,8182.0,8117.0,100,0.154681724815674
cocaine,2016-07-01,8584.0,8513.0,100,0.157625860967647
cocaine,2016-08-01,8947.0,8869.0,100,0.161393319383945
cocaine,2016-09-01,9348.0,9265.0,100,0.163075370731903
cocaine,2016-10-01,9728.0,9639.0,100,0.165318715266751
cocaine,2016-11-01,10148.0,10054.0,100,0.165850094188956
cocaine,2016-12-01,10556.0,10458.0,100,0.166299133338958
cocaine,2017-01-01,11055.0,10955.0,100,0.164728689174528
cocaine,2017-02-01,11407.0,11305.0,100,0.163530261399387
cocaine,2017-03-01,11768.0,11664.0,100,0.162691522475906
cocaine,2017-04-01,12169.0,12064.0,100,0.16065818470984
cocaine,2017-05-01,12537.0,12433.0,100,0.157993861732237
cocaine,2017-06-01,12974.0,12867.0,100,0.157585544648999
cocaine,2017-07-01,13170.0,13064.0,100,0.155811199882131
cocaine,2017-08-01,13480.0,13374.0,100,0.154268102023496
cocaine,2017-09-01,13677.0,13573.0,100,0.15233443970737
cocaine,2017-10-01,13823.0,13722.0,100,0.149893307461566
cocaine,2017-11-01,13926.0,13829.0,100,0.146849670700199
cocaine,2017-12-01,14161.0,14069.0,100,0.14297699956809
cocaine,2018-01-01,14250.0,14158.0,100,0.142471479333549
cocaine,2018-02-01,14301.0,14208.0,100,0.143253846588792
cocaine,2018-03-01,14430.0,14334.0,100,0.144451873866691
cocaine,2018-04-01,14482.0,14386.0,100,0.144310792107075
cocaine,2018-05-01,14666.0,14567.0,100,0.145301479481175
cocaine,2018-06-01,14804.0,14706.0,100,0.143831864976519
cocaine,2018-07-01,14928.0,14830.0,100,0.143596330082063
cocaine,2018-08-01,14940.0,14845.0,100,0.14172073231962
cocaine,2018-09-01,14944.0,14849.0,100,0.14169245125485
cocaine,2018-10-01,15008.0,14914.0,100,0.140994835446445
cocaine,2018-11-01,14996.0,14898.0,100,0.143393699921632
cocaine,2018-12-01,14897.0,14802.0,100,0.141657341711447
cocaine,2019-01-01,14831.0,14731.0,100,0.1451494730744
cocaine,2019-02-01,14823.0,14721.0,100,0.146364320239587
cocaine,2019-03-01,14783.0,14679.0,100,0.147470911123323
cocaine,2019-04-01,14771.0,14664.0,100,0.149345951228781
cocaine,2019-05-01,14766.0,14659.0,100,0.149552808471666
cocaine,2019-06-01,14748.0,14638.0,100,0.1507894395177
cocaine,2019-07-01,14840.0,14729.0,100,0.151098005851569
cocaine,2019-08-01,15011.0,14895.0,100,0.153545122135766
cocaine,2019-09-01,15193.0,15075.0,100,0.153856156091252
cocaine,2019-10-01,15466.0,15344.0,100,0.154744051093264
cocaine,2019-11-01,15835.0,15710.0,100,0.154509264075633
cocaine,2019-12-01,16155.0,16024.0,100,0.156699771415432
cocaine,2020-01-01,16491.0,16359.0,100,0.155476854381403
cocaine,2020-02-01,16896.0,16763.0,100,0.154361020039846
cocaine,2020-03-01,17357.0,17227.0,100,0.15134662211962
cocaine,2020-04-01,18012.0,17889.0,100,0.14594034227204
cocaine,2020-05-01,18786.0,18659.0,100,0.145445886887547
cocaine,2020-06-01,19206.0,19076.0,100,0.145493220376793
cocaine,2020-07-01,19477.0,19343.0,100,0.146056852403804
cocaine,2020-08-01,19629.0,19498.0,100,0.144523227469328
cocaine,2020-09-01,19812.0,19682.0,100,0.143389751326772
cocaine,2020-10-01,19815.0,19683.0,100,0.144220695281164
cocaine,2020-11-01,19756.0,19626.0,100,0.143918629870251
cocaine,2020-12-01,19730.0,19601.0,100,0.143469060649304
cocaine,2021-01-01,20098.0,19974.0,100,0.140087161534615
cocaine,2021-02-01,20198.0,20076.0,100,0.139220399690345
cocaine,2021-03-01,20566.0,20437.0,100,0.141206689737586
cocaine,2021-04-01,20895.0,20751.0,100,0.146427514205053
cocaine,2021-05-01,20911.0,20764.0,100,0.147485444180715
cocaine,2021-06-01,21230.0,21073.0,100,0.150493566653992
cocaine,2021-07-01,21727.0,21564.0,100,0.151711123331068
cocaine,2021-08-01,22349.0,22177.0,100,0.152996736649151
cocaine,2021-09-01,22928.0,22749.0,100,0.154289079555841
cocaine,2021-10-01,23594.0,23409.0,100,0.154469116791617
cocaine,2021-11-01,24246.0,24051.0,100,0.15614073522822
cocaine,2021-12-01,24926.0,24710.0,100,0.161371150766679
cocaine,2022-01-01,25225.0,25003.0,100,0.16244632928952
cocaine,2022-02-01,25762.0,25533.0,100,0.163257676518588
cocaine,2022-03-01,25983.0,25751.0,100,0.163703044001847
cocaine,2022-04-01,26009.0,25779.0,100,0.162804732160096
cocaine,2022-05-01,26195.0,25963.0,100,0.163102165046911
cocaine,2022-06-01,26396.0,26173.0,100,0.159637232181273
cocaine,2022-07-01,26597.0,26373.0,100,0.159381755632709
cocaine,2022-08-01,26818.0,26588.0,100,0.160625821564571
cocaine,2022-09-01,27051.0,26818.0,100,0.161096478891247
cocaine,2022-10-01,27371.0,27134.0,100,0.161206301405914
cocaine,2022-11-01,27716.0,27472.0,100,0.162527755460564
cocaine,2022-12-01,28161.0,27921.0,100,0.16008176147088
cocaine,2023-01-01,28575.0,28326.0,100,0.161896611795298
cocaine,2023-02-01,28748.0,28497.0,100,0.161909215280214
cocaine,2023-03-01,29083.0,28839.0,100,0.159158109787529
cocaine,2023-04-01,29454.0,29211.0,100,0.157953094264251
cocaine,2023-05-01,29872.0,29635.0,100,0.155224618504679
cocaine,2023-06-01,30231.0,29988.0,100,0.156031139226424
cocaine,2023-07-01,30486.0,30232.0,100,0.158540425110518
