strike_no_first,strike_no_last,n_strikes,date,date_text,region,vessels_struck,killed,captured,missing
1,1,1,2025-09-01,1–2 September 2025,Caribbean,1,11,0,0
2,2,1,2025-09-15,15 September 2025,Caribbean,1,3,0,0
3,3,1,2025-09-19,19 September 2025,Caribbean,1,3,0,0
4,4,1,2025-10-03,3 October 2025,Caribbean,1,4,0,0
5,5,1,2025-10-14,14 October 2025,Caribbean,1,6,0,0
6,6,1,2025-10-16,16 October 2025,Caribbean,1,2,2,0
7,7,1,2025-10-17,17 October 2025,Caribbean,1,3,0,0
8,8,1,2025-10-21,21 October 2025,Eastern Pacific,1,2,0,0
9,9,1,2025-10-22,22 October 2025,Eastern Pacific,1,3,0,0
10,10,1,2025-10-24,24 October 2025,Caribbean,1,6,0,0
11,13,3,2025-10-27,27 October 2025,Eastern Pacific,4,14,0,1
14,14,1,2025-10-29,29 October 2025,Eastern Pacific,1,4,0,0
15,15,1,2025-11-01,1 November 2025,Caribbean,1,3,0,0
16,16,1,2025-11-04,4 November 2025,Eastern Pacific,1,2,0,0
17,17,1,2025-11-06,6 November 2025,Caribbean,1,3,0,0
18,19,2,2025-11-09,9 November 2025,Eastern Pacific,2,6,0,0
20,20,1,2025-11-10,10 November 2025,Caribbean,1,4,0,0
21,21,1,2025-11-15,15 November 2025,Eastern Pacific,1,3,0,0
22,22,1,2025-12-04,4 December 2025,Eastern Pacific,1,4,0,0
23,25,3,2025-12-15,15 December 2025,Eastern Pacific,3,8,0,0
26,26,1,2025-12-17,17 December 2025,Eastern Pacific,1,4,0,0
27,28,2,2025-12-18,18 December 2025,Eastern Pacific,2,5,0,0
29,29,1,2025-12-22,22 December 2025,Eastern Pacific,1,1,0,0
30,30,1,2025-12-29,29 December 2025,Eastern Pacific,1,2,0,0
31,33,3,2025-12-30,30 December 2025,Eastern Pacific,3,11,0,0
34,35,2,2025-12-31,31 December 2025,Eastern Pacific,2,5,0,0
36,36,1,2026-01-23,23 January 2026,Eastern Pacific,1,2,0,1
37,37,1,2026-02-05,5 February 2026,Eastern Pacific,1,2,0,0
38,38,1,2026-02-09,9 February 2026,Eastern Pacific,1,2,1,0
39,39,1,2026-02-13,13 February 2026,Caribbean,1,3,0,0
40,42,3,2026-02-17,16 February 2026,Eastern Pacific,3,11,2,0
43,43,1,2026-02-20,20 February 2026,Eastern Pacific,1,3,0,0
44,44,1,2026-02-23,23 February 2026,Caribbean,1,3,0,0
45,45,1,2026-03-08,8 March 2026,Eastern Pacific,1,6,0,0
46,46,1,2026-03-19,19 March 2026,Eastern Pacific,1,2,1,0
47,47,1,2026-03-25,25 March 2026,Caribbean,1,4,0,0
48,49,2,2026-03-25,11 April 2026,Eastern Pacific,2,5,1,0
50,50,1,2026-04-13,13 April 2026,Eastern Pacific,1,2,0,0
51,51,1,2026-04-14,14 April 2026,Eastern Pacific,1,4,0,0
52,52,1,2026-04-15,15 April 2026,Eastern Pacific,1,3,0,0
53,53,1,2026-04-19,19 April 2026,Caribbean,1,3,0,0
54,54,1,2026-04-24,24 April 2026,Eastern Pacific,1,2,0,0
55,55,1,2026-04-26,26 April 2026,Eastern Pacific,1,3,0,0
56,56,1,2026-05-04,4 May 2026,Caribbean,1,2,0,0
57,57,1,2026-05-05,5 May 2026,Eastern Pacific,1,3,0,0
58,58,1,2026-05-08,8 May 2026,Eastern Pacific,1,2,1,0
59,59,1,2026-05-26,26 May 2026,Eastern Pacific,1,1,2,0
60,60,1,2026-05-27,27 May 2026,Eastern Pacific,1,2,0,0
61,61,1,2026-05-29,29 May 2026,Eastern Pacific,1,3,0,0
62,62,1,2026-05-30,30 May 2026,Eastern Pacific,1,3,0,0
63,63,1,2026-06-03,3 June 2026,Eastern Pacific,1,2,0,0
64,64,1,2026-06-16,16 June 2026,Eastern Pacific,1,1,2,0
65,65,1,2026-06-18,18 June 2026,Eastern Pacific,1,3,0,0
66,66,1,2026-06-18,21 June 2026,Caribbean,1,2,6,0
67,67,1,2026-08-23,23 August 2026,Eastern Pacific,1,2,0,0
68,68,1,2026-08-25,25 August 2026,Caribbean,1,4,0,0
69,69,1,2026-08-28,28 August 2026,Eastern Pacific,1,1,0,0
