kind,series,lag_months,pct_change,lo,hi,z,dispersion
single series,cocaine,0,16.535407509434542,4.778860395241136,29.611079488384775,2.820388831316848,10.106379967242214
single series,synthetic_opioids,0,14.667594772059388,1.0633772192010893,30.103086326617422,2.1241635563198664,27.78928395453039
single series,psychostimulants,0,-3.6557761851686243,-11.443778784897063,4.817135771137382,-0.8660093481256782,8.535628698105533
single series,heroin,0,-0.9034395664319406,-20.215827438467326,23.083664021083127,-0.08205896739514683,4.046021066814106
single series,all_drug,0,9.750829398986482,1.308636532726859,18.89652221184841,2.278373280781981,20.14895158617523
contrast,cocaine vs synthetic_opioids,0,1.6288932728449224,-13.838097737051191,19.872376033934415,0.1918178062525699,
contrast,cocaine vs psychostimulants,0,20.957337030821456,5.608731756148599,38.53662607529537,2.748219545832244,
single series,cocaine,2,17.369732621768485,5.479109167896801,30.600781940412205,2.938801019296067,10.045969809634434
single series,synthetic_opioids,2,17.84458502854831,3.600845091696847,34.04664998880173,2.4982312359552306,27.40860308218105
single series,psychostimulants,2,4.0590541417414805,-4.457394244689661,13.334639172451501,0.9133226211144109,8.530512369778606
single series,heroin,2,-0.039699301929285724,-20.494523336771543,25.677653100218166,-0.003399302501414061,4.045960727221213
single series,all_drug,2,11.411603396347726,2.7777926795607755,20.770694210613637,2.625767721839951,19.886876528232985
contrast,cocaine vs synthetic_opioids,2,-0.40294800704232525,-15.750144824314582,17.739938484199435,-0.047289742476605855,
contrast,cocaine vs psychostimulants,2,12.791465951531888,-1.6245889237623934,29.320067406239602,1.7252396530748575,
single series,cocaine,4,12.121952636026446,-0.5988291659441702,26.470665862703214,1.862242007995718,10.451439670843685
single series,synthetic_opioids,4,18.67363240986215,2.717890942597423,37.10786796840904,2.324009247382871,27.569201050890985
single series,psychostimulants,4,8.413271969062519,-1.2372067126777853,19.006734700634055,1.6982750196533916,8.397205859636552
single series,heroin,4,-0.1543413431555951,-23.545358389821423,30.393071534480566,-0.01134173989154026,4.046015155658865
single series,all_drug,4,9.200762777282169,-0.2846781469748927,19.5885082607141,1.8985085443064702,20.390017826915194
contrast,cocaine vs synthetic_opioids,4,-5.520754392355864,-21.714454930369374,14.022682509907458,-0.5920117482135557,
contrast,cocaine vs psychostimulants,4,3.4208732930985253,-11.188810485032175,20.43389004382723,0.43289765511198985,
