payload_t_per_vessel,us_bound_flow_t,elasticity,tonnes_removed,implied_arrivals_t,consistent,supply_cut_pct,expected_death_change_pct
1.0,300.0,0.1,225.6,74.4,False,75.2,-7.5
1.0,300.0,0.3,225.6,74.4,False,75.2,-22.6
1.0,300.0,0.7,225.6,74.4,False,75.2,-52.6
1.0,500.0,0.1,225.6,274.4,True,45.1,-4.5
1.0,500.0,0.3,225.6,274.4,True,45.1,-13.5
1.0,500.0,0.7,225.6,274.4,True,45.1,-31.6
1.0,700.0,0.1,225.6,474.4,True,32.2,-3.2
1.0,700.0,0.3,225.6,474.4,True,32.2,-9.7
1.0,700.0,0.7,225.6,474.4,True,32.2,-22.6
1.0,900.0,0.1,225.6,674.4,True,25.1,-2.5
1.0,900.0,0.3,225.6,674.4,True,25.1,-7.5
1.0,900.0,0.7,225.6,674.4,True,25.1,-17.5
1.5,300.0,0.1,260.6,39.4,False,86.9,-8.7
1.5,300.0,0.3,260.6,39.4,False,86.9,-26.1
1.5,300.0,0.7,260.6,39.4,False,86.9,-60.8
1.5,500.0,0.1,260.6,239.4,True,52.1,-5.2
1.5,500.0,0.3,260.6,239.4,True,52.1,-15.6
1.5,500.0,0.7,260.6,239.4,True,52.1,-36.5
1.5,700.0,0.1,260.6,439.4,True,37.2,-3.7
1.5,700.0,0.3,260.6,439.4,True,37.2,-11.2
1.5,700.0,0.7,260.6,439.4,True,37.2,-26.1
1.5,900.0,0.1,260.6,639.4,True,29.0,-2.9
1.5,900.0,0.3,260.6,639.4,True,29.0,-8.7
1.5,900.0,0.7,260.6,639.4,True,29.0,-20.3
2.5,300.0,0.1,330.6,-30.6,False,95.0,-9.5
2.5,300.0,0.3,330.6,-30.6,False,95.0,-28.5
2.5,300.0,0.7,330.6,-30.6,False,95.0,-66.5
2.5,500.0,0.1,330.6,169.4,True,66.1,-6.6
2.5,500.0,0.3,330.6,169.4,True,66.1,-19.8
2.5,500.0,0.7,330.6,169.4,True,66.1,-46.3
2.5,700.0,0.1,330.6,369.4,True,47.2,-4.7
2.5,700.0,0.3,330.6,369.4,True,47.2,-14.2
2.5,700.0,0.7,330.6,369.4,True,47.2,-33.1
2.5,900.0,0.1,330.6,569.4,True,36.7,-3.7
2.5,900.0,0.3,330.6,569.4,True,36.7,-11.0
2.5,900.0,0.7,330.6,569.4,True,36.7,-25.7
