time	cases
1	0.000000
2	0.000000
3	0.000000
4	0.000000
5	0.000000
6	0.000000
7	2.332657
8	2.665894
9	3.165749
10	4.332077
11	6.328496
12	7.655438
13	10.815183
14	14.321674
15	18.325018
16	25.488106
17	34.164270
18	41.174250
19	70.805299
20	91.850249
21	121.571362
22	139.343988
23	181.058621
24	224.109204
25	251.578717
26	288.805163
27	325.581288
28	427.353585
29	523.571937
30	605.980479
31	595.773228
32	753.496272
33	807.234446
34	781.566212
35	719.121853
36	722.724412
37	765.504802
38	633.900313
39	578.811178
40	542.335266
41	498.954449
42	405.588123
43	352.900695
44	321.378302
45	302.164653
46	286.553563
47	295.559961
48	292.407722
49	274.545032
50	233.565921
51	213.901952
52	181.929240
53	153.408979
54	131.343304
55	120.895882
56	117.833707
57	94.732296
58	89.418521
59	74.813146
60	67.833188
61	66.662356
62	66.497239
63	71.660907
64	66.827473
65	72.006152
66	66.677367
67	63.510117
68	63.840351
69	55.509433
70	53.843249
71	43.996254
72	41.324356
73	38.667469
74	36.836168
75	35.995571
76	39.327938
77	41.669601
78	38.667469
79	46.157790
80	40.829004
81	47.328621
82	45.992672
83	54.969049
84	59.967600
85	51.306447
86	53.963335
87	49.129901
88	49.129901
89	39.147810
90	40.648876
91	38.982693
92	36.325805
93	33.999152
94	31.177148
95	32.017745
96	28.190026
97	30.351561
98	32.017745
99	29.348849
100	28.012900
101	23.839936
102	25.010767
103	26.346716
104	27.847783
105	28.181019
106	34.845754
107	34.680637
108	33.344688
109	31.843621
110	27.670657
111	29.330836
112	23.491688
113	25.998469
114	30.666785
115	28.160004
116	26.493821
117	32.167852
118	35.665336
119	34.329387
120	31.822606
121	34.164270
122	37.661754
123	34.329387
124	33.173566
125	39.838300
126	45.677449
127	52.507300
128	52.837535
129	66.031908
130	69.859627
131	78.355663
132	85.230546
133	92.946027
134	99.956007
135	91.429950
136	95.407776
137	94.206923
138	90.604364
139	83.729480
140	88.622956
141	87.782359
142	84.645131
143	89.898863
144	93.651529
145	109.532810
146	112.835156
147	117.998824
148	120.490595
149	112.279762
150	109.878056
151	110.028162
152	106.875923
153	113.930935
154	121.631405
155	121.961640
156	124.813666
157	125.263986
158	123.612813
159	132.018784
160	123.312599
161	124.288292
162	117.968803
163	105.209739
164	101.817329
165	94.311998
166	104.219036
167	102.567863
168	108.136819
169	104.249057
170	113.195412
171	123.852983
172	126.104583
173	159.428255
174	190.800542
175	210.449500
176	214.652486
177	231.614535
178	248.276372
179	259.084049
180	263.887461
181	282.050364
182	286.553563
183	277.697272
184	270.342047
185	267.039701
186	266.439274
187	254.580850
188	288.655056
189	278.447805
190	288.655056
191	268.240554
192	268.090447
193	297.061027
194	290.606442
195	320.027342
196	305.316892
197	319.577022
198	351.699842
199	368.211572
200	419.397934
201	456.474272
202	570.705420
203	599.525894
204	576.559579
205	620.240609
206	637.652978
207	670.976651
208	660.769400
209	719.160880
210	759.089245
211	725.615466
212	705.050857
213	688.539127
214	692.592006
215	670.976651
216	686.437634
217	702.949364
218	688.088807
219	676.080277
220	666.023132
221	697.545525
222	693.192433
223	759.197322
224	785.616089
225	809.182830
226	834.375227
227	860.421730
228	947.240404
229	959.406547
230	1046.205708
231	1070.522982
232	1079.856613
233	1079.689994
234	1102.522714
235	1172.690060
236	1160.689035
237	1302.499274
238	1417.998824
239	1433.498834
240	1463.165909
241	1530.832479
242	1742.832580
243	1880.166640
244	2203.832567
245	2480.666726
246	2636.000072
247	2782.166406
248	2941.999949
249	3255.665772
250	3591.166107
251	4018.998532
252	4435.664525
253	4652.331441
254	4783.665739
255	5191.666076
256	5489.833389
257	5675.666902
258	6223.167338
259	6522.834216
260	6758.000274
261	6627.833806
262	6644.166909
263	7110.500185
264	7334.666429
265	7522.999217
266	7534.998742
267	7291.165526
268	7036.165879
269	6674.332338
270	6242.499571
271	6176.667305
272	6334.334809
273	6429.167677
274	5956.000046
275	5503.667216
276	5304.834469
277	5114.500759
278	4838.333074
279	4745.499626
280	4895.832921
281	4624.332051
282	4162.832209
283	3903.832219
284	3739.666599
285	3597.333988
286	3496.834595
287	3495.668266
288	3367.334600
289	3101.500256
290	2928.665977
291	2740.498306
292	2648.664569
293	2731.997767
294	2794.997521
295	2830.164503
296	2779.499011
297	2775.833407
298	2707.833601
299	2515.167234
300	2457.667387
301	2300.501239
302	2115.667436
303	1980.500916
304	1921.501504
305	2048.502223
306	1974.336037
307	1938.335963
308	1919.835320
309	1876.334418
310	1832.500279
311	1782.999614
312	1959.999352
313	2071.165322
314	2068.332810
315	2047.332892
316	2009.666635
317	1969.832838
318	1895.831768
319	1969.832838
320	2081.831900
321	2217.165038
322	2218.664604
323	2089.497846
324	1940.498999
325	1836.665738
326	2077.833059
327	1952.833261
328	1964.832786
329	1920.000437
330	1850.999420
331	1779.165891
332	1472.666158
333	1501.666760
334	1562.500475
335	1622.332979
336	1629.167334
337	1549.666358
338	1507.333285
339	1497.166563
340	1390.667408
