time	osi
1	0.000000
2	0.000000
3	0.000000
4	0.000000
5	0.000000
6	0.000000
7	111.100000
8	111.100000
9	111.100000
10	111.100000
11	111.100000
12	111.100000
13	111.100000
14	124.983333
15	138.866667
16	171.283333
17	209.866667
18	271.600000
19	333.333333
20	381.183333
21	484.583333
22	569.450000
23	648.150000
24	703.700000
25	759.250000
26	814.800000
27	814.800000
28	814.800000
29	814.800000
30	814.800000
31	814.800000
32	814.800000
33	814.800000
34	814.800000
35	814.800000
36	814.800000
37	814.800000
38	814.800000
39	814.800000
40	814.800000
41	814.800000
42	814.800000
43	814.800000
44	814.800000
45	814.800000
46	814.800000
47	814.800000
48	814.800000
49	814.800000
50	808.633333
51	802.466667
52	796.300000
53	790.133333
54	783.966667
55	777.800000
56	777.800000
57	777.800000
58	777.800000
59	773.166667
60	768.533333
61	763.900000
62	759.266667
63	754.633333
64	750.000000
65	750.000000
66	750.000000
67	737.650000
68	720.666667
69	703.683333
70	686.700000
71	669.716667
72	652.733333
73	648.100000
74	648.100000
75	648.100000
76	648.100000
77	638.850000
78	629.600000
79	620.350000
80	611.100000
81	601.850000
82	592.600000
83	592.600000
84	592.600000
85	592.600000
86	592.600000
87	592.600000
88	592.600000
89	592.600000
90	592.600000
91	592.600000
92	592.600000
93	592.600000
94	592.600000
95	583.333333
96	574.066667
97	564.800000
98	555.533333
99	546.266667
100	530.833333
101	524.666667
102	518.500000
103	512.333333
104	506.166667
105	500.000000
106	500.000000
107	500.000000
108	500.000000
109	500.000000
110	500.000000
111	500.000000
112	500.000000
113	500.000000
114	500.000000
115	500.000000
116	500.000000
117	500.000000
118	500.000000
119	500.000000
120	500.000000
121	500.000000
122	500.000000
123	500.000000
124	500.000000
125	500.000000
126	500.000000
127	500.000000
128	486.116667
129	472.233333
130	458.350000
131	444.466667
132	430.583333
133	416.700000
134	416.700000
135	416.700000
136	416.700000
137	410.516667
138	404.333333
139	398.150000
140	391.966667
141	385.783333
142	379.600000
143	379.600000
144	379.600000
145	379.600000
146	379.600000
147	379.600000
148	379.600000
149	379.600000
150	379.600000
151	379.600000
152	379.600000
153	379.600000
154	379.600000
155	379.600000
156	379.600000
157	379.600000
158	379.600000
159	379.600000
160	379.600000
161	379.600000
162	379.600000
163	379.600000
164	379.600000
165	379.600000
166	379.600000
167	379.600000
168	379.600000
169	379.600000
170	379.600000
171	379.600000
172	379.600000
173	379.600000
174	379.600000
175	379.600000
176	379.600000
177	379.600000
178	379.600000
179	379.600000
180	379.600000
181	379.600000
182	379.600000
183	379.600000
184	379.600000
185	379.600000
186	379.600000
187	379.600000
188	379.600000
189	379.600000
190	379.600000
191	379.600000
192	379.600000
193	379.600000
194	379.600000
195	376.516667
196	373.433333
197	370.350000
198	367.266667
199	364.183333
200	361.100000
