time	cases
1	0.000000
2	0.000000
3	0.000000
4	0.000000
5	0.000000
6	0.000000
7	1.000053
8	0.833115
9	0.833115
10	0.833115
11	0.833115
12	0.833115
13	0.499239
14	0.499239
15	0.998478
16	3.502549
17	3.502549
18	3.502549
19	4.502602
20	4.502602
21	6.507434
22	4.003363
23	6.995649
24	8.162640
25	6.663348
26	7.496463
27	4.992392
28	5.825508
29	2.833222
30	3.000160
31	3.000160
32	2.167045
33	11.836852
34	11.003737
35	12.830606
36	34.962495
37	42.789684
38	57.625121
39	68.271359
40	91.264711
41	116.210924
42	126.920157
43	189.017958
44	256.706608
45	277.180141
46	312.930080
47	343.010425
48	369.153552
49	373.720725
50	370.570950
51	425.692001
52	453.252527
53	481.443007
54	497.349367
55	499.396721
56	513.098239
57	540.658764
58	579.558477
59	630.742310
60	700.037346
61	761.142968
62	821.303657
63	859.998635
64	875.747507
65	887.874138
66	894.173687
67	902.678077
68	880.157191
69	861.463280
70	871.385069
71	875.164799
72	878.787039
73	891.137304
74	913.973168
75	925.942311
76	936.234198
77	942.766830
78	945.159084
79	946.326075
80	951.274371
81	957.332962
82	949.875871
83	947.280457
84	942.368384
85	940.201339
86	936.985419
87	932.344227
88	937.635848
89	939.231208
90	938.758742
91	930.715794
92	925.833643
93	920.006561
94	909.990278
95	901.937880
96	890.598693
97	883.196723
98	876.267220
99	869.337716
100	868.235295
101	865.715476
102	871.070092
103	866.187942
104	857.998528
105	847.446784
106	824.610920
107	794.845553
108	768.544937
109	753.426021
110	735.944773
111	717.203616
112	702.714654
113	689.485602
114	681.926143
115	660.350189
116	637.356836
117	608.851379
118	575.621259
119	547.903245
120	508.058600
121	462.701850
122	431.519084
123	408.525731
124	383.642514
125	361.909071
126	340.175628
127	330.726305
128	316.867298
129	299.071073
130	294.031434
131	281.117359
132	263.321134
133	254.501766
134	235.918098
135	222.531557
136	202.215512
137	188.041528
138	185.206731
139	174.182521
140	171.977679
141	169.772837
142	169.142882
143	170.087814
144	163.315799
145	157.173739
146	150.716702
147	149.614281
148	151.031679
149	148.826837
150	151.189168
151	153.236521
152	150.559213
153	140.952401
154	138.432582
155	136.700206
156	134.495364
157	135.755274
158	136.070251
159	133.392943
160	122.038007
161	118.415766
162	115.738458
163	111.171285
164	111.643751
165	113.848593
166	116.069184
167	104.792992
168	99.910842
169	98.335955
170	95.186180
171	102.588150
172	121.014330
173	123.518400
174	121.297810
175	125.707494
176	133.109463
177	133.739418
178	128.069824
179	146.448758
180	161.898401
181	154.307445
182	170.528782
183	175.568421
184	176.828331
185	175.725910
186	173.678557
187	185.994174
188	164.733198
189	162.685844
190	159.221093
191	160.323514
192	162.528356
193	169.142882
194	177.962250
195	177.647272
196	183.159377
197	184.104310
198	186.624129
199	185.836686
200	190.246370
201	191.978746
202	191.663768
203	195.286009
204	200.483136
205	209.145016
206	214.499632
207	218.751827
208	224.106444
209	223.319000
210	228.201150
211	236.705541
212	249.304638
213	269.148217
214	285.212066
215	307.102998
216	317.182275
217	330.096350
218	343.797868
219	355.452034
220	373.878213
221	423.959625
222	512.310795
223	516.090525
224	520.500209
225	533.099306
226	542.706118
227	565.699470
228	602.228978
229	613.883143
230	632.466812
