time	cases
1	0.000000
2	0.000000
3	0.000000
4	0.000000
5	0.000000
6	0.000000
7	0.166697
8	0.000000
9	0.000000
10	0.000000
11	0.000000
12	0.000000
13	0.000000
14	0.000000
15	0.000000
16	0.000000
17	0.000000
18	0.000000
19	0.000000
20	0.000000
21	0.000000
22	0.000000
23	0.000000
24	0.000000
25	0.000000
26	0.000000
27	0.000000
28	0.166697
29	1.167268
30	1.999789
31	3.666764
32	8.167400
33	17.999264
34	27.838274
35	31.995086
36	37.672070
37	40.679577
38	44.021251
39	58.527596
40	89.278729
41	105.755310
42	132.083070
43	155.996326
44	179.059675
45	195.285148
46	206.102129
47	261.539159
48	321.612038
49	390.763455
50	416.840107
51	463.971241
52	523.657799
53	662.920641
54	744.820643
55	955.415683
56	1182.100982
57	1271.534240
58	1306.303109
59	1288.136375
60	1343.992563
61	1272.658433
62	1265.824419
63	1298.696453
64	1339.839615
65	1371.672446
66	1342.505228
67	1368.838783
68	1372.671085
69	1387.838038
70	1472.166067
71	1399.205527
72	1285.980705
73	1431.646813
74	1356.980667
75	1353.314483
76	1256.044709
77	1317.838647
78	1477.396850
79	1230.651845
80	1180.146199
81	1109.889905
82	1184.992593
83	1138.072005
84	1025.065454
85	954.948235
86	907.237620
87	843.494694
88	704.069597
89	617.726906
90	563.641999
91	536.406385
92	488.695770
93	441.564636
94	377.049068
95	397.910390
96	415.681145
97	448.325250
98	468.993411
99	490.047893
100	499.705912
101	426.884447
102	379.560153
103	341.314397
104	318.135151
105	305.193406
106	296.694349
107	301.716519
108	282.593641
109	265.209206
110	253.619583
111	254.971706
112	255.358027
113	258.448593
114	245.217107
115	226.094229
116	223.003663
117	208.516634
118	182.439982
119	173.168284
120	176.934911
121	170.483354
122	139.268636
123	117.596041
124	120.107126
125	115.084956
126	118.175523
127	122.115994
128	125.283825
129	133.628353
130	134.014674
131	124.588447
132	115.394013
133	113.616937
134	110.622952
135	97.777786
136	88.853776
137	88.177715
138	92.929460
139	86.767644
140	102.742008
141	114.814532
142	143.247740
143	140.582127
144	137.491561
145	141.644509
146	131.001372
147	124.086230
148	91.809130
149	88.139083
150	83.657762
151	81.996583
152	86.265427
153	90.437691
154	109.193565
155	105.195145
156	100.443399
157	96.444979
158	89.510522
159	95.537126
160	84.449720
161	117.055192
162	134.207834
163	135.714485
164	136.371231
165	172.878543
166	197.680336
167	192.658166
168	216.223733
169	268.589513
170	280.855197
171	281.241518
172	274.480905
173	298.625953
174	337.064869
175	322.191519
176	361.789398
177	339.382794
178	414.908503
179	468.027609
180	504.148600
181	562.869357
182	570.402612
183	608.841528
184	552.245536
185	525.396243
186	544.132800
187	563.641999
188	591.843415
189	639.554029
190	661.960634
191	641.678793
192	605.171481
193	567.698367
194	618.692708
195	619.465349
196	617.147425
197	587.593886
198	541.621715
199	547.996008
200	510.716054
201	504.148600
202	524.044120
203	566.925725
204	532.543177
205	494.683742
206	475.367703
207	434.417702
208	414.135862
209	443.882561
210	491.593176
211	464.743882
212	409.500013
213	401.773597
214	431.906617
215	429.202372
216	463.971241
217	522.112516
218	547.223366
219	538.531149
220	524.816762
221	565.959923
222	618.885868
223	685.333040
224	781.140590
225	860.915829
226	850.678328
227	896.650499
228	1073.168184
229	1195.154761
230	1215.436601
231	1331.489291
232	1432.898492
233	1546.370560
234	1485.204393
235	1519.870887
236	1704.754348
237	1751.421896
238	1797.832541
239	1687.833498
240	1704.667425
241	1614.001805
242	1680.503061
243	1905.169835
244	2240.670105
245	2480.335782
246	2514.668108
247	2639.834105
248	2801.499688
249	3226.999175
250	3559.665782
251	4449.331602
252	5009.164478
253	5264.831561
254	5895.332163
255	6319.166608
256	7162.999332
257	7536.666162
258	8476.167361
259	9395.500684
260	9540.000104
261	9774.666791
262	10237.834484
263	11330.168042
264	12430.834538
265	13859.334768
266	15091.835158
267	15593.167480
268	15650.499413
269	16367.499167
270	17426.332919
271	17817.500079
272	18032.999461
273	17883.333001
274	16677.666452
275	14034.000045
276	12659.165564
277	11171.164209
278	9802.497339
279	8858.331316
280	8905.665268
281	8440.166129
282	6543.667264
283	6008.334851
284	5391.502278
285	5140.668067
286	5081.835277
287	5459.502459
288	5066.001921
289	4202.335488
290	4232.335228
291	4208.669217
292	3733.334351
293	3494.167028
294	3484.667400
295	3216.172536
296	2669.339354
297	2450.506024
298	2308.674149
299	2320.841322
300	2611.507135
301	2782.834600
302	2590.396637
303	2374.228920
304	2453.395703
305	2338.061570
306	2165.229385
307	2223.896057
308	2401.833471
309	2233.799390
310	2053.298738
311	2130.964665
312	2159.629666
313	2202.130745
314	2360.132075
315	3046.666573
316	2899.559488
317	2756.226757
318	2903.227604
319	2967.893837
320	2980.059078
321	2603.892753
322	2786.498853
323	2581.412747
324	2341.745138
325	2352.743691
326	2310.744829
327	2247.577520
328	2016.488164
329	1994.274720
330	1770.687713
331	1514.854511
332	1556.186970
333	1541.520302
334	1709.776518
335	1715.185008
336	1712.867084
337	1579.397122
338	1415.564280
339	1539.397470
340	1727.730775
341	1922.455758
342	2113.862245
343	2229.333522
344	2081.270293
345	1931.603833
346	1932.272168
347	2030.438207
348	2065.771104
349	2157.603413
350	2269.333174
351	2074.801352
352	1833.466769
353	1894.967103
354	1956.299388
355	2010.299305
356	2169.133157
357	2315.832673
358	2268.000367
359	2064.333991
360	2139.168186
361	2194.334792
