time	cases
1	0.000000
2	0.000000
3	0.000000
4	0.000000
5	0.000000
6	0.000000
7	0.166697
8	0.000000
9	0.000000
10	0.000000
11	0.000000
12	0.000000
13	0.000000
14	0.000000
15	0.000000
16	0.000000
17	0.000000
18	0.000000
19	0.000000
20	0.000000
21	0.000000
22	0.000000
23	0.000000
24	0.000000
25	0.000000
26	0.000000
27	0.000000
28	0.166697
29	1.167268
30	1.999789
31	3.666764
32	8.167400
33	17.999264
34	27.838274
35	31.995086
36	37.672070
37	40.679577
38	44.021251
39	58.527596
40	89.278729
41	105.755310
42	132.083070
43	155.996326
44	179.059675
45	195.285148
46	206.102129
47	261.539159
48	321.612038
49	390.763455
50	416.840107
51	463.971241
52	523.657799
53	662.920641
54	744.820643
55	955.415683
56	1182.100982
57	1271.534240
58	1306.303109
59	1288.136375
60	1343.992563
61	1272.658433
62	1265.824419
63	1298.696453
64	1339.839615
65	1371.672446
66	1342.505228
67	1368.838783
68	1372.671085
69	1387.838038
70	1472.166067
71	1399.205527
72	1285.980705
73	1431.646813
74	1356.980667
75	1353.314483
76	1256.044709
77	1317.838647
78	1477.396850
79	1230.651845
80	1180.146199
81	1109.889905
82	1184.992593
83	1138.072005
84	1025.065454
85	954.948235
86	907.237620
87	843.494694
88	704.069597
89	617.726906
90	563.641999
91	536.406385
92	488.695770
93	441.564636
94	377.049068
95	397.910390
96	415.681145
97	448.325250
98	468.993411
99	490.047893
100	499.705912
101	426.884447
102	379.560153
103	341.314397
104	318.135151
105	305.193406
106	296.694349
107	301.716519
108	282.593641
109	265.209206
110	253.619583
111	254.971706
112	255.358027
113	258.448593
114	245.217107
115	226.094229
116	223.003663
117	208.516634
118	182.439982
119	173.168284
120	176.934911
121	170.483354
122	139.268636
123	117.596041
124	120.107126
125	115.084956
126	118.175523
127	122.115994
128	125.283825
129	133.628353
130	134.014674
131	124.588447
132	115.394013
133	113.616937
134	110.622952
135	97.777786
136	88.853776
137	88.177715
138	92.929460
139	86.767644
140	102.742008
141	114.814532
142	143.247740
143	140.582127
144	137.491561
145	141.644509
146	131.001372
147	124.086230
148	91.809130
149	88.139083
150	83.657762
151	81.996583
152	86.265427
153	90.437691
154	109.193565
155	105.195145
156	100.443399
157	96.444979
158	89.510522
159	95.537126
160	84.449720
161	117.055192
162	134.207834
163	135.714485
164	136.371231
165	172.878543
166	197.680336
167	192.658166
168	216.223733
169	268.589513
170	280.855197
171	281.241518
172	274.480905
173	298.625953
174	337.064869
175	322.191519
176	361.789398
177	339.382794
178	414.908503
179	468.027609
180	504.148600
181	562.869357
182	570.402612
183	608.841528
184	552.245536
185	525.396243
186	544.132800
187	563.641999
188	591.843415
189	639.554029
190	661.960634
191	641.678793
192	605.171481
193	567.698367
194	618.692708
195	619.465349
196	617.147425
197	587.593886
198	541.621715
199	547.996008
200	510.716054
201	504.148600
202	524.044120
203	566.925725
204	532.543177
205	494.683742
206	475.367703
207	434.417702
208	414.135862
209	443.882561
210	491.593176
211	464.743882
212	409.500013
213	401.773597
214	431.906617
215	429.202372
216	463.971241
217	522.112516
218	547.223366
219	538.531149
220	524.816762
