time	cases
1	0.000000
2	0.000000
3	0.000000
4	0.000000
5	0.000000
6	0.000000
7	1.000120
8	1.666223
9	3.162542
10	4.991913
11	6.987326
12	9.149748
13	17.987683
14	45.825971
15	74.352566
16	101.054618
17	130.073550
18	133.239953
19	130.565887
20	111.548157
21	96.874578
22	83.166367
23	70.133913
24	83.436670
25	90.744498
26	96.729773
27	91.034108
28	100.205095
29	106.093833
30	114.299453
31	130.034935
32	142.102022
33	165.463904
34	172.993766
35	196.259111
36	211.222300
37	228.888516
38	263.352118
39	284.204045
40	301.001431
41	306.021339
42	329.383220
43	337.299230
44	313.937348
45	290.768540
46	271.654274
47	248.968149
48	207.843515
49	184.867780
50	174.345280
51	176.662161
52	179.461725
53	178.013675
54	177.820601
55	167.491175
56	169.228835
57	172.414546
58	167.201564
59	161.892046
60	177.241381
61	177.048308
62	167.491175
63	156.775601
64	155.810234
65	157.934041
66	144.225830
67	138.626701
68	137.468261
69	136.502894
70	135.537527
71	130.034935
72	128.683421
73	135.151380
74	132.641426
75	126.463077
76	115.264820
77	108.796861
78	97.308994
79	82.480956
80	78.716025
81	71.572309
82	69.062355
83	62.864699
84	62.864699
85	67.363309
86	65.142965
87	61.947600
88	60.306476
89	65.442229
90	57.294531
91	51.965706
92	49.986703
93	47.312637
94	50.981031
95	45.681166
96	47.187139
97	45.352942
98	42.350650
99	43.190520
100	36.346068
101	40.294419
102	42.456841
103	41.452859
104	37.958230
105	38.286455
106	34.116070
107	26.663437
108	29.115469
109	31.789535
110	38.450568
111	35.950267
112	38.952558
113	43.122944
114	40.835024
115	41.993465
116	42.563031
117	49.861206
118	67.044738
119	65.374653
120	66.040756
121	61.715912
122	58.646045
123	53.770942
124	37.417625
125	44.397228
126	38.228533
127	39.058749
128	36.066111
129	32.474946
130	27.638457
131	15.159158
132	19.995647
133	17.331234
134	15.825261
135	15.661149
136	19.165431
137	25.292615
138	25.215386
139	38.701563
140	40.699873
141	43.200173
142	43.528398
143	45.401210
144	42.147923
145	27.491721
146	38.361754
147	39.867726
148	42.541793
149	41.045474
150	44.713869
151	44.380817
152	33.182560
153	44.853847
154	42.855537
155	45.684063
156	53.706262
157	64.158291
158	74.487718
159	73.425814
160	101.884833
161	105.514613
162	110.534522
163	124.242733
164	137.082114
165	120.469113
166	87.337718
167	136.861045
168	141.784417
169	139.467536
170	140.432903
171	167.761477
172	184.578170
173	144.611977
174	139.302458
175	137.082114
176	124.242733
177	115.747503
178	109.569154
179	105.514613
180	97.888214
181	95.764406
182	94.799039
183	84.797837
184	87.790475
185	81.322516
186	81.419053
187	82.384420
188	84.025544
189	91.034108
190	94.605966
191	112.465255
192	128.297274
193	141.136655
194	150.018032
195	171.835326
196	193.942230
197	205.912781
198	229.757346
199	247.133952
200	279.763357
201	297.815719
202	314.999252
203	329.479757
204	373.507250
205	461.826746
206	480.554866
207	522.510681
208	543.362608
209	557.070820
210	541.425117
211	497.802113
212	515.757939
213	530.924820
214	555.747301
215	556.229985
216	547.541682
217	519.835649
218	515.684571
219	469.373985
220	455.170541
221	446.385701
222	437.021641
223	434.222077
224	398.213887
225	386.532947
226	371.762832
227	390.394415
228	401.303062
229	394.931640
230	406.129897
