time	cases
1	0.000000
2	0.000000
3	0.000000
4	0.000000
5	0.000000
6	0.000000
7	0.915327
8	0.749105
9	1.248694
10	2.162728
11	2.496094
12	2.913495
13	4.243268
14	5.406819
15	6.569447
16	8.739562
17	17.843889
18	32.902642
19	43.208381
20	45.212275
21	49.053841
22	53.218616
23	46.117259
24	40.853575
25	37.547613
26	46.569752
27	58.242202
28	63.284257
29	76.111024
30	80.081873
31	84.773016
32	86.435232
33	90.221391
34	90.036700
35	93.361132
36	89.667319
37	81.310066
38	79.463159
39	74.661202
40	106.982069
41	95.826752
42	126.300712
43	143.615462
44	161.438112
45	164.947234
46	147.771002
47	162.897168
48	132.977280
49	125.959035
50	112.291925
51	105.273680
52	99.917651
53	97.331981
54	117.832645
55	119.864243
56	117.832645
57	129.560503
58	126.790143
59	132.607899
60	119.033135
61	115.339321
62	118.017336
63	113.492415
64	101.783026
65	103.629933
66	100.028465
67	96.057616
68	100.120810
69	93.287256
70	97.978399
71	84.403635
72	96.408528
73	103.703809
74	93.638168
75	104.257881
76	105.735407
77	95.272680
78	71.567633
79	63.441244
80	67.781475
81	57.992869
82	54.022020
83	60.513897
84	62.850234
85	57.521908
86	49.709493
87	44.187242
88	41.823201
89	36.827319
90	33.161209
91	33.327431
92	30.824872
93	33.207382
94	34.370933
95	34.712611
96	41.204488
97	43.374603
98	42.875938
99	32.497246
100	28.000029
101	26.993464
102	23.659798
103	21.988347
104	20.492353
105	23.492653
106	23.492653
107	21.497994
108	20.500664
109	18.164327
110	17.665662
111	17.166997
112	13.835178
113	11.999353
114	8.833755
115	7.671127
116	7.671127
117	6.332120
118	5.831608
119	5.331096
120	6.335813
121	8.006340
122	6.502958
123	8.174409
124	9.171739
125	10.501511
126	10.501511
127	9.330572
128	12.163727
129	9.829237
130	8.831908
131	8.333243
132	7.328526
133	7.162304
134	4.329149
135	3.995783
136	5.159334
137	5.159334
138	6.330273
139	6.163128
140	5.496394
141	5.994136
142	4.914619
143	4.708689
144	4.034568
145	6.369981
146	9.038761
147	8.874387
148	10.461803
149	11.508075
150	11.840519
151	10.335290
152	8.830061
153	8.830061
154	7.825344
155	6.985001
156	6.985001
157	7.151223
158	7.317444
159	8.322161
160	9.151423
161	10.324208
162	11.496994
163	14.830661
164	16.668333
165	18.496770
166	19.170891
167	19.669556
168	19.669556
169	18.506005
170	18.339783
171	21.507228
172	22.005893
173	22.670779
174	21.673450
175	21.507228
176	22.338336
177	20.334442
178	23.668109
179	25.164103
180	29.162656
181	27.999105
182	27.001775
183	29.338112
184	26.669332
185	24.674673
186	22.670779
187	21.497994
188	23.160210
189	17.490206
190	23.317197
191	23.649640
192	26.318420
193	29.319643
194	30.658651
195	34.158539
196	30.834107
197	29.328878
198	38.341782
199	40.678119
200	41.841671
201	44.344229
202	42.174114
203	48.342782
204	49.173890
205	46.837553
206	47.834883
207	50.125047
208	57.004774
209	58.870150
210	53.514121
211	74.190241
212	81.540929
213	86.896959
214	93.730513
215	99.548269
216	106.104788
217	91.421880
218	100.748759
219	102.226284
220	103.149737
221	111.091436
222	118.017336
223	132.330863
224	134.824187
225	156.063613
226	157.633484
227	183.490177
228	198.173085
229	218.489059
230	215.995735
231	213.779447
232	241.575392
233	226.246067
234	227.261865
235	213.964137
236	215.811044
237	201.959244
238	175.917860
239	190.970149
240	187.830408
241	186.999300
242	196.787905
243	204.637259
244	215.534008
245	186.814609
246	181.920307
247	187.091645
248	181.920307
249	209.623907
250	210.732051
251	220.058929
252	206.114784
253	209.808597
254	227.354211
255	201.497517
256	212.024885
257	238.897377
258	289.410275
259	264.846416
260	252.656832
261	260.875567
262	249.424745
263	245.546241
264	217.473260
265	237.973924
266	218.673749
267	216.919188
268	232.063823
269	237.881579
270	274.080949
271	316.744493
272	369.843060
273	381.386227
274	392.190631
275	394.222228
276	400.039984
277	424.915970
278	444.585526
279	448.741066
280	437.105554
281	468.318277
282	455.666966
283	442.703528
284	408.535755
285	431.529743
286	453.138551
287	403.087380
288	393.298775
289	384.895349
290	468.934220
291	475.767775
292	469.765328
293	488.142049
294	477.891717
295	454.436003
296	382.956097
297	359.131001
298	355.344843
299	340.477244
300	342.047115
301	325.886681
302	307.879341
303	309.356867
304	310.834392
305	299.198880
306	276.481928
307	260.506185
308	236.681089
309	222.736944
310	235.295909
311	243.237608
312	263.738272
313	271.218244
314	272.511079
315	249.794127
316	226.615448
317	240.282557
318	228.092973
319	243.884025
320	269.925409
321	278.421180
322	261.891365
323	243.606989
324	260.506185
325	254.226703
326	253.210904
327	251.918069
328	257.920516
329	249.055364
330	231.232715
331	262.168401
332	275.650820
333	302.338621
334	332.812581
335	345.833273
336	341.677733
337	325.701991
338	341.862424
339	353.959663
