time	cases
1	0.000000
2	0.000000
3	0.000000
4	0.000000
5	0.000000
6	0.000000
7	14.827601
8	19.664750
9	29.502576
10	32.334875
11	41.645052
12	61.486411
13	85.939252
14	136.316682
15	155.689263
16	199.830837
17	249.216200
18	311.247703
19	437.709117
20	613.446874
21	720.175947
22	678.530895
23	975.170125
24	1062.384893
25	1138.697815
26	1215.010737
27	1376.358058
28	1654.900223
29	1678.884284
30	2066.990002
31	2207.623815
32	2394.045382
33	2749.445561
34	3097.214449
35	3488.590720
36	3362.129306
37	3713.168748
38	4490.819226
39	4645.625440
40	4364.357813
41	4461.384242
42	4534.426610
43	3951.177849
44	3122.288694
45	2857.373837
46	3148.453125
47	2907.522328
48	2661.140609
49	2759.257223
50	2699.297070
51	2679.673747
52	2566.294548
53	2470.358304
54	2634.976178
55	2709.108731
56	2960.941374
57	2619.713594
58	2498.703103
59	2409.307966
60	2283.936737
61	2352.618367
62	2186.910308
63	2285.026922
64	1982.827750
65	2152.896548
66	2375.294206
67	2354.580699
68	2088.575657
69	1896.049056
70	1922.431524
71	1367.745599
72	939.194033
73	762.584128
74	1248.806459
75	1284.346477
76	1240.957130
77	1268.974874
78	1216.864051
79	1082.771345
80	519.145907
81	482.842759
82	501.266879
83	498.541418
84	526.123088
85	497.124178
86	445.776483
87	442.396911
88	415.796406
89	374.805465
90	432.149175
91	499.849639
92	498.432399
93	469.106433
94	431.277028
95	415.469351
96	846.092268
97	854.050616
98	1080.154902
99	1064.456243
100	1089.748526
101	1061.076671
102	750.374060
103	1378.538427
104	1176.636239
105	1233.434856
106	1222.423992
107	1268.102727
108	1113.841606
109	490.801107
110	454.606978
111	493.417550
112	519.472962
113	538.769229
114	469.324470
115	475.320486
116	496.033993
117	459.621827
118	507.589950
119	545.746411
120	580.196244
121	493.744605
122	529.066586
123	476.083615
124	387.778662
125	495.052827
126	512.604799
127	579.978207
128	570.820657
129	599.601530
130	721.702205
131	601.127788
132	616.281354
133	584.884038
134	479.223346
135	575.813702
136	486.854639
137	534.386687
138	518.579011
139	577.776034
140	617.807613
141	450.409767
142	612.411199
143	485.382889
144	532.369846
145	508.385785
146	604.976140
147	629.450784
148	392.457735
149	700.456688
150	678.652996
151	737.522964
152	805.114409
153	960.029641
154	974.079940
155	870.512403
156	1185.575752
157	1125.833636
158	1165.080282
159	1214.138589
160	1417.458017
161	1213.190128
162	799.420375
163	1265.801347
164	1181.857133
165	1235.276178
166	1284.334485
167	1671.753387
168	1682.917967
169	1128.395570
170	1755.251715
171	1706.193408
172	1871.901467
173	1919.869590
174	2395.517131
175	2924.965282
176	2637.156547
177	2510.041023
178	2430.457547
179	2613.608560
180	2926.491540
181	3226.292305
182	3304.785596
183	3975.903236
184	3951.919175
185	3925.754745
186	3173.418352
187	4205.507015
188	4900.118133
189	5030.940285
190	5595.655907
191	5511.711693
192	6314.196577
193	5632.525951
194	5546.030705
195	6108.064473
196	6646.441236
197	7296.845368
198	7157.301740
199	7094.801456
200	7344.301104
201	7498.965593
202	7651.471517
203	8371.636562
204	8718.315265
205	8661.516647
206	8529.342666
207	8600.836972
208	8722.501574
209	9038.502482
210	10241.019703
211	10930.823107
212	10549.879902
213	10532.044482
214	11040.713714
215	11476.885671
216	11900.891167
217	12514.883134
218	13363.995214
219	12399.585211
220	11518.585232
221	11271.244150
222	10762.411390
223	10465.085344
224	11440.582524
225	12808.328123
226	12413.899335
227	11904.565090
228	12888.227752
229	13715.895901
230	14482.568221
231	16844.736604
232	18561.166846
233	18211.501037
234	17323.665601
235	18256.994441
236	19701.826993
237	19527.659101
238	22222.159359
239	25659.664028
240	25770.165139
241	25332.499630
242	24943.336433
243	27473.502264
244	29262.331665
245	31833.662866
246	30554.832723
247	39327.166635
248	40503.824677
249	39959.996991
250	40589.164328
251	41290.665412
252	46033.001128
253	41561.162015
254	53496.001531
255	59337.832023
256	62436.420104
257	63825.086346
258	68138.750575
259	74884.758370
260	63629.921499
261	55100.426207
262	48002.005337
263	44435.335596
264	39714.672751
265	29283.001565
266	28182.165861
267	29143.490642
268	27049.660295
269	28582.329021
270	27960.487725
271	27405.660076
272	25956.826547
273	24369.833923
274	24883.169145
275	18126.641068
276	14963.982838
277	14300.311159
278	12589.811522
279	11773.808349
280	11664.975220
281	12448.338266
282	11520.896423
283	10122.560244
284	10327.067973
285	10329.237441
286	10168.228077
287	10688.060800
288	11786.836055
289	10960.824987
290	10928.991597
291	11243.651578
292	11637.153709
293	11738.322840
294	13160.904724
295	16839.580031
296	15032.086670
297	14528.759342
298	15170.093139
299	15988.254877
300	15408.331179
301	14066.335740
302	15667.489862
303	14718.146211
304	13741.646061
305	13181.650937
306	14133.818167
307	14606.151547
308	12988.644656
309	13465.818455
310	12006.824405
311	11416.151487
312	12215.485737
313	12178.822829
314	14887.833444
315	13995.299312
316	15559.964955
317	14324.578668
318	13376.412416
319	14241.408485
320	11059.039717
321	17376.746689
322	18657.081287
323	20634.141961
324	17798.887970
325	16873.550183
326	20819.920319
327	17496.252725
328	17745.577943
329	15136.537257
330	20735.125761
331	18088.528215
332	18082.357770
333	18990.023664
334	19162.861530
335	23001.902992
336	20755.065237
337	23194.331476
338	19928.083905
339	19139.084604
340	19845.916692
341	16074.139620
