time	cases
1	0.000000
2	0.000000
3	0.000000
4	0.000000
5	0.000000
6	0.000000
7	14.827601
8	19.664750
9	29.502576
10	32.334875
11	41.645052
12	61.486411
13	85.939252
14	136.316682
15	155.689263
16	199.830837
17	249.216200
18	311.247703
19	437.709117
20	613.446874
21	720.175947
22	678.530895
23	975.170125
24	1062.384893
25	1138.697815
26	1215.010737
27	1376.358058
28	1654.900223
29	1678.884284
30	2066.990002
31	2207.623815
32	2394.045382
33	2749.445561
34	3097.214449
35	3488.590720
36	3362.129306
37	3713.168748
38	4490.819226
39	4645.625440
40	4364.357813
41	4461.384242
42	4534.426610
43	3951.177849
44	3122.288694
45	2857.373837
46	3148.453125
47	2907.522328
48	2661.140609
49	2759.257223
50	2699.297070
51	2679.673747
52	2566.294548
53	2470.358304
54	2634.976178
55	2709.108731
56	2960.941374
57	2619.713594
58	2498.703103
59	2409.307966
60	2283.936737
61	2352.618367
62	2186.910308
63	2285.026922
64	1982.827750
65	2152.896548
66	2375.294206
67	2354.580699
68	2088.575657
69	1896.049056
70	1922.431524
71	1367.745599
72	939.194033
73	762.584128
74	1248.806459
75	1284.346477
76	1240.957130
77	1268.974874
78	1216.864051
79	1082.771345
80	519.145907
81	482.842759
82	501.266879
83	498.541418
84	526.123088
85	497.124178
86	445.776483
87	442.396911
88	415.796406
89	374.805465
90	432.149175
91	499.849639
92	498.432399
93	469.106433
94	431.277028
95	415.469351
96	846.092268
97	854.050616
98	1080.154902
99	1064.456243
100	1089.748526
101	1061.076671
102	750.374060
103	1378.538427
104	1176.636239
105	1233.434856
106	1222.423992
107	1268.102727
108	1113.841606
109	490.801107
110	454.606978
111	493.417550
112	519.472962
113	538.769229
114	469.324470
115	475.320486
116	496.033993
117	459.621827
118	507.589950
119	545.746411
120	580.196244
121	493.744605
122	529.066586
123	476.083615
124	387.778662
125	495.052827
126	512.604799
127	579.978207
128	570.820657
129	599.601530
130	721.702205
131	601.127788
132	616.281354
133	584.884038
134	479.223346
135	575.813702
136	486.854639
137	534.386687
138	518.579011
139	577.776034
140	617.807613
141	450.409767
142	612.411199
143	485.382889
144	532.369846
145	508.385785
146	604.976140
147	629.450784
148	392.457735
149	700.456688
150	678.652996
151	737.522964
152	805.114409
153	960.029641
154	974.079940
155	870.512403
156	1185.575752
157	1125.833636
158	1165.080282
159	1214.138589
160	1417.458017
161	1213.190128
162	799.420375
163	1265.801347
164	1181.857133
165	1235.276178
166	1284.334485
167	1671.753387
168	1682.917967
169	1128.395570
170	1755.251715
171	1706.193408
172	1871.901467
173	1919.869590
174	2395.517131
175	2924.965282
176	2637.156547
177	2510.041023
178	2430.457547
179	2613.608560
180	2926.491540
181	3226.292305
182	3304.785596
183	3975.903236
184	3951.919175
185	3925.754745
186	3173.418352
187	4205.507015
188	4900.118133
189	5030.940285
190	5595.655907
191	5511.711693
192	6314.196577
193	5632.525951
194	5546.030705
195	6108.064473
196	6646.441236
197	7296.845368
198	7157.301740
199	7094.801456
200	7344.301104
