time	cases
1	0.000000
2	0.000000
3	0.000000
4	0.000000
5	0.000000
6	0.000000
7	19.002198
8	23.667567
9	28.177936
10	36.011735
11	72.403290
12	98.515952
13	111.516427
14	146.901178
15	163.350759
16	199.126502
17	237.527476
18	234.595038
19	479.802708
20	591.793910
21	770.253707
22	969.240569
23	1225.060872
24	1707.796018
25	1939.598257
26	2541.446241
27	2734.149307
28	2931.041571
29	3296.898118
30	3440.727218
31	3665.547463
32	4014.647221
33	4775.684694
34	5469.695014
35	5506.001388
36	5649.830489
37	5747.578421
38	5655.416085
39	5654.019686
40	5578.614138
41	5667.983676
42	5540.911364
43	5261.631558
44	4965.594963
45	4750.549511
46	4503.386882
47	4345.593792
48	4130.548341
49	4080.277975
50	3735.367414
51	3012.032715
52	2763.473687
53	2588.923808
54	2748.113298
55	2580.545414
56	2517.707457
57	2616.851788
58	2255.184439
59	2157.436507
60	1954.958647
61	1942.391055
62	1887.931493
63	1783.201566
64	1744.102393
65	1544.417331
66	1401.984629
67	1334.957476
68	1259.551928
69	1198.110371
70	1149.515684
71	1038.083041
72	909.614330
73	857.947566
74	891.461143
75	936.145912
76	942.569347
77	953.740540
78	927.488238
79	833.929503
80	778.073541
81	648.766991
82	651.978709
83	645.974193
84	632.568762
85	563.726290
86	612.600256
87	665.104860
88	630.613803
89	658.960704
90	602.127263
91	628.798485
92	470.307194
93	454.388245
94	417.104391
95	414.311593
96	489.437861
97	477.009910
98	468.491876
99	399.230484
100	392.667408
101	321.032138
102	258.473461
103	289.194240
104	340.023165
105	359.293471
106	371.581783
107	397.415165
108	341.573168
109	294.514520
110	296.050559
111	252.887865
112	235.013957
113	196.194064
114	288.482076
115	318.923575
116	432.171537
117	505.636090
118	525.604596
119	598.636266
120	586.347954
121	646.393113
122	509.127088
123	512.199165
124	561.212771
125	531.190192
126	487.622542
127	427.158464
128	424.644946
129	420.455749
130	389.036771
131	386.942172
132	417.523311
133	413.473754
134	440.982815
135	408.307077
136	388.198931
137	370.185384
138	355.662834
139	364.320508
140	309.162746
141	306.230308
142	292.824877
143	314.887982
144	353.009676
145	389.316050
146	417.802591
147	425.762065
148	478.127029
149	471.145034
150	471.005394
151	472.681073
152	532.865871
153	590.537151
154	557.023574
155	565.820888
156	571.825404
157	610.645297
158	651.699429
159	686.330125
160	722.496860
161	684.235526
162	733.109493
163	713.001346
164	761.875313
165	773.046505
166	864.789921
167	946.758545
168	862.974603
169	947.317104
170	905.425133
171	969.659489
172	1014.344258
173	1147.840005
174	1199.786049
175	1082.348891
176	1192.664414
177	1209.421203
178	1235.952784
179	1248.520376
180	1421.394576
181	1473.619900
182	1297.115062
183	1332.025038
184	1311.079052
185	1284.547471
186	1255.223091
187	1376.290887
188	1388.858479
189	1196.295052
190	1203.277047
191	1168.367071
192	1141.835490
193	1120.889504
194	1242.934780
195	1293.763704
196	1155.520200
197	1270.024921
198	1258.853729
199	1265.835724
200	1311.916892
