time	cases
1	0.000000
2	0.000000
3	0.000000
4	0.000000
5	0.000000
6	0.000000
7	3.999287
8	6.165102
9	13.496197
10	20.328777
11	29.660912
12	41.160258
13	49.488382
14	57.322180
15	70.099231
16	62.433001
17	102.984429
18	116.124544
19	136.120978
20	172.315641
21	201.360741
22	259.171661
23	276.766288
24	340.162805
25	416.964751
26	466.816197
27	508.847808
28	587.046154
29	661.334582
30	743.722125
31	834.488062
32	933.772034
33	1028.308248
34	1040.317280
35	1038.920881
36	1038.920881
37	1023.560491
38	999.821708
39	964.911732
40	1020.767693
41	1041.713679
42	1000.519907
43	980.970321
44	1013.087499
45	1087.096647
46	1103.853436
47	1137.367013
48	1167.389592
49	1150.632803
50	1069.362380
51	1021.884813
52	1007.920822
53	1003.731625
54	1021.884813
55	1001.637027
56	1000.519907
57	942.290068
58	883.641308
59	826.947508
60	757.406836
61	741.767167
62	686.888684
63	596.402027
64	512.757725
65	463.744119
66	434.000820
67	398.811564
68	388.059291
69	392.667408
70	381.356576
71	334.437568
72	330.806931
73	309.860945
74	302.180751
75	309.721306
76	283.469004
77	277.464488
78	239.482434
79	231.243680
80	216.441850
81	207.365256
82	201.360741
83	192.982346
84	173.153480
85	161.144448
86	169.941762
87	169.522843
88	178.180517
89	182.509354
90	199.545422
91	188.793149
92	178.320157
93	177.342677
94	177.203037
95	170.639962
96	166.450765
97	161.563368
98	147.040818
99	131.261509
100	136.707465
101	149.693976
102	149.275057
103	171.757081
104	182.090434
105	194.937305
106	191.027388
107	183.347193
108	187.955310
109	178.040877
110	174.410239
111	174.549879
112	167.009324
113	159.189490
114	143.270541
115	131.261509
116	120.048425
117	107.760113
118	95.276306
119	86.395208
120	80.935288
121	81.354208
122	83.909618
123	80.195196
124	81.521776
125	83.853762
126	78.519518
127	70.560043
128	68.339769
129	69.331212
130	67.669497
131	66.831658
132	64.499671
133	60.338402
134	56.009565
135	52.518568
136	49.013606
137	50.354149
138	61.246062
139	66.901478
140	67.236613
141	76.383027
142	86.283496
143	91.073145
144	95.401982
145	107.871825
146	130.004750
147	139.360624
148	150.531816
149	159.748049
150	171.338161
151	171.477801
152	189.351709
153	186.139991
154	195.216585
155	209.040935
156	235.293237
157	267.689695
158	290.450999
159	330.667291
160	356.500673
161	397.275525
162	416.685472
163	478.964868
164	515.829803
165	551.298338
166	595.424548
167	629.636324
168	606.595740
169	708.113950
170	714.118466
171	734.366252
172	754.195118
173	734.366252
174	764.249191
175	640.248957
176	635.221920
177	619.163331
178	594.447068
179	597.100227
180	598.217346
181	610.645297
182	577.550640
183	589.838952
184	588.023633
185	584.392995
186	593.190309
187	576.014601
188	591.654270
189	570.149725
190	612.181336
191	632.708402
192	673.622894
193	704.064393
194	769.695147
195	815.776315
196	854.875488
197	953.880180
198	972.731567
199	1076.623655
200	1142.254409
201	1195.317573
202	1233.020346
203	1265.137524
204	1401.984629
205	1481.579374
206	1605.858888
207	1731.534801
208	1837.661128
209	1968.922637
210	2069.463367
211	2174.193295
212	2259.373636
213	2415.770328
214	2549.824635
215	2678.293346
216	2777.437677
217	2884.960403
218	3013.429114
219	3086.041864
220	3273.159334
221	3437.934420
222	3618.069895
223	3868.025322
224	4069.106783
225	4362.350580
226	4693.297151
227	5024.243722
228	5443.163432
229	5740.596426
230	6120.416963
231	6521.183486
232	6768.346115
233	7075.553902
234	7321.320132
235	7614.563929
236	7844.969769
237	7938.528505
238	8079.564807
239	8235.738075
240	8451.048842
241	8763.856189
242	8838.368042
243	9208.176398
244	9569.997351
245	9824.169903
246	9631.201521
247	9679.866027
248	10094.694288
249	10028.365334
250	9752.702201
251	9417.761928
252	9354.923972
253	8915.253772
254	8219.246602
255	7792.884085
256	7459.563636
257	7023.887138
258	6511.408692
259	6018.479834
260	5764.335210
261	5497.622994
262	5405.460658
263	5450.145427
264	5577.217739
265	5602.352922
266	5418.028249
267	5253.253163
268	5183.433212
269	5190.415207
270	5309.109125
271	5408.253456
272	5549.289758
273	5434.785038
274	5320.280317
275	5087.081678
276	5038.207712
277	4891.585814
278	4972.576958
279	5070.324890
280	4927.892189
281	5011.676131
282	4989.333746
283	5233.703577
284	5397.082264
285	5783.884796
286	6271.228059
287	6461.138327
288	6610.553024
289	7072.621464
290	7456.198314
291	7833.840469
292	8303.072436
293	8681.021799
294	8693.589390
295	9100.430248
296	9749.085527
297	10223.414351
298	10614.406080
299	11373.404811
300	12123.159380
301	11892.823359
302	11493.159992
303	11420.994090
304	11297.999263
305	10764.169876
306	10411.509301
307	10006.134661
308	9525.773394
309	9182.775899
310	8890.272194
311	8618.100058
312	8539.929640
313	8539.929640
314	8376.550953
315	7872.716218
316	7447.540640
317	7699.046070
318	7637.059917
319	7624.492326
320	7631.474321
321	7458.320841
322	7081.293102
323	6490.462707
324	6208.390102
325	5991.948252
326	5769.920806
327	5799.245185
328	5768.524407
329	5461.316619
330	5300.730731
331	5260.235159
332	5339.829903
333	5309.109125
334	5334.244307
335	5281.181144
336	5007.486934
337	4837.126251
338	4659.783574
