time	cases
1	0.000000
2	0.000000
3	0.000000
4	0.000000
5	0.000000
6	0.000000
7	3.999287
8	6.165102
9	13.496197
10	20.328777
11	29.660912
12	41.160258
13	49.488382
14	57.322180
15	70.099231
16	62.433001
17	102.984429
18	116.124544
19	136.120978
20	172.315641
21	201.360741
22	259.171661
23	276.766288
24	340.162805
25	416.964751
26	466.816197
27	508.847808
28	587.046154
29	661.334582
30	743.722125
31	834.488062
32	933.772034
33	1028.308248
34	1040.317280
35	1038.920881
36	1038.920881
37	1023.560491
38	999.821708
39	964.911732
40	1020.767693
41	1041.713679
42	1000.519907
43	980.970321
44	1013.087499
45	1087.096647
46	1103.853436
47	1137.367013
48	1167.389592
49	1150.632803
50	1069.362380
51	1021.884813
52	1007.920822
53	1003.731625
54	1021.884813
55	1001.637027
56	1000.519907
57	942.290068
58	883.641308
59	826.947508
60	757.406836
61	741.767167
62	686.888684
63	596.402027
64	512.757725
65	463.744119
66	434.000820
67	398.811564
68	388.059291
69	392.667408
70	381.356576
71	334.437568
72	330.806931
73	309.860945
74	302.180751
75	309.721306
76	283.469004
77	277.464488
78	239.482434
79	231.243680
80	216.441850
81	207.365256
82	201.360741
83	192.982346
84	173.153480
85	161.144448
86	169.941762
87	169.522843
88	178.180517
89	182.509354
90	199.545422
91	188.793149
92	178.320157
93	177.342677
94	177.203037
95	170.639962
96	166.450765
97	161.563368
98	147.040818
99	131.261509
100	136.707465
101	149.693976
102	149.275057
103	171.757081
104	182.090434
105	194.937305
106	191.027388
107	183.347193
108	187.955310
109	178.040877
110	174.410239
111	174.549879
112	167.009324
113	159.189490
114	143.270541
115	131.261509
116	120.048425
117	107.760113
118	95.276306
119	86.395208
120	80.935288
121	81.354208
122	83.909618
123	80.195196
124	81.521776
125	83.853762
126	78.519518
127	70.560043
128	68.339769
129	69.331212
130	67.669497
131	66.831658
132	64.499671
133	60.338402
134	56.009565
135	52.518568
136	49.013606
137	50.354149
138	61.246062
139	66.901478
140	67.236613
141	76.383027
142	86.283496
143	91.073145
144	95.401982
145	107.871825
146	130.004750
147	139.360624
148	150.531816
149	159.748049
150	171.338161
151	171.477801
152	189.351709
153	186.139991
154	195.216585
155	209.040935
156	235.293237
157	267.689695
158	290.450999
159	330.667291
160	356.500673
161	397.275525
162	416.685472
163	478.964868
164	515.829803
165	551.298338
166	595.424548
167	629.636324
168	606.595740
169	708.113950
170	714.118466
171	734.366252
172	754.195118
173	734.366252
174	764.249191
175	640.248957
176	635.221920
177	619.163331
178	594.447068
179	597.100227
180	598.217346
181	610.645297
182	577.550640
183	589.838952
184	588.023633
185	584.392995
186	593.190309
187	576.014601
188	591.654270
189	570.149725
190	612.181336
191	632.708402
192	673.622894
193	704.064393
194	769.695147
195	815.776315
196	854.875488
197	953.880180
198	972.731567
199	1076.623655
200	1142.254409
