time	cases
1	0.000000
2	0.000000
3	0.000000
4	0.000000
5	0.000000
6	0.000000
7	4.168934
8	5.168250
9	9.170933
10	13.506118
11	15.502942
12	21.332583
13	25.163594
14	28.831967
15	57.356730
16	85.167696
17	99.018967
18	141.494390
19	152.291695
20	169.323427
21	155.499263
22	144.205011
23	141.313682
24	125.049959
25	137.428459
26	149.535898
27	175.377146
28	192.996180
29	218.837428
30	222.993713
31	242.510181
32	272.869130
33	271.694528
34	277.206123
35	263.743375
36	259.587090
37	249.106024
38	232.119469
39	225.885042
40	211.066983
41	207.091406
42	204.019370
43	203.838662
44	185.316088
45	169.052365
46	156.222095
47	149.174482
48	138.874124
49	115.020663
50	89.531795
51	88.176485
52	97.031178
53	88.049989
54	85.249015
55	79.240473
56	88.917388
57	75.237790
58	73.701771
59	77.352074
60	71.117647
61	70.114717
62	61.766006
63	67.946221
64	53.670286
65	51.519860
66	45.881770
67	47.381646
68	47.056372
69	41.373104
70	40.650272
71	40.821945
72	42.990441
73	41.824874
74	43.487388
75	41.987512
76	33.503269
77	29.500586
78	26.835143
79	23.501080
80	20.998273
81	19.995344
82	21.992168
83	19.489361
84	16.661281
85	15.324041
86	14.158474
87	14.989731
88	15.820988
89	16.155298
90	15.820988
91	16.155298
92	16.986555
93	15.324041
94	13.155545
95	12.658598
96	14.158474
97	12.661308
98	10.501847
99	9.001971
100	11.007830
101	13.673273
102	14.170220
103	15.170439
104	16.832953
105	17.664210
106	16.498643
107	14.998767
108	14.330147
109	14.827094
110	13.498890
111	11.667414
112	11.830051
113	10.998794
114	13.998548
115	14.667168
116	16.329681
117	18.495467
118	16.329681
119	15.164115
120	13.329928
121	13.329928
122	15.326752
123	19.998055
124	21.829530
125	22.326478
126	19.995344
127	20.167017
128	18.007556
129	11.673739
130	12.504996
131	11.838183
132	11.339429
133	9.505243
134	8.502313
135	7.999041
136	7.339457
137	8.006269
138	7.839114
139	7.502998
140	6.168469
141	8.505927
142	7.665635
143	6.832571
144	7.995427
145	7.828272
146	8.078553
147	6.244366
148	7.744243
149	8.080360
150	10.754839
151	11.420748
152	13.833200
153	13.833200
154	13.173616
155	15.170439
156	14.501820
157	19.335760
158	21.504256
159	22.669823
160	22.669823
161	30.693259
162	31.687154
163	33.521340
164	38.039041
165	49.694709
166	55.188233
167	50.661497
168	53.670286
169	57.040491
170	52.522790
171	49.992877
172	51.483719
173	54.474437
174	53.471507
175	51.393365
176	54.564791
177	51.772852
178	48.122549
179	51.646356
180	48.980912
181	43.857840
182	47.372611
183	48.718886
184	51.212657
185	44.535495
186	47.200938
187	48.032195
188	41.345998
189	54.628038
190	61.115457
191	81.978199
192	89.676362
193	103.364995
194	108.876590
195	101.106145
196	108.424820
197	98.214816
198	104.358889
199	105.985262
200	117.821638
201	115.111017
202	105.443137
203	108.786236
204	107.792342
205	105.172075
206	106.798448
207	115.020663
208	117.369868
209	103.536668
210	102.000649
211	109.138617
212	105.524456
213	106.156934
214	114.469504
215	121.616506
216	115.472433
217	105.804554
218	106.256324
219	103.455349
220	100.654375
221	109.509068
222	110.683670
223	111.496857
224	115.020663
225	126.134207
226	143.933949
227	156.131741
228	170.949800
229	168.148825
230	153.150058
231	142.488284
232	130.019430
233	121.977923
234	124.778897
235	134.266069
236	140.771558
237	136.253857
238	134.898547
239	136.434565
240	137.789875
241	160.288026
242	193.809366
243	215.313622
244	217.662826
245	261.665232
246	283.711612
247	305.848346
248	338.646854
249	385.540589
250	403.701746
251	382.197491
252	445.499515
253	481.200194
254	502.373754
255	527.838226
256	584.023065
257	601.371036
258	565.536633
259	561.536660
260	551.536278
261	547.036648
262	565.536633
263	612.166534
264	617.045651
265	631.154430
266	677.487970
267	698.154644
268	687.988010
269	685.154508
270	694.275746
271	637.623778
272	566.473604
273	511.469693
274	491.134618
275	471.134756
276	455.598383
277	473.488478
278	463.459182
279	440.780324
280	405.451904
281	387.076607
282	370.090052
283	362.952085
284	375.782355
285	374.155983
286	362.138899
287	352.019249
288	365.753059
289	359.066862
290	370.451468
291	394.395283
292	413.369626
293	383.372093
294	361.867837
295	387.889794
296	381.565012
297	389.606520
298	400.810418
299	429.994765
300	428.639455
301	414.092458
302	436.715297
303	446.563885
304	454.063268
305	444.395388
306	462.195130
307	453.882560
308	442.192558
309	470.501375
310	513.170155
311	553.146386
312	520.799649
313	534.443105
314	521.793543
315	494.478620
316	528.312585
317	566.646180
318	664.842022
319	701.679354
320	700.504752
321	704.819157
322	620.455611
323	607.955133
324	581.622358
325	543.249008
326	547.134230
327	495.112905
328	457.977404
329	403.100892
330	362.229253
331	358.434384
332	342.712785
333	353.193851
334	358.524738
335	341.267121
336	309.823923
337	284.524798
338	283.711612
339	285.247631
