time	cases
1	0.000000
2	0.000000
3	0.000000
4	0.000000
5	0.000000
6	0.000000
7	6.590495
8	8.918588
9	10.588930
10	15.090776
11	17.669853
12	32.728896
13	40.229568
14	49.230375
15	53.067257
16	66.871379
17	89.705157
18	126.920032
19	199.128428
20	224.270105
21	358.301351
22	450.617319
23	507.160849
24	507.882068
25	601.173123
26	767.702475
27	840.997026
28	879.041302
29	1015.834815
30	1141.499926
31	1136.999523
32	1086.165158
33	1058.832419
34	1100.332774
35	1005.658422
36	1007.491759
37	951.300183
38	992.800538
39	983.133326
40	921.619157
41	945.960282
42	862.888892
43	841.973556
44	747.524224
45	742.191534
46	740.893341
47	674.433056
48	667.942089
49	626.399904
50	572.452760
51	442.683915
52	380.803368
53	363.494124
54	328.587149
55	331.616266
56	342.146056
57	334.789628
58	287.910425
59	256.032568
60	236.271181
61	212.038239
62	192.276852
63	186.074373
64	183.477986
65	166.024499
66	151.888616
67	151.600129
68	135.156347
69	125.924750
70	123.472607
71	119.404935
72	100.278220
73	78.915728
74	70.160136
75	65.053909
76	57.668631
77	54.004841
78	55.836736
79	53.341320
80	47.831211
81	42.667286
82	43.835660
83	44.499181
84	40.489207
85	36.161896
86	34.171333
87	32.498106
88	30.002690
89	22.502017
90	23.006870
91	23.165538
92	21.333643
93	17.165000
94	13.659878
95	14.828252
96	17.165000
97	18.160282
98	19.314231
99	18.318950
100	16.324060
101	16.165391
102	14.160404
103	15.170110
104	15.674963
105	15.674963
106	16.341369
107	15.836516
108	16.341369
109	18.000171
110	17.841503
111	21.505293
112	24.175244
113	23.843484
114	23.843484
115	23.843484
116	22.833778
117	23.497299
118	20.993228
119	26.820674
120	25.984060
121	24.152165
122	29.316090
123	32.157690
124	40.489207
125	43.821236
126	51.148816
127	53.312472
128	56.312740
129	70.434199
130	80.098527
131	90.960077
132	96.787523
133	102.629393
134	100.133977
135	86.344279
136	88.507934
137	80.863018
138	82.016968
139	91.551476
140	94.724838
141	96.224972
142	86.401976
143	93.758405
144	100.105128
145	94.191136
146	101.504292
147	107.447132
148	102.946729
149	98.907905
150	98.763661
151	102.946729
152	110.303157
153	118.525048
154	129.675086
155	122.477326
156	121.034889
157	133.728334
158	144.690855
159	155.076402
160	166.760142
161	178.862188
162	167.798696
163	157.268906
164	150.777940
165	145.873654
166	142.700292
167	150.056721
168	164.437818
169	160.254751
170	161.264457
171	176.842776
172	188.959247
173	203.383617
174	220.115886
175	235.982693
176	226.174122
177	213.336432
178	226.174122
179	225.741391
180	234.684500
181	250.551307
182	275.216980
183	268.437526
184	250.262820
185	269.879963
186	278.967316
187	286.467988
188	303.056014
189	325.558031
190	319.067064
191	291.228030
192	292.814711
193	296.853535
194	301.757820
195	323.971350
196	370.850553
197	366.667485
198	345.752149
199	363.205637
200	363.205637
201	380.370637
202	383.832486
203	431.144419
204	433.163831
205	407.488453
206	425.663159
207	425.951646
208	429.846226
209	437.058411
210	485.524294
211	615.519602
212	577.439265
213	562.005189
214	545.849894
215	521.472709
216	493.777919
217	376.476057
218	459.271941
219	423.932234
220	427.249839
221	456.819798
222	485.235807
223	530.528329
224	529.085892
225	749.582581
226	797.759977
227	885.664973
228	988.970868
229	1126.313950
230	1290.174793
231	1371.174842
232	1932.481892
233	1993.815755
234	2268.982250
235	2456.649073
236	2681.334600
237	2965.467283
238	3015.550138
239	4230.882644
240	4261.716177
241	4758.882381
242	5117.382788
243	5599.916910
244	6151.275471
245	6148.442525
246	8553.775460
247	8612.608138
248	9172.606896
249	9631.273014
250	9886.331936
251	10120.650057
252	9041.150400
253	11703.984303
254	11288.985081
255	11403.485730
256	11556.985549
257	11437.501280
258	11110.469078
259	8898.552521
260	10762.385951
261	10080.218548
262	9770.551846
263	9356.384910
264	8979.416982
265	8633.252296
266	6818.334789
267	7961.502173
268	7343.168377
269	7208.167813
270	6919.501551
271	6647.583425
272	6395.529098
273	5068.279347
274	5933.445848
275	5621.279402
276	5599.445233
277	5526.610819
278	5427.415869
279	5340.377778
280	4447.044810
281	5203.878522
282	5024.879303
283	5071.045942
284	5094.879328
285	5099.666777
286	5142.422052
287	4496.171330
288	5497.338003
289	5410.005655
290	5515.172294
291	5625.005217
292	5706.416361
293	5764.559554
294	5023.559473
295	6100.892589
296	5965.059740
297	6062.393946
298	6049.394704
299	5920.168215
300	5816.790198
301	4862.623892
302	5817.789807
303	5592.789829
304	5588.622628
305	5658.622654
306	5696.625099
307	6117.936425
308	5291.519552
309	6260.185235
310	6120.851590
311	6208.518584
312	6111.894056
313	5625.707684
314	5974.853887
315	5099.104226
316	6010.437365
317	5776.438023
318	5845.937522
319	5739.811663
320	5086.582430
321	4821.208641
322	3753.959602
323	4171.125364
324	3844.958625
325	3682.625322
326	3558.458903
327	3417.749174
328	3269.791198
329	2574.542334
330	2883.209428
331	2759.709414
332	2801.876175
333	2770.043033
334	2733.749876
335	2701.499869
336	2277.667163
337	2621.000345
338	2480.499769
339	2483.332715
340	2407.166272
