time	cases
1	0.000000
2	0.000000
3	0.000000
4	0.000000
5	0.000000
6	0.000000
7	1.500281
8	1.166508
9	1.166508
10	1.832922
11	0.999056
12	0.999056
13	0.999056
14	1.165377
15	1.331697
16	0.831604
17	0.665283
18	0.665283
19	0.665283
20	0.498962
21	0.498962
22	0.666414
23	0.832735
24	0.832735
25	1.500281
26	1.834054
27	2.334147
28	2.500468
29	3.499524
30	5.502161
31	5.502161
32	10.667155
33	16.664884
34	25.329402
35	33.668067
36	39.834380
37	52.125142
38	55.790987
39	58.121740
40	73.509236
41	107.225954
42	167.735019
43	236.073603
44	306.901341
45	358.551281
46	407.881783
47	467.168899
48	526.342872
49	612.331819
50	709.974532
51	858.644896
52	987.288887
53	1116.724881
54	1380.348890
55	1610.029894
56	1884.968239
57	2197.243889
58	2536.673944
59	2778.800717
60	2869.315398
61	3192.905384
62	3496.129567
63	3803.879483
64	4083.343562
65	4439.745119
66	4636.614551
67	4524.602633
68	4654.717488
69	4739.575001
70	4779.175174
71	4766.729406
72	4815.381047
73	4808.592446
74	4512.156864
75	4298.315930
76	4161.412474
77	4193.092613
78	4356.019039
79	4585.700043
80	4785.963776
81	4729.392100
82	4816.512480
83	4762.203672
84	4789.358076
85	4818.775347
86	4859.506954
87	4842.535451
88	4610.591580
89	4599.277245
90	4469.162391
91	4516.682599
92	4513.288298
93	4675.083291
94	4634.351684
95	4346.967571
96	4122.943735
97	3828.771020
98	3640.953057
99	3480.289497
100	3450.872226
101	3312.837337
102	3136.333708
103	3120.493639
104	3046.950460
105	2968.881548
106	2896.469803
107	2957.567213
108	2915.704172
109	2621.531458
110	2485.759436
111	2445.027830
112	2459.736465
113	2465.393633
114	2460.867899
115	2407.690523
116	2204.032490
117	1964.168585
118	1788.796390
119	1664.338703
120	1613.424195
121	1613.424195
122	1571.561155
123	1481.046473
124	1445.972034
125	1390.531792
126	1326.040082
127	1280.782741
128	1281.914174
129	1235.525400
130	1114.462014
131	1051.101737
132	1019.421599
133	1011.501564
134	993.398628
135	1036.393101
136	1064.678939
137	1017.158731
138	995.661495
139	978.689992
140	977.558558
141	971.901391
142	987.741460
143	964.094500
144	896.095345
145	863.283773
146	844.049403
147	803.317797
148	755.797589
149	751.271855
150	752.969005
151	672.637226
152	628.850749
153	567.187622
154	461.149673
155	355.681966
156	333.619012
157	369.938028
158	353.192812
159	345.725351
160	432.528930
161	537.657207
162	561.191024
163	544.332665
164	595.812890
165	644.238244
166	636.431353
167	737.355223
168	719.931147
169	740.410093
170	716.649989
171	746.406691
172	777.973686
173	668.564065
174	653.063426
175	639.033650
176	654.873719
177	644.690818
178	651.479419
179	678.294393
180	718.347140
181	716.763133
182	720.157433
183	733.734636
184	752.969005
185	756.363306
186	766.546208
187	831.603635
188	810.558971
189	819.610439
190	833.187642
191	855.816312
192	859.210613
193	887.496450
194	910.803981
195	951.535588
196	963.981356
197	1004.712963
198	1120.119181
199	1107.673413
200	1157.456488
201	1086.176176
202	1098.621945
203	1045.444569
204	1001.318662
205	1004.712963
206	1040.918835
207	1095.227644
208	1072.598974
209	1134.827817
210	1126.907783
211	1207.239562
212	1201.582395
213	1212.896730
214	1341.880151
215	1376.954590
216	1407.503295
217	1402.977561
218	1483.309340
219	1627.001397
220	1639.447166
221	1901.939742
222	2172.352352
223	2333.015911
224	2483.496569
225	2643.028695
226	2929.281375
227	3015.270322
228	3079.762032
229	3104.653570
230	3177.065315
231	3355.831810
232	3333.203140
233	3471.238029
234	3652.267392
235	3863.845459
236	4074.292094
237	4229.298485
238	4692.054794
239	5077.873623
240	5486.513466
241	5845.177891
242	6065.807427
243	5918.721069
244	6080.651834
245	6159.150692
246	6167.647757
247	6325.211189
248	7522.301793
249	10674.339798
250	11582.168109
251	12822.162671
252	14029.492748
253	15788.826609
254	15955.995911
255	14657.653322
256	14704.155240
257	14613.154042
258	15125.987598
259	15492.820973
260	16344.156808
261	16424.499902
262	16975.168595
263	17472.331796
264	17735.672947
265	18004.671266
266	19289.832654
267	20223.163477
268	20951.999005
269	21958.499633
270	22119.661023
271	22042.157827
272	21411.666500
273	21987.826389
274	22407.656110
275	22638.491176
276	22992.154665
277	23385.655928
278	22726.154645
279	21953.487382
280	22308.157847
281	22265.830919
282	22499.664284
283	22785.996164
284	23054.824767
285	23274.662300
286	22482.161007
287	22288.154102
288	23987.329643
289	24376.825631
290	25426.162332
291	26022.835111
292	26183.498671
293	25693.497443
294	23381.492252
295	22651.491347
296	21551.160938
297	20708.491884
298	20250.498910
299	19484.665506
300	18101.171230
301	17322.009539
302	16869.175903
303	16019.175159
304	15556.509365
305	15006.349818
306	15187.017122
307	14393.022337
308	14173.015090
309	14194.682042
310	14276.507314
311	14845.674944
312	15669.675346
313	15882.509305
314	15240.681014
315	15521.174697
316	16301.841194
317	17336.005372
318	18033.002361
319	18660.834819
320	19992.667841
321	20315.171650
322	21020.846734
323	23312.180635
324	24479.842653
325	25931.166368
326	28548.998038
327	31040.335442
328	32978.831800
329	33621.327637
330	35386.001864
331	36311.672881
332	36095.670909
333	35925.005477
334	36679.841348
335	38994.505408
336	40842.996230
337	44713.992349
338	47825.660806
339	52052.323052
340	54335.148572
341	55276.489944
342	57084.498075
343	58172.337458
344	58060.506569
345	59783.668501
346	60607.171072
347	59957.671661
348	57488.996871
349	54670.991983
350	53816.827564
351	50585.498698
352	49883.331057
353	47616.990523
354	46349.490812
355	45009.828271
356	42641.828435
357	41006.499687
358	38021.834642
359	37837.343093
360	37001.010066
361	35751.172032
362	33882.835866
363	30745.336781
364	28644.004511
365	26725.670298
