time	cases
1	0.000000
2	0.000000
3	0.000000
4	0.000000
5	0.000000
6	0.000000
7	1.500281
8	1.166508
9	1.166508
10	1.832922
11	0.999056
12	0.999056
13	0.999056
14	1.165377
15	1.331697
16	0.831604
17	0.665283
18	0.665283
19	0.665283
20	0.498962
21	0.498962
22	0.666414
23	0.832735
24	0.832735
25	1.500281
26	1.834054
27	2.334147
28	2.500468
29	3.499524
30	5.502161
31	5.502161
32	10.667155
33	16.664884
34	25.329402
35	33.668067
36	39.834380
37	52.125142
38	55.790987
39	58.121740
40	73.509236
41	107.225954
42	167.735019
43	236.073603
44	306.901341
45	358.551281
46	407.881783
47	467.168899
48	526.342872
49	612.331819
50	709.974532
51	858.644896
52	987.288887
53	1116.724881
54	1380.348890
55	1610.029894
56	1884.968239
57	2197.243889
58	2536.673944
59	2778.800717
60	2869.315398
61	3192.905384
62	3496.129567
63	3803.879483
64	4083.343562
65	4439.745119
66	4636.614551
67	4524.602633
68	4654.717488
69	4739.575001
70	4779.175174
71	4766.729406
72	4815.381047
73	4808.592446
74	4512.156864
75	4298.315930
76	4161.412474
77	4193.092613
78	4356.019039
79	4585.700043
80	4785.963776
81	4729.392100
82	4816.512480
83	4762.203672
84	4789.358076
85	4818.775347
86	4859.506954
87	4842.535451
88	4610.591580
89	4599.277245
90	4469.162391
91	4516.682599
92	4513.288298
93	4675.083291
94	4634.351684
95	4346.967571
96	4122.943735
97	3828.771020
98	3640.953057
99	3480.289497
100	3450.872226
101	3312.837337
102	3136.333708
103	3120.493639
104	3046.950460
105	2968.881548
106	2896.469803
107	2957.567213
108	2915.704172
109	2621.531458
110	2485.759436
111	2445.027830
112	2459.736465
113	2465.393633
114	2460.867899
115	2407.690523
116	2204.032490
117	1964.168585
118	1788.796390
119	1664.338703
120	1613.424195
121	1613.424195
122	1571.561155
123	1481.046473
124	1445.972034
125	1390.531792
126	1326.040082
127	1280.782741
128	1281.914174
129	1235.525400
130	1114.462014
131	1051.101737
132	1019.421599
133	1011.501564
134	993.398628
135	1036.393101
136	1064.678939
137	1017.158731
138	995.661495
139	978.689992
140	977.558558
141	971.901391
142	987.741460
143	964.094500
144	896.095345
145	863.283773
146	844.049403
147	803.317797
148	755.797589
149	751.271855
150	752.969005
151	672.637226
152	628.850749
153	567.187622
154	461.149673
155	355.681966
156	333.619012
157	369.938028
158	353.192812
159	345.725351
160	432.528930
161	537.657207
162	561.191024
163	544.332665
164	595.812890
165	644.238244
166	636.431353
167	737.355223
168	719.931147
169	740.410093
170	716.649989
171	746.406691
172	777.973686
173	668.564065
174	653.063426
175	639.033650
176	654.873719
177	644.690818
178	651.479419
179	678.294393
180	718.347140
181	716.763133
182	720.157433
183	733.734636
184	752.969005
185	756.363306
186	766.546208
187	831.603635
188	810.558971
189	819.610439
190	833.187642
191	855.816312
192	859.210613
193	887.496450
194	910.803981
195	951.535588
196	963.981356
197	1004.712963
198	1120.119181
199	1107.673413
200	1157.456488
201	1086.176176
202	1098.621945
203	1045.444569
204	1001.318662
205	1004.712963
206	1040.918835
207	1095.227644
208	1072.598974
209	1134.827817
210	1126.907783
211	1207.239562
212	1201.582395
213	1212.896730
214	1341.880151
215	1376.954590
216	1407.503295
217	1402.977561
218	1483.309340
219	1627.001397
220	1639.447166
221	1901.939742
222	2172.352352
223	2333.015911
224	2483.496569
225	2643.028695
226	2929.281375
227	3015.270322
228	3079.762032
229	3104.653570
230	3177.065315
231	3355.831810
232	3333.203140
233	3471.238029
234	3652.267392
235	3863.845459
236	4074.292094
237	4229.298485
238	4692.054794
239	5077.873623
240	5486.513466
241	5845.177891
242	6065.807427
243	5918.721069
244	6080.651834
245	6159.150692
246	6167.647757
247	6325.211189
248	7522.301793
249	10674.339798
250	11582.168109
