country	model	n_ok	peak2_mag	peak2_day	data_peak2_mag	data_peak2_day	area_pred	aicc_inc	r0_med	aicc_inc_osi	reff_med
austria	sir	100	0.008958285395901157	217	0.0008366273333690117	266	0.1587020104089676	-2373.093422549905	3.740796248369821		
austria	sirx	100	0.0006391241671022861	257	0.0008366273333690117	266	0.015709415536871503	-3144.5929859580733	1.3297218302508753	-4132.824202753375	1.3184086227815017
belarus	sir	100	0.0019528044606860631	279	0.0002047061666745861	293	0.06599801938414732	-1994.5334745712626	1.711879713604649		
belarus	sirx	100	0.0007580057042984088	293	0.0002047061666745861	293	0.029876719278763925	-2182.0238242175865	1.4046422785940587	-2860.9373251857146	1.4046422286418192
belgium	sir	100	0.004267678920999711	257	0.0015559608333247767	272	0.0913069068721178	-2575.2829670086267	3.3023808790699936		
belgium	sirx	100	0.0006997261707689841	304	0.0015559608333247767	272	0.04273062409315516	-2869.183760438267	1.4278697088875516	-3896.1005412426075	1.3133821625116704
denmark	sir	100	0.00019758902400699997	270	0.0006289778333007033	298	0.01557761898314467	-2321.64779739445	1.4007733515900411		
denmark	sirx	100	0.0006522271196123569	276	0.0006289778333007033	298	0.016680912352926302	-2299.568787367725	1.6421543491150705	-3242.8889231232906	1.548203144465543
finland	sir	100	0.007585748953450386	253	8.810083328520481e-05	293	0.20477675473178625	-2311.4938839363035	1.9611943811708705		
finland	sirx	100	0.0008319656480289702	309	8.810083328520481e-05	293	0.05488364401238151	-2785.3078774816768	1.4842227877662393	-3674.220672616004	1.4614301552740527
france	sir	100	0.009156942177082657	250	0.0011448329999952914	259	0.30345119397115233	-2280.9527425467386	1.5319738495633524		
france	sirx	100	0.004127480096151549	245	0.0011448329999952914	259	0.20475079581395716	-2441.8708114181654	2.0326211559464875	-3586.574578040725	1.8968361239862779
germany	sir	100	0.012092631000042178	220	0.0003137203333306996	300	0.17241424564378763	-2306.7028178903656	2.4177777007887986		
germany	sirx	100	0.0015679969730238916	280	0.0003137203333306996	300	0.05891336857596964	-2755.078567405699	2.3115433443682405	-3901.010080408403	2.287986719988757
ireland	sir	100	0.008648415488113731	225	0.00023910850004435187	307	0.17191431499383392	-2280.447304581049	2.843256487063749		
ireland	sirx	100	0.0010420607179834136	307	0.00023910850004435187	307	0.05664131724206127	-2690.82885720477	2.012848026078143	-3509.602573431528	1.9794759951853278
netherlands	sir	100	0.008283014330163603	255	0.0001446955000040461	300	0.26620652284962065	-2245.01836013281	2.1894806491966965		
netherlands	sirx	100	8.124503734798076e-05	291	0.0001446955000040461	300	0.004182285618249095	-3462.736457279867	1.8265538404263308	-4764.751995357948	1.508766733322573
norway	sir	100	0.011049247085568637	227	0.00012878133327774949	267	0.19730730270343272	-2267.5165760782197	3.174403494491952		
norway	sirx	100	0.0010222573828306313	287	0.00012878133327774949	267	0.054972459862774964	-2771.4014992766865	1.2851436696908163	-3864.7847579478075	1.2570601547429523
portugal	sir	100	0.0020213021848602057	279	0.0006320503332987144	266	0.08544323966740916	-2544.122586133861	1.4483912594624888		
portugal	sirx	100	0.0006738465282406787	289	0.0006320503332987144	266	0.031335642162387475	-2767.9043121323984	1.875339378997755	-3830.917551654961	1.805540394132053
uk	sir	100	0.0013831679663787492	283	0.0006016408333375192	336	0.05788774466413903	-2240.535578859061	1.6426688509230631		
uk	sirx	100	0.0007236365893302673	298	0.0006016408333375192	336	0.03221092317455242	-2363.317070518201	1.5447277333634404	-3396.0599395659265	1.5327387823140368
switzerland	sir	100	0.02911684965181695	217	0.0013523391666325807	253	0.363851612034085	-2091.8374679025565	2.9837852699967806		
switzerland	sirx	100	0.004819831792319654	259	0.0013523391666325807	253	0.2442941049729845	-2391.0166108375374	2.1320440970903274	-3485.5564721133214	2.067487734760632
