country	model	peak1_day	peak1_mag	peak1_day_lo	peak1_day_hi	peak1_mag_lo	peak1_mag_hi	peak2_day	peak2_mag	peak2_day_lo	peak2_day_hi	peak2_mag_lo	peak2_mag_hi	data_peak1_day	data_peak1_mag	data_peak2_day	data_peak2_mag	area_pred	aicc_inc	r2adj_train	r0_med	r0_lo	r0_hi	aicc_inc_osi	osi_rms_train	x_rebound	reff_med	reff_lo	reff_hi
austria	sir	36	6.765063984313533e-05	35.0	200.0	6.288869867530668e-05	7.912115775804909e-05	213	0.023050066047814503	210.475	215.0	0.011932199263597317	0.1352763789233952	33	8.9628999962027e-05	266	0.0008366273333690117	0.21459391828797225	-2196.8999180389997	0.5202668058339686	3.925823685575659	0.012008374292118124	4.266343102315961						
austria	sirx	35	6.380963655132853e-05	35.0	35.0	6.373661360650231e-05	6.386158672768096e-05	265	0.005990011876905457	265.0	266.0	0.0059787084197890404	0.00600342988484094	33	8.9628999962027e-05	266	0.0008366273333690117	0.20622688541895767	-2370.4960981504396	0.7945781179479247	1.4854386580302799	1.4850182324368342	1.4854561599845104	-3223.6869651740462	0.19455434075318098	0.0	1.3250315470182874	0.8828731262162972	1.3250472906588113
austria	sirx_s2	200	7.081301043264853e-05	35.0	200.0	6.330230347509817e-05	9.350778220590114e-05	217	0.062390047573588146	217.0	219.0	0.06182833629017553	0.06695671442319223	33	8.9628999962027e-05	266	0.0008366273333690117	0.6628767979129204	-1870.7823313683139	0.5256692706017219	3.460156530512876	0.004079512510167065	3.499118280681393	-2819.0724474839917	0.357093314056643	0.9999771258915319	3.460139206932569	0.0037987004438874085	3.4991181687100243
belarus	sir	85	0.00012324575950080588	85.0	86.0	0.00011111935304544401	0.00013421357130471027	278	0.01837381386834319	277.0	279.0	0.01731478579179812	0.019776954900927027	81	0.00010131233338092051	293	0.0002047061666745861	0.46969534426407844	-1538.3460278152588	0.9316347434380707	1.6999978905984456	1.1441777642568107	1.734708799705051						
belarus	sirx	84	0.00011016510624598587	84.0	84.0	0.00010935162060140894	0.00011075452710977285	280	0.019192474639569815	280.0	280.0	0.01918016013763235	0.019202928689488665	81	0.00010131233338092051	293	0.0002047061666745861	0.5247634108771753	-1510.3849880610487	0.9635361069172703	1.7836671100707422	0.8292656753934996	1.7843735280610933	-2189.2984890285234	0.2874828018992375	2.104881481357422e-10	1.783667107567859	0.8292656753317391	1.7843735255568687
belarus	sirx_s2	82	0.00013125975059236541	82.0	82.0	0.00013028243798007203	0.000132147487495912	308	0.005891516246336079	308.0	308.0	0.005776744553396959	0.006005456578487533	81	0.00010131233338092051	293	0.0002047061666745861	0.2498634777693515	-1699.218512474843	0.6734993112723107	2.230021069748234	0.9864341209719444	2.2314159624646317	-2281.3308919045894	0.3512679631156996	0.16450640257834992	1.878547965890939	0.70849871838408	1.8796783674883126
belgium	sir	72	0.0001292731150619897	70.0	73.0	0.00011198966113063833	0.0001430738289419539	255	0.01838610816889596	246.0	259.0	0.005500944662375767	0.04486113215657502	78	0.00012747583333815087	272	0.0015559608333247767	0.366853263181349	-2146.817834740942	0.6699189571867483	4.05653604925617	0.3999856696429421	4.671463362668127						
belgium	sirx	75	0.0001227684319833528	74.0	76.0	0.0001171835471731106	0.0001287284330029217	265	0.01267602688952117	263.0	266.0	0.01238477757391385	0.013015768947511365	78	0.00012747583333815087	272	0.0015559608333247767	0.4135342702664809	-2176.1718214261696	0.7182493313002094	1.9996673084615582	0.808458389780952	2.0049606329870913	-3086.8157709128322	0.47858292156414645	0.9999999977039087	1.931822556110108	0.657177573542723	1.9386644446991494
belgium	sirx_s2	66	0.0001415089178126166	66.0	66.0	0.00014032537036817716	0.00014282176363337074	271	0.0001468907695836124	271.0	271.0	0.00014516867270337842	0.00014967389884981374	78	0.00012747583333815087	272	0.0015559608333247767	0.04092528349108321	-2845.443708467346	0.8788291206118318	1.773031970812812	1.3317515952838992	1.7738099972876389	-3757.590490257163	0.3970719070755976	4.603904558186933e-05	1.400285430160465	0.8956600915670984	1.400934492736104
denmark	sir	230	0.00010307926668176796	230.0	230.0	9.649939574803959e-05	0.00010923521602676883	267	0.00018895225487980773	263.0	270.0	0.00015238052453389974	0.00022539961162644723	209	9.617600007734538e-05	298	0.0006289778333007033	0.016709990627528842	-2309.2303180944373	0.6805338947233854	1.404943074480841	1.244272654978811	1.4236352054730663						
