country	camdl_sirx_r0	paper_sirx_r0	camdl_sir_r0	paper_sir_r0	camdl_reff	paper_reff
austria	3.460156530512876	1.333	3.925823685575659	2.905	3.460139206932569	1.321
belarus	2.230021069748234	1.409	1.6999978905984456	1.631	1.878547965890939	1.405
belgium	1.773031970812812	1.43	4.05653604925617	2.159	1.400285430160465	1.313
denmark	1.562763376483317	1.638	1.404943074480841	1.536	1.369044394448317	1.553
finland	2.130461265115596	1.492	2.74803361201538	1.611	2.126722112345384	1.461
france	1.588769427501215	2.02	1.7376499262395328	1.515	1.3557113956972549	1.908
germany	1.964642839625772	2.331	2.9353472191758163	2.264	1.5968558556287828	2.306
ireland	1.4215510640461941	2.027	4.001634801710303	3.584	1.4215079292016748	1.991
netherlands	1.7801102183575914	1.823	2.4574899696684653	2.424	1.7434844456001135	1.512
norway	1.620804324372079	1.288	3.6565096634382304	2.481	1.6208043243292867	1.26
portugal	2.0702152037645885	1.882	1.5128377336460515	1.418	1.779123138058047	1.809
uk	2.1338426192002884	1.548	1.591380543903726	1.534	2.1338426170441167	1.537
switzerland	1.949255469307704	2.148	3.5442248081961454	2.759	1.5990623215640738	2.067
