time	data	mean	q025	med	q975
1	0.0	2.2217192543419097e-07	8.11138239380838e-08	2.0181130126789157e-07	4.778295078797102e-07
2	0.0	3.0716080587328786e-07	1.19804435437925e-07	2.809724090636012e-07	6.352711423798885e-07
3	0.0	4.208607301968165e-07	1.7486675698526112e-07	3.8726838722328664e-07	8.373247998488525e-07
4	0.0	5.71436623571534e-07	2.522539303146236e-07	5.28422078253667e-07	1.0941391479543468e-06
5	0.0	7.68821187409483e-07	3.595763613450565e-07	7.138069477838686e-07	1.4174057511487665e-06
6	0.0	1.0249069829980899e-06	5.065645749326845e-07	9.545875969744623e-07	1.820372306856604e-06
7	2.589999908953613e-07	1.3536754278586332e-06	7.052425138285121e-07	1.2644125215234699e-06	2.317780936246617e-06
8	2.960000213181785e-07	1.7712962118002088e-06	9.717636060724193e-07	1.6565509757678765e-06	2.925718951599406e-06
9	3.515000114363145e-07	2.2960942353068575e-06	1.3257250804020361e-06	2.1508791884318774e-06	3.6638846201850177e-06
10	4.809999513679053e-07	2.9484120651583232e-06	1.786029552207899e-06	2.7907918791462312e-06	4.553941817146763e-06
11	7.026667042695648e-07	3.750297546426801e-06	2.3720191283278825e-06	3.5814801998774433e-06	5.599684689842565e-06
12	8.499999666903461e-07	4.725025166348813e-06	3.111795003323238e-06	4.52879408697664e-06	6.82625150628095e-06
13	1.2008333409205321e-06	5.896392884856248e-06	4.021598649661091e-06	5.7085246294212066e-06	8.249880073509147e-06
14	1.5901666792873244e-06	7.28783048457694e-06	5.14554970497043e-06	7.113071133369722e-06	9.888312877396459e-06
15	2.0346666891691884e-06	8.92127443758301e-06	6.5114296107546255e-06	8.757001719620283e-06	1.1815455899531535e-05
16	2.8299999622490587e-06	1.0815879139924258e-05	8.12999769238919e-06	1.0624589312494442e-05	1.4026219657279186e-05
17	3.7933333614614855e-06	1.2986574924766185e-05	1.0032731340108414e-05	1.2739069525153316e-05	1.6502315069363193e-05
18	4.571666719592006e-06	1.5442546431957525e-05	1.2162093497360846e-05	1.5200320043029212e-05	1.9229882627671293e-05
19	7.861666672958491e-06	1.818572241726558e-05	1.4571981377937553e-05	1.7962544690431216e-05	2.2212921395876263e-05
20	1.0198333340365372e-05	2.120936277129023e-05	1.7225755757190887e-05	2.1144456065360478e-05	2.54397591975314e-05
21	1.3498333295952498e-05	2.4496861689953512e-05	2.022232624741962e-05	2.4555718609792844e-05	2.878049879178136e-05
22	1.547166669738557e-05	2.802088069896898e-05	2.351923539817791e-05	2.8187695685857195e-05	3.229217711253951e-05
23	2.0103333319269257e-05	3.174291313382191e-05	2.7161898257398228e-05	3.190707637252466e-05	3.6102694474869824e-05
24	2.4883333381447278e-05	3.561337122126964e-05	3.091126304222882e-05	3.5767977470941805e-05	4.008411246756846e-05
25	2.7933333281518318e-05	3.9572274834055396e-05	3.4726342152769746e-05	3.94875692437905e-05	4.409174831119838e-05
26	3.206666671848168e-05	4.355054611111206e-05	3.853448530116229e-05	4.342708604441464e-05	4.828322890124004e-05
27	3.615000003330965e-05	4.747189255576049e-05	4.228498814958438e-05	4.709559546868174e-05	5.243232638132674e-05
28	4.744999998889678e-05	5.125527329665951e-05	4.608377815242257e-05	5.081288365744553e-05	5.633997128793231e-05
29	5.8133333325931195e-05	5.481772722420934e-05	4.954186979965521e-05	5.435783429498069e-05	6.0329158669853364e-05
30	6.728333335924083e-05	5.8077579786119566e-05	5.265646351019823e-05	5.787045514240285e-05	6.420254626024465e-05
31	6.615000003330965e-05	6.095765676387907e-05	5.541079341081822e-05	6.078112513148768e-05	6.742372663512182e-05
32	8.366233337678393e-05	6.338855997408809e-05	5.760874069897291e-05	6.301375799682701e-05	7.005275114993557e-05
33	8.9628999962027e-05	6.531144600571517e-05	5.955763977905665e-05	6.506971448699627e-05	7.20463671022378e-05
34	8.677899999533665e-05	6.66805738489913e-05	6.1010082586814896e-05	6.64616426148119e-05	7.374829378754156e-05
35	7.984566671381833e-05	6.746522358137322e-05	6.204336949364675e-05	6.730376121248705e-05	7.472649316722886e-05
36	8.02456666916119e-05	6.765063984313533e-05	6.249861217333305e-05	6.746417378650624e-05	7.483934230614338e-05
37	8.499566663609581e-05	6.723864377678299e-05	6.182618899357063e-05	6.697904242978853e-05	7.430410388185892e-05
38	7.038333338144728e-05	6.624708303322358e-05	6.052536472913815e-05	6.60989809287058e-05	7.308923976508705e-05
39	6.426666665186239e-05	6.470872922613982e-05	5.879133140632092e-05	6.464146279634046e-05	7.149982447044771e-05
40	6.021666664075916e-05	6.266963119895152e-05	5.694285536608486e-05	6.274321710840648e-05	6.922111766637963e-05
41	5.5399999977793566e-05	6.0186699576312735e-05	5.451775656099134e-05	6.0220216546363966e-05	6.644905562166586e-05
