time	data	mean	q025	med	q975	x_mean	x_q025	x_med	x_q975	osi
1	0.0	1.5308101720079082e-06	1.5307934778313194e-06	1.5308093745437064e-06	1.5308283823408305e-06	0.13486937545940308	0.13486050208139277	0.13486909064480707	0.1348782766765349	0.0
2	0.0	1.797806096740891e-06	1.797762731924238e-06	1.7978062453802124e-06	1.7978502987682279e-06	0.13549498590790687	0.13547718736332487	0.13549416052345456	0.13551259244367922	0.0
3	0.0	2.110309386604613e-06	2.1102136561990618e-06	2.110310224679435e-06	2.110400273970578e-06	0.13626940246761682	0.13624250092439655	0.1362682302427933	0.136295789377744	0.0
4	0.0	2.475636253166803e-06	2.4754609065678e-06	2.4756399649402593e-06	2.475804568466325e-06	0.13720871230341455	0.13717262050236503	0.137207088260004	0.1372439749131423	0.0
5	0.0	2.9021221230060525e-06	2.9018274966450614e-06	2.9021277621435766e-06	2.90240635528222e-06	0.13833084624719785	0.13828546319407742	0.13832872475810165	0.13837509517007252	0.0
6	0.0	3.3992091795803048e-06	3.398743733252874e-06	3.399224180762268e-06	3.3996638042776547e-06	0.13965577901279283	0.13960099079474758	0.13965319085601877	0.13970913970281232	0.0
7	2.589999908953613e-07	3.977522452203381e-06	3.9768231819323375e-06	3.97754720902481e-06	3.978224400155748e-06	0.141205742561134	0.1411414238899922	0.14120268149246307	0.14126835421433254	0.11109999999999999
8	2.960000213181785e-07	4.648923284857475e-06	4.647904931615095e-06	4.648963026176673e-06	4.649941190737596e-06	0.1430054489474971	0.14293146566644777	0.14300188731714802	0.14307746252986536	0.11109999999999999
9	3.515000114363145e-07	5.426527797681104e-06	5.42504568132435e-06	5.4266039770199326e-06	5.427970206409117e-06	0.14508231645690825	0.14499852931621768	0.14507823745862922	0.1451638915679849	0.11109999999999999
10	4.809999513679053e-07	6.324674665142841e-06	6.322564843604948e-06	6.324777877720268e-06	6.326681271908024e-06	0.14746668963104878	0.14737295970597766	0.14746207467707	0.14755798984559518	0.11109999999999999
11	7.026667042695648e-07	7.358821025016494e-06	7.355882345204891e-06	7.358977350772084e-06	7.361642527670742e-06	0.15019203897573954	0.1500881161971729	0.15018686778846654	0.1502932252271662	0.11109999999999999
