time	data	mean	q025	med	q975	x_mean	x_q025	x_med	x_q975	osi
1	0.0	9.497081596044329e-08	8.87283710583912e-08	9.082312732121308e-08	1.2344841833578931e-07	0.01755974771557629	0.017091300389230894	0.01760127483046342	0.01794345725179009	0.0
2	0.0	1.3644557963261123e-07	1.275938786453744e-07	1.3045920947089432e-07	1.7714261482429413e-07	0.01545688227075483	0.014630905592450064	0.015528377513589648	0.016161642492292457	0.0
3	0.0	1.9404690372667572e-07	1.8160099953057642e-07	1.855413896098315e-07	2.5166832200232974e-07	0.01360863532967653	0.012520497073498942	0.01371277343900004	0.01455825574193648	0.0
4	0.0	2.7315795554091544e-07	2.557964426114505e-07	2.6108062209246136e-07	3.5398267308855783e-07	0.01198541425831396	0.010714762114779782	0.012104604441652605	0.01311672916450837	0.0
5	0.0	3.8059759629007847e-07	3.565779840921197e-07	3.634880723607516e-07	4.929252152726806e-07	0.010561045523311587	0.00917126595465032	0.010677770957535922	0.011821565817266146	0.0
6	0.0	5.248691950844947e-07	4.919112982910986e-07	5.011272355725923e-07	6.801030030739046e-07	0.009312429997215658	0.007861016732495441	0.009431823253283034	0.010659496072492955	0.0
7	2.589999908953613e-07	7.164076384058706e-07	6.716113905414732e-07	6.839279551748759e-07	9.291915853813192e-07	0.008219220820421124	0.006744345236793159	0.008339403666595857	0.009618620511770065	0.11109999999999999
8	2.960000213181785e-07	9.678034193909236e-07	9.073060351984933e-07	9.240595475319722e-07	1.2567350743197657e-06	0.007263527053146233	0.005791053626462837	0.007382264051129997	0.00868824759266051	0.11109999999999999
9	3.515000114363145e-07	1.2939812599510983e-06	1.2125699281350954e-06	1.2353998627932436e-06	1.6825516351937234e-06	0.00642964304557171	0.004980089094445043	0.006545637577867048	0.007858805456113897	0.11109999999999999
10	4.809999513679053e-07	1.7123060114454248e-06	1.603683814595978e-06	1.6350642226083817e-06	2.2298774997754547e-06	0.005703805546417762	0.00429246355239828	0.005816520086752789	0.007121803151710298	0.11109999999999999
11	7.026667042695648e-07	2.2425795451316668e-06	2.0983084411158143e-06	2.1417849413554767e-06	2.92536410172562e-06	0.005073979024938351	0.0037109408475045004	0.005183493300741994	0.006469722767971214	0.11109999999999999
12	8.499999666903461e-07	2.9068998240860986e-06	2.716628533151397e-06	2.7763603453737065e-06	3.7989774648298678e-06	0.004529669635980271	0.003220769342207942	0.00463566367889069	0.005895954761268779	0.11109999999999999
13	1.2008333409205321e-06	3.7293441273446303e-06	3.4815905130992376e-06	3.5616784441508924e-06	4.8836530423810285e-06	0.00406177005507057	0.0028093595211498555	0.004165702548082805	0.005394751733268158	0.11109999999999999
14	1.5901666792873244e-06	4.735449281318836e-06	4.4143874128404194e-06	4.521830778623048e-06	6.214689032351045e-06	0.00366243677850604	0.0024651273917062296	0.003764224252906954	0.004961206548619096	0.124983333
15	2.0346666891691884e-06	5.9514675346468925e-06	5.538853457479242e-06	5.6820089275164045e-06	7.828836254539776e-06	0.00332500307983828	0.0021735598538090797	0.0034143148870639265	0.004591262318372468	0.138866667
16	2.8299999622490587e-06	7.403386514269396e-06	6.87638805518814e-06	7.06686433306512e-06	9.763068819038966e-06	0.0030439323325884954	0.0019288026943448664	0.003132401678885081	0.004281764295229681	0.171283333
17	3.7933333614614855e-06	9.115720600721148e-06	8.447969092857138e-06	8.69960304355719e-06	1.205303152970517e-05	0.0028148189915280365	0.001728091956030216	0.002891615529374405	0.004030567565857783	0.209866667
18	4.571666719592006e-06	1.1110098562826548e-05	1.0272747213262268e-05	1.0600634398918787e-05	1.473118578338356e-05	0.0026344489519054422	0.0015645208794085265	0.00269949049249087	0.003836720515416	0.2716
