time	data	mean	q025	med	q975
1	0.0	8.43088306461041e-08	7.636747187748105e-08	8.467466689130883e-08	9.297215260314618e-08
2	0.0	1.001688711800187e-07	9.063417391069004e-08	1.0063358583595736e-07	1.1038011647446754e-07
3	0.0	1.187946293747261e-07	1.0737287797738402e-07	1.1933057533107619e-07	1.3080849640977626e-07
4	0.0	1.4063068089771446e-07	1.2697491677645596e-07	1.4138212692913706e-07	1.5474258988169485e-07
5	0.0	1.6621865125878327e-07	1.4992500922316795e-07	1.671883349373553e-07	1.827675519373962e-07
6	0.0	1.9610382662592534e-07	1.7671159978714515e-07	1.9735172713695122e-07	2.1547245085611812e-07
7	1.0583329620545304e-07	2.309224615302785e-07	2.07883868084926e-07	2.3244598985915568e-07	2.5366632576756e-07
8	8.816663373661796e-08	2.7140862918124644e-07	2.441058939968683e-07	2.7326020011203497e-07	2.9807637760453845e-07
9	8.816663373661796e-08	3.184201985834962e-07	2.8612122072723374e-07	3.2084016577571195e-07	3.496382686716283e-07
10	8.816663373661796e-08	3.728992200265844e-07	3.3478168438079087e-07	3.762387174599943e-07	4.093683887896543e-07
11	8.816663373661796e-08	4.358438997098766e-07	3.9096025486340765e-07	4.3971520143949213e-07	4.783670726340983e-07
12	8.816663373661796e-08	5.084187649966127e-07	4.5568636658369636e-07	5.128862235270973e-07	5.578964546061412e-07
13	5.283330879894782e-08	5.919242664058467e-07	5.300863823969873e-07	5.967701203141778e-07	6.494019073280365e-07
14	5.283330879894782e-08	6.878459545575758e-07	6.154939347747303e-07	6.930737980253144e-07	7.54291893231746e-07
15	1.0566661759789564e-07	7.977102667685501e-07	7.13270704898123e-07	8.033137726510624e-07	8.743394310151249e-07
16	3.70666660458109e-07	9.23264168699175e-07	8.249394751122116e-07	9.294020793670561e-07	1.0118526140510018e-06
17	3.70666660458109e-07	1.0664078483371576e-06	9.521640044642848e-07	1.073236781321129e-06	1.1688759223158233e-06
18	3.70666660458109e-07	1.2292962020716215e-06	1.0968457714717069e-06	1.2368770866251684e-06	1.3474676435272766e-06
19	4.764999566635621e-07	1.4141696434670178e-06	1.2609882942704337e-06	1.422559429508127e-06	1.54979764748008e-06
20	4.764999566635621e-07	1.62347375431704e-06	1.4467453864912966e-06	1.6324532847100133e-06	1.7787958806482802e-06
21	6.886666907248275e-07	1.85987917052812e-06	1.6564266893681892e-06	1.8690155171854414e-06	2.0374156140858593e-06
22	4.236666478646142e-07	2.1263065278264068e-06	1.8926293996907352e-06	2.1353583073678236e-06	2.3288010730384396e-06
23	7.403333550985611e-07	2.4258005091349084e-06	2.158059019442118e-06	2.4345930047148094e-06	2.65625130304745e-06
24	8.638333137728491e-07	2.7615857947679623e-06	2.456691240450015e-06	2.769892678809204e-06	3.023299521656507e-06
25	7.051667087684483e-07	3.1371981409181725e-06	2.7905126411462587e-06	3.1447701782232783e-06	3.433806724624419e-06
26	7.933333425050663e-07	3.5563240794010806e-06	3.162951978962136e-06	3.5637153580293106e-06	3.891737835321122e-06
27	5.283332996448528e-07	4.0227483087085125e-06	3.5773075599710712e-06	4.029788879296226e-06	4.4011986953857646e-06
28	6.165000392091581e-07	4.540526600805545e-06	4.03661869256212e-06	4.547516626698558e-06	4.966657003514522e-06
29	2.9983333197521134e-07	5.1138997463462645e-06	4.544031523738389e-06	5.1237626121201155e-06	5.592660496299328e-06
30	3.1749999444404644e-07	5.747115815173519e-06	5.10426502282404e-06	5.75809854581406e-06	6.286744465650276e-06
31	3.1749999444404644e-07	6.444612096673577e-06	5.721110415421671e-06	6.4542326256912204e-06	7.053686168377391e-06
32	2.2933336070742843e-07	7.2109805700180584e-06	6.398600630017055e-06	7.2188426474690805e-06	7.89672093075044e-06
33	1.2526666725224655e-06	8.050712470327023e-06	7.140815689430573e-06	8.056365539208493e-06	8.820802225567883e-06
34	1.1645000387858473e-06	8.968385925251526e-06	7.951663678745537e-06	8.97155884009318e-06	9.831135367424861e-06
35	1.3578333601253762e-06	9.968630985584422e-06	8.835197812401378e-06	9.97273198157123e-06	1.0932757867417365e-05
36	3.699999989417231e-06	1.1055837582939438e-05	9.795449380916529e-06	1.1061050851640127e-05	1.2130683938561048e-05
37	4.528333299644853e-06	1.2234363078029413e-05	1.083702773580017e-05	1.2240906736308287e-05	1.343031412980546e-05
38	6.098333288003808e-06	1.350844669478781e-05	1.1970729071717366e-05	1.351661450933216e-05	1.4835738105683694e-05
39	7.225000034393998e-06	1.4881923337788322e-05	1.319372147279509e-05	1.4891989265079495e-05	1.6351247617965852e-05
40	9.658333300703131e-06	1.6358454625562228e-05	1.4509242308126845e-05	1.6370747228771203e-05	1.7981036481454684e-05
41	1.2298333330334883e-05	1.794136074820484e-05	1.592045680213116e-05	1.79562919835725e-05	1.9728578190119285e-05
42	1.3431666691888933e-05	1.9633387767089617e-05	1.7429859340066437e-05	1.964453164220385e-05	2.159701140739028e-05
43	2.000333336049577e-05	2.1436943538687258e-05	1.9039071549946755e-05	2.1442743770677276e-05	2.3589071033497597e-05
44	2.7166666649028722e-05	2.3353849168075688e-05	2.0750571218736214e-05	2.3353462224845596e-05	2.5706529664590468e-05
45	2.9333333298057436e-05	2.5385193330150576e-05	2.2565565234143787e-05	2.5377618231130014e-05	2.794423241752056e-05
46	3.311666666490287e-05	2.7531546321353358e-05	2.4484562282111935e-05	2.751574129873384e-05	3.0303352025298933e-05
47	3.630000001058277e-05	2.9792668846594055e-05	2.6507683832552696e-05	2.9767630745579896e-05	3.2786382812175135e-05
48	3.9066666680777026e-05	3.2167452049412516e-05	2.863416993105541e-05	3.213201279312661e-05	3.539045869700494e-05
49	3.955000003703969e-05	3.465410224825722e-05	3.086243978092462e-05	3.4607094161368484e-05	3.8116185143547126e-05
50	3.921666663315457e-05	3.724985749459282e-05	3.3190392736818346e-05	3.7190167159723754e-05	4.0960201662706676e-05
51	4.504999998412585e-05	3.995098088909444e-05	3.559367749786434e-05	3.987733808883972e-05	4.391962401115956e-05
52	4.796666671252533e-05	4.2752938283813804e-05	3.808498558440879e-05	4.266409901117766e-05	4.700152593796391e-05
53	5.0950000015874155e-05	4.565016396501745e-05	4.066117231188889e-05	4.554498509407138e-05	5.018728269478452e-05
54	5.2633333308640205e-05	4.863606175907686e-05	4.3316695813618464e-05	4.8513276765861884e-05	5.346967389650194e-05
55	5.285000004762246e-05	5.170321056006675e-05	4.604485328366031e-05	5.1561547616631244e-05	5.684029424008984e-05
56	5.4300000010582774e-05	5.4843212279787596e-05	4.883821589275696e-05	5.4681599049036735e-05	6.0289540984127705e-05
57	5.721666663315457e-05	5.8046667506172264e-05	5.168889166818764e-05	5.786397936570031e-05	6.380703855184085e-05
58	6.133333329805744e-05	6.130339915432394e-05	5.4587824576120625e-05	6.109841194308524e-05	6.738144832754982e-05
59	6.674999997354308e-05	6.460244101723466e-05	5.7525227705786697e-05	6.43742395820018e-05	7.100028470014633e-05
60	7.40833333774282e-05	6.793199112545658e-05	6.049092705958032e-05	6.767967773499765e-05	7.46504145479377e-05
61	8.055000003703969e-05	7.127956323007924e-05	6.347413411119524e-05	7.100223786420172e-05	7.831802527786937e-05
62	8.69166666225718e-05	7.46321715351954e-05	6.646172902365893e-05	7.4328951438538e-05	8.198859588362626e-05
63	9.101166665590752e-05	7.797630276849937e-05	6.944248817880514e-05	7.764670543590133e-05	8.564693156523878e-05
64	9.267833335785008e-05	8.129800685143314e-05	7.240487555489164e-05	8.095452949926149e-05	8.927920889274098e-05
65	9.396166667178167e-05	8.458304248769098e-05	7.535847587543443e-05	8.425101131923613e-05	9.284648826745293e-05
66	9.462833337372423e-05	8.781707185785112e-05	7.828391971239799e-05	8.74997385755429e-05	9.635032899473828e-05
67	9.552833329964485e-05	9.098570342490406e-05	8.115577043791724e-05	9.068651784405779e-05	9.977837383385395e-05
68	9.314500001746157e-05	9.407453079933138e-05	8.396164681186655e-05	9.379723544515431e-05	0.00010311445259017426
69	9.116666664902872e-05	9.706944968293583e-05	8.668916763617444e-05	9.681741947765004e-05	0.00010634340951392328
70	9.221666663315457e-05	9.995679924442924e-05	8.932595171277132e-05	9.973309507607862e-05	0.00010945046886055488
71	9.261666671781672e-05	0.00010272327766975886	9.18596822638221e-05	0.00010253151841129173	0.00011242085488552131
72	9.300000000000001e-05	0.00010535604672660334	9.427906037794041e-05	0.00010520008502510716	0.00011524017316160754
73	9.430699998296174e-05	0.0001078429751539391	9.657261758823111e-05	0.00010772619612992429	0.00011790633543472086
74	9.672366665844739e-05	0.00011017280313053955	9.872967360393467e-05	0.00011009813346508473	0.00012042389663695084
75	9.799033338155549e-05	0.00011233518079010325	0.00010074191782835396	0.00011230559695684523	0.00012275693189388973
76	9.907949998110975e-05	0.00011432087639420088	0.0001026003550505645	0.00011433913243028213	0.00012489508227384505
77	9.977083331790013e-05	0.00011612140318467973	0.00010429659736386911	0.00011619061420089428	0.00012682861697133903
78	0.00010002400002624527	0.00011772948159913129	0.00010582436012667899	0.00011785207215818231	0.00012855016124719686
79	0.00010014749998491954	0.00011913906409632989	0.00010714271858225397	0.00011929085964428375	0.00013005332207071532
80	0.00010067116670686355	0.00012034543002310602	0.00010827107971652118	0.00012049963274571573	0.00013133418411161724
81	0.00010131233338092051	0.00012134500263245912	0.00010921149068667118	0.00012150187553943934	0.0001323883426870735
82	0.00010052316668612131	0.00012213532820045216	0.00010996458709593412	0.00012229540835416284	0.0001332126312903783
83	0.00010024850002481659	0.0001227152279533931	0.00011052966070526972	0.0001228783206978687	0.00013378807679925129
84	9.972866669919104e-05	0.00012308490626872316	0.00011090653382972508	0.0001232509487022591	0.00013411536057170373
85	9.949933333848361e-05	0.00012324575950080588	0.0001110961350846335	0.00012341464207137092	0.00013421357130471027
86	9.915899996221952e-05	0.00012320015140463643	0.00011110022126120003	0.00012337228461388466	0.00013408605269851515
87	9.866783334636778e-05	0.00012295168550443617	0.00011092214520283663	0.00012313848195387604	0.00013381861350182718
88	9.92278333590671e-05	0.00012250502303054133	0.00011056578261147748	0.00012271440092022286	0.00013334016247846872
89	9.939666661833869e-05	0.00012186588027263381	0.00011003593719290492	0.00012209736185149218	0.00013263103665724167
90	9.934666663421285e-05	0.00012104072667498899	0.00010933815942146626	0.00012129391235812811	0.00013168891094814128
91	9.849550004799285e-05	0.00012003693955780584	0.00010847900311124618	0.00012031103880530773	0.00013055235008935584
92	9.797883329842784e-05	0.00011886263984383405	0.00010746559013748676	0.00011919140101138793	0.00012926078077275504
93	9.736216668643882e-05	0.00011752665265314155	0.0001063055350299775	0.00011784527454817115	0.00012781324039476988
94	9.630216662082564e-05	0.00011603826520777913	0.00010500706065024002	0.00011636665240287214	0.00012619880462502899
95	9.544999996296031e-05	0.00011440725568434494	0.00010357877010493618	0.00011472370870611841	0.00012446524400249161
96	9.425000002645692e-05	0.00011264381416212422	0.00010202976705692996	0.00011294832107118498	0.00012259848007735883
97	9.34666666596115e-05	0.0001107584031763516	0.00010036922500187526	0.00011103103931330461	0.00012054531788248061
98	9.273333338271958e-05	0.00010876165401902666	9.860656456527602e-05	0.00010900816561461028	0.0001183346327370188
99	9.2e-05	0.00010666426323513992	9.671654894717805e-05	0.00010688526874640618	0.0001160326098876071
100	9.188333333509713e-05	0.00010447704219585205	9.473026989440746e-05	0.00010468264623338339	0.00011365703103017071
101	9.161666671781671e-05	0.00010221073753203124	9.261629931462369e-05	0.00010244483955012033	0.00011119450042223254
102	9.21833333456799e-05	9.98758607594446e-05	9.042765401560737e-05	0.00010012242119286134	0.00010865639504955966
103	9.166666670194257e-05	9.748274705973283e-05	8.818994707348843e-05	9.771324148003355e-05	0.00010605409184950033
104	9.079999995766892e-05	9.504154394816236e-05	8.591270025563928e-05	9.531153220404015e-05	0.00010339873124965026
105	8.968333329276605e-05	9.256206409764451e-05	8.361547817102451e-05	9.286673738661927e-05	0.00010071309830812189
106	8.72666666172804e-05	9.005385246549216e-05	8.131805697145526e-05	9.036695877939169e-05	9.800564993949028e-05
107	8.411666666490287e-05	8.752591226741233e-05	7.900510971859473e-05	8.783776579140115e-05	9.527487006783094e-05
108	8.133333329805744e-05	8.498674613756466e-05	7.667859142438383e-05	8.529689542743575e-05	9.253018247815548e-05
109	7.973333338271959e-05	8.24445350785603e-05	7.437380914626808e-05	8.273357543500507e-05	8.978069267617558e-05
110	7.788333333509713e-05	7.990701958420087e-05	7.21142691480707e-05	8.01840412671001e-05	8.703480384680523e-05
111	7.59000000317483e-05	7.738137105298934e-05	6.986357993228841e-05	7.76596088659151e-05	8.43003121037393e-05
112	7.436666669135979e-05	7.487422583607169e-05	6.762782017919791e-05	7.51473608066456e-05	8.158419235447871e-05
113	7.296666671252532e-05	7.239161788588547e-05	6.541261553186703e-05	7.262915810077818e-05	7.889335878015282e-05
114	7.216666664902872e-05	6.99392019676432e-05	6.322291780035102e-05	7.016179584188521e-05	7.62341663391577e-05
115	6.988333333509712e-05	6.752213666056251e-05	6.106326502614474e-05	6.774946973254273e-05	7.361219278985228e-05
