time	data	mean	q025	med	q975	x_mean	x_q025	x_med	x_q975	osi
1	0.0	1.2892479952741217e-07	1.2885266586579115e-07	1.2891375358344e-07	1.290168507645563e-07	1.7541033357347343e-09	1.752039824550287e-09	1.7542154501013734e-09	1.7555878587739586e-09	0.0
2	0.0	1.5145581123883595e-07	1.5135741629709376e-07	1.514327591136057e-07	1.5157786395874938e-07	-1.9164475785397135e-11	-1.9860583221621325e-11	-1.9250896448339348e-11	-1.852112722697846e-11	0.0
3	0.0	1.776368806648876e-07	1.7750552071875071e-07	1.776003189619514e-07	1.7780658189615656e-07	-8.092999083051639e-11	-8.119747639933702e-11	-8.088742003669822e-11	-8.059102449404256e-11	0.0
4	0.0	2.080038342595257e-07	2.078242811141859e-07	2.079515169887388e-07	2.0824598828567084e-07	1.270709587428313e-10	1.2638996932722905e-10	1.271146189927644e-10	1.278615467231562e-10	0.0
5	0.0	2.4315915917034895e-07	2.429152515921349e-07	2.430877818602223e-07	2.434881238966859e-07	-1.574173421078733e-11	-1.6730517977780464e-11	-1.5775452896643093e-11	-1.4937472437240437e-11	0.0
6	0.0	2.8377968718288674e-07	2.8345660508902993e-07	2.8368966817258924e-07	2.842186604533815e-07	-9.164166629337021e-11	-9.268180844535354e-11	-9.166826424745255e-11	-9.011678163238562e-11	0.0
7	1.0583329620545304e-07	3.306236070364433e-07	3.3019374393369426e-07	3.305127408924285e-07	3.3118847235257953e-07	6.535805818499381e-11	6.37786693864488e-11	6.534006286472392e-11	6.653977488068645e-11	0.0
8	8.816663373661796e-08	3.8453777518662963e-07	3.839963794428402e-07	3.844031867624208e-07	3.85271528099924e-07	-2.550642973840854e-11	-2.6700280652046197e-11	-2.5460341592638518e-11	-2.4709642754028764e-11	0.0
9	8.816663373661796e-08	4.4646527204930515e-07	4.4578876233389634e-07	4.4630500121702943e-07	4.474055204665638e-07	2.790705216994204e-11	2.5664390173294005e-11	2.783574701230219e-11	3.1227705955521366e-11	0.0
10	8.816663373661796e-08	5.174531433523891e-07	5.166131400338217e-07	5.172698392802447e-07	5.186443115627178e-07	9.298739727765833e-12	7.285078623017477e-12	9.27227911241141e-12	1.0828463220273518e-11	0.0
11	8.816663373661796e-08	5.986602417553577e-07	5.976235112404828e-07	5.984394914512427e-07	6.001545680314767e-07	-4.827769724501465e-11	-4.909279783598512e-11	-4.8253012013195723e-11	-4.7255342223774877e-11	0.0
12	8.816663373661796e-08	6.913650746848693e-07	6.900930883155964e-07	6.910987471341315e-07	6.932237160053401e-07	1.1795268539299864e-10	1.1509244108834219e-10	1.1788481417122663e-10	1.2204029461175063e-10	0.0
13	5.283330879894782e-08	7.969735495188449e-07	7.954214110572816e-07	7.966593828235864e-07	7.992677984332204e-07	-5.381336799340567e-11	-5.665903828114305e-11	-5.383409979080573e-11	-5.169182389051256e-11	0.0
14	5.283330879894782e-08	9.170264799131038e-07	9.151060231563856e-07	9.166573036931192e-07	9.198390976696935e-07	-2.6465503560051463e-11	-2.806978751428629e-11	-2.6490657966632396e-11	-2.415311444886666e-11	0.0
15	1.0566661759789564e-07	1.0532067153162315e-06	1.0508471253994892e-06	1.052759909250944e-06	1.0566382065887195e-06	1.852134553048942e-10	1.8412665734326526e-10	1.8526750913310613e-10	1.864020835268647e-10	0.0
16	3.70666660458109e-07	1.2073457207636196e-06	1.2044656609535662e-06	1.2067936992734152e-06	1.2115092673816347e-06	-5.733536223494272e-11	-5.7744415158413574e-11	-5.732910572717996e-11	-5.6880261557593834e-11	0.013883333000000001
17	3.70666660458109e-07	1.3814294298120303e-06	1.3779352495420816e-06	1.380755193436717e-06	1.3864537637604891e-06	-1.0129464770618943e-11	-1.3483750673139895e-11	-1.0442399530804255e-11	-4.975252360277636e-12	0.027766667000000002
18	3.70666660458109e-07	1.5776031767611328e-06	1.573387477592437e-06	1.576807212930562e-06	1.5836355277253382e-06	4.6649972030047095e-11	4.08589981312393e-11	4.6678126721628164e-11	5.0689107428414924e-11	0.04165
19	4.764999566635621e-07	1.7981754857123542e-06	1.7931155878942613e-06	1.7972561023439008e-06	1.805387723032983e-06	-3.3772824133869784e-11	-3.444064345008258e-11	-3.372334441529266e-11	-3.292936627015887e-11	0.055533333
20	4.764999566635621e-07	2.045620500099992e-06	2.039578366221455e-06	2.04452597466394e-06	2.054218244688514e-06	9.246127263997708e-11	8.993204925379238e-11	9.229197930507424e-11	9.630999584716705e-11	0.069416667
21	6.886666907248275e-07	2.3225788168166522e-06	2.315396918418499e-06	2.3212622908388196e-06	2.33278395726555e-06	3.5089503929548565e-11	2.7299453242155667e-11	3.5531824572681086e-11	3.9988633696348636e-11	0.0833
