time	data	mean	q025	med	q975	x_mean	x_q025	x_med	x_q975	osi
1	0.0	6.593397900879825e-08	6.588824009494532e-08	6.593581881620389e-08	6.596838683697932e-08	9.996533283494966e-05	9.990719015792205e-05	9.997002933547953e-05	0.00010002566595589086	0.0
2	0.0	8.202829719547861e-08	8.196697881550775e-08	8.202934230962756e-08	8.207884959352733e-08	9.990969438492638e-05	9.980520272924002e-05	9.990993095937382e-05	0.0001000248999508256	0.0
3	0.0	1.0168311980932229e-07	1.0160241973124758e-07	1.0168145816813763e-07	1.0175307378425201e-07	9.985561064342025e-05	9.970153520932681e-05	9.985374944288731e-05	0.00010002733330074686	0.0
4	0.0	1.2562729278265833e-07	1.2551689146577953e-07	1.256237834860923e-07	1.257259523219491e-07	9.980342356756623e-05	9.959974403893578e-05	9.980080724596173e-05	0.00010003384400130714	0.0
5	0.0	1.5469449616156756e-07	1.5454563940289165e-07	1.5468904210094365e-07	1.548318366622048e-07	9.975354589328738e-05	9.95003232063711e-05	9.974825265703465e-05	0.00010004288716198063	0.0
6	0.0	1.8978879759441533e-07	1.895899227867615e-07	1.8978336685623107e-07	1.8997782678846428e-07	9.970646735839843e-05	9.940375773363668e-05	9.969874728533617e-05	0.00010005470230558791	0.0
7	1.0583329620545304e-07	2.320322945572983e-07	2.317680623988508e-07	2.320265032603312e-07	2.3229030831223784e-07	9.96627732155864e-05	9.931062680120596e-05	9.965247365995413e-05	0.0001000698811989819	0.0
8	8.816663373661796e-08	2.827224834274379e-07	2.823710478188546e-07	2.8271353319615666e-07	2.8307200100335633e-07	9.962316228534382e-05	9.922162209149201e-05	9.961027302048017e-05	0.00010008913046781476	0.0
9	8.816663373661796e-08	3.432935635404814e-07	3.428371251417434e-07	3.432800586314193e-07	3.437569673629389e-07	9.95884607653298e-05	9.913755988387241e-05	9.957297061909851e-05	0.00010011325892918229	0.0
10	8.816663373661796e-08	4.15370760612762e-07	4.1477252317408634e-07	4.153510444620992e-07	4.159784898006886e-07	9.955963985269446e-05	9.905939955649733e-05	9.954153646392713e-05	0.00010014275786589522	0.0
11	8.816663373661796e-08	5.008218111330839e-07	5.000430654752798e-07	5.007882360743428e-07	5.01612769056967e-07	9.953783885430705e-05	9.898826654408443e-05	9.951710833746475e-05	0.00010017930349020349	0.0
12	8.816663373661796e-08	6.018076794744168e-07	6.008071858023461e-07	6.017540082352413e-07	6.028269742510146e-07	9.952439841431675e-05	9.892548381348344e-05	9.950102505954765e-05	0.00010022425588602081	0.0
13	5.283330879894782e-08	7.206181320489482e-07	7.193495886741671e-07	7.205463237863701e-07	7.219178471054191e-07	9.952087409592072e-05	9.887258510430173e-05	9.949483993119962e-05	0.00010027919467577948	0.0
14	5.283330879894782e-08	8.598753134654625e-07	8.58278739256188e-07	8.59789321416247e-07	8.615199576733809e-07	9.952906971617961e-05	9.883134827274969e-05	9.950035402031112e-05	0.00010034595237792022	0.0
15	1.0566661759789564e-07	1.0225117396870113e-06	1.0205146419272428e-06	1.0224137145964223e-06	1.0245860503221367e-06	9.955107618822547e-05	9.880383356987428e-05	9.951965486410692e-05	0.0001004266539834557	0.0
16	3.70666660458109e-07	1.2117264607268055e-06	1.2092465485937943e-06	1.2116266875954183e-06	1.2143306754061508e-06	9.95893041575554e-05	9.879241366236335e-05	9.955514911014915e-05	0.0001005237522139833	0.013883333000000001
17	3.70666660458109e-07	1.4309801651800336e-06	1.427920810748552e-06	1.4308508381151091e-06	1.4342245827372378e-06	9.96465149382202e-05	9.879980494669582e-05	9.960959327481319e-05	0.00010064005828507373	0.027766667000000002
18	3.70666660458109e-07	1.684081967582225e-06	1.6803283431161388e-06	1.6839334592152133e-06	1.6881011850759345e-06	9.97258700447526e-05	9.882911666864096e-05	9.96861430636845e-05	0.0001007787920417769	0.04165
19	4.764999566635621e-07	1.9751887372708467e-06	1.9706106903564554e-06	1.9750225823890415e-06	1.980134016798533e-06	9.983098125943883e-05	9.888389760678123e-05	9.978840346892083e-05	0.00010094363549583706	0.055533333
20	4.764999566635621e-07	2.3086655500960203e-06	2.3031148282965602e-06	2.308481252812316e-06	2.3147093792965554e-06	9.996594464314785e-05	9.896816983806339e-05	9.992046255018761e-05	0.00010113876731728024	0.069416667
21	6.886666907248275e-07	2.6892239538192473e-06	2.6825274256409918e-06	2.689023571516264e-06	2.6965725121386216e-06	0.00010013540566495434	9.90864934414525e-05	0.00010008695621901432	0.00010136892865475063	0.0833
22	4.236666478646142e-07	3.121917109702537e-06	3.113880978063561e-06	3.121702578998872e-06	3.1308003827415685e-06	0.00010034462107008532	9.924402417551027e-05	0.0001002931301755095	0.00010163948938836929	0.0833
23	7.403333550985611e-07	3.6119158496483917e-06	3.6023229544724774e-06	3.611643799350008e-06	3.6225921396126833e-06	0.00010059950218067933	9.944655650661767e-05	0.00010054488283389485	0.0001019564919864258	0.0833
24	8.638333137728491e-07	4.1647380062746345e-06	4.153339497066647e-06	4.1644605612345655e-06	4.1775089981899955e-06	0.00010090670769869392	9.970061474445559e-05	0.00010084885770293702	0.00010232674632848512	0.0833
25	7.051667087684483e-07	4.7861008418574055e-06	4.7726247042919796e-06	4.785804549937949e-06	4.80129442767483e-06	0.00010127370918108716	0.00010001351366367586	0.00010121250902469095	0.0001027579003072959	0.0833
26	7.933333425050663e-07	5.481724646970476e-06	5.465866207967514e-06	5.481242000987598e-06	5.499712489731e-06	0.00010170886224076782	0.00010039343055076927	0.00010164417202351069	0.00010325852097963535	0.0833
27	5.283332996448528e-07	6.2576455471360125e-06	6.2390661733669035e-06	6.25679534375148e-06	6.278844745116218e-06	0.00010222153285372795	0.00010084952581495107	0.00010215318927348634	0.00010383821482987885	0.0833
28	6.165000392091581e-07	7.119767887822005e-06	7.0981033388169005e-06	7.11845816012373e-06	7.144625768825289e-06	0.00010282216420765137	0.0001013920071012273	0.00010274997713064677	0.00010450767562784037	0.0833
29	2.9983333197521134e-07	8.074013177145304e-06	8.048856745701203e-06	8.072392022051306e-06	8.103037982818671e-06	0.00010352242542221151	0.00010203227677687392	0.00010344617329197188	0.00010527887508733776	0.0833
30	3.1749999444404644e-07	9.12632312126696e-06	9.097240817088953e-06	9.124577922395225e-06	9.160056618684125e-06	0.00010433534093683356	0.00010278305255112619	0.00010425476671667962	0.00010616518559950534	0.0833
31	3.1749999444404644e-07	1.0282221615113731e-05	1.0248743166867052e-05	1.028038248651018e-05	1.0321256538423964e-05	0.00010527542374187642	0.00010365850179292895	0.0001051902288012138	0.00010718151287263392	0.0833
32	2.2933336070742843e-07	1.1547254118604304e-05	1.1508869998872024e-05	1.1545344186550272e-05	1.1592214576379456e-05	0.0001063589058746392	0.00010467446191124826	0.00010626874412282238	0.00010834453741626748	0.0833
33	1.2526666725224655e-06	1.2926399773221674e-05	1.2882449887345157e-05	1.2924452512656344e-05	1.2977897880328101e-05	0.0001076038849864618	0.00010584858326074331	0.00010750835571792097	0.00010967286550175034	0.0833
34	1.1645000387858473e-06	1.4424280634923114e-05	1.4374129487372132e-05	1.442233563338982e-05	1.4483044604414705e-05	0.00010903063485893618	0.00010720063439859966	0.00010892961474924869	0.00011118734569762994	0.089483333
