time	data	mean	q025	med	q975
1	0.0	1.718588227322136e-08	5.180553921083703e-09	1.4524739337667748e-08	3.7022504873606496e-08
2	0.0	2.1975383736163008e-08	6.9200998248921365e-09	1.8750417969874698e-08	4.654635980469114e-08
3	0.0	2.80134967573582e-08	9.205905993404554e-09	2.4183216276795175e-08	5.8341338866503675e-08
4	0.0	3.561107293604799e-08	1.2204895690585532e-08	3.107871415891048e-08	7.291398792218062e-08
5	0.0	4.515608197487419e-08	1.6121628635232962e-08	3.981092101478299e-08	9.089777953653145e-08
6	0.0	5.7067202164926456e-08	2.116360131813305e-08	5.080450618443118e-08	1.129467129153292e-07
7	1.4383297886393717e-08	7.189828485666763e-08	2.761802773469829e-08	6.451479436913771e-08	1.399072972257502e-07
8	0.0	9.032230480509874e-08	3.590543385391604e-08	8.147979525992533e-08	1.7278850829826485e-07
9	0.0	1.1312579897232392e-07	4.6492801820839966e-08	1.025655123760867e-07	2.1279031464056244e-07
10	0.0	1.4122800096408845e-07	5.997399136656117e-08	1.2865303308523102e-07	2.6120387494381324e-07
11	0.0	1.7576073091446014e-07	7.707160890176255e-08	1.6083324027396052e-07	3.196288295643519e-07
12	0.0	2.1804900004029605e-07	9.864924562922724e-08	2.0038813513006172e-07	3.893358540597835e-07
13	0.0	2.6963705665470494e-07	1.257823857920321e-07	2.493326815652476e-07	4.7267277410594017e-07
14	0.0	3.323447694211272e-07	1.5974172358610583e-07	3.0931592447725447e-07	5.720411305860113e-07
15	0.0	4.082944118370322e-07	2.0205980708520475e-07	3.8138739274465204e-07	6.901408266206822e-07
16	0.0	4.99941697072061e-07	2.545748256657729e-07	4.685755158888178e-07	8.300430085750195e-07
17	0.0	6.101077292767866e-07	3.1943851050121195e-07	5.744819760993612e-07	9.951171768010387e-07
18	0.0	7.420384800989795e-07	3.9921399591329895e-07	7.027131382288968e-07	1.190759825636629e-06
19	0.0	8.994341250410124e-07	4.973799919340379e-07	8.564522159941144e-07	1.4210965967577645e-06
20	0.0	1.0864726038352845e-06	6.171295198291496e-07	1.039810547061502e-06	1.6904432649156648e-06
21	0.0	1.3078689705067287e-06	7.587838554202662e-07	1.2530042565610821e-06	2.0043507773329838e-06
22	0.0	1.568907285275105e-06	9.292866159233323e-07	1.503671980458895e-06	2.368656424311744e-06
23	0.0	1.8754408043797559e-06	1.1336188317672721e-06	1.7980421188863961e-06	2.789745930693606e-06
24	0.0	2.233957888532033e-06	1.3773887694582249e-06	2.1423118840399754e-06	3.274647894093006e-06
25	0.0	2.651561832537839e-06	1.6669180611777982e-06	2.548503495248698e-06	3.830856321534734e-06
26	0.0	3.135979871584932e-06	2.009228863181775e-06	3.0255237508188996e-06	4.466560534215532e-06
27	0.0	3.6955798411185993e-06	2.411553279088899e-06	3.5716154687420276e-06	5.19920630785485e-06
28	1.4383297886393717e-08	4.339297098298841e-06	2.8819702562240684e-06	4.209275255111697e-06	6.030923241275958e-06
29	1.007166497132823e-07	5.076651029151075e-06	3.4302618557929167e-06	4.942675033160514e-06	6.971323810057345e-06
30	1.725499612886459e-07	5.917631201327649e-06	4.0456202010578e-06	5.805046431887023e-06	8.030116978277943e-06
31	3.1638337157300114e-07	6.872656810819598e-06	4.75390394983834e-06	6.745535491952429e-06	9.217317316680915e-06
32	7.047166245183299e-07	7.952450623211132e-06	5.574537200691069e-06	7.833685031173467e-06	1.0542818872101813e-05
33	1.5530499999870574e-06	9.167917562673916e-06	6.5096003543541645e-06	9.066074965204726e-06	1.2016501729378306e-05
