time	data	mean	q025	med	q975	x_mean	x_q025	x_med	x_q975	osi
1	0.0	1.893708105825012e-07	1.893138494443315e-07	1.8936545348807987e-07	1.8942206864040272e-07	0.0014780213876274984	0.0014770444093292472	0.00147812914659905	0.0014787807355488587	0.0
2	0.0	2.141590175669243e-07	2.1407040302105683e-07	2.141521690369612e-07	2.142526204837713e-07	0.0014805642072734182	0.001478673058819659	0.001480782966961574	0.0014820911358550464	0.0
3	0.0	2.4198862376559337e-07	2.4186033718064664e-07	2.4198066290641744e-07	2.4213498279942284e-07	0.0014834679129478961	0.0014806591796646216	0.0014837748721140964	0.001485743664720621	0.0
4	0.0	2.732167461838789e-07	2.730399689788177e-07	2.7320898804508844e-07	2.7342998068336915e-07	0.0014867690871714484	0.00148303859657601	0.0014871652866854847	0.0014897984785371074	0.0
5	0.0	3.0822603055718727e-07	3.0799051401913374e-07	3.0821866875495266e-07	3.0852075908721767e-07	0.0014905078721092172	0.0014858505983743075	0.0014910021068334344	0.0014942963061799366	0.0
6	0.0	3.474466098522564e-07	3.471403647370606e-07	3.474393864538587e-07	3.4784025687369124e-07	0.0014947283948774912	0.0014891383376220509	0.0014953207117426152	0.001499291035738708	0.0
7	1.4383297886393717e-08	3.9136331733059436e-07	3.90972364599189e-07	3.913556504458699e-07	3.9187469482188577e-07	0.0014994792687344088	0.0014929493293521004	0.00150016974817033	0.0015048227321839266	0.11109999999999999
8	0.0	4.4049583185403576e-07	4.4000349822926954e-07	4.4048758239468936e-07	4.411475143843795e-07	0.0015048139280804409	0.0014973357726288882	0.0015056026864271766	0.0015109458912092046	0.11109999999999999
9	0.0	4.954303301179247e-07	4.948174405278694e-07	4.954216503819408e-07	4.962492991616046e-07	0.0015107912677136065	0.0015023551545538907	0.001511678460238718	0.0015177206168534233	0.11109999999999999
10	0.0	5.568214600896237e-07	5.560668472058352e-07	5.568122508929934e-07	5.578384438697043e-07	0.001517476325329587	0.0015080709306539372	0.001518462149230496	0.0015252133088228788	0.11109999999999999
11	0.0	6.253734543409424e-07	6.244529477252722e-07	6.253635914669925e-07	6.266237275083122e-07	0.00152494079167645	0.0015145530103610916	0.001526025488510311	0.0015334971933267133	0.11109999999999999
12	0.0	7.018854796509885e-07	7.007698958749552e-07	7.01875112825301e-07	7.03410451822409e-07	0.0015332640240563252	0.001521878723633351	0.0015344478824937944	0.0015426533749932014	0.11109999999999999
13	0.0	7.872355819986968e-07	7.858909714734616e-07	7.872245517388079e-07	7.890820315831676e-07	0.001542533918789607	0.001530133690744039	0.001543817277448875	0.001552771716713105	0.11109999999999999
14	0.0	8.823791529456923e-07	8.807672332601681e-07	8.823674210832849e-07	8.846011616459527e-07	0.0015528478032971016	0.0015394126647440593	0.0015542310521744877	0.001563951771582599	0.11109999999999999
15	0.0	9.884015519372637e-07	9.864782970264371e-07	9.883891837763154e-07	9.9106146337645e-07	0.0015643140101052006	0.001549821055508075	0.0015657975924318426	0.001576304400747672	0.11109999999999999
16	0.0	1.1064751327860698e-06	1.104190478626993e-06	1.1064618258430837e-06	1.1096425271197767e-06	0.001577052973072933	0.001561476013985647	0.001578637386896417	0.001589952885897661	0.11109999999999999
17	0.0	1.2379061380516824e-06	1.2352023656677074e-06	1.2378920822055475e-06	1.241662257277341e-06	0.001591199031131311	0.0015745081279007825	0.001592884826693423	0.001605034817977436	0.11109999999999999
18	0.0	1.384148320202962e-06	1.3809599264235604e-06	1.3841332630958207e-06	1.3885848927933266e-06	0.0016069024818451537	0.0015890634653712987	0.0016086902622158184	0.001621704171446791	0.11109999999999999
19	0.0	1.5467795506356829e-06	1.5430316882644016e-06	1.546763399959107e-06	1.5520018628180882e-06	0.0016243314682317257	0.0016053053567765298	0.0016262218832138386	0.001640133913074745	0.11109999999999999
20	0.0	1.7275813404580765e-06	1.7231886128563584e-06	1.7275640543021896e-06	1.7337094815656907e-06	0.001643675192640491	0.00162341751825037	0.0016456910224970016	0.0016605272309848517	0.11109999999999999
21	0.0	1.928482988442589e-06	1.9233486964753438e-06	1.9284641456615354e-06	1.935652285709988e-06	0.0016651464311489771	0.0016436065039106202	0.0016673017321217017	0.001683094995465755	0.11109999999999999
22	0.0	2.1516461206298197e-06	2.1456595566150983e-06	2.1516258543225902e-06	2.1600126520184317e-06	0.0016889857871068101	0.001666105755494728	0.00169128959382155	0.0017080844869785828	0.11109999999999999
23	0.0	2.399442096117351e-06	2.3924785993889164e-06	2.399419721214523e-06	2.4091798008697886e-06	0.001715465716482383	0.0016911796027795946	0.0017179284476549514	0.0017357757690395403	0.11109999999999999
24	0.0	2.6744904987287927e-06	2.6664074940198298e-06	2.6744660763677454e-06	2.685800231562912e-06	0.0017448958962562973	0.0017191283125510767	0.001747544376690322	0.001766487356772884	0.11109999999999999
25	0.0	2.979700355187248e-06	2.9703373290805918e-06	2.979673136914092e-06	2.9928060579835863e-06	0.0017776296513255998	0.0017502944600582145	0.0017804864253354034	0.0018005827066348932	0.11109999999999999
26	0.0	3.318257430027325e-06	3.3074316792944703e-06	3.318227148637881e-06	3.333415752312307e-06	0.0018140710927031	0.001785066994900263	0.0018171570910511577	0.001838477747239605	0.11109999999999999
27	0.0	3.6937173068244343e-06	3.6812228207891944e-06	3.6936831279982548e-06	3.711215854613088e-06	0.0018546848502690072	0.001823896461070544	0.0018580244631537725	0.0018806007096256441	0.11109999999999999
28	1.4383297886393717e-08	4.1099663800311395e-06	4.095567666978922e-06	4.1099276668319e-06	4.130132305590761e-06	0.0019000063295399894	0.001867302736078296	0.0019036280716706005	0.0019275400213661698	0.11109999999999999
29	1.007166497132823e-07	4.571342433317283e-06	4.554770260307664e-06	4.571298034446645e-06	4.594543126982253e-06	0.0019506560909582635	0.0019158463751151815	0.0019545933769385777	0.001979935973800219	0.11109999999999999
30	1.725499612886459e-07	5.082592210127148e-06	5.063546393693148e-06	5.082541096125344e-06	5.1092444274783776e-06	0.0020073553191196024	0.0019702456706805287	0.002011647459023282	0.0020385276350372286	0.11573333300000001
31	3.1638337157300114e-07	5.649005112002677e-06	5.627146575233203e-06	5.64894558625745e-06	5.679575876958869e-06	0.0020709471538089726	0.0020313231919625242	0.0020756093662024026	0.002104180899762187	0.12036666700000001
32	7.047166245183299e-07	6.27638193300962e-06	6.251327851168694e-06	6.276312468135641e-06	6.311401340302776e-06	0.0021424207774520315	0.002100033090522796	0.00214731431497218	0.002177911979474441	0.125
33	1.5530499999870574e-06	6.971168837902422e-06	6.942487328946808e-06	6.9710866596876045e-06	7.011228389518516e-06	0.0022229434041910923	0.002177501107239653	0.002228080274688453	0.0022609435309544203	0.129633333
34	2.4019999615172985e-06	7.740459646050929e-06	7.707663679933856e-06	7.74036260573424e-06	7.78623139139967e-06	0.0023138990088101157	0.0022650611875817094	0.002319292185016102	0.002354721205006147	0.134266667
35	2.760666675697734e-06	8.59210330418262e-06	8.55464384180055e-06	8.591987251397084e-06	8.644335861226697e-06	0.0024169369710101895	0.002364302911254575	0.0024226003793229845	0.0024608947646488364	0.1389
36	3.2505000378355706e-06	9.534776098603736e-06	9.492034662740133e-06	9.534637389590026e-06	9.594316535644872e-06	0.002534035844377298	0.002477132014593409	0.0025399842374359237	0.002581513604979897	0.14815
37	3.5100000232967026e-06	1.0578034525408175e-05	1.0529314479854037e-05	1.0577867569985017e-05	1.0645829960160665e-05	0.002667580120758025	0.0026058444967519646	0.0026738288506308865	0.0027190332709759566	0.1574
38	3.7983333021272565e-06	1.1732469526210311e-05	1.1676986682789917e-05	1.1732267890405806e-05	1.1809582971546677e-05	0.0028204651234801283	0.0027532272666638217	0.0028270298023078313	0.002876435943065903	0.16665
39	5.049999987057387e-06	1.3009731211240635e-05	1.2946603215788625e-05	1.300948726218641e-05	1.3097356234535756e-05	0.0029962262065770244	0.002922681423440903	0.0030031324741015514	0.0030573641910620173	0.182083333
40	7.703333318089811e-06	1.4422698818449512e-05	1.4350932989394926e-05	1.4422402022164526e-05	1.4522166396921604e-05	0.003199210513328951	0.003118388029079002	0.00320651208577451	0.003266297691174023	0.243816667
41	9.12500001078551e-06	1.598557403814172e-05	1.5904054388790833e-05	1.5985212553621097e-05	1.6098376913422264e-05	0.003434804011316359	0.0033455245782903387	0.003442372348952348	0.0035087881703918535	0.30555
42	1.1396666656024962e-05	1.771398815192032e-05	1.762146032520538e-05	1.7713546888397457e-05	1.784179231754246e-05	0.0037097263554810374	0.003610547417980952	0.003717685352416294	0.0037917805666197618	0.358033333
43	1.3460000036239315e-05	1.9625165231109813e-05	1.9520219782122355e-05	1.9624624744908855e-05	1.976982454941575e-05	0.004032428818363124	0.003921574018895197	0.004041105586646075	0.004124367591585879	0.410516667
44	1.544999996980057e-05	2.1738040380188204e-05	2.1619094892878275e-05	2.1737377398695247e-05	2.1901619425005743e-05	0.004413630959539828	0.004288895101331561	0.0044228462325223376	0.004517793481355778	0.5000333330000001
45	1.6850000038827837e-05	2.407338573587858e-05	2.3938663718417967e-05	2.4072570729387655e-05	2.425817571558441e-05	0.004867044446374588	0.004725667847460936	0.004876821253047385	0.004985966223030319	0.5833666670000001
46	1.7783333331895264e-05	2.6653954528110596e-05	2.6501463173803672e-05	2.665295056654809e-05	2.6862488850163018e-05	0.0054103692384688176	0.0052488952360836925	0.005420718373445715	0.005547273819682424	0.634283333
47	2.2566666663790528e-05	2.950458780436518e-05	2.9332092900644415e-05	2.950334849661076e-05	2.9739656890177576e-05	0.0060666721932899695	0.00588167274398917	0.006077733639504309	0.00622569630624242	0.6852
