time	data	mean	q025	med	q975
1	0.0	1.5268180099502582e-05	1.1901714922548721e-05	1.5283877149215087e-05	1.8224040988568066e-05
2	0.0	1.5594422901631872e-05	1.2235989527537662e-05	1.5573685564787107e-05	1.856726805333129e-05
3	0.0	1.591829829391262e-05	1.2582305005097904e-05	1.5892172652839175e-05	1.889582343486385e-05
4	0.0	1.6239397420049413e-05	1.2946471206399994e-05	1.6214065948524766e-05	1.9197519546828217e-05
5	0.0	1.6557298263515375e-05	1.3311993023398753e-05	1.6519786343800504e-05	1.9492214053779268e-05
6	0.0	1.687159022898389e-05	1.3678407857567872e-05	1.6859741373669353e-05	1.9779836160088758e-05
7	1.726666300657332e-07	1.7181872871468265e-05	1.4045223433489706e-05	1.7148436571613827e-05	2.006114869048264e-05
8	2.876665903571733e-07	1.748774574246753e-05	1.4395825684397169e-05	1.7428244358914942e-05	2.0334748141727828e-05
9	5.459999495873936e-07	1.7788808392299173e-05	1.4700322405281109e-05	1.769884498714939e-05	2.0607602058811904e-05
10	8.618333752862901e-07	1.8084663147198492e-05	1.4952526012725625e-05	1.8033095161144005e-05	2.0930982234875037e-05
11	1.2063332735978476e-06	1.837492868867063e-05	1.5233472371024308e-05	1.834044792752201e-05	2.1199694995768094e-05
12	1.579666593119508e-06	1.8659220786082436e-05	1.556219263749585e-05	1.8611491054163917e-05	2.1577098314478666e-05
13	3.105499946307121e-06	1.8937176204691854e-05	1.5892407509641103e-05	1.888059207292607e-05	2.1734289364581625e-05
14	7.91166658207017e-06	1.9208454707119694e-05	1.6218515014480782e-05	1.9205143355843967e-05	2.1905013499597386e-05
15	1.2836666607967055e-05	1.9472720869598473e-05	1.6521195825469433e-05	1.9449352788469404e-05	2.2177743764096167e-05
16	1.744666674263087e-05	1.9729640699033507e-05	1.681513500913356e-05	1.967840440759761e-05	2.2471608034080854e-05
17	2.2456666739177953e-05	1.9978886998754134e-05	1.7115777967055222e-05	1.9930767790085423e-05	2.275617156612127e-05
18	2.3003333274633727e-05	2.022016007779052e-05	1.7410843675019153e-05	2.020370143696973e-05	2.3031109666190713e-05
19	2.2541666709828147e-05	2.0453177374611813e-05	1.7605945517187235e-05	2.0428846359794137e-05	2.3309713114930235e-05
20	1.9258333359230222e-05	2.0677675699090334e-05	1.7784075151699094e-05	2.063466962285734e-05	2.3552901005386166e-05
21	1.672499992230934e-05	2.089341598024608e-05	1.79557740827601e-05	2.0862337424779484e-05	2.3799510519603314e-05
22	1.4358333324701037e-05	2.1100171828711725e-05	1.812090716538961e-05	2.1067403913117735e-05	2.403529735570335e-05
23	1.2108333411023996e-05	2.129772397803626e-05	1.8279361281450834e-05	2.1332566066204854e-05	2.4259986377348224e-05
24	1.4405000032802725e-05	2.1485872775541514e-05	1.8431023360003836e-05	2.1538778635541435e-05	2.4473341862893053e-05
25	1.5666666666666667e-05	2.1664442960730434e-05	1.8575780330108436e-05	2.1720735775216438e-05	2.4675180511550863e-05
26	1.6699999930941634e-05	2.1833283507305894e-05	1.8713521071741492e-05	2.191330144805321e-05	2.486530595981982e-05
27	1.5716666649402077e-05	2.1992267432454988e-05	1.8844812946901573e-05	2.209410648485916e-05	2.5043597720983684e-05
28	1.7300000069058366e-05	2.214128976587011e-05	1.8971939727338004e-05	2.225197602958126e-05	2.5209937051110458e-05
29	1.8316666614872893e-05	2.2280255548697048e-05	1.91569308944865e-05	2.2427171970955523e-05	2.538790355790919e-05
30	1.9733333367862516e-05	2.240908912460121e-05	1.9264679195762885e-05	2.2575472531770656e-05	2.5580259012214572e-05
31	2.2450000017264588e-05	2.2527737373251742e-05	1.9315185148827317e-05	2.2707282309001403e-05	2.5759681030330357e-05
32	2.453333326427497e-05	2.2636171524104766e-05	1.9391867220416245e-05	2.281585631314674e-05	2.5926070983230123e-05
