time	data	mean	q025	med	q975	x_mean	x_q025	x_med	x_q975	osi
1	0.0	5.533268747308713e-07	5.533093309958494e-07	5.533240193843823e-07	5.533448423534331e-07	0.00034299606780247434	0.000342983667834743	0.0003429965901341446	0.000343006083071376	0.0
2	0.0	6.818509868833709e-07	6.818192158270238e-07	6.818447947955602e-07	6.818900678899221e-07	0.00034390651059451843	0.0003438814409869218	0.00034390871578955895	0.00034392514754365	0.0
3	0.0	8.349784346427259e-07	8.349271158711174e-07	8.349676207945656e-07	8.350470829141881e-07	0.00034503372075426434	0.0003449957264079596	0.0003450373738365965	0.00034506104693627786	0.0
4	0.0	1.0161751573962963e-06	1.0160975939576742e-06	1.016158027444983e-06	1.0162842953696244e-06	0.000346421011190264	0.00034636996440590763	0.0003464256687786958	0.00034645720720688245	0.0
5	0.0	1.2291583828213713e-06	1.2290450277033664e-06	1.2291336677399685e-06	1.229321265339358e-06	0.00034811878757184993	0.0003480545946842381	0.00034812449634733	0.0003481640060064011	0.0
6	0.0	1.4778233873794118e-06	1.4776647046460152e-06	1.477789368358441e-06	1.478055985875383e-06	0.0003501853998344366	0.000350107942803627	0.00035019222169871856	0.00035023966787410863	0.0
7	1.726666300657332e-07	1.7662565919926423e-06	1.7660402073555793e-06	1.7662108746891934e-06	1.76657845736982e-06	0.0003526883004445557	0.00035259743192840267	0.00035269631639097906	0.00035275175110793393	0.141966667
8	2.876665903571733e-07	2.0986096280348197e-06	2.0983208334782835e-06	2.0985494015996996e-06	2.0990440625011975e-06	0.0003557051538494075	0.00035560069170376395	0.00035571470772567746	0.00035577795335815896	0.1574
9	5.459999495873936e-07	2.4791296127495204e-06	2.4787507490009604e-06	2.4790516075052674e-06	2.479704132236481e-06	0.0003593254041011394	0.000359207125071437	0.00035933650880117445	0.0003594081742500913	0.18209999999999998
10	8.618333752862901e-07	2.9119795247465283e-06	2.91148689093888e-06	2.9118799802946894e-06	2.9127262438701947e-06	0.0003636518546183529	0.00036351948761785845	0.00036366398432876635	0.0003637451363187636	0.2068
