time	data	mean	q025	med	q975	x_mean	x_q025	x_med	x_q975	osi
1	0.0	9.584008055069663e-06	9.56462721765396e-06	9.583890682369696e-06	9.602616765064152e-06	9.728675266711019e-05	9.693852828598452e-05	9.73003790292118e-05	9.760982903916324e-05	0.0
2	0.0	1.0089423775189908e-05	1.0068627835564586e-05	1.0088316937621088e-05	1.0112896562776864e-05	9.484879343119177e-05	9.415087601399996e-05	9.487746588334242e-05	9.549816698423398e-05	0.0
3	0.0	1.0608522431534188e-05	1.0586269833273479e-05	1.0606802102124322e-05	1.0639756857961311e-05	9.271648456845011e-05	9.168820797330547e-05	9.27644005890448e-05	9.367245053972838e-05	0.0
4	0.0	1.1140666477221602e-05	1.1116442472027791e-05	1.1138409853787384e-05	1.1180534220035541e-05	9.087962337145956e-05	8.953415137636243e-05	9.094527923915588e-05	9.213343351644217e-05	0.0
5	0.0	1.1685213033988329e-05	1.1656584134136669e-05	1.1682245014402766e-05	1.173442896876419e-05	8.932994979284665e-05	8.76776420846327e-05	8.94076316770585e-05	9.086678726135617e-05	0.0
6	0.0	1.2241441678868728e-05	1.2207593771431537e-05	1.2237434736352106e-05	1.2300728784165668e-05	8.806115620415867e-05	8.610931915991207e-05	8.815121779839828e-05	8.987334161398543e-05	0.0
7	1.726666300657332e-07	1.280847828329948e-05	1.2768939159589187e-05	1.280415028828519e-05	1.2878570652911102e-05	8.706878432251088e-05	8.482176371572942e-05	8.717198796406098e-05	8.91537571840986e-05	0.141966667
8	2.876665903571733e-07	1.3385398434922001e-05	1.3339965420904195e-05	1.3379386313031655e-05	1.3467041268469641e-05	8.635034838337367e-05	8.380956959555492e-05	8.646609002926244e-05	8.870818701194408e-05	0.1574
9	5.459999495873936e-07	1.3971202475421218e-05	1.3919515154225032e-05	1.3964540344448629e-05	1.4065149478232076e-05	8.59054470977802e-05	8.306939706929395e-05	8.603324312504628e-05	8.853891210780176e-05	0.18209999999999998
10	8.618333752862901e-07	1.4564890443899672e-05	1.450658669945009e-05	1.455818313187609e-05	1.4671903752193955e-05	8.573576390282429e-05	8.259778875815785e-05	8.587524164058126e-05	8.865034196206461e-05	0.2068
11	1.2063332735978476e-06	1.5165389480566882e-05	1.5098708290962452e-05	1.5157606286776001e-05	1.5286229514104816e-05	8.5845189898964e-05	8.239696204527267e-05	8.599607834723451e-05	8.904917020693413e-05	0.2315
12	1.579666593119508e-06	1.5771463598496647e-05	1.5695499356854824e-05	1.576251047321985e-05	1.590689104599065e-05	8.623974697147504e-05	8.247059245884731e-05	8.640187127620047e-05	8.974433516270846e-05	0.24076666700000002
13	3.105499946307121e-06	1.638187771651281e-05	1.6296104285979572e-05	1.6372279290418214e-05	1.6532645408606672e-05	8.692786278120438e-05	8.282335242533642e-05	8.71011329312522e-05	9.07473243568701e-05	0.259283333
14	7.91166658207017e-06	1.6995319356251346e-05	1.6899213336323296e-05	1.698489784456604e-05	1.7162172409219604e-05	8.792083107163348e-05	8.345712300992895e-05	8.810523756786806e-05	9.207275659445826e-05	0.2886
15	1.2836666607967055e-05	1.761047487814569e-05	1.7503515462568952e-05	1.7598993470597688e-05	1.7794151279227893e-05	8.923281581554269e-05	8.438728917038125e-05	8.94284255625564e-05	9.373838858867723e-05	0.30865
16	1.744666674263087e-05	1.8226026405651315e-05	1.8107697501485214e-05	1.8213892687725223e-05	1.8427250875207254e-05	9.088091564640386e-05	8.562670873768918e-05	9.108786152158993e-05	9.57651854477006e-05	0.370366667
17	2.2456666739177953e-05	1.8840532696021377e-05	1.871033880292306e-05	1.8828320637927454e-05	1.9059990914294356e-05	9.28858949782807e-05	8.71914673761006e-05	9.310437998552646e-05	9.817820740127852e-05	0.43671666699999995
18	2.3003333274633727e-05	1.9452508056430367e-05	1.9309956047703855e-05	1.9439885149788624e-05	1.9690879680986867e-05	9.527122856331987e-05	8.910003080253542e-05	9.550151054340985e-05	0.00010100550670299888	0.503066667
19	2.2541666709828147e-05	2.0060491720948645e-05	1.990510615126171e-05	2.004724564665168e-05	2.0318423612113172e-05	9.80649916760663e-05	9.13747691043695e-05	9.83108552269172e-05	0.00010428034199721654	0.560166667
20	1.9258333359230222e-05	2.0663011121082904e-05	2.049433620047324e-05	2.064891108729513e-05	2.0941117883326163e-05	0.00010130040916287242	9.404245688948815e-05	0.00010157746053117562	0.00010804182957271172	0.6064666670000001
21	1.672499992230934e-05	2.125859368833975e-05	2.1076193282214997e-05	2.1243850114010182e-05	2.1557457670279008e-05	0.00010501585544189828	9.713427328628607e-05	0.0001053222205444496	0.00011233494336268997	0.663566667
22	1.4358333324701037e-05	2.1845766832039675e-05	2.1649224483363375e-05	2.183125283626781e-05	2.2165937776965564e-05	0.00010925485596625174	0.00010068580194366741	0.00010957131287375033	0.00011721265435861184	0.679
23	1.2108333411023996e-05	2.2423045289975958e-05	2.2211974642182e-05	2.240775546301455e-05	2.2765012767982065e-05	0.00011406687673757845	0.00010473694627490538	0.00011439248586454093	0.00012274128657746897	0.6898
24	1.4405000032802725e-05	2.298892166028131e-05	2.2762967616341693e-05	2.29746638885127e-05	2.3353142182358574e-05	0.00011950881816916101	0.00010933254422413066	0.00011985241389678963	0.00012900425309764132	0.7006
25	1.5666666666666667e-05	2.354197310432353e-05	2.330079536039664e-05	2.35281056065016e-05	2.3928863295373893e-05	0.00012564553797054354	0.00011452749689047851	0.00012601211314751496	0.00013605805920279508	0.7114
26	1.6699999930941634e-05	2.408080382537979e-05	2.382410532914737e-05	2.4064803568548106e-05	2.4490715525722322e-05	0.00013255128774485356	0.00012038267849998298	0.00013295271324455037	0.000143994489923429	0.7222000000000001
27	1.5716666649402077e-05	2.4604023175700366e-05	2.4331546599527198e-05	2.4585769509878794e-05	2.5037257221603003e-05	0.00014030992265858048	0.00012696693291934874	0.0001407770607392623	0.00015296618010149317	0.7222000000000001
28	1.7300000069058366e-05	2.5110296147324127e-05	2.482180922218996e-05	2.5089670813063683e-05	2.5567100639773856e-05	0.0001490164882174741	0.00013435805239631854	0.00014956012842950238	0.00016304481289502177	0.7222000000000001
29	1.8316666614872893e-05	2.5598346138716584e-05	2.529365269328657e-05	2.5576242403569982e-05	2.6078923555039265e-05	0.0001587786691551972	0.00014264397712892464	0.00015940836445257548	0.00017436029162797663	0.7222000000000001
30	1.9733333367862516e-05	2.606697144711508e-05	2.5745914672897104e-05	2.6045645119891225e-05	2.657144344159697e-05	0.00016971896633442913	0.0001519245904061053	0.00017039444126140736	0.00018706192916774684	0.7222000000000001
31	2.2450000017264588e-05	2.6514997652510087e-05	2.6177479016647234e-05	2.64943955104627e-05	2.7043432178284552e-05	0.00018197546780899	0.00016231262516415491	0.00018276117604517245	0.00020131866009251185	0.7222000000000001
32	2.453333326427497e-05	2.6941337816495174e-05	2.6587279150917796e-05	2.6922205052952483e-05	2.749375061972683e-05	0.00019570401329335464	0.00017393474636240124	0.00019663256818687125	0.00021732208435287098	0.7222000000000001
33	2.856666670119585e-05	2.7344993609224552e-05	2.697435820733622e-05	2.73264322096447e-05	2.792133413888518e-05	0.00021108077034257406	0.0001869335807639158	0.00021217722576382682	0.00023528982912538192	0.7222000000000001
34	2.98666665976083e-05	2.7725034636126598e-05	2.7337841840355858e-05	2.7706163893126926e-05	2.8325176114730727e-05	0.00022830447839972443	0.00020146997515056188	0.00022959822705689105	0.0002554676754118154	0.7222000000000001
35	3.388333331606874e-05	2.808060568946153e-05	2.767691533281726e-05	2.806210426032882e-05	2.8704376080187718e-05	0.00024759854727767193	0.0002177242529281175	0.00024911746362673627	0.0002781335253957922	0.7222000000000001
36	3.646666673572503e-05	2.8410959298973354e-05	2.7990862478945503e-05	2.8393896863394878e-05	2.9058117359798033e-05	0.00026921441505091116	0.00023589842534785374	0.00027091595297222006	0.00030360176624545605	0.7222000000000001
37	3.951666671846044e-05	2.8715428587449895e-05	2.8279071255877194e-05	2.8698890325747848e-05	2.9385662588520774e-05	0.00029343461094058086	0.00025621900916428356	0.0002953435137923281	0.0003322265223541637	0.7222000000000001
38	4.5466666735725035e-05	2.8993435417034346e-05	2.854100655980585e-05	2.8977435845898113e-05	2.968638655998519e-05	0.0003205756382728669	0.00027893909398707146	0.00032271996042782647	0.0003644070385305504	0.7222000000000001
39	4.906666670119585e-05	2.9244508893411033e-05	2.877623049363548e-05	2.9229458269968686e-05	2.9959745098143638e-05	0.0003509920342922002	0.00030434080745220173	0.00035340371269827406	0.0004005924746811668	0.7222000000000001
40	5.196666673572504e-05	2.946826313545996e-05	2.898441002840587e-05	2.9452460062469283e-05	3.0205298872713117e-05	0.0003850799081856165	0.00033273863422199064	0.0003877951791151618	0.0004412868243339331	0.7222000000000001
41	5.2833333333333335e-05	2.96644137881072e-05	2.9165295974243052e-05	2.9647851159395704e-05	3.042270804126255e-05	0.0004232807999138632	0.00036448181396000427	0.0004263927030782577	0.00048705562924927	0.7222000000000001
42	5.68666665976083e-05	2.9832774338186553e-05	2.9318741705826344e-05	2.9815448543914168e-05	3.061172192174843e-05	0.00046608625678183483	0.00039987399811767957	0.0004697476840482797	0.0005385309117166101	0.7222000000000001
43	5.823333336786252e-05	2.997324744876005e-05	2.9444694518151416e-05	2.995515555124104e-05	3.077219953713523e-05	0.0005140416318107178	0.0004393646345160243	0.0005183463051427028	0.0005964184418742967	0.7222000000000001
44	5.419999993094163e-05	3.0085837121961845e-05	2.9543189221647443e-05	3.0066979524337543e-05	3.090408400633448e-05	0.0005677507563824195	0.00048345156405131003	0.0005728076323145345	0.0006615038203145647	0.7222000000000001
45	5.019999993094163e-05	3.0170633648102773e-05	2.9614357582136517e-05	3.015180302128587e-05	3.100742280102178e-05	0.0006278801693898104	0.0005326464922077917	0.0006338155050762506	0.0007346592983597197	0.7222000000000001
46	4.690000003452918e-05	3.022782027861261e-05	2.965841596283909e-05	3.0207564110219512e-05	3.1082347625746885e-05	0.0006951632745873669	0.0005875850724241145	0.000702123053678501	0.0008168506860973735	0.7222000000000001
47	4.2983333281539565e-05	3.0257665096300183e-05	2.967566568329981e-05	3.0238209839117745e-05	3.112908532066038e-05	0.0007704045151188925	0.0006490165074380361	0.000778557243018747	0.0009091436825441692	0.7222000000000001
48	3.5883333316068744e-05	3.0260520093989826e-05	2.9666491138257305e-05	3.0242231787679395e-05	3.114794349314194e-05	0.0008544828422915697	0.0007174645990286506	0.0008638429160478668	0.0010127105224633337	0.7222000000000001
49	3.1916666580343715e-05	3.0236816062177875e-05	2.9631352336057277e-05	3.0219761953694946e-05	3.11393158684203e-05	0.0009483550535213966	0.0007936615717443121	0.00095843984745643	0.0011288356046626898	0.7160333329999999
50	3.0099999965470817e-05	3.018705926649118e-05	2.9570783928415993e-05	3.0171302688589016e-05	3.1103670562969284e-05	0.001053058104989893	0.0008783975460521496	0.001063898092914745	0.0012589207096274522	0.709866667
51	3.05e-05	3.0111826090330595e-05	2.948538846571984e-05	3.009742755733304e-05	3.104155138930849e-05	0.0011697108502266337	0.0009725203788615917	0.0011816723480630837	0.0014044892659050836	0.7037
52	3.098333328153956e-05	3.0011759196298406e-05	2.937583277961591e-05	2.999735586973174e-05	3.095356948628776e-05	0.0012995144524743727	0.0010765254828627373	0.0013129941980903888	0.0015671888915444437	0.697533333
53	3.0733333367862516e-05	2.988756164487384e-05	2.924284232665728e-05	2.987253967526971e-05	3.084039962938072e-05	0.0014437516565257676	0.001191593014944893	0.0014594681682040607	0.0017487931398958577	0.691366667
54	3.0699999930941635e-05	2.973999254156053e-05	2.9087196730213413e-05	2.9724384922257658e-05	3.07027756576258e-05	0.0016037844415699757	0.0013187890132721045	0.0016220723692634757	0.0019512002619354299	0.6852
55	2.8916666752989624e-05	2.9569861334375434e-05	2.8909723439595075e-05	2.9553705275137726e-05	3.0541483729011224e-05	0.0017810498519681077	0.0014591543394764173	0.0018016929225714963	0.002176430558004419	0.6852
56	2.9216666649402076e-05	2.937802266585578e-05	2.871129417287756e-05	2.936136034709753e-05	3.0357358402728954e-05	0.0019770539637216245	0.0016137710980949182	0.0019999426809158747	0.0024266206019454293	0.6852
57	2.9766666632137485e-05	2.9165371257971817e-05	2.8492817316909062e-05	2.914824903562548e-05	3.0151276808037625e-05	0.0021933633939627746	0.0017837545193185695	0.002218719613478151	0.002704014135435817	0.6852
58	2.88666665976083e-05	2.8932836371095282e-05	2.825523524778118e-05	2.8915305298305696e-05	2.9924153017049163e-05	0.0024315945828867207	0.001970244423506447	0.0024586961154899017	0.0030109502828057715	0.6852
59	2.795000001726459e-05	2.8681376872740984e-05	2.7999516720430072e-05	2.8663492412260204e-05	2.9676933502794537e-05	0.002693400383495934	0.0021743935256307604	0.0027222319396371015	0.0033498474033893423	0.6852
60	3.0599999965470816e-05	2.841197614249369e-05	2.772665364893017e-05	2.8393362168480434e-05	2.941059188460385e-05	0.002980453868527079	0.002397354934031374	0.00301101415984332	0.0037231829460239547	0.6852
61	3.056666670119585e-05	2.8125637056484435e-05	2.743765522524023e-05	2.8106295138361902e-05	2.9126123820157475e-05	0.003294429575428658	0.0026402671323810145	0.0033266947866368857	0.004133469727385138	0.6852
62	2.8916666752989624e-05	2.7823377427443246e-05	2.713354316362918e-05	2.7803408954074802e-05	2.882454260703886e-05	0.0036369817745026804	0.0029042371131634045	0.003672334193013235	0.004583227329524612	0.6852
63	2.706666670119585e-05	2.7506225429117685e-05	2.681534783481676e-05	2.7485422471072074e-05	2.850687477499537e-05	0.00400972017368145	0.003190322536921502	0.004048826671741727	0.005074949211292113	0.6852
64	2.6900000034529183e-05	2.7175215243189273e-05	2.6484102997167387e-05	2.7153687740986064e-05	2.8174155712207043e-05	0.0044141832514832955	0.0034995111155562385	0.004457337951606572	0.005611066264623936	0.6852
65	2.7266666632137485e-05	2.6831383106623042e-05	2.6140842365833442e-05	2.6807946604902647e-05	2.7827425740456496e-05	0.004851809183246668	0.0038327002325725537	0.004899311137985006	0.006193906096418425	0.6852
66	2.490000003452918e-05	2.647576346351165e-05	2.578659558093649e-05	2.6450491758399686e-05	2.7467726596661242e-05	0.0053239051712773485	0.004190674311046427	0.005374731590799665	0.006825648699253239	0.6852
67	2.393333329880415e-05	2.6109385347901693e-05	2.5422384190617093e-05	2.608235817400466e-05	2.7096097970070878e-05	0.005831615430952008	0.004574082403211305	0.005884376912598343	0.007508279924627693	0.6852
68	2.3733333367862518e-05	2.5733269168234863e-05	2.504921899533452e-05	2.570457163899731e-05	2.671357417858317e-05	0.006375888339679514	0.004983415778362463	0.006430642824681532	0.008243542776173342	0.6852
69	2.356666670119585e-05	2.5348423592459115e-05	2.4668096156012943e-05	2.5318145705714262e-05	2.6321181424178375e-05	0.00695744377005609	0.005418985055768983	0.007018286702512641	0.009032887043140573	0.6852
70	2.3400000034529186e-05	2.495584268146532e-05	2.4279994876599372e-05	2.4924078799260435e-05	2.5919935246496445e-05	0.007576740980424459	0.0058808998412334355	0.007644647971957933	0.009877419692466796	0.6852
71	2.2450000017264588e-05	2.4556503402809807e-05	2.388587447360014e-05	2.4523351586967065e-05	2.5510837734548477e-05	0.008233948100534662	0.006369048081268322	0.008310948597639641	0.01077785637363088	0.6852
72	2.221666664940208e-05	2.4151363130068664e-05	2.3486672031317478e-05	2.4116924632928536e-05	2.5094875434541367e-05	0.008928914100145713	0.0068830794018916236	0.00901497307644605	0.011734474504455522	0.6852
73	2.3333333333333332e-05	2.3741357527041164e-05	2.3083300275786816e-05	2.3705736057221694e-05	2.467301754106113e-05	0.00966114382144783	0.0074223896424184576	0.009754387126369406	0.012747071403001617	0.6852
74	2.290000003452918e-05	2.3327398599837953e-05	2.2676645562542372e-05	2.3290699819492228e-05	2.424621333972981e-05	0.010429777295924068	0.007986109671229402	0.010532606388195755	0.013814926925805058	0.6852
75	2.1833333333333333e-05	2.2910372760267527e-05	2.2267565981706328e-05	2.2872703447284927e-05	2.381539094430087e-05	0.011233573785386523	0.00857309754567692	0.011346661279529307	0.014936771997328457	0.6852
76	1.9900000034529182e-05	2.249113937190182e-05	2.185689029652805e-05	2.2454475031050817e-05	2.3381455607089703e-05	0.012070901409581686	0.00918193461048573	0.012194923342262742	0.016110766302942704	0.6852
77	1.8783333350597925e-05	2.2070529054490437e-05	2.144541549785163e-05	2.2037000545708162e-05	2.2945287306863252e-05	0.012939732982534442	0.009810926983012499	0.013073154317097973	0.017334483005367045	0.6852
78	1.6800000069058364e-05	2.1649342544811688e-05	2.1033907542130903e-05	2.161509811609848e-05	2.2507740814640758e-05	0.01383764827024791	0.010458110123591291	0.013975527037534591	0.018604903933412482	0.6852
79	1.4239999917129963e-05	2.1228349322270336e-05	2.0623097130128148e-05	2.119321477703873e-05	2.2069642060927308e-05	0.014761843272203179	0.011121260579307752	0.014903750993943931	0.0199184254689296	0.6852
80	1.3589999968923735e-05	2.0808286662977398e-05	2.0213683616657166e-05	2.0773183191750756e-05	2.1631789422735975e-05	0.015709146260976022	0.011797909875331308	0.01585459784075499	0.021270872662474086	0.6852
81	1.235666660106122e-05	2.0389858665150523e-05	1.9806328745518312e-05	2.0354772568753934e-05	2.1194949207802112e-05	0.01667604080354146	0.012485364348758802	0.016824497990143704	0.022657528482525304	0.6852
82	1.1923333302257068e-05	1.9973735358219128e-05	1.9401659001143703e-05	1.9938655441850993e-05	2.07598585091252e-05	0.017658695207819892	0.0131807322807614	0.01781551632889988	0.024073166077397443	0.6852
83	1.0853333326427497e-05	1.9560552145616272e-05	1.900027144060999e-05	1.9525467709117977e-05	2.032721846670071e-05	0.018652998369480193	0.013880604118233792	0.018821232031429207	0.025512101646804446	0.6852
84	1.0853333326427497e-05	1.9150909648594976e-05	1.8602717123130673e-05	1.9117767561204794e-05	1.989770071104042e-05	0.019654599837218917	0.014581825610677055	0.019834593640187394	0.026968243590805338	0.6852
85	1.1629999955112064e-05	1.8745372079685667e-05	1.8209513221876365e-05	1.8714340172691523e-05	1.9471937961692298e-05	0.020658956497187287	0.015281329145611628	0.02085101616091409	0.02843515767969188	0.6852
86	1.1246666639043322e-05	1.834446815434863e-05	1.7821152159969948e-05	1.8312449517442285e-05	1.905052853979388e-05	0.021661381926822335	0.015975730336444626	0.02186576186668027	0.029906146231263128	0.6759333329999999
87	1.0694999932668094e-05	1.7948691096537343e-05	1.7438079366638758e-05	1.791565250948852e-05	1.863403990458015e-05	0.02265709730389823	0.016661612861580265	0.022874012653153857	0.031374304424220505	0.666666667
88	1.041166658207017e-05	1.755849740794812e-05	1.7060702075999404e-05	1.7523415117286928e-05	1.822299305717674e-05	0.023641286500792526	0.017335570677107698	0.023870896044052597	0.032832609597990274	0.6574
89	1.1298333345418547e-05	1.7174308772649405e-05	1.6689405885700008e-05	1.7140183997674686e-05	1.781787585184679e-05	0.024609148880733112	0.01799424089861123	0.024851550206425165	0.03427402052969306	0.643516667
90	9.891666588976006e-06	1.67965110958955e-05	1.6324534207722978e-05	1.6763639307855273e-05	1.7419146664051164e-05	0.025555952798992792	0.018634337701638838	0.0258111904991626	0.035691518564105115	0.629633333
91	8.971666733998572e-06	1.6425454626545695e-05	1.59663923136823e-05	1.6393526615376662e-05	1.7027216203103565e-05	0.02647708951432132	0.019252696279325958	0.026745149884735076	0.03707820835326185	0.61575
92	8.629999955112062e-06	1.6061456670733327e-05	1.5615263483126426e-05	1.6030331827777957e-05	1.6642457343369357e-05	0.027368120920004374	0.01984630209920615	0.02764892372924535	0.03842740664150017	0.611133333
93	8.168333390306485e-06	1.5704801048448853e-05	1.527139593867276e-05	1.5674478380634367e-05	1.6265217453103376e-05	0.028224824793731056	0.02041231889024408	0.028518228311743662	0.03973269015933651	0.606516667
94	8.80166662005227e-06	1.535573789224047e-05	1.4935001345749155e-05	1.5326221135369953e-05	1.5895800155347944e-05	0.02904323833989029	0.020948121169273692	0.029343195041929115	0.0409879661537954	0.6019
95	7.886666590702465e-06	1.5014486556829553e-05	1.460626856688437e-05	1.4985775398775278e-05	1.553446932765994e-05	0.02981969494634856	0.02145131560496884	0.030123382880181328	0.04218754326852681	0.6019
96	8.146666673572504e-06	1.4681237086225581e-05	1.4285361402004324e-05	1.4653322043039781e-05	1.5182012472208135e-05	0.030550854418138915	0.02191975991242232	0.03085753522119887	0.04332617497195032	0.6019
97	7.83000005869961e-06	1.4356149401469443e-05	1.3972337607697094e-05	1.4329195729094554e-05	1.4838862056643037e-05	0.03123373016381804	0.022351579826768102	0.031542659666514455	0.04439909673603762	0.6019
98	7.311666616599353e-06	1.4039355292994819e-05	1.366717210407859e-05	1.4013016619733706e-05	1.4504491387255112e-05	0.031865710157654735	0.022745181528407894	0.03217613781539433	0.0454020696722492	0.6019
99	7.45666673917795e-06	1.3730962342437896e-05	1.3370166139314897e-05	1.3705397316866871e-05	1.4178921982185067e-05	0.03244457036318618	0.023099256891365844	0.032755747462723125	0.0463314082347761	0.6019
100	6.275000077690661e-06	1.3431052829237884e-05	1.30813821884673e-05	1.340825003313054e-05	1.3862743209101131e-05	0.032968484259144885	0.023412789428436987	0.03327967043382715	0.047183986522003285	0.6019
101	6.956666739177949e-06	1.3139684189066787e-05	1.2800859489852166e-05	1.3119061856656969e-05	1.355556696644291e-05	0.0334360263960315	0.023685051542421974	0.03374649234303365	0.047957260174297626	0.6019
102	7.3300000586996095e-06	1.28568931471743e-05	1.2528616745404697e-05	1.28379340550211e-05	1.3256923652517094e-05	0.033846169435300125	0.023915602222043378	0.034155202498572755	0.048649262268513405	0.6019
103	7.156666670119584e-06	1.2582699919668883e-05	1.2262729389212994e-05	1.256680432032136e-05	1.2965466529501307e-05	0.03419827826749667	0.02410427796555923	0.0345051880355482	0.04925859224358345	0.597266667
104	6.553333257369132e-06	1.2317103526739343e-05	1.2004360741801066e-05	1.23052368483408e-05	1.2683174640431028e-05	0.03449210000279266	0.024251185169061457	0.03479622347307135	0.049784413338804914	0.592633333
105	6.6099999620178985e-06	1.2060085324188292e-05	1.1754349898964703e-05	1.2049637211628304e-05	1.2410034001865215e-05	0.034727747850742945	0.024356684877721323	0.03502844736381995	0.05022643224098052	0.588
106	5.890000037982101e-06	1.1811613213823235e-05	1.1512661017636236e-05	1.1800847400670137e-05	1.214601626995097e-05	0.03490568210155984	0.024421377662611623	0.035202353043881945	0.050584871706874875	0.5833666670000001
