time	data	mean	q025	med	q975
1	0.0	9.858422883587081e-07	8.04647188949961e-07	9.823300709195999e-07	1.2051077020036343e-06
2	0.0	1.1140089454605547e-06	9.143352920754223e-07	1.1117282753443503e-06	1.35195279353028e-06
3	0.0	1.255876756422005e-06	1.0364775174563212e-06	1.2541191884180043e-06	1.5132974231529365e-06
4	0.0	1.412474689339265e-06	1.1721124369009625e-06	1.4096463298969836e-06	1.6901001837274527e-06
5	0.0	1.584817171892737e-06	1.3222712730693749e-06	1.5824885189473002e-06	1.883286060916987e-06
6	0.0	1.7739535622574167e-06	1.4880369702595208e-06	1.7733547438141101e-06	2.0938044273924514e-06
7	1.6520001010698972e-07	1.980899349842997e-06	1.6704891005547502e-06	1.9781363987632638e-06	2.3232738167141802e-06
8	1.351999379142061e-07	2.2066640882534646e-06	1.8706899792848194e-06	2.205464708503028e-06	2.5719471795289005e-06
9	2.2536673934073548e-07	2.4522238941204215e-06	2.089728632648272e-06	2.4529407653401166e-06	2.8406402392286416e-06
10	3.9033338627470795e-07	2.7184989795250652e-06	2.3286202727130767e-06	2.721422076357996e-06	3.128882144432268e-06
11	4.504999350264947e-07	3.006362878881122e-06	2.5883749785572775e-06	3.010833869219866e-06	3.43675674987555e-06
12	5.258332852048109e-07	3.316593173918299e-06	2.8699379411946364e-06	3.322419129871503e-06	3.76674673273495e-06
13	7.658333213012027e-07	3.6498927330705326e-06	3.1741593267151005e-06	3.654486393101059e-06	4.119064015585314e-06
14	9.758332852048108e-07	4.006835461312266e-06	3.501846989565063e-06	4.009199423230632e-06	4.497912295387013e-06
15	1.1856666642602406e-06	4.3878822961503756e-06	3.856652706852112e-06	4.391850736857236e-06	4.899448496381513e-06
16	1.577333270766254e-06	4.793339812574023e-06	4.233308794809673e-06	4.804409348869763e-06	5.322647749314453e-06
17	3.2205000433156703e-06	5.223358204421445e-06	4.632482589648661e-06	5.236765091340011e-06	5.768845693629645e-06
18	5.938333285204811e-06	5.677910667176037e-06	5.0751836031413665e-06	5.692845951441649e-06	6.237808021493302e-06
19	7.79833324910842e-06	6.156776958447768e-06	5.534156569104022e-06	6.169390458885947e-06	6.736889640464964e-06
20	8.159999963903608e-06	6.659535996239136e-06	6.016313278509409e-06	6.675538488839432e-06	7.251432758230907e-06
21	8.853333321301202e-06	7.185546113913947e-06	6.514236657994215e-06	7.198675955070959e-06	7.78651543246405e-06
22	9.605000072192783e-06	7.733945279163325e-06	7.043348801088181e-06	7.752182549492612e-06	8.341108170126058e-06
23	8.323333249108418e-06	8.30363366184018e-06	7.591946084980686e-06	8.317675130402076e-06	8.927744560163035e-06
24	7.373333249108419e-06	8.893278567876839e-06	8.179077410818301e-06	8.914913561341672e-06	9.521521519838119e-06
25	6.776666750891581e-06	9.501305264304292e-06	8.792158132351777e-06	9.531390277826598e-06	1.0148749211881344e-05
26	8.405000072192784e-06	1.0125904021311744e-05	9.415180700467887e-06	1.014327979944826e-05	1.0770826086688777e-05
27	1.0511666714795188e-05	1.0765029496234071e-05	1.0056220276119886e-05	1.077616927858782e-05	1.1415732511265749e-05
28	1.1421666678698796e-05	1.141641514707853e-05	1.0697164560254281e-05	1.1432071057164232e-05	1.2070719446106452e-05
29	1.3736666714795189e-05	1.2077577859108347e-05	1.1348661905605098e-05	1.2102795402317602e-05	1.273322342906751e-05
30	1.4453333321301203e-05	1.2745836748051158e-05	1.2010550662556562e-05	1.2766261669587873e-05	1.341233053823571e-05
31	1.53e-05	1.3418333988521754e-05	1.2680316010285772e-05	1.3440113434652259e-05	1.4100177404482784e-05
32	1.56e-05	1.4092046490876598e-05	1.3355032641025421e-05	1.4105552196850753e-05	1.4756825136485447e-05
33	1.6283333393493984e-05	1.4763821970248724e-05	1.403167371387471e-05	1.4774514897989295e-05	1.5428419758861796e-05
