time	data	mean	q025	med	q975	x_mean	x_q025	x_med	x_q975	osi
1	0.0	9.574245588549638e-07	7.427333030217231e-07	9.491093388788352e-07	1.2208832596997398e-06	0.0022431202205832855	1.7596751848484818e-09	3.819746613447661e-05	0.020856422739149297	0.0
2	0.0	1.08580394261434e-06	8.497031325040546e-07	1.0771425920530536e-06	1.3693602043818124e-06	0.001070085546662801	-4.114355608350189e-11	2.720926460450125e-07	0.013251967375405769	0.0
3	0.0	1.2267494226973387e-06	9.69345046342681e-07	1.218414602668826e-06	1.5310717128795555e-06	0.000640223072825081	-1.1485202210962304e-10	1.264294160285421e-09	0.008631507971944782	0.0
4	0.0	1.3824665827003817e-06	1.102889836304421e-06	1.3746331333827782e-06	1.7103832676187492e-06	0.00041614155675181216	-1.0317053499454168e-10	1.2363655170436893e-10	0.005932862804909737	0.0
5	0.0	1.5541116537509302e-06	1.2515460204529757e-06	1.54593005729571e-06	1.9125887307950612e-06	0.00028091227233980996	-9.48325220905367e-11	9.471995832878755e-11	0.004382352537628231	0.0
6	0.0	1.7427822676470614e-06	1.4164371599477518e-06	1.7348706704718315e-06	2.127366027213135e-06	0.00019352437757441104	-1.308364927472643e-10	7.610108229208168e-11	0.0032369968891233156	0.0
7	1.6520001010698972e-07	1.9495570480695905e-06	1.5987427225635234e-06	1.9421830668403443e-06	2.3570309700762897e-06	0.00013500478075080752	-1.2360424174352184e-10	6.015438736862876e-11	0.0023912625519902247	0.19440000000000002
8	1.351999379142061e-07	2.1754934050104777e-06	1.799645231742913e-06	2.1688809496788663e-06	2.605521207101186e-06	9.500164813550075e-05	-1.1387733390237349e-10	7.529086907859004e-11	0.00176402928523219	0.19440000000000002
9	2.2536673934073548e-07	2.4216163415253672e-06	2.0204115252214643e-06	2.416017859794689e-06	2.8737080646998493e-06	6.729474632334858e-05	-1.1068050182899988e-10	4.658655261907059e-11	0.001301804033867044	0.19440000000000002
10	3.9033338627470795e-07	2.6889048736616424e-06	2.2635127044734194e-06	2.684602837333652e-06	3.1623081550572245e-06	4.792798447985968e-05	-1.0553010001280292e-10	5.412991401331343e-11	0.0009478828720034477	0.19440000000000002
11	4.504999350264947e-07	2.9782765907382946e-06	2.5258657461302337e-06	2.975584602090524e-06	3.472054970236232e-06	3.4297099215529564e-05	-1.0920084565113632e-10	3.673873796003984e-11	0.0006694483399535226	0.19440000000000002
12	5.258332852048109e-07	3.2905714003781235e-06	2.8118562795107033e-06	3.2903728238688894e-06	3.8035318232128886e-06	2.4649965075970196e-05	-1.2933244423370328e-10	2.3546899529017905e-11	0.00047378739445314006	0.19440000000000002
13	7.658333213012027e-07	3.6265341544725994e-06	3.1222858947351857e-06	3.629789525493107e-06	4.191177534416485e-06	1.7790275339910672e-05	-1.2507007353789068e-10	2.7165827673962626e-11	0.0003360388077080783	0.19440000000000002
