time	data	mean	q025	med	q975	x_mean	x_q025	x_med	x_q975	osi
1	0.0	9.783799530167647e-07	8.172707078035725e-07	9.726452812645877e-07	1.1612753427881175e-06	0.004600360635798177	2.1995021414552885e-07	0.0005584282973797683	0.025691001548770343	0.0
2	0.0	1.1085266565295601e-06	9.318130417903983e-07	1.1029774917151656e-06	1.3109400915554898e-06	0.002550746597966838	1.3247918855569519e-11	3.0870819714150216e-05	0.02027335148213671	0.0
3	0.0	1.2508621624770493e-06	1.0586955027911765e-06	1.245926272192572e-06	1.473419634014001e-06	0.0018336752910597077	-4.637281244228033e-11	2.387974827125266e-06	0.016728100727695486	0.0
4	0.0	1.4077693072390827e-06	1.1997517525800954e-06	1.4033263579738043e-06	1.6493052585961613e-06	0.0015082949293246718	-8.468958830317719e-11	1.6125933094786262e-07	0.014189904142728107	0.0
5	0.0	1.5804375935153016e-06	1.3561404081697353e-06	1.5766364392821772e-06	1.8413076108124392e-06	0.0013395759977524004	-7.667496526187655e-11	1.1092286489769094e-08	0.012336925028854338	0.0
6	0.0	1.7699571590535707e-06	1.5289988153035696e-06	1.765898244611511e-06	2.0508802483237936e-06	0.0012434623737979287	-6.92654697391991e-11	5.942791922085322e-10	0.010950461826382426	0.0
7	1.6520001010698972e-07	1.9773837432075658e-06	1.719469622591326e-06	1.9736641729694532e-06	2.2789803703793516e-06	0.0011842430489560573	-1.004046841053386e-10	1.1280034088185507e-10	0.009898726775772828	0.19440000000000002
8	1.351999379142061e-07	2.2037447968199085e-06	1.9286908441230473e-06	2.200728818326738e-06	2.5265249225488077e-06	0.0011451242950837545	-7.882566204697758e-11	1.1897667328549345e-10	0.009248331981890914	0.19440000000000002
9	2.2536673934073548e-07	2.4500299581734756e-06	2.1577823042634553e-06	2.447730159041797e-06	2.7943823250254144e-06	0.0011176327643627538	-1.0557072298863341e-10	1.0312026100105145e-10	0.008653744037495789	0.19440000000000002
10	3.9033338627470795e-07	2.7171801735258846e-06	2.407831561204915e-06	2.7159355055830755e-06	3.0833586601060968e-06	0.0010972511345155105	-8.940737018802467e-11	1.1008090955211683e-10	0.008108982467645336	0.19440000000000002
11	4.504999350264947e-07	3.006072763636668e-06	2.679649119184721e-06	3.005176079326042e-06	3.394184784585052e-06	0.0010814562373304888	-1.1968022601773435e-10	8.393331261687872e-11	0.007608847112744919	0.19440000000000002
12	5.258332852048109e-07	3.3175058167019065e-06	2.9746601104673327e-06	3.3167554210431175e-06	3.7274953789608495e-06	0.0010687796936432882	-1.2744190984951036e-10	1.0876599019722319e-10	0.007148803551092691	0.19440000000000002
13	7.658333213012027e-07	3.652182456469466e-06	3.2944267300024652e-06	3.6512479869009424e-06	4.083823678201295e-06	0.0010583347930478212	-1.0058117820279736e-10	5.0183855695488816e-11	0.0067248877852732186	0.19440000000000002
14	9.758332852048108e-07	4.010692733080669e-06	3.6390956735644415e-06	4.009370946999217e-06	4.463575074647604e-06	0.0010495680744320415	-1.2683732206427862e-10	5.489493518208018e-11	0.006333623256566765	0.19440000000000002
15	1.1856666642602406e-06	4.3934980796332154e-06	4.009366537692103e-06	4.3929357161265224e-06	4.867050130243744e-06	0.001042123475588696	-1.329520221748344e-10	5.192621318424311e-11	0.005971951984467813	0.19440000000000002
16	1.577333270766254e-06	4.800912406190103e-06	4.405799180031219e-06	4.8011344734581056e-06	5.294654244126887e-06	0.0010357657380454083	-1.0400283984274354e-10	3.71597061856152e-11	0.005637174817722353	0.22373333299999998
