time	data	mean	q025	med	q975
1	0.0	7.510172912893455e-06	4.919437449938284e-06	7.67519235561755e-06	1.0224411057426637e-05
2	0.0	8.031718407533733e-06	5.353185163201397e-06	8.216719401571524e-06	1.0858718441554392e-05
3	0.0	8.57684440263806e-06	5.814821029459625e-06	8.77350123973053e-06	1.1515209080474348e-05
4	0.0	9.145459250404732e-06	6.2779152160069006e-06	9.339775483205439e-06	1.2193185883410515e-05
5	0.0	9.737428227912091e-06	6.754797237913815e-06	9.919431118673837e-06	1.2828564199370174e-05
6	0.0	1.0352407914683206e-05	7.256317393920862e-06	1.0511308034283515e-05	1.3476184609014512e-05
7	2.2668333723787083e-07	1.0989925793972465e-05	7.807404188873785e-06	1.1140652839549269e-05	1.4135758587538266e-05
8	3.006333361646581e-07	1.164941455586353e-05	8.394402790896592e-06	1.1809779630892768e-05	1.480757037042859e-05
9	4.5103333875749116e-07	1.233020911224486e-05	9.004319362570725e-06	1.2492454702671503e-05	1.5490389176321028e-05
10	4.943333297253816e-07	1.3031466096314259e-05	9.600491492581181e-06	1.3204183871382309e-05	1.6205197773766366e-05
11	6.366666709472872e-07	1.3752188627588155e-05	1.0220239728992757e-05	1.3925393001524264e-05	1.693976575773815e-05
12	9.399999932733104e-07	1.449126620630992e-05	1.0864064412128439e-05	1.4638975108606339e-05	1.7686571957630004e-05
13	1.3138333330581504e-06	1.5247461202227304e-05	1.1576830076919144e-05	1.53940864490981e-05	1.8446623559406058e-05
14	2.0839999941294343e-06	1.6019399126206295e-05	1.2251307524075595e-05	1.6135998543861977e-05	1.9206340405674845e-05
15	2.3801666708555597e-06	1.6805569345300485e-05	1.2944727304376343e-05	1.6885251203163256e-05	1.998645821059925e-05
16	3.0549999972481725e-06	1.7604323740080733e-05	1.365601887941828e-05	1.7644084708104113e-05	2.0763683906256775e-05
17	3.8100000067266892e-06	1.841389401697636e-05	1.4388464331891032e-05	1.846089785538368e-05	2.1542274130589032e-05
18	4.758333328746954e-06	1.923241446491215e-05	1.5147977749985967e-05	1.9325160650645133e-05	2.2403066831088656e-05
19	6.691666668195459e-06	2.0057915038588698e-05	1.592290561807506e-05	2.0171384073048973e-05	2.3232871710482105e-05
20	9.378333326912401e-06	2.0888305644495313e-05	1.6711807032622397e-05	2.1011925891007208e-05	2.398582661191837e-05
21	1.1010000003669102e-05	2.172141411873215e-05	1.7512504818437304e-05	2.183645966788674e-05	2.4803199400609424e-05
22	1.0373333332721816e-05	2.2555002213242342e-05	1.8335540195776636e-05	2.2653876813493788e-05	2.5645726847180787e-05
23	1.4908333337919713e-05	2.338676699469614e-05	1.9168425352111186e-05	2.3498371378947036e-05	2.6447980910879916e-05
24	1.6241666671253046e-05	2.421433867927371e-05	2.0007866799208006e-05	2.4299461388006555e-05	2.723250846964842e-05
25	1.7408333337919713e-05	2.503532460639707e-05	2.0852797734815613e-05	2.5184333339666127e-05	2.810150783124558e-05
26	1.857500000458638e-05	2.584729577044352e-05	2.1698710727512197e-05	2.5935905145772287e-05	2.8904975863118747e-05
27	2.1041666674310633e-05	2.6647825953636903e-05	2.2543063956137814e-05	2.676879467026795e-05	2.970550327603131e-05
28	2.5300000003057587e-05	2.7434497217202885e-05	2.3384616774140395e-05	2.748608152359394e-05	3.0439755959168363e-05
29	2.5666666666666666e-05	2.8204902498621015e-05	2.422130129008757e-05	2.824590093316336e-05	3.1223138963543054e-05
30	3.1600000006115174e-05	2.8956682628061386e-05	2.5049911597040286e-05	2.892860511163573e-05	3.20499456858127e-05
31	3.375e-05	2.9687499696236875e-05	2.5867799748760527e-05	2.9617107126539205e-05	3.285155260023063e-05
32	3.6600000006115166e-05	3.039511330557296e-05	2.6672426887710133e-05	3.0250551909253125e-05	3.362512447417843e-05
33	4.2033333330275744e-05	3.107735847943414e-05	2.7461260612661748e-05	3.096488020970566e-05	3.4303063515012545e-05
34	4.735000000611517e-05	3.173215822004387e-05	2.8231770890986115e-05	3.167851604234538e-05	3.4831199007846185e-05
35	5.333333333333333e-05	3.2357535382204656e-05	2.8782769492580796e-05	3.234650370499221e-05	3.532392803229192e-05
36	5.1399999993884824e-05	3.295164743694469e-05	2.9427388531147665e-05	3.2994250731616584e-05	3.582005349834064e-05
37	5.676666667278184e-05	3.351275616060884e-05	3.0109610584117954e-05	3.3521249669334746e-05	3.64349683126602e-05
38	6.865533332611743e-05	3.4039280189997686e-05	3.076729366044562e-05	3.4018517428639206e-05	3.705846544587729e-05
39	7.102200000501443e-05	3.452980187020113e-05	3.1336195039239736e-05	3.454090882375342e-05	3.7609358629142556e-05
40	6.672200000195685e-05	3.4983036927142185e-05	3.18389129255423e-05	3.4911007236542195e-05	3.803191666842997e-05
41	6.820533332917501e-05	3.539789292828789e-05	3.227234768898387e-05	3.528153970494968e-05	3.839821571004472e-05
42	6.93219999927841e-05	3.5773412919363996e-05	3.258513324795464e-05	3.561747849673562e-05	3.8898835786073175e-05
43	6.0405333326117435e-05	3.610882208895839e-05	3.286349059005898e-05	3.590543575355775e-05	3.936922062141973e-05
44	4.773333332721816e-05	3.640352591190658e-05	3.310858524169318e-05	3.617649194276601e-05	3.976408707829515e-05
45	4.368333333944851e-05	3.665709108466441e-05	3.331596257419206e-05	3.639919975011081e-05	4.0139534435947974e-05
46	4.813333333639092e-05	3.6869288024358326e-05	3.348957210654979e-05	3.6632629829873305e-05	4.046330455586007e-05
47	4.444999999694242e-05	3.704004959419682e-05	3.370595480302782e-05	3.681742110785968e-05	4.066037289185114e-05
48	4.068333333944851e-05	3.716946295053205e-05	3.38990616403744e-05	3.696252708841194e-05	4.0773687906109054e-05
49	4.2183333339448505e-05	3.7257810040870344e-05	3.397461661716241e-05	3.709116673661559e-05	4.0839441676690095e-05
50	4.126666667278184e-05	3.7305502179164723e-05	3.397015760394007e-05	3.7098886101116286e-05	4.085971513735902e-05
51	4.096666666972425e-05	3.731311132084973e-05	3.3914367962578126e-05	3.7137835299491854e-05	4.0870213282900984e-05
52	3.923333332721816e-05	3.7281368454449925e-05	3.3828110883893025e-05	3.716003711682397e-05	4.081331187508862e-05
53	3.776666667278184e-05	3.721115001795933e-05	3.3718466835150694e-05	3.712274999304549e-05	4.079927642789242e-05
54	4.028333333027575e-05	3.71034458488613e-05	3.3562076797237286e-05	3.7040641946194794e-05	4.0741874652396315e-05
55	4.1416666666666666e-05	3.695938010692824e-05	3.338771213874092e-05	3.689280858954385e-05	4.064220425233147e-05
56	4.5266666672781836e-05	3.6780178953454374e-05	3.316861734224194e-05	3.672246030970338e-05	4.047544037840208e-05
57	4.005000000305758e-05	3.656717107314734e-05	3.295934456946206e-05	3.648917138733821e-05	4.025132332683345e-05
58	3.8199999996942415e-05	3.632176971363956e-05	3.270672729224814e-05	3.624402295176154e-05	3.998233964228304e-05
59	3.683333333333333e-05	3.604546834681593e-05	3.243090245462115e-05	3.59761013982972e-05	3.9665802229710674e-05
60	3.4916666666666664e-05	3.5739833547643877e-05	3.213312287769971e-05	3.569966778154527e-05	3.927709902710346e-05
61	3.5966666669724255e-05	3.54064851057019e-05	3.181473426529499e-05	3.5389825299902016e-05	3.885129693150305e-05
62	3.343333333944851e-05	3.50470887848337e-05	3.147714897020317e-05	3.499243583678008e-05	3.83985330913004e-05
63	3.4933333339448504e-05	3.466334163043821e-05	3.112171690780719e-05	3.456136282003938e-05	3.8036411392755365e-05
64	3.0313333325995124e-05	3.42569660051832e-05	3.074979282345627e-05	3.4190588478378274e-05	3.757186793793547e-05
65	3.29133333321103e-05	3.382969333888384e-05	3.0362731462499984e-05	3.3768670078320134e-05	3.705446321927701e-05
66	3.6313333325995125e-05	3.33832695375933e-05	2.996188676082245e-05	3.33110156021575e-05	3.654801576639806e-05
67	3.599666666544363e-05	3.291944158488414e-05	2.9548609686786103e-05	3.285869754914944e-05	3.599385892840585e-05
68	3.193000000489214e-05	3.2439929681720895e-05	2.9124212458116446e-05	3.2408113709850664e-05	3.541936107970134e-05
69	2.898666666177453e-05	3.194643135099164e-05	2.869009719590903e-05	3.195389975960444e-05	3.49415076783113e-05
70	2.9390000005503656e-05	3.14406132267447e-05	2.8248288801202877e-05	3.143324150316509e-05	3.4384907632308526e-05
71	2.0909999997553933e-05	3.092411682066362e-05	2.780022560054727e-05	3.0930972070207616e-05	3.3694574075450364e-05
72	1.4358333334862126e-05	3.0398546106352098e-05	2.7345998051454026e-05	3.0452611229372054e-05	3.299382877620519e-05
73	1.1658333337919712e-05	2.986544670747845e-05	2.6895921456074545e-05	2.992981602148804e-05	3.232519707642156e-05
74	1.9091666662080287e-05	2.9326331613271768e-05	2.6493348860609365e-05	2.9385715042699378e-05	3.17410433917402e-05
75	1.963499999602514e-05	2.878263718687699e-05	2.6052568222165003e-05	2.8846858810654798e-05	3.1168897354449316e-05
76	1.897166666391484e-05	2.8235747860596777e-05	2.5566817298683062e-05	2.829976462907915e-05	3.0590802045611244e-05
77	1.939999999388483e-05	2.7686975341060157e-05	2.5080886437340604e-05	2.776028633847729e-05	3.0008203481202917e-05
