time	data	mean	q025	med	q975	x_mean	x_q025	x_med	x_q975	osi
1	0.0	8.400327045317986e-06	8.373265088661797e-06	8.406442545636722e-06	8.418248623087466e-06	0.0001008805905686139	0.00010078928588757483	0.00010087279557973662	0.00010095959348070232	0.0
2	0.0	8.968437854598125e-06	8.93488213978012e-06	8.974070559857388e-06	8.988426501803075e-06	0.00010174716087427125	0.00010158315980266248	0.00010175199882205924	0.0001018502181719348	0.0
3	0.0	9.56042899254331e-06	9.52027623601269e-06	9.567386063539178e-06	9.58503665725204e-06	0.0001026864917941595	0.00010245383280496615	0.00010270743626889408	0.00010281433693333897	0.0
4	0.0	1.0176001443105698e-05	1.0129550043177642e-05	1.018444464945796e-05	1.0206067169329682e-05	0.00010370364700004931	0.00010340047165152273	0.00010373687643435024	0.00010385698450122658	0.0
5	0.0	1.0814831819967361e-05	1.0761209881515504e-05	1.082168795609798e-05	1.0851505751822137e-05	0.00010480399950275262	0.00010442828740407092	0.00010485012660715673	0.00010498329801352454	0.0
6	0.0	1.1476365976231459e-05	1.1414692961340476e-05	1.1481510607891747e-05	1.1520338137516049e-05	0.00010599324020346419	0.00010554272998824847	0.00010605235578970291	0.0001061991652845784	0.0
7	2.2668333723787083e-07	1.2159900314015466e-05	1.2089343289767825e-05	1.2164500639329625e-05	1.2211877183538978e-05	0.00010727739432126021	0.00010674956060047819	0.00010734907955361201	0.00010751785613892791	0.208333333
8	3.006333361646581e-07	1.2864608169761912e-05	1.2784475062885236e-05	1.2867034542877396e-05	1.2925297617412556e-05	0.00010866287660868794	0.00010805490379467729	0.00010874182787845948	0.00010894014132007605	0.25848333300000004
9	4.5103333875749116e-07	1.3589637860654212e-05	1.3499215327332075e-05	1.3589525652784863e-05	1.3659775509518272e-05	0.00011015649794404547	0.00010946525363939694	0.00011025071415354207	0.00011047232132554054	0.308633333
10	4.943333297253816e-07	1.433392176529237e-05	1.4232492123672293e-05	1.4330995633104573e-05	1.4413609817673093e-05	0.0001117654838711719	0.00011098749022111537	0.00011187836485268007	0.0001121205743128469	0.35878333300000004
11	6.366666709472872e-07	1.5096211770252036e-05	1.4983045007034748e-05	1.5090586955207907e-05	1.5186020857784482e-05	0.0001134974813811357	0.00011262888340365077	0.00011362914955193113	0.00011389272616880326	0.408933333
12	9.399999932733104e-07	1.5875124851260233e-05	1.5749483823875777e-05	1.5866299806388672e-05	1.5976114128506092e-05	0.00011536063907484234	0.00011439716712437205	0.00011551221574315681	0.00011579754345916316	0.42436666700000003
13	1.3138333330581504e-06	1.6669233047891622e-05	1.6530365892029144e-05	1.6658341526573466e-05	1.678231323296296e-05	0.00011736362422573808	0.0001163005567025604	0.00011752878105364184	0.00011784447231758106	0.4398
14	2.0839999941294343e-06	1.7477016492996702e-05	1.732418157286674e-05	1.7465643405303573e-05	1.7602949420936003e-05	0.00011951564169898145	0.00011834776383456508	0.00011969689529820133	0.00012004700642504697	0.4398
15	2.3801666708555597e-06	1.8296685575115696e-05	1.812914590202178e-05	1.828507224091087e-05	1.8436238761386873e-05	0.00012182644727131002	0.00012054800978746836	0.00012203561388304496	0.00012241622365095304	0.4398
16	3.0549999972481725e-06	1.9126388818005326e-05	1.8943418858304057e-05	1.911449632925466e-05	1.928032475706461e-05	0.00012430641253609738	0.00012291107718735686	0.00012452372182426442	0.00012496297691716183	0.4398
