time	data	mean	q025	med	q975	x_mean	x_q025	x_med	x_q975	osi
1	0.0	2.30831767598609e-07	2.3079818409129065e-07	2.308300941174958e-07	2.308717391111104e-07	0.013620087442725954	0.013607881628474748	0.013620190289430806	0.01362876109845576	0.0
2	0.0	2.753919164368943e-07	2.7534592056151573e-07	2.7538813510412554e-07	2.7543701738039267e-07	0.013637141102389927	0.013613256198078762	0.013637302131440383	0.013654075631377665	0.0
3	0.0	3.282707573942396e-07	3.2820694566462846e-07	3.2826956544431126e-07	3.2833475682121117e-07	0.013659339882859799	0.013623742420382601	0.01365937802561296	0.013684750273355504	0.0
4	0.0	3.909641263338197e-07	3.9086449524693625e-07	3.9096391970533395e-07	3.9106518872328205e-07	0.013687667099010103	0.013640307596447927	0.013687552935932105	0.013721807755617453	0.0
5	0.0	4.65243084252073e-07	4.6507800177361397e-07	4.652410453628806e-07	4.6538745534394e-07	0.013723295830712688	0.013664104669628042	0.01372317515723447	0.01376632023371105	0.0
6	0.0	5.531719703843216e-07	5.529196283486316e-07	5.531598887209019e-07	5.53377953680204e-07	0.013767625210002778	0.013696507606310452	0.013767509317589948	0.013819397005277097	0.0
7	2.2668333723787083e-07	6.571868390622705e-07	6.568237721733618e-07	6.571739073204664e-07	6.574821600707655e-07	0.013822328297062843	0.013739158370018658	0.013822213263298097	0.013882952402431177	0.208333333
8	3.006333361646581e-07	7.801353801966109e-07	7.796293070277772e-07	7.801215801333087e-07	7.805460609302313e-07	0.013889408447945471	0.013794021249760475	0.013889290003775034	0.013959026272356567	0.25848333300000004
9	4.5103333875749116e-07	9.25355048832749e-07	9.246658544685163e-07	9.253395644544975e-07	9.259125927443386e-07	0.013971269975391377	0.013863452344269153	0.013971143366363799	0.01405005565797033	0.308633333
10	4.943333297253816e-07	1.0967625050521544e-06	1.0958399338740123e-06	1.0967499988806338e-06	1.0975065504649352e-06	0.014070808049842218	0.013950286643285558	0.014070667947594338	0.014158982647854172	0.35878333300000004
11	6.366666709472872e-07	1.2989314332553971e-06	1.2977133411953793e-06	1.2989104363187975e-06	1.2999106184312948e-06	0.014191519257027763	0.014057945716722335	0.014191359597008409	0.014289362452236273	0.408933333
12	9.399999932733104e-07	1.5372142824960168e-06	1.5356242074977953e-06	1.5371879562078951e-06	1.5384879145713216e-06	0.014337643937826052	0.014190576547661145	0.014337457687335096	0.014445508600682685	0.42436666700000003
13	1.3138333330581504e-06	1.8178711213378022e-06	1.8158148447717488e-06	1.8178360347424206e-06	1.819514018804985e-06	0.014514349900597124	0.0143532303856406	0.014514128787367069	0.014632680447131766	0.4398
14	2.0839999941294343e-06	2.1482070613535305e-06	2.1455688224283908e-06	2.148150533569127e-06	2.1503267093850982e-06	0.014727969144478966	0.014552092833601303	0.014727703310337115	0.01485732527091886	0.4398
15	2.3801666708555597e-06	2.5367465132101733e-06	2.533384710961109e-06	2.5366768387084484e-06	2.539469443087879e-06	0.014986309611581386	0.014794787694501644	0.014985987129886393	0.015127396414324461	0.4398
16	3.0549999972481725e-06	2.9934280004851342e-06	2.9891698595157284e-06	2.9933324123824735e-06	2.996904670352307e-06	0.015299069468813223	0.01509078043289297	0.015298675670179274	0.015452776438480845	0.4398
17	3.8100000067266892e-06	3.529826597463228e-06	3.524426705434751e-06	3.5296976283158744e-06	3.5342421596727857e-06	0.01567839490747662	0.015451921526213355	0.015678062219787646	0.015845846724836007	0.4398
18	4.758333328746954e-06	4.159405781144486e-06	4.152542206154139e-06	4.159233878350928e-06	4.164987486037086e-06	0.01613964021651888	0.015893186715973194	0.016139579547443546	0.016322263802167277	0.4398
19	6.691666668195459e-06	4.8978026785629336e-06	4.889115409119137e-06	4.897575628738308e-06	4.904832384056374e-06	0.016702417593527957	0.016433699340974883	0.016702740168863788	0.016902041446218746	0.4398
20	9.378333326912401e-06	5.763148335044652e-06	5.752192775363291e-06	5.762849933377257e-06	5.771970446749432e-06	0.01739206864457629	0.017098164995904722	0.017392925565264575	0.017610984062938918	0.449066667
21	1.1010000003669102e-05	6.776420506281582e-06	6.762647581240902e-06	6.7760293984113015e-06	6.787455829942101e-06	0.018241758662451243	0.017918912367229815	0.01824335752581044	0.01848206670099976	0.458333333
22	1.0373333332721816e-05	7.961821413415844e-06	7.944552943804463e-06	7.961282470232592e-06	7.975481967752835e-06	0.019295503026696928	0.018938843966667958	0.019297865663470564	0.019560755311760648	0.479933333
23	1.4908333337919713e-05	9.347169554113724e-06	9.325566715045063e-06	9.346471825771477e-06	9.363911024771128e-06	0.020612614110881076	0.02021577349899791	0.020614929530932614	0.020907385387554538	0.553233333
24	1.6241666671253046e-05	1.0964277801144983e-05	1.0937301032294522e-05	1.0963632896417948e-05	1.0984713381517948e-05	0.02227434897790421	0.02182891288249714	0.02227685323852777	0.022604654704342985	0.626533333
25	1.7408333337919713e-05	1.2849267066192139e-05	1.2815624385944495e-05	1.2848816487972362e-05	1.2874110662625148e-05	0.024394026248197625	0.023888750726352378	0.02439737735153751	0.024768259833480022	0.6998333330000001
26	1.857500000458638e-05	1.5042722474215859e-05	1.5000801606046902e-05	1.504242964899867e-05	1.5072808668614396e-05	0.027132707886194325	0.026552375820401094	0.02713472949065488	0.02756501960465512	0.763866667
27	2.1041666674310633e-05	1.7589522653522675e-05	1.7537301404832287e-05	1.7589232418247493e-05	1.7626396458764158e-05	0.030723948596642084	0.030047692836541715	0.03072487889799013	0.03122939590607296	0.8279
28	2.5300000003057587e-05	2.0538039615831807e-05	2.047296524949908e-05	2.0538529042914158e-05	2.058361303111068e-05	0.035513564205803545	0.034712370978064476	0.035513136469982	0.03611579936758665	0.8796
29	2.5666666666666666e-05	2.393815082971303e-05	2.3856974884211078e-05	2.3939533789937913e-05	2.3994470133962736e-05	0.04202445296400572	0.04105749675344612	0.0420217327863708	0.04276185800595523	0.8796
30	3.1600000006115174e-05	2.78370505777016e-05	2.7735602783019416e-05	2.7840178140602283e-05	2.7906625490220836e-05	0.051063254338618934	0.04987255986313659	0.05106818705209919	0.05199150611313496	0.8796
31	3.375e-05	3.227104698482048e-05	3.21439324623387e-05	3.227405985861429e-05	3.235769332383258e-05	0.06389560882653694	0.062398753907426496	0.0639116563778353	0.06508724043649917	0.8796
32	3.6600000006115166e-05	3.7250115140452874e-05	3.7090329459949216e-05	3.725613187329728e-05	3.736411046043518e-05	0.08252691641049033	0.0806084404033238	0.08255969810025982	0.08409182383741692	0.8796
33	4.2033333330275744e-05	4.2729994188030536e-05	4.252957734791667e-05	4.273493258960969e-05	4.287502114421199e-05	0.1101188374936217	0.10762475640810432	0.11017317009572164	0.11221166882907019	0.8796
34	4.735000000611517e-05	4.8565035871103295e-05	4.831395131714478e-05	4.857047817813197e-05	4.874557571754177e-05	0.1514830703188534	0.1481807488986222	0.15154893477104858	0.1543016889170549	0.8796
35	5.333333333333333e-05	5.4439466401999336e-05	5.412683375640406e-05	5.444943712421251e-05	5.468244020060424e-05	0.21324836737477582	0.20889605989625767	0.21335474148330347	0.21698745757873683	0.8796
36	5.1399999993884824e-05	5.980141549600658e-05	5.942601342461221e-05	5.980822668093796e-05	6.0109456104930066e-05	0.3024563769289717	0.2970161446032491	0.3025309828869509	0.30720880630081104	0.8796
37	5.676666667278184e-05	6.389421873675785e-05	6.346157951575742e-05	6.3898492314704e-05	6.427157777147168e-05	0.42158972429623504	0.41548440327619196	0.42169634955542346	0.4271909726926527	0.8796
38	6.865533332611743e-05	6.603677969658036e-05	6.556626007786483e-05	6.604335324581886e-05	6.651226575841799e-05	0.5608818477608363	0.5550828624421491	0.5609948063114223	0.5663371417140408	0.8796
39	7.102200000501443e-05	6.609903192357768e-05	6.559655953797074e-05	6.610859924468156e-05	6.663108363929377e-05	0.6973419161350347	0.692847110223593	0.6974789112112116	0.701656767132557	0.8796
40	6.672200000195685e-05	6.465652045252607e-05	6.416598075953219e-05	6.466456215166237e-05	6.519628123069992e-05	0.8082997218933948	0.8054400264867866	0.808188742971406	0.8111288500130602	0.8796
41	6.820533332917501e-05	6.252363917426408e-05	6.205553877178988e-05	6.253490796571601e-05	6.30380267610913e-05	0.8854331481271902	0.8839021775607028	0.8853026042134169	0.8871750166879805	0.8796
42	6.93219999927841e-05	6.0248018422544214e-05	5.980136630324756e-05	6.0258739421325165e-05	6.0734037579810586e-05	0.9335965595510695	0.9328923478920795	0.9335117155917394	0.9345701480245577	0.8796
43	6.0405333326117435e-05	5.804462958208541e-05	5.761606693778515e-05	5.8053688997020646e-05	5.8506459922327706e-05	0.9618956782075005	0.9615088140354734	0.961829796278183	0.9624828580107954	0.8796
44	4.773333332721816e-05	5.595518537555512e-05	5.554202075543886e-05	5.596288496632802e-05	5.639688777141866e-05	0.9780714053223788	0.9778016801581765	0.9780292155339824	0.9784850790705405	0.8796
45	4.368333333944851e-05	5.39692659804715e-05	5.3569834055964364e-05	5.397578185862644e-05	5.439350793328206e-05	0.9872519700183113	0.9870629350369898	0.9872370977810547	0.9875144937529182	0.8796
46	4.813333333639092e-05	5.207065038031092e-05	5.168394753357565e-05	5.2076095684385214e-05	5.247905956877894e-05	0.9924854363822629	0.9923679238265286	0.9924827116811517	0.9926636527123708	0.8796
47	4.444999999694242e-05	5.024767498637399e-05	4.987422310874874e-05	5.0253566608502e-05	5.064130168782069e-05	0.9955004563508364	0.9954229274071599	0.9955007617998216	0.9956185486146827	0.8796
48	4.068333333944851e-05	4.849315017805481e-05	4.813350083850199e-05	4.849950159720126e-05	4.887274403722573e-05	0.9972613015776979	0.9972086114443225	0.9972608828839724	0.9973405379706453	0.8796
49	4.2183333339448505e-05	4.680267025857251e-05	4.645623376571385e-05	4.680941825367115e-05	4.716808271821194e-05	0.998305338920103	0.9982687314228095	0.9983051128851498	0.9983595743971487	0.8796
50	4.126666667278184e-05	4.5173325001358754e-05	4.483957221875269e-05	4.518042031165272e-05	4.5525149760484086e-05	0.998934129649441	0.9989084627931532	0.9989344815522846	0.9989714277921059	0.8796
51	4.096666666972425e-05	4.36029526904903e-05	4.328131610516949e-05	4.361035423157643e-05	4.394173433509159e-05	0.9993188367020217	0.9993008073076367	0.9993189471463864	0.9993446294716058	0.8796
52	3.923333332721816e-05	4.2089750273813905e-05	4.1779696107805026e-05	4.209742232584968e-05	4.241600171569731e-05	0.9995578881628512	0.9995451697373525	0.999557734849094	0.9995758462583546	0.8796
53	3.776666667278184e-05	4.063208054139054e-05	4.0333168265990864e-05	4.0639948102447654e-05	4.09462914389471e-05	0.999708701626327	0.9996996767077272	0.9997085965783653	0.9997213036844139	0.8796
54	4.028333333027575e-05	3.922838083609736e-05	3.894018527002423e-05	3.9235112845556195e-05	3.953102184772004e-05	0.9998052616424996	0.9997988134016814	0.9998052416819563	0.9998141798918242	0.8796
55	4.1416666666666666e-05	3.787712201310786e-05	3.759923191050617e-05	3.788278554545182e-05	3.816867279685347e-05	0.9998679779148959	0.9998633360823483	0.9998679803581503	0.999874342886125	0.8796
56	4.5266666672781836e-05	3.6576791625057454e-05	3.6307210386453874e-05	3.658165284602184e-05	3.6857734656913154e-05	0.9999092814001816	0.9999059126513817	0.9999092934166639	0.9999138658673729	0.8796
57	4.005000000305758e-05	3.532588829191259e-05	3.5064316146003014e-05	3.533062925812655e-05	3.559664223491304e-05	0.9999368440176171	0.9999343779324606	0.9999368589961268	0.9999401793052456	0.8796
58	3.8199999996942415e-05	3.412292198822703e-05	3.386909317547472e-05	3.412754499255371e-05	3.438389115223707e-05	0.999955478490303	0.9999536594745655	0.9999554928511163	0.9999579229260739	0.8796
59	3.683333333333333e-05	3.2966415705941224e-05	3.272007018461534e-05	3.2971268918310844e-05	3.3217991559307146e-05	0.999968236370419	0.999966886001163	0.9999682501465401	0.9999700470032391	0.8796
60	3.4916666666666664e-05	3.185490704628586e-05	3.161579125874145e-05	3.1860156158546e-05	3.209746679655203e-05	0.9999770712384302	0.999976060703972	0.9999770844415485	0.9999784222390694	0.8796
61	3.5966666669724255e-05	3.078695519490122e-05	3.055482093641121e-05	3.0792567157791854e-05	3.102086446438817e-05	0.999983266067576	0.9999825030643625	0.9999832782912594	0.999984285115301	0.8796
62	3.343333333944851e-05	2.9761135808984462e-05	2.9535741951218865e-05	2.9766604530235945e-05	2.9986745195450835e-05	0.9999876541189727	0.999987074518727	0.9999876638604175	0.9999884264189243	0.8796
63	3.4933333339448504e-05	2.8776053318685774e-05	2.855716289499281e-05	2.878136599094348e-05	2.8993705590403916e-05	0.999990796706901	0.9999903516045047	0.9999908047885537	0.9999913905696142	0.8796
64	3.0313333325995124e-05	2.7830337686673576e-05	2.7617722687712296e-05	2.7835503199519976e-05	2.8040355424155774e-05	0.9999930739782011	0.9999927304213362	0.9999930802725712	0.9999935310701759	0.8796
65	3.29133333321103e-05	2.692263571449941e-05	2.671607101789027e-05	2.692746509617965e-05	2.712533897058768e-05	0.9999947348608481	0.9999944674894325	0.999994739356274	0.9999950901567277	0.8796
66	3.6313333325995125e-05	2.6051645920597663e-05	2.5850912567463577e-05	2.605615679488179e-05	2.6247341424333817e-05	0.999995961816466	0.9999957514632279	0.9999959658462538	0.9999962422031752	0.8796
67	3.599666666544363e-05	2.521607938612906e-05	2.5020952338611882e-05	2.5220287752181765e-05	2.540504912325069e-05	0.9999968775406074	0.99999671154971	0.9999968808928049	0.9999970980865569	0.8796
68	3.193000000489214e-05	2.4414667684424683e-05	2.422492321513988e-05	2.4418588011239162e-05	2.459720247197934e-05	0.9999975633386089	0.9999974315151102	0.9999975657818679	0.9999977378313959	0.8796
69	2.898666666177453e-05	2.364621120692227e-05	2.3461649548675268e-05	2.3649858983556055e-05	2.3822587793284172e-05	0.9999980822531798	0.9999979763778147	0.9999980841750535	0.9999982230001635	0.8796
70	2.9390000005503656e-05	2.290953083856319e-05	2.272995979750923e-05	2.2912920903352456e-05	2.3080004629019914e-05	0.9999984806566978	0.9999983950270402	0.9999984823629215	0.9999985948574113	0.8796
71	2.0909999997553933e-05	2.2203446803105724e-05	2.2028685779826043e-05	2.2206958796244487e-05	2.2368252035983955e-05	0.9999987878458502	0.9999987185284469	0.9999987889496245	0.9999988798505726	0.8796
72	1.4358333334862126e-05	2.152683115527501e-05	2.135669189820499e-05	2.1530722471282133e-05	2.1686229955557114e-05	0.999999025015864	0.9999989685998004	0.999999025525512	0.9999990994346205	0.8796
73	1.1658333337919712e-05	2.0878630164026794e-05	2.0712934448855016e-05	2.088276067801732e-05	2.103286037757005e-05	0.9999992096457668	0.9999991633512866	0.9999992098035724	0.9999992709204055	0.8796
74	1.9091666662080287e-05	2.025779812952835e-05	2.009637487190234e-05	2.0262406199160537e-05	2.040708333242684e-05	0.9999993555280265	0.9999993171245379	0.9999993556379989	0.9999994068506312	0.8796
75	1.963499999602514e-05	1.9663311080088275e-05	1.95060014034799e-05	1.9668168700313866e-05	1.980783656118126e-05	0.999999471898591	0.9999994400424388	0.9999994719808251	0.9999995145997287	0.8796
76	1.897166666391484e-05	1.9094143554165253e-05	1.8940787166707645e-05	1.909895388489591e-05	1.9234030726890595e-05	0.9999995646408781	0.9999995381621094	0.9999995646325475	0.9999996000288145	0.8796
77	1.939999999388483e-05	1.854936481259456e-05	1.839979786654985e-05	1.8554126523243348e-05	1.8684804422068866e-05	0.9999996387017238	0.9999996165863826	0.9999996385968366	0.9999996681384292	0.8796
78	1.860333334067154e-05	1.8028090511319777e-05	1.78821602788908e-05	1.8032804298457635e-05	1.8159277606174326e-05	0.9999996982633783	0.9999996796502556	0.9999996980904746	0.9999997230562293	0.8610833330000001
79	1.6553333337613956e-05	1.7529438106636114e-05	1.7387001188862043e-05	1.7534104929938482e-05	1.7656423499808937e-05	0.9999997467315738	0.999999730920782	0.9999997465433557	0.999999767954843	0.842566667
80	7.936666674004874e-06	1.705254684890909e-05	1.691346037826197e-05	1.7057185903946482e-05	1.7175382386779586e-05	0.9999997865802033	0.999999773124184	0.9999997864196506	0.9999998047209417	0.82405
81	7.38166666146877e-06	1.659657553283342e-05	1.64607119530799e-05	1.6601301923151532e-05	1.6715426915262803e-05	0.9999998193563165	0.9999998078890258	0.9999998191930897	0.9999998348198835	0.805533333
82	7.663333332110299e-06	1.6160725778435768e-05	1.6027941972937058e-05	1.6165529328484255e-05	1.6275800602214897e-05	0.9999998463423665	0.9999998365374807	0.9999998461689508	0.9999998595453372	0.787016667
83	7.6216666730875975e-06	1.5744277323017114e-05	1.5614440133838297e-05	1.5748931058913214e-05	1.5855771621792103e-05	0.9999998686535376	0.9999998602302499	0.9999998684900303	0.9999998799904576	0.7685
84	8.043333333944852e-06	1.5346517782317536e-05	1.5219503510246134e-05	1.53509519928366e-05	1.545479077685316e-05	0.9999998872263959	0.9999998799489407	0.9999998870998228	0.9999998970478856	0.7685
85	7.600000006115172e-06	1.4966738250663526e-05	1.4842429176622747e-05	1.497096397029217e-05	1.5071927056955858e-05	0.999999902816138	0.9999998964960677	0.9999999027102493	0.999999911384368	0.7685
86	6.815000000917276e-06	1.4604265776856297e-05	1.4482542393570975e-05	1.4608295749311674e-05	1.4706510462933172e-05	0.99999991597344	0.9999999104774104	0.9999999158905575	0.9999999234439206	0.7685
87	6.763333338225471e-06	1.4258442342165438e-05	1.4139198135094392e-05	1.4262389446371778e-05	1.4357869083784615e-05	0.9999999270897993	0.9999999223006861	0.9999999270308975	0.9999999336037074	0.7685
88	6.356666659939977e-06	1.3928658941573435e-05	1.381177348048774e-05	1.3932775774450028e-05	1.4025499509152457e-05	0.9999999365002644	0.999999932314988	0.9999999364621716	0.99999994219325	0.7685
89	5.729999992661794e-06	1.3614362426575336e-05	1.3499725519845172e-05	1.3618641258227875e-05	1.370874538462193e-05	0.9999999444964516	0.999999940825748	0.9999999444703027	0.9999999494933225	0.7685
90	6.606666659939977e-06	1.3315003046823265e-05	1.3202512877284294e-05	1.3319441208650292e-05	1.340703799392387e-05	0.9999999513261268	0.9999999480942443	0.999999951295286	0.9999999557359519	0.7685
91	7.641666665137874e-06	1.3030033590562112e-05	1.2919594176922405e-05	1.3034630936662663e-05	1.3119817533647742e-05	0.9999999571930309	0.9999999543376032	0.9999999571606636	0.9999999611024576	0.7685
92	7.619999998165448e-06	1.2758940843841017e-05	1.2650447307748417e-05	1.2763687173760909e-05	1.2846589517046289e-05	0.9999999622552314	0.9999999597278836	0.999999962223191	0.9999999657241349	0.7685
93	7.1716666608572525e-06	1.2501237781564923e-05	1.239460600171405e-05	1.250608705796071e-05	1.2586831312813441e-05	0.9999999666309531	0.999999964390678	0.9999999665982053	0.9999999697100158	0.765416667
94	6.593333337002436e-06	1.2256456070953331e-05	1.2151583286239849e-05	1.2261138632823672e-05	1.2340109643749423e-05	0.9999999704193305	0.9999999684293983	0.9999999703854641	0.9999999731565924	0.7623333330000001
95	6.3516666657493914e-06	1.2024188085024476e-05	1.1920980030146602e-05	1.2028709072423182e-05	1.2106008025934639e-05	0.9999999737079226	0.9999999719359636	0.9999999736731706	0.9999999761478912	0.75925
96	1.2934999999082723e-05	1.1804034085811258e-05	1.1702403695361254e-05	1.1808600811734635e-05	1.1884109975450025e-05	0.999999976572981	0.999999974990864	0.9999999765379721	0.9999999787554738	0.756166667
97	1.3056666672170322e-05	1.1595594661525117e-05	1.1495461743812193e-05	1.160034377382703e-05	1.1673999008375544e-05	0.999999979079444	0.9999999776630355	0.9999999790449594	0.9999999810384385	0.7530833330000001
98	1.651333333822547e-05	1.139848027679388e-05	1.1299761637426748e-05	1.1403460063292112e-05	1.1475296832248796e-05	0.9999999812809317	0.9999999800074285	0.999999981251172	0.9999999830431753	0.75
99	1.6273333326606644e-05	1.1212351361048702e-05	1.1114962049826512e-05	1.12175445939496e-05	1.128766260959096e-05	0.9999999832198444	0.9999999820723802	0.9999999831975944	0.9999999848057614	0.75
100	1.665999999755393e-05	1.1036868504729944e-05	1.0940735635144683e-05	1.1042285079510481e-05	1.1110741106051755e-05	0.9999999849298029	0.9999999838953828	0.9999999849136246	0.9999999863577552	0.745366667
101	1.622166666391484e-05	1.0871725481435565e-05	1.0776761384811405e-05	1.087714649549863e-05	1.0944259693214347e-05	0.9999999864400738	0.9999999855066392	0.9999999864287903	0.9999999877274048	0.740733333
102	1.1471666663914838e-05	1.0716658047570521e-05	1.06227834972155e-05	1.072167069839126e-05	1.0787955922626354e-05	0.9999999877768632	0.999999986933257	0.9999999877647273	0.9999999889396509	0.7361
103	2.107500000458638e-05	1.0571404528771328e-05	1.0478546370786496e-05	1.0576020557966864e-05	1.0641713842820948e-05	0.9999999889633615	0.9999999881994409	0.9999999889497848	0.9999999900161268	0.7314666670000001
104	1.7988333336696676e-05	1.0435703436422226e-05	1.0343794403952953e-05	1.0439932434982436e-05	1.0505185851680217e-05	0.9999999900197395	0.9999999893264936	0.9999999900058321	0.9999999909751613	0.7268333330000001
105	1.8856666659939977e-05	1.0309299262489764e-05	1.0218271995144164e-05	1.0313145300003028e-05	1.0377999238562371e-05	0.999999990963154	0.9999999903328152	0.9999999909509201	0.999999991831775	0.7222000000000001
106	1.868833333363909e-05	1.0191982115030868e-05	1.0101749981039676e-05	1.0195590410026031e-05	1.0259980883433426e-05	0.9999999918077498	0.9999999912339138	0.9999999917970037	0.9999999925977973	0.7222000000000001
107	1.9386666670947285e-05	1.008355862864354e-05	9.994070979323265e-06	1.0086781112368088e-05	1.015088538587833e-05	0.9999999925648541	0.9999999920423333	0.9999999925571352	0.9999999932834334	0.7222000000000001
108	1.702833333608516e-05	9.983832757631427e-06	9.89500775158148e-06	9.986693235271649e-06	1.0050554785694891e-05	0.9999999932441354	0.9999999927682053	0.9999999932406097	0.9999999938979842	0.7222000000000001
109	7.5033333345563675e-06	9.89266325453602e-06	9.804427316552304e-06	9.895183764992426e-06	9.958848529447415e-06	0.9999999938543703	0.999999993420588	0.9999999938545905	0.9999999944498625	0.7222000000000001
110	6.949999996942414e-06	9.80992028544354e-06	9.722205034575099e-06	9.812375208728145e-06	9.87563103952804e-06	0.999999994403529	0.9999999940077574	0.9999999944068585	0.9999999949465926	0.7222000000000001
