time	data	mean	q025	med	q975
1	0.0	4.0999630433153196e-07	1.7335034261177208e-07	3.789043742177858e-07	7.96639612212421e-07
2	0.0	5.258928569498991e-07	2.3370631417247713e-07	4.9192898361845e-07	9.910963119443591e-07
3	0.0	6.704776011866881e-07	3.1261212733841055e-07	6.342139151603503e-07	1.2293324234033156e-06
4	0.0	8.495922063052871e-07	4.1486941751471176e-07	8.108987239549556e-07	1.5158749964368184e-06
5	0.0	1.0699495921276411e-06	5.462636968798752e-07	1.0284968994628686e-06	1.8582351675513154e-06
6	0.0	1.3391177112161298e-06	7.136171311226363e-07	1.2969479059818908e-06	2.2645177285252117e-06
7	2.2679999945574297e-07	1.665561115411766e-06	9.24917940506041e-07	1.6203944604298722e-06	2.74338167435831e-06
8	2.8248333075567153e-07	2.0586054415243043e-06	1.189376457768412e-06	2.0096499706237864e-06	3.3039517967852293e-06
9	3.363166655491096e-07	2.528372626136161e-06	1.5152597376096597e-06	2.484041434968341e-06	3.955626074511196e-06
10	4.298166705978098e-07	3.0856798058526452e-06	1.911721621355167e-06	3.0493080985236317e-06	4.707774385584688e-06
11	8.641666681188144e-07	3.7418875913051954e-06	2.3933732018661652e-06	3.708516783620263e-06	5.568842231776418e-06
12	1.1758333357005332e-06	4.508684842822389e-06	2.973360775474633e-06	4.469696485111286e-06	6.548752415098859e-06
13	1.3310000023632213e-06	5.397824210330472e-06	3.665578997422117e-06	5.357149750204366e-06	7.655931557744892e-06
14	1.7533333296731251e-06	6.42080026965306e-06	4.484380789721685e-06	6.3667049951556685e-06	8.897878489137473e-06
15	1.9496666676294607e-06	7.588469624227283e-06	5.444002134486037e-06	7.532032139493451e-06	1.0227035101074817e-05
16	2.3766666648365626e-06	8.910625260710321e-06	6.545427732229546e-06	8.865567905396097e-06	1.1650001826980892e-05
17	2.8350000051322484e-06	1.0395530484890734e-05	7.811825040528462e-06	1.0319778486603083e-05	1.3200729872113257e-05
18	2.800000004774184e-06	1.2049426078223613e-05	9.254829421429794e-06	1.1998486278015606e-05	1.5035692379286851e-05
19	5.7266666684172005e-06	1.3876031131330563e-05	1.0899403694725193e-05	1.38594808759245e-05	1.7101760910818706e-05
20	7.063333329434416e-06	1.5876055151059387e-05	1.2758194560886406e-05	1.5851271467616542e-05	1.932847647700692e-05
21	9.193333335879564e-06	1.804674176135587e-05	1.4788760344353396e-05	1.7951753607663118e-05	2.165822018341598e-05
22	1.1568333332895701e-05	2.0381473394620006e-05	1.6911853824063546e-05	2.035968238224027e-05	2.3902370374178158e-05
23	1.462166666734301e-05	2.286945924744096e-05	1.920385752709004e-05	2.2819039626812275e-05	2.628263532954736e-05
24	2.0383333336118275e-05	2.5495530108152008e-05	2.1657205032203065e-05	2.5458207627176763e-05	2.8896194077949325e-05
25	2.314999999641936e-05	2.824006276738258e-05	2.4257285689496706e-05	2.8269240706400778e-05	3.1584142534419036e-05
26	3.0333333337311823e-05	3.1079048431694566e-05	2.6989482833660686e-05	3.1057313271354906e-05	3.4374334571821535e-05
27	3.263333333015055e-05	3.3984325548658654e-05	3.0014259779332852e-05	3.3935917899485715e-05	3.733390452823075e-05
28	3.498333333373118e-05	3.69239651185211e-05	3.3321938683619056e-05	3.6869652146298825e-05	4.014290681037669e-05
29	3.935000000358064e-05	3.986283302125026e-05	3.649429912713204e-05	3.9854976882270404e-05	4.3054077197961705e-05
30	4.106666666507527e-05	4.276328119737557e-05	3.939240552751545e-05	4.276613659651145e-05	4.6006695307912584e-05
31	4.3750000005967726e-05	4.558599676610712e-05	4.224226877077939e-05	4.5675861568946536e-05	4.87230461181866e-05
32	4.7916666668655915e-05	4.8290924552949757e-05	4.46660312326796e-05	4.838214423029601e-05	5.165226275014523e-05
33	5.6999999999999996e-05	5.083829029965245e-05	4.712356489591677e-05	5.0797521291377945e-05	5.412062928405089e-05
34	6.528333333850536e-05	5.318966695237514e-05	4.962422557418204e-05	5.312957686643427e-05	5.6737181862610016e-05
35	6.571666666149462e-05	5.5308960538565204e-05	5.146967110185424e-05	5.531798093513264e-05	5.891482262077115e-05
36	6.743333333492473e-05	5.716343911984737e-05	5.3051007631563e-05	5.719808096834129e-05	6.085497809253869e-05
