time	data	mean	q025	med	q975	x_mean	x_q025	x_med	x_q975	osi
1	0.0	8.57033574014485e-09	8.569121165932842e-09	8.57036454037124e-09	8.571163880062375e-09	0.08551200731549277	0.08549241249513247	0.08551344870256633	0.08552799379990371	0.0
2	0.0	1.1676402040039533e-08	1.1674655749511913e-08	1.1676598411579965e-08	1.1677695054512672e-08	0.08549964545084636	0.08546128950061271	0.08550151720404664	0.08553169369646872	0.0
3	0.0	1.5893774031193213e-08	1.589033035752147e-08	1.5893846076311578e-08	1.5896716350207528e-08	0.08548927062949543	0.0854325450552701	0.08549239774398049	0.08553758352396922	0.0
4	0.0	2.161344228484626e-08	2.1608417440187132e-08	2.1613597046605207e-08	2.161775678660402e-08	0.08548158889194621	0.0854064974706583	0.08548605242619156	0.08554617999610227	0.0
5	0.0	2.9364510677366935e-08	2.935518427975693e-08	2.9365009096700022e-08	2.937281646194569e-08	0.08547755505200995	0.08538409989951548	0.08548336810401454	0.08555849708683562	0.0
6	0.0	3.985857757078058e-08	3.984376880949868e-08	3.98598779003028e-08	3.987149796828694e-08	0.08547845871122782	0.08536661303830721	0.08548553491004962	0.08557575625119229	0.0
7	2.2679999945574297e-07	5.4056187169362724e-08	5.403045818508966e-08	5.405809506799829e-08	5.407831329575081e-08	0.0854860417883256	0.08535573710373925	0.08549418155206245	0.08559970244974358	0.212966667
8	2.8248333075567153e-07	7.324365556530691e-08	7.320395603787024e-08	7.324642533913727e-08	7.327915130645313e-08	0.08550265272610229	0.08535349614951694	0.08551185664948796	0.08563269038670546	0.22685
9	3.363166655491096e-07	9.915978431603181e-08	9.909763541497938e-08	9.916352635061426e-08	9.921573707031388e-08	0.08553146150638292	0.08536343329968508	0.08554173143498867	0.08567789771815916	0.240733333
10	4.298166705978098e-07	1.3412924200987818e-07	1.3403218187293467e-07	1.3413338477501327e-07	1.3421801820200947e-07	0.08557673944791597	0.08538980854142843	0.0855880788758891	0.0857396056193416	0.25
