time	data	mean	q025	med	q975	x_mean	x_q025	x_med	x_q975	osi
1	0.0	1.1587013959199914e-08	1.158629649924985e-08	1.1586929305002231e-08	1.1587865352296249e-08	0.09999647125502234	0.09998748148452975	0.09999567477015375	0.10000528526065784	0.0
2	0.0	1.5591326256248277e-08	1.558962968739294e-08	1.5591198973919112e-08	1.559332882289953e-08	0.09999649550969938	0.09997939213128403	0.09999491731775031	0.1000137322312142	0.0
3	0.0	2.0956516357799404e-08	2.095358539566935e-08	2.095615871316451e-08	2.096021564841806e-08	0.09999943508756294	0.0999738997348633	0.0999972904196959	0.10002512957356871	0.0
4	0.0	2.8138595461416382e-08	2.813314867587897e-08	2.8138056118851046e-08	2.8144691519718815e-08	0.10000625118389106	0.0999719039955284	0.10000356845016004	0.1000404220381567	0.0
5	0.0	3.7742053314744786e-08	3.773290404434963e-08	3.774129790683742e-08	3.775264768994532e-08	0.10001821669582447	0.09997505687670348	0.10001499513828305	0.10006086856566535	0.0
6	0.0	5.057111898116156e-08	5.0555986089321585e-08	5.0570164573703424e-08	5.058764355612289e-08	0.10003701649875002	0.09998504120274113	0.10003325528629023	0.10008815432472051	0.0
7	2.2679999945574297e-07	6.769375012743084e-08	6.766987149619855e-08	6.769228116384485e-08	6.772044395514118e-08	0.10006487971315531	0.10000408549133269	0.10006057753670308	0.10012452209419465	0.212966667
8	2.8248333075567153e-07	9.052122394711255e-08	9.048338368990176e-08	9.05194762666285e-08	9.05618885061937e-08	0.10010475090833967	0.10003513134017154	0.1000999059384294	0.10017297426848779	0.22685
9	3.363166655491096e-07	1.209315973785868e-07	1.2087365703633208e-07	1.2092915837220867e-07	1.2099364636764337e-07	0.10016052268549445	0.10008206886120108	0.10015513259428668	0.10023729333653161	0.240733333
10	4.298166705978098e-07	1.6139896925713334e-07	1.613106731146584e-07	1.6139631734296627e-07	1.6149233889949085e-07	0.1002373323222342	0.10015003194824303	0.10023139346915878	0.10032263794345372	0.25
11	8.641666681188144e-07	2.1520381700276657e-07	2.150709895969975e-07	2.1520095961410403e-07	2.1534175056694815e-07	0.10034196372536153	0.10024579880544274	0.10033547137345063	0.1004358239554904	0.25
12	1.1758333357005332e-06	2.86674708299143e-07	2.864769404494442e-07	2.8666874037176397e-07	2.868776024941431e-07	0.10048337231884284	0.10037831873482674	0.10047631976332752	0.10058581398335843	0.25
13	1.3310000023632213e-06	3.815209320967727e-07	3.8122894826592946e-07	3.815121355377276e-07	3.818172208537772e-07	0.1006733820464451	0.10055940732865279	0.10066575995262053	0.10078444133868078	0.25
14	1.7533333296731251e-06	5.072668977560803e-07	5.068386689118571e-07	5.072571283037548e-07	5.076962933586649e-07	0.10092761360248959	0.10080467434301804	0.10091940891836101	0.10104733875790144	0.256166667
15	1.9496666676294607e-06	6.738146634944334e-07	6.731906836056915e-07	6.738035311864887e-07	6.744330170232925e-07	0.10126672388188948	0.1011347626124739	0.10125791852251176	0.10139518829138906	0.269283333
16	2.3766666648365626e-06	8.941735057611311e-07	8.932696732243105e-07	8.941513292335935e-07	8.950591685007516e-07	0.10171807027585789	0.10157701187593844	0.10170863920478723	0.10185551866379518	0.2824
17	2.8350000051322484e-06	1.185403696178798e-06	1.1841014933761875e-06	1.1853669647248765e-06	1.1866659858513153e-06	0.10231796272352021	0.10216771020690281	0.10230787126946998	0.10246457410400998	0.295516667
18	2.800000004774184e-06	1.5698277388645094e-06	1.5679608246009432e-06	1.5697628312814595e-06	1.5716186046295092e-06	0.10311473893931343	0.10295516890141272	0.10310393908193101	0.10327075967621167	0.308633333
19	5.7266666684172005e-06	2.0765711377843046e-06	2.0739070540850533e-06	2.0764641679696355e-06	2.0791028910503156e-06	0.10417301062834337	0.10400396896507377	0.10416143587847351	0.1043383880466748	0.32175
