time	data	mean	q025	med	q975
1	0.0	1.3459890617070785e-07	4.270636067348868e-08	1.2732833415788573e-07	2.9083341095127793e-07
2	0.0	1.7762484388250816e-07	5.9523274540746956e-08	1.6833658121240195e-07	3.7325673218113477e-07
3	0.0	2.331755389976209e-07	8.2396728236723e-08	2.213185841884826e-07	4.7665026081280605e-07
4	0.0	3.0447152905375516e-07	1.1327701136015022e-07	2.895686974874432e-07	6.056183885504319e-07
5	0.0	3.954516435073843e-07	1.546634574534355e-07	3.780104263549254e-07	7.656134383728598e-07
6	0.0	5.108485712398032e-07	2.0971360487531126e-07	4.905895943122951e-07	9.62967923162349e-07
7	2.0266674173404842e-07	6.563504686198636e-07	2.823996087899685e-07	6.329913155985656e-07	1.205048689430689e-06
8	5.73833292896857e-07	8.386952723203683e-07	3.776416185548965e-07	8.119448219638851e-07	1.5002993371541497e-06
9	5.73833292896857e-07	1.0658181481478365e-06	5.015152747455883e-07	1.0358834830942771e-06	1.85833650144323e-06
10	6.076666749024766e-07	1.346973345842017e-06	6.610689257821882e-07	1.3177263724815893e-06	2.290018210353729e-06
11	6.413333830182191e-07	1.692846683028724e-06	8.646072541809083e-07	1.6643214769635778e-06	2.8074657336939156e-06
12	9.446666987998265e-07	2.1156611261107328e-06	1.1229975526498595e-06	2.0856319606955672e-06	3.424096125430083e-06
13	1.248000014581434e-06	2.629253373561892e-06	1.4485150246426268e-06	2.5980982108130943e-06	4.1545951040387586e-06
14	8.430000814130057e-07	3.2491145914237787e-06	1.855458157957103e-06	3.217272079736378e-06	5.014844386980229e-06
15	2.4296666562706444e-06	3.99239180892103e-06	2.360275173494246e-06	3.960334011254182e-06	6.021827478051226e-06
16	3.7125000961969593e-06	4.877830833494824e-06	2.981646265455077e-06	4.8460268378360026e-06	7.193460126405626e-06
17	3.6450000060755973e-06	5.925655149419797e-06	3.7405170830649634e-06	5.8945154989900275e-06	8.548359943447727e-06
18	4.556666692319189e-06	7.157368236038176e-06	4.663216150740424e-06	7.129526465621368e-06	1.0105552729613131e-05
19	6.0699999959496014e-06	8.595470197741597e-06	5.774409651731569e-06	8.593153133795856e-06	1.1883248342181181e-05
20	8.403333396789574e-06	1.0263082965629131e-05	7.1006476590767704e-06	1.0279533440977911e-05	1.3888699799602047e-05
21	1.576666668016799e-05	1.2183477325629375e-05	8.670794928460781e-06	1.2208767452764522e-05	1.614885370711587e-05
22	1.8699999959496017e-05	1.437950147786268e-05	1.0514609438266091e-05	1.4463832822984343e-05	1.867987193862587e-05
23	2.215000002025199e-05	1.6872915462149667e-05	1.2662042908048139e-05	1.698565082801756e-05	2.149596445205188e-05
24	2.4883333340084e-05	1.9683639657347565e-05	1.5142387421271833e-05	1.979008339486951e-05	2.460877361561223e-05
25	3.0466666639664013e-05	2.2828930379923418e-05	1.7983275248241057e-05	2.289679164344869e-05	2.8026737967283794e-05
26	3.5016666578908036e-05	2.6322503407616428e-05	2.120824461337426e-05	2.64220578927285e-05	3.175445539879119e-05
27	3.4e-05	3.0173631068910664e-05	2.4835213360567554e-05	3.02586117172216e-05	3.5792069608009466e-05
28	3.834999997974801e-05	3.438624451215818e-05	2.8882229828710414e-05	3.443677717574777e-05	4.0134693003993626e-05
29	4.5100000081007966e-05	3.89580759683068e-05	3.335791848760766e-05	3.899109667779905e-05	4.478019445944881e-05
30	5.093333327932802e-05	4.3879881702953125e-05	3.829904590236567e-05	4.378616400367361e-05	4.9755858197717284e-05
31	5.0283333259076035e-05	4.9134787683859416e-05	4.356637393156627e-05	4.9004860202101234e-05	5.49972234147138e-05
32	5.334999997974801e-05	5.469779772574546e-05	4.911587833579606e-05	5.468654785323938e-05	6.0475337666309464e-05
33	5.6383333340084e-05	6.053550303413144e-05	5.498990268191871e-05	6.0486915518303756e-05	6.63440439517693e-05
34	5.493333327932803e-05	6.660602975235435e-05	6.103339033704193e-05	6.649909108777754e-05	7.243094924385923e-05
35	5.8300000040503985e-05	7.285925109358081e-05	6.729501304171315e-05	7.30418533678258e-05	7.856281910020965e-05
36	6.269999995949602e-05	7.923727767700316e-05	7.340863183549222e-05	7.947861286979943e-05	8.461872029188174e-05
37	6.7116666659916e-05	8.567523644710022e-05	7.954832572678955e-05	8.605799204387467e-05	9.067797168450197e-05
38	7.033333340083997e-05	9.21023372852428e-05	8.585463372892541e-05	9.273424053400676e-05	9.678933218736827e-05
39	7.184999997974801e-05	9.84431903102256e-05	9.210801069441732e-05	9.920682066029315e-05	0.00010329162023017521
40	7.634999997974801e-05	0.00010461935563041088	9.823772715002574e-05	0.0001051835265947052	0.00011002530383650797
41	7.510000008100796e-05	0.00011055106691740865	0.00010435640117896611	0.00011102519072444302	0.00011626485694335318
42	7.766000004860478e-05	0.00011615910656715545	0.00011005150115254234	0.00011639175999317227	0.0001225771667463786
43	0.00011762966661576665	0.00012136664333725543	0.00011528298922588091	0.00012176906349835808	0.00012830393174122884
44	0.00013278200007047693	0.00012610130623593414	0.00012003087009188096	0.00012617591638376175	0.00013345465681908239
45	0.0001448373333716771	0.00013029673631353178	0.00012405253753537693	0.00013006970702484678	0.00013807694839081474
46	0.00016667066656999717	0.00013389449254939525	0.00012754351194216946	0.0001334766160551015	0.00014224715545744783
47	0.00018243683343101543	0.00013684533469566584	0.00013046230219643343	0.0001361594672613461	0.0001455065645941125
48	0.00020160866671824174	0.00013911048528297647	0.000132752628506926	0.0001386933638534829	0.00014787560208771693
49	0.00017490966659956507	0.00014066245668297917	0.00013442753193235925	0.00014019340264748788	0.0001494001495707975
50	0.0001705218332669743	0.0001414855851567883	0.00013529162129574727	0.0001410726420110145	0.00015019125045555548
