time	data	mean	q025	med	q975	x_mean	x_q025	x_med	x_q975	osi
1	0.0	5.668730913107551e-08	4.912519244474508e-08	5.703487265870427e-08	6.010595337439702e-08	1.3172184263395446e-05	9.840082228113602e-10	1.1376491182301845e-09	4.8536288646544327e-05	0.0
2	0.0	7.94330915226378e-08	6.865428553916821e-08	7.995616694934868e-08	8.324008960025264e-08	7.234406646703532e-06	-5.6871594448644284e-11	-2.1238536323963636e-11	1.1171499123422613e-05	0.0
3	0.0	1.1052733686263127e-07	9.527751984801115e-08	1.113077794547489e-07	1.1513535460700041e-07	4.254676590500644e-06	-1.4841397094678712e-10	1.1998631151271727e-10	2.6245525576447903e-06	0.0
4	0.0	1.527156664735248e-07	1.311694672330098e-07	1.539599575725563e-07	1.5914805708201755e-07	2.5644337636810434e-06	-6.77838212247978e-11	-5.792498582274909e-11	6.927080881946548e-07	0.0
5	0.0	2.0952409780802327e-07	1.7868372611159328e-07	2.1137194008583815e-07	2.1900341866211914e-07	1.564462965212103e-06	-7.113336543883501e-11	1.2569408494795153e-10	1.9705620513400534e-07	0.0
6	0.0	2.854384776051561e-07	2.417260650968039e-07	2.8795084305797657e-07	2.998062554572439e-07	9.606429269758576e-07	-9.391032087260666e-11	-6.666352444782043e-11	5.663911729193413e-08	0.0
7	2.0266674173404842e-07	3.861105868126297e-07	3.2595321216430087e-07	3.895895446479101e-07	4.0794462350812826e-07	5.924103375266786e-07	-8.509314638783318e-11	7.190796793718707e-11	1.6466619797587325e-08	0.11109999999999999
8	5.73833292896857e-07	5.185909037344238e-07	4.3702426582438767e-07	5.234802355742407e-07	5.510688894109734e-07	3.6623678874365445e-07	-1.0434822992489095e-10	-1.022119080028059e-12	4.85947407393465e-09	0.11109999999999999
9	5.73833292896857e-07	6.915859991457861e-07	5.818235804746926e-07	6.985912474900686e-07	7.39021985391918e-07	2.2687614523112914e-07	-7.54490030743037e-11	3.817902152786997e-11	1.4604807640803033e-09	0.11109999999999999
10	6.076666749024766e-07	9.157366599433662e-07	7.691445120561081e-07	9.254258626403584e-07	9.829761262571172e-07	1.4076233946106855e-07	-1.140250004909415e-10	5.465586610437755e-11	4.676223213501858e-10	0.11109999999999999
11	6.413333830182191e-07	1.2039096012625821e-06	1.0077788770557346e-06	1.2174077383836145e-06	1.2979117735597885e-06	8.736796932961406e-08	-1.1754596148522144e-10	-4.282352988313976e-11	2.462032659546325e-10	0.11109999999999999
12	9.446666987998265e-07	1.571493464609924e-06	1.3086875573583213e-06	1.5899957830934138e-06	1.7013753196899482e-06	5.433880014429119e-08	-7.363792195811637e-11	3.253859101095618e-11	2.143887712329363e-10	0.11109999999999999
13	1.248000014581434e-06	2.036685723444617e-06	1.687582807017076e-06	2.062029994356838e-06	2.214141709886461e-06	3.3794527606097566e-08	-9.278963719031056e-11	-4.438194408492965e-12	2.3844096885292e-10	0.14505
14	8.430000814130057e-07	2.620754053032392e-06	2.1609732312473422e-06	2.6552263818060657e-06	2.8606145372610135e-06	2.1059996834201394e-08	-1.2963233317579712e-10	3.502472081547753e-11	1.4813300791044543e-10	0.197516667
15	2.4296666562706444e-06	3.3482517994610938e-06	2.747828692918111e-06	3.3940057833055353e-06	3.6691115070575695e-06	1.3115331340353399e-08	-5.505330972535293e-11	2.4932756740310815e-12	1.3297490969265482e-10	0.24998333299999997
16	3.7125000961969593e-06	4.247163875883287e-06	3.4728969490803844e-06	4.3068519231936135e-06	4.6720749742452454e-06	8.195320324510471e-09	-1.377458977593602e-10	4.136431233791259e-11	2.176710188667633e-10	0.31171666699999995
17	3.6450000060755973e-06	5.348957319750793e-06	4.359428549542492e-06	5.427628364053049e-06	5.9086396975308575e-06	5.088156585807983e-09	-9.597183379566491e-11	-6.9521388656412855e-12	1.9563568114858714e-10	0.37345
18	4.556666692319189e-06	6.688507581273947e-06	5.433512492115743e-06	6.789971864579911e-06	7.418749346469446e-06	3.2082198533566248e-09	-5.2627402871929083e-11	3.7252145361241624e-11	1.8457380790210466e-10	0.435183333
19	6.0699999959496014e-06	8.303872418410747e-06	6.724311717270431e-06	8.43314310637947e-06	9.24755884558215e-06	1.999317691921867e-09	-1.3957863510299714e-10	2.4375229868364e-11	1.8566121596893576e-10	0.462966667
20	8.403333396789574e-06	1.023588523455666e-05	8.262934038905016e-06	1.0396220272982651e-05	1.1444021571865709e-05	1.2439198567303885e-09	-1.1996854643430118e-10	7.0006423243095595e-12	1.8111930572379541e-10	0.47223333300000003
