time	data	mean	q025	med	q975
1	0.0	1.293388038126491e-06	8.106500128459972e-07	1.288150388770519e-06	1.8708673726811659e-06
2	0.0	1.4155876757912208e-06	9.01251105725112e-07	1.41137527072984e-06	2.01156931144971e-06
3	0.0	1.5462663717458991e-06	1.001003296514555e-06	1.5440913527724753e-06	2.1591433942825743e-06
4	0.0	1.6856582479927288e-06	1.10928174669406e-06	1.6859636085801758e-06	2.313487302079249e-06
5	0.0	1.8339677153282302e-06	1.2264829895809486e-06	1.8400747434801173e-06	2.4746792429917084e-06
6	0.0	1.991330208136706e-06	1.352965045709989e-06	2.0017260730135515e-06	2.642618016044173e-06
7	4.7733335344856414e-08	2.157848684841107e-06	1.4890847725066908e-06	2.1729191111837125e-06	2.819256476853095e-06
8	7.358333653004773e-08	2.3335910400294934e-06	1.6351555924273788e-06	2.3537113680965814e-06	3.0182936278422415e-06
9	1.6108333742520733e-07	2.5185532434389624e-06	1.7914245636014247e-06	2.5418368145209434e-06	3.2253428205801504e-06
10	2.4263333181434696e-07	2.7126667786879367e-06	1.95812074415184e-06	2.7332414765888938e-06	3.440124164713892e-06
11	3.540166682536852e-07	2.9158128463826805e-06	2.1354388392499902e-06	2.937867527808621e-06	3.66549627079865e-06
12	4.912666677822345e-07	3.1278028514187157e-06	2.3239150430607635e-06	3.1537748068329397e-06	3.899538116360526e-06
13	5.906666697539726e-07	3.348373251277666e-06	2.523179398137824e-06	3.3745010581507294e-06	4.127778792518404e-06
14	6.841666628672115e-07	3.577189923642638e-06	2.7332100764836495e-06	3.597380645966792e-06	4.3827202877485755e-06
15	8.36666661017215e-07	3.8138453019860325e-06	2.944477505569864e-06	3.832054792694049e-06	4.641993503349111e-06
16	7.451666692884897e-07	4.0578561690580085e-06	3.1677396131099396e-06	4.081249670743273e-06	4.900855386387992e-06
17	1.2291666701478429e-06	4.308664844618944e-06	3.3925636872240584e-06	4.336654023933291e-06	5.162652186078856e-06
18	1.386000004630959e-06	4.56563700089978e-06	3.6283978762953115e-06	4.593272683276926e-06	5.438266706517094e-06
19	1.6246666694197798e-06	4.828064534550765e-06	3.897205666395745e-06	4.8465618913253126e-06	5.722293232676695e-06
20	2.0566666700881657e-06	5.0951696168032395e-06	4.1773482185774935e-06	5.114422990355416e-06	5.962652424551538e-06
21	2.403333338027948e-06	5.366108294670654e-06	4.466234170577186e-06	5.38030404677153e-06	6.232085349591759e-06
22	3.093333338266657e-06	5.639970375552655e-06	4.745125782159762e-06	5.65426062348419e-06	6.5012824702324776e-06
23	3.3033333284795786e-06	5.915788054484339e-06	5.042559514535293e-06	5.926117488136121e-06	6.768456291940392e-06
24	4.060000005729021e-06	6.192542052189405e-06	5.344978516634558e-06	6.215031057307253e-06	7.032854570368066e-06
25	4.97666666244947e-06	6.469169282407202e-06	5.6154312118467436e-06	6.495169938547531e-06	7.2935487065981865e-06
26	5.571666668536556e-06	6.744565606693639e-06	5.848668607586357e-06	6.760634491384151e-06	7.554065734849215e-06
27	6.0733333363569835e-06	7.017599945427916e-06	6.081068477256946e-06	7.027122302491338e-06	7.808431187001994e-06
28	7.006666671281711e-06	7.287120671614132e-06	6.334669798318035e-06	7.307800525368584e-06	8.137179873463706e-06
29	7.89333333110538e-06	7.551963859143071e-06	6.603579381689368e-06	7.5537750383157034e-06	8.418615896392727e-06
30	8.876666664836563e-06	7.810964666591223e-06	6.869987574649644e-06	7.80040880476815e-06	8.664310986396083e-06
31	9.959999996180652e-06	8.062961596240112e-06	7.125669297712177e-06	8.046795386487636e-06	8.899640553986485e-06
32	1.1145000004893539e-05	8.30681704108716e-06	7.387472361768105e-06	8.28545472126542e-06	9.148412887051119e-06
33	1.2273333331582799e-05	8.541426799949334e-06	7.638489949058397e-06	8.529020321459605e-06	9.428927014204732e-06
34	1.241666666865591e-05	8.76572325311393e-06	7.882169993586953e-06	8.756179162226301e-06	9.683862615681165e-06
35	1.2400000002387093e-05	8.97866897540187e-06	8.1173983166827e-06	8.958562265306859e-06	9.902702304932477e-06
36	1.2400000002387093e-05	9.179300911683567e-06	8.343125448139291e-06	9.16830824956499e-06	1.0107415657688673e-05
37	1.2216666661494634e-05	9.366717115587008e-06	8.558209422762137e-06	9.357432603363747e-06	1.029724752150948e-05
38	1.1933333334924727e-05	9.540096205029833e-06	8.717976347622831e-06	9.531964364386189e-06	1.0470904242446763e-05
39	1.1516666666268818e-05	9.69868465641491e-06	8.8660411078684e-06	9.693816819353136e-06	1.0670438458366561e-05
40	1.2183333328956998e-05	9.841821347545742e-06	9.025363975319408e-06	9.83130723236592e-06	1.0859815141615293e-05
41	1.2433333334924727e-05	9.96893635373608e-06	9.124401191803541e-06	9.951172225638272e-06	1.0976491208737285e-05
42	1.1941666662091406e-05	1.007954214802675e-05	9.214051054819567e-06	1.0070828468085426e-05	1.1074381076643051e-05
43	1.1708333334327954e-05	1.0173274731113028e-05	9.301904837866164e-06	1.0181093744190178e-05	1.1153920306452093e-05
44	1.2091666670446229e-05	1.0249865407679801e-05	9.41542643322811e-06	1.0246786592267212e-05	1.1215293928096933e-05
45	1.2974999994629044e-05	1.0309135940012264e-05	9.442591631896278e-06	1.0306636133946045e-05	1.12725399264314e-05
46	1.3175000001790321e-05	1.0351010680800438e-05	9.456797178596644e-06	1.0342759374423547e-05	1.134459248368194e-05
47	1.3575000004177412e-05	1.03755218365393e-05	9.458202239837288e-06	1.0350348136041522e-05	1.1394898913210982e-05
48	1.3933333334924728e-05	1.03827945188042e-05	9.446960924264846e-06	1.0360157566444832e-05	1.1408457324336905e-05
49	1.3733333327763451e-05	1.0373060893128802e-05	9.474016101118285e-06	1.035046334130247e-05	1.136592645953787e-05
50	1.2763333336595693e-05	1.0346645435080479e-05	9.50118524239393e-06	1.0360142217654156e-05	1.1301797370157332e-05
51	1.219666667152042e-05	1.0303943311064868e-05	9.473133908876728e-06	1.0318255505611043e-05	1.1216886489321597e-05
52	1.2029999996896781e-05	1.0245435323008213e-05	9.406679783120378e-06	1.0250064081368387e-05	1.1140435841933126e-05
53	1.1979999998090326e-05	1.0171680439179822e-05	9.328723164972696e-06	1.0172279482618784e-05	1.1062175054544253e-05
54	1.219666667152042e-05	1.0083308776367896e-05	9.222358042884236e-06	1.0081227051020662e-05	1.0966376393393615e-05
55	1.195500000465483e-05	9.981015254739571e-06	9.10478276148335e-06	9.970637372796097e-06	1.085384884500187e-05
56	1.1941666662091406e-05	9.86554146843624e-06	8.998389371377228e-06	9.851144079725585e-06	1.072644760252981e-05
57	1.1246666670326876e-05	9.737671235054161e-06	8.870601411890125e-06	9.726157896846925e-06	1.0584524825089228e-05
58	1.0546666663165598e-05	9.598229265053277e-06	8.764814409486472e-06	9.596363365563954e-06	1.0395327800222094e-05
59	9.870000005490312e-06	9.44807278957722e-06	8.646498419176042e-06	9.45472591971699e-06	1.0259931732787836e-05
60	9.040000003819348e-06	9.288084325093766e-06	8.459695425982775e-06	9.296928025179348e-06	1.0080433666482267e-05
61	8.853333339221494e-06	9.119157897138092e-06	8.319569074470062e-06	9.115021850693628e-06	9.915128553386812e-06
62	8.198333327405388e-06	8.942194331389153e-06	8.119410749507057e-06	8.944875240463453e-06	9.739916664742099e-06
63	7.118333331702153e-06	8.758091836030886e-06	7.911474764988996e-06	8.778042249599133e-06	9.550793848397672e-06
64	6.1199999995225824e-06	8.567746814963938e-06	7.701787834349082e-06	8.586246482035901e-06	9.332218137272422e-06
65	5.535000000358064e-06	8.372046228109377e-06	7.51697940063429e-06	8.402230617859125e-06	9.137792845878628e-06
66	5.180000005251603e-06	8.171860689613574e-06	7.352417122562321e-06	8.189399814268179e-06	8.936458921137724e-06
67	4.760000000954837e-06	7.968027774759581e-06	7.1955460080577626e-06	7.969323765106662e-06	8.69792603674544e-06
68	4.6316666623301155e-06	7.761358236116123e-06	7.000333608590137e-06	7.757362826052179e-06	8.471104935089876e-06
69	4.686666664597853e-06	7.552639077922478e-06	6.80455655540491e-06	7.538964143168944e-06	8.269678032488951e-06
70	4.551666666626882e-06	7.342617534745936e-06	6.608954847007984e-06	7.325739338584302e-06	8.07699522019164e-06
71	3.99166666089786e-06	7.132010030742286e-06	6.414003147082856e-06	7.116923071811832e-06	7.868527610142889e-06
72	3.9483333333731185e-06	6.921494442064998e-06	6.220172885167937e-06	6.9144867619355955e-06	7.624635913581374e-06
73	3.6983333274053875e-06	6.711693370134674e-06	6.027937098889741e-06	6.689982886659068e-06	7.420232268941673e-06
74	3.606666668894619e-06	6.50318191887144e-06	5.8133617306686774e-06	6.483221366207946e-06	7.2211928489935805e-06
75	3.6966666715204213e-06	6.2965004933695865e-06	5.61537566984529e-06	6.2635674058960676e-06	7.021559034904444e-06
76	3.3833333361182743e-06	6.092146839360431e-06	5.370189956916033e-06	6.053886052639721e-06	6.814828993956196e-06
77	3.311666667581719e-06	5.890582268202521e-06	5.183665212786655e-06	5.8508203121728235e-06	6.6026015558017175e-06
78	2.858333330747317e-06	5.692216834759558e-06	5.001317153951636e-06	5.653809127456682e-06	6.393064585727584e-06
79	2.760000000954837e-06	5.49741635672915e-06	4.823195674123328e-06	5.472901181069455e-06	6.189745660230331e-06
80	2.5833333313440896e-06	5.306495072041982e-06	4.649460876282167e-06	5.295502114809164e-06	5.992832478004236e-06
81	2.4749999946290425e-06	5.119728820801058e-06	4.4559684916312805e-06	5.11601297811634e-06	5.799085348051886e-06
82	2.403333338027948e-06	4.937363982027656e-06	4.253496793467125e-06	4.9446751977937325e-06	5.608853963580374e-06
83	2.3033333284795793e-06	4.759606173369474e-06	4.058517599061726e-06	4.7705941636383645e-06	5.4223861609381e-06
84	2.0666666650752717e-06	4.586629275925293e-06	3.870859728385208e-06	4.6015882195239405e-06	5.241029984198165e-06
85	1.923333328002161e-06	4.4185708478199086e-06	3.6906012426068524e-06	4.4364826260861476e-06	5.0826492527007815e-06
86	2.028333329076352e-06	4.2555336247669665e-06	3.517695711062016e-06	4.273036539191484e-06	4.9264214533309304e-06
87	2.0233333375505298e-06	4.09758573145839e-06	3.3770116879415552e-06	4.113860099736707e-06	4.770029527212401e-06
88	2.1266666708042933e-06	3.9447766125756955e-06	3.235512801208863e-06	3.961730703581943e-06	4.626536548716297e-06
89	2.178333337431175e-06	3.7971305532432363e-06	3.085168594107593e-06	3.817401770207719e-06	4.482175640335079e-06
90	2.3816666682978462e-06	3.6546498208841656e-06	2.941714150794673e-06	3.6753584710076367e-06	4.34087930243742e-06
91	2.253333329673125e-06	3.517315930413281e-06	2.8051137159703617e-06	3.534796140914269e-06	4.203182849053843e-06
92	2.128333338624721e-06	3.385089526346269e-06	2.675428662331376e-06	3.4072044970746845e-06	4.069152162200763e-06
93	2.1166666638817256e-06	3.2579134009318447e-06	2.552067613638267e-06	3.2841765248420344e-06	3.938851584502701e-06
94	2.1149999960612977e-06	3.1357159456028893e-06	2.4355791852328365e-06	3.1596261364966664e-06	3.8123435262456663e-06
95	2.0366666681784916e-06	3.018414816303037e-06	2.3365659257119936e-06	3.0385204043453164e-06	3.6966209356892186e-06
96	1.9866666693720377e-06	2.9059192604073534e-06	2.242405939666413e-06	2.9165591750268535e-06	3.58602812074839e-06
97	1.9283333314634445e-06	2.798126302135624e-06	2.152749434916733e-06	2.805675314821705e-06	3.4791065522928438e-06
98	1.7549999974935532e-06	2.694928902113313e-06	2.0600543765340133e-06	2.7045285173792104e-06	3.3760019582612814e-06
99	1.5666666650752716e-06	2.596208710558538e-06	1.974544555621494e-06	2.6058494818817926e-06	3.267639291100973e-06
100	1.6316666623301158e-06	2.501842638297161e-06	1.8968845656260296e-06	2.5118918265590327e-06	3.161151240875407e-06
101	1.786666662210761e-06	2.411704344433796e-06	1.818086363925584e-06	2.4242298075361357e-06	3.0612476204354494e-06
102	1.7816666706849386e-06	2.325665553873663e-06	1.7383309026529356e-06	2.3369806208962594e-06	2.972585631893502e-06
