time	data	mean	q025	med	q975	x_mean	x_q025	x_med	x_q975	osi
1	0.0	1.4786290328993048e-06	1.114436305658555e-06	1.4536233599491293e-06	1.9375066672832764e-06	0.0019671426557944095	9.06435107373148e-08	0.00022333810203367335	0.015138188068247526	0.0
2	0.0	1.6153983585156425e-06	1.242473470524638e-06	1.5912587372001624e-06	2.089035022076058e-06	0.00044856941395626424	2.113234644360027e-11	4.830360786803585e-06	0.004658432076813263	0.0
3	0.0	1.7558413727763357e-06	1.3684155913742285e-06	1.7310130522297623e-06	2.247783742435499e-06	0.0001384884953602156	-1.787829993131541e-11	1.1672318328625466e-07	0.0014803185628143004	0.0
4	0.0	1.9043031205116196e-06	1.5034349928407807e-06	1.8778431651116335e-06	2.4181140755677638e-06	4.8266774114548344e-05	-6.673638155206629e-11	2.5574045654389242e-09	0.0005111682242715846	0.0
5	0.0	2.061192810773306e-06	1.647727942156076e-06	2.03183172310395e-06	2.599589071383867e-06	1.8412839714719016e-05	-8.194209166620839e-11	1.0324792242056037e-10	0.0002132016518252113	0.0
6	0.0	2.226630460404743e-06	1.8061922356275816e-06	2.1999691177137165e-06	2.7893223588387533e-06	7.827111065767043e-06	-1.4611291312717788e-10	6.897113527870076e-11	0.00010932294346892287	0.0
7	4.7733335344856414e-08	2.4006432104004405e-06	1.9765022512996073e-06	2.372472436998778e-06	2.9872076241395805e-06	3.840067695666253e-06	-8.732713369337978e-11	4.900957763823005e-11	3.787775918200742e-05	0.055600000000000004
8	7.358333653004773e-08	2.58319409416472e-06	2.147485516259083e-06	2.554692696036292e-06	3.1930579251521217e-06	2.2223485850690474e-06	-1.217819387721588e-10	5.451919006385576e-11	1.3595675000278102e-05	0.055600000000000004
9	1.6108333742520733e-07	2.7741868509685098e-06	2.326274945919322e-06	2.7461213777105736e-06	3.4066204392689684e-06	1.4930169898352948e-06	-1.3568780112073227e-10	3.952369880498746e-11	4.904260231929736e-06	0.06484999999999999
10	2.4263333181434696e-07	2.9734654060322763e-06	2.51373440734308e-06	2.951351633117631e-06	3.6275801223477256e-06	1.1143174426258994e-06	-1.1926509296931467e-10	5.449904057147275e-11	1.7782708126693326e-06	0.0741
11	3.540166682536852e-07	3.1808120709237124e-06	2.6990779138209417e-06	3.160704770728807e-06	3.85563393382513e-06	8.843434236833862e-07	-1.2291135710303221e-10	2.6097583834497364e-11	6.482521200814697e-07	0.08335
12	4.912666677822345e-07	3.395945756060737e-06	2.8900458289595427e-06	3.379348081865175e-06	4.0879985911168035e-06	7.245389505805046e-07	-1.1589053862358256e-10	3.3429874854528024e-11	2.3762876009624144e-07	0.09259999999999999
