time	data	mean	q025	med	q975
1	0.0	2.7443161318404e-06	2.1098688652565247e-06	2.709185746913925e-06	3.6152179465664264e-06
2	0.0	3.20336394922337e-06	2.4979627770154643e-06	3.1701727996910297e-06	4.158016337149397e-06
3	0.0	3.7222503819497817e-06	2.9428655446096826e-06	3.6798413633904734e-06	4.762281545522569e-06
4	0.0	4.305510893810788e-06	3.4498710129850715e-06	4.262111139482023e-06	5.431454120326585e-06
5	0.0	4.957465150379784e-06	4.024207472921199e-06	4.910438401998306e-06	6.1686276153094444e-06
6	0.0	5.682064562299229e-06	4.670603900466231e-06	5.641588350583653e-06	6.976367721801726e-06
7	7.689999393127884e-07	6.482755145989944e-06	5.392777962051652e-06	6.451275202559534e-06	7.856639914896929e-06
8	9.533333788333704e-07	7.362364281628107e-06	6.195808207719197e-06	7.337556279600302e-06	8.81070368231101e-06
9	1.691666723541713e-06	8.322933637309077e-06	7.083183476859633e-06	8.28618662616335e-06	9.838951182427244e-06
10	2.4913332574589475e-06	9.365577063997186e-06	8.057543095205918e-06	9.347297893325781e-06	1.0940874714007195e-05
11	2.8596666335254233e-06	1.0490357866284278e-05	9.103022365048972e-06	1.0486655020938969e-05	1.2114907309009848e-05
12	3.934999938206031e-06	1.1696142884107686e-05	1.0228541205420603e-05	1.1715120399220188e-05	1.3358371322293007e-05
13	4.641666732764694e-06	1.2980490497330704e-05	1.14380318890179e-05	1.3015224587479771e-05	1.4667422591197406e-05
14	5.318333385289456e-06	1.433955990919623e-05	1.2755892466386653e-05	1.4393662720176513e-05	1.6036960901474495e-05
15	1.0580000040581113e-05	1.57680391193051e-05	1.4162208938061191e-05	1.5781773837272822e-05	1.7460666349554215e-05
16	1.5709999979709445e-05	1.725909095186155e-05	1.564538975781672e-05	1.7304692825319148e-05	1.8952002775276446e-05
17	1.826500002490205e-05	1.880436471105248e-05	1.719516998964288e-05	1.8859829347532934e-05	2.0511356803779973e-05
18	2.6099999981554042e-05	2.039400364724864e-05	1.878581472582626e-05	2.0368994797166215e-05	2.210228450989044e-05
19	2.809166664975787e-05	2.2016725017244653e-05	2.0357496443385165e-05	2.190938299467066e-05	2.3713040459285788e-05
20	3.123333329029276e-05	2.365992090985056e-05	2.195704871151003e-05	2.3585933170664837e-05	2.5334401220154927e-05
21	2.8683333391745546e-05	2.530980608029594e-05	2.3570338900299852e-05	2.526720096012559e-05	2.6976265204171758e-05
22	2.6600000073783847e-05	2.6951602083835564e-05	2.5223468788893896e-05	2.6940551285314687e-05	2.859747644272203e-05
23	2.606666665436936e-05	2.8569759821868046e-05	2.688487470553951e-05	2.853844560408589e-05	3.024894780371263e-05
24	2.3066666654369358e-05	3.0148205471409537e-05	2.8510679741816013e-05	3.0128243143812437e-05	3.1852215848937214e-05
25	2.5349999935439138e-05	3.167062346046565e-05	3.003750110383747e-05	3.162085651725664e-05	3.3397349424801145e-05
26	2.7583333410191505e-05	3.3120740988935156e-05	3.148249882246105e-05	3.310969970438581e-05	3.485121528522333e-05
27	3.2349999935439135e-05	3.448264470512825e-05	3.283439221810098e-05	3.441687569280462e-05	3.621414774848511e-05
28	3.5600000073783845e-05	3.57410552947614e-05	3.4093309784022646e-05	3.5688587467807806e-05	3.750105661700993e-05
29	4.036666659903147e-05	3.6881702020543675e-05	3.5155607926537837e-05	3.6812305873199435e-05	3.8678991111494997e-05
30	4.1133333308738724e-05	3.789153016372862e-05	3.609097745699085e-05	3.7820204433811094e-05	3.9712395492553896e-05
31	4.4733333382522564e-05	3.875895013893616e-05	3.6911875980614386e-05	3.870035959321289e-05	4.058856432429894e-05
32	5.033333327184679e-05	3.947417411534132e-05	3.760819034731438e-05	3.941170981849029e-05	4.129705757329384e-05
33	5.011666664514638e-05	4.002930370187895e-05	3.809454152868414e-05	3.9985018595828054e-05	4.188518458495249e-05
34	5.1133333308738716e-05	4.0418492050243634e-05	3.841572146558467e-05	4.0394802874306406e-05	4.2286281009164785e-05
