time	data	mean	q025	med	q975	x_mean	x_q025	x_med	x_q975	osi
1	0.0	2.622585278593318e-06	1.7411986192811304e-06	2.5854831905985913e-06	3.824920312574477e-06	0.0193036533563984	2.1835725719285453e-07	0.0009250301446892493	0.13766631606318755	0.0
2	0.0	3.097405602615479e-06	2.1238296957525406e-06	3.0564615139578358e-06	4.388565031262638e-06	0.011531362636547771	3.902022672968773e-12	8.919598372851567e-06	0.11839261724310679	0.0
3	0.0	3.610656301259722e-06	2.5325752097231665e-06	3.5735631926638505e-06	5.014441677214628e-06	0.008482659760754708	-8.078400918424495e-11	6.770098305078878e-08	0.10025041536800336	0.0
4	0.0	4.1868888230908785e-06	2.9994647906536615e-06	4.15169963652466e-06	5.68280399154147e-06	0.006716487861472887	-9.00424912034532e-11	5.246909378149615e-10	0.08755428423553828	0.0
5	0.0	4.832297570705416e-06	3.5341310126066226e-06	4.8034699476293355e-06	6.4109847483307116e-06	0.005501750754823373	-9.128769184157576e-11	1.192167453172927e-10	0.07690577742951206	0.0
6	0.0	5.551554705751061e-06	4.157457982914321e-06	5.531102223608362e-06	7.203465225526477e-06	0.004596232869204657	-8.801039710455024e-11	1.1919548358768354e-10	0.06477127335733592	0.0
7	7.689999393127884e-07	6.3486335048904706e-06	4.830936824219634e-06	6.337402203682725e-06	8.06172612058325e-06	0.003892777292536241	-1.2545482379447127e-10	1.0110132479486019e-10	0.053871816432186116	0.11109999999999999
8	9.533333788333704e-07	7.226835833620261e-06	5.596183728328191e-06	7.211035838826399e-06	9.037539029675855e-06	0.003333574356773989	-1.1796976354591137e-10	8.93631164683193e-11	0.04526222606201786	0.11109999999999999
9	1.691666723541713e-06	8.18868330014785e-06	6.432915243245552e-06	8.19686455275399e-06	1.018297832530742e-05	0.0028829287448187465	-1.1837425492372827e-10	8.312978414989713e-11	0.03922752196360869	0.11109999999999999
10	2.4913332574589475e-06	9.235776988192448e-06	7.350793326866041e-06	9.235836113601656e-06	1.1343036890423238e-05	0.0025167126703139293	-1.195704433375305e-10	5.748840972222304e-11	0.03423070128409105	0.11109999999999999
11	2.8596666335254233e-06	1.0368651747983171e-05	8.383245205643026e-06	1.0351011158097219e-05	1.2598916859176238e-05	0.0022176229825309228	-9.511334194662558e-11	5.4365373449564016e-11	0.030109364610104418	0.11109999999999999
12	3.934999938206031e-06	1.1586635632377157e-05	9.517750807362036e-06	1.1539245328375896e-05	1.3845986946817624e-05	0.001972772744942641	-1.093984209657036e-10	5.328516380926425e-11	0.026728480035007437	0.11109999999999999
13	4.641666732764694e-06	1.2887720384150887e-05	1.0747728705947731e-05	1.2801282153837004e-05	1.5151075930435927e-05	0.00177233616342867	-1.1576312288476199e-10	3.586546088830266e-11	0.023967132996675803	0.11109999999999999
14	5.318333385289456e-06	1.4268452261386943e-05	1.207140243259205e-05	1.4160333135006092e-05	1.6658780868320124e-05	0.001608718282112539	-1.2919547142587578e-10	5.2783673508345265e-11	0.021726857591247144	0.126533333
15	1.0580000040581113e-05	1.57238448152096e-05	1.3456507478485762e-05	1.564079757939327e-05	1.81967476988768e-05	0.0014760113432076393	-1.2098302678136334e-10	3.756266743254407e-11	0.019928368376800353	0.151233333
16	1.5709999979709445e-05	1.7247322131316043e-05	1.4907714176404563e-05	1.712935086135944e-05	1.9874881226657075e-05	0.0013696216051280116	-1.2639512582682828e-10	3.560900107635466e-11	0.01804863357282048	0.200616667
17	1.826500002490205e-05	1.8830695421282494e-05	1.6432984924802623e-05	1.8733523338624035e-05	2.1855067230766794e-05	0.0012860048374866587	-1.2267667659695795e-10	3.389257604475109e-11	0.01704179646461367	0.25
18	2.6099999981554042e-05	2.04641782335567e-05	1.802315124537075e-05	2.034081419101718e-05	2.3966603910481817e-05	0.0012224763876096658	-1.2574391546724686e-10	2.723726599200108e-11	0.016317487024049386	0.30865
19	2.809166664975787e-05	2.213644207039457e-05	1.9665983180129777e-05	2.2018061873723577e-05	2.613571607970213e-05	0.0011770748927795096	-1.315960122230572e-10	3.503191555714687e-11	0.01585179204826622	0.37655
20	3.123333329029276e-05	2.383471475378621e-05	2.1419741866250878e-05	2.364489406676901e-05	2.83657035447795e-05	0.0011484670767803412	-1.1342884171382837e-10	3.2347686843589335e-11	0.015630365639839328	0.44291666700000004
21	2.8683333391745546e-05	2.55449203927435e-05	2.306073132575715e-05	2.5306517173864123e-05	3.064005681281069e-05	0.001135885199207159	-1.1563597571926095e-10	3.3766713012415257e-11	0.015647947917962705	0.500016667
22	2.6600000073783847e-05	2.725186344719531e-05	2.4893167989398278e-05	2.7062234602840605e-05	3.294037403851747e-05	0.001139091801875355	-1.1792429762168502e-10	3.0056876869442275e-11	0.015908297698677056	0.532433333
23	2.606666665436936e-05	2.8939448178591592e-05	2.654281150266422e-05	2.863454440443056e-05	3.524313527081832e-05	0.00115836883919789	-1.2552374019577117e-10	1.7173657034763333e-11	0.016424532594048254	0.569466667
24	2.3066666654369358e-05	3.059093434511723e-05	2.8061001176636636e-05	3.0135067082810954e-05	3.7528397188759466e-05	0.0011945285367403779	-1.0902147493093654e-10	1.987336282860732e-11	0.01721989884509135	0.597233333
25	2.5349999935439138e-05	3.218922362652419e-05	2.95663245030613e-05	3.165382462654713e-05	3.9775910349074604e-05	0.0012489450490337927	-1.2706027279408057e-10	2.37911166299646e-11	0.01832898852135207	0.61575
26	2.7583333410191505e-05	3.3717159946403184e-05	3.0907970993174626e-05	3.3107685261168576e-05	4.196265008310144e-05	0.0013236064242721874	-1.3289361448190296e-10	3.4199392855962834e-11	0.019799421292384014	0.620366667
27	3.2349999935439135e-05	3.5157858544093385e-05	3.218972567103663e-05	3.446319062529141e-05	4.406531696606207e-05	0.0014211846830885016	-1.3129254747038367e-10	1.1029939170864201e-11	0.02169400614762856	0.624983333
28	3.5600000073783845e-05	3.6495012420065134e-05	3.34118079091576e-05	3.575251780449468e-05	4.6060765048747135e-05	0.0015451241084227646	-1.2234149826846983e-10	3.408350263613789e-11	0.023697404614667145	0.657383333
29	4.036666659903147e-05	3.771323537694494e-05	3.4507871426149976e-05	3.6956713513473636e-05	4.79264429346659e-05	0.0016997415328520657	-1.2908609928854303e-10	1.1974259916229205e-11	0.025541907686696126	0.685166667
30	4.1133333308738724e-05	3.87983555699843e-05	3.5502276838506505e-05	3.806446626857805e-05	4.964083545826928e-05	0.0018903350821789884	-1.1449188582973618e-10	2.458439240080045e-11	0.02787724851221086	0.7129500000000001
31	4.4733333382522564e-05	3.9737685959519075e-05	3.640168917117765e-05	3.899758238313048e-05	5.1183893374608e-05	0.0021232880662073873	-1.4205903309820423e-10	3.7239096107885303e-11	0.03234904790655193	0.740733333
32	5.033333327184679e-05	4.0520299784720104e-05	3.7067544847378324e-05	3.969034269293523e-05	5.253743856962705e-05	0.0024061523768529724	-1.2298009154769092e-10	1.8003553712789904e-11	0.0379231516675013	0.768516667
33	5.011666664514638e-05	4.1137243049567454e-05	3.755569504978787e-05	4.025280280783545e-05	5.368553295859051e-05	0.002747686130807219	-1.282761223210317e-10	6.379771721594434e-12	0.04484273606497826	0.7963
34	5.1133333308738716e-05	4.158168999441356e-05	3.786971451839526e-05	4.063212049118548e-05	5.46148002076863e-05	0.003157810382412436	-1.3140867800974485e-10	1.7927340107798784e-11	0.05339015010560255	0.7963
35	4.865000006456087e-05	4.184908335146454e-05	3.808372822078808e-05	4.086850185234662e-05	5.531469105180476e-05	0.003647441194363182	-1.1854768107802502e-10	2.2837934917608028e-11	0.0638815821502812	0.7963
36	4.788333335485362e-05	4.1937209401654296e-05	3.823808257130188e-05	4.091630536924503e-05	5.577768464095094e-05	0.0042281481768379325	-1.2669600350755992e-10	2.866914339309487e-11	0.07665402915062138	0.7963
37	4.595000000922298e-05	4.184622752618167e-05	3.8223622356784844e-05	4.0841408345903746e-05	5.599129261770843e-05	0.0049115891306826445	-1.1478804703892654e-10	1.5722473805076335e-11	0.09204200361434989	0.7963
38	4.281666670048427e-05	4.1578629379237895e-05	3.796755789246143e-05	4.054975286424309e-05	5.5959395597115386e-05	0.005708689893993511	-1.220115564206883e-10	1.3671303345414965e-11	0.1103423351140864	0.7963
39	4.16666667281532e-05	4.113920126675478e-05	3.744956694755986e-05	4.011252149708056e-05	5.5685851206019407e-05	0.006628570266933317	-1.3075048934872606e-10	1.5841594982662595e-11	0.12990855379019425	0.7963
40	3.893333334563064e-05	4.053488397331749e-05	3.6877594647666915e-05	3.949816732911851e-05	5.517599813921182e-05	0.007677271897088649	-1.2674543026182475e-10	1.0385937567264938e-11	0.15204004175967054	0.7963
41	3.8199999963108076e-05	3.9774620870937855e-05	3.620011877008172e-05	3.8755543935217604e-05	5.4438171778388934e-05	0.008856403552344157	-1.209132615951717e-10	6.640351876200187e-12	0.17660162900357065	0.7963
42	3.7633333400968526e-05	3.8869168633412305e-05	3.530245201417053e-05	3.78589677242074e-05	5.348348606466755e-05	0.010161865753306526	-1.180479605984754e-10	3.243286158545831e-11	0.20327077334346605	0.7963
43	3.7600000073783847e-05	3.783084978561623e-05	3.443021350021158e-05	3.682317522489947e-05	5.232556082472825e-05	0.011582827304210603	-1.1331391712489647e-10	2.96445722709735e-11	0.23152761511924136	0.7963
44	3.418333329951574e-05	3.667328968607607e-05	3.339170821739833e-05	3.567702911706556e-05	5.098020372402046e-05	0.01310110231943452	-1.3217133322090317e-10	1.5629333630396264e-13	0.26072647644400143	0.7963
45	3.118333329951574e-05	3.541112091726515e-05	3.19825476647399e-05	3.442020392656329e-05	4.9465057132194295e-05	0.014691054547900881	-1.2725515233096882e-10	3.02851535394981e-11	0.29015518122784323	0.7963
46	2.8816666700484262e-05	3.405966780070236e-05	3.077226257537587e-05	3.30748048959708e-05	4.779922065167857e-05	0.016320186009664582	-1.2448273919009195e-10	1.3451351021502961e-11	0.32523588962583133	0.7963
