time	data	mean	q025	med	q975	x_mean	x_q025	x_med	x_q975	osi
1	0.0	6.632011587430987e-06	6.56721176799361e-06	6.628260986544051e-06	6.69928965197086e-06	1.8413337966311975e-07	6.152621388701377e-08	7.860825316023238e-08	4.0646547644022093e-07	0.0
2	0.0	8.048033494181068e-06	7.902022172358096e-06	8.043296017888288e-06	8.172562277249824e-06	5.200079260181543e-11	-1.228484780557249e-10	4.6743790923498675e-11	1.390396061320491e-10	0.0
3	0.0	9.622952533711924e-06	9.311155068071854e-06	9.663748845831245e-06	9.845130201415572e-06	3.687375704399437e-11	-1.1152123259338341e-10	3.967934957898709e-11	1.2376000394225594e-10	0.0
4	0.0	1.1457281650508e-05	1.0926244069272827e-05	1.157208805926565e-05	1.180832223671499e-05	5.425410434566584e-11	-1.332470829673338e-10	7.824967496929577e-11	1.1733193089733187e-10	0.0
5	0.0	1.358331765460991e-05	1.2765347481847225e-05	1.3797252389556593e-05	1.4112118218316151e-05	-4.7938473029919e-12	-1.5725632787092494e-10	-1.40246877524171e-11	1.0783785020642507e-10	0.0
6	0.0	1.603530387478089e-05	1.4853324979620832e-05	1.6365073171848622e-05	1.6808349835476423e-05	1.1143786453523897e-11	-1.4374731701232534e-10	3.0671515845949856e-11	8.784323901857939e-11	0.0
7	7.689999393127884e-07	1.884912807740484e-05	1.7212446908373383e-05	1.932219079580928e-05	1.994727127206794e-05	-1.070541918336691e-11	-1.4406052047852241e-10	-2.2558416521512924e-11	1.2574396036906615e-10	0.11109999999999999
8	9.533333788333704e-07	2.2061917633316952e-05	1.9864964470501823e-05	2.2709352547127243e-05	2.3566294228104274e-05	7.286634614827863e-12	-1.369106937466047e-10	2.57504958121835e-11	1.197462525757837e-10	0.11109999999999999
9	1.691666723541713e-06	2.571152265488772e-05	2.2832701822624956e-05	2.6568032562688616e-05	2.7718151158656783e-05	-1.7355486519905278e-11	-1.370992264881284e-10	-1.543734619497389e-11	1.3964259819019416e-10	0.11109999999999999
10	2.4913332574589475e-06	2.9835879482157607e-05	2.613619305876725e-05	3.0939684255920496e-05	3.245184500110881e-05	5.405783442831924e-11	-1.3241286806689594e-10	6.267746336045813e-11	1.8704131498800097e-10	0.11109999999999999
11	2.8596666335254233e-06	3.4472249630231374e-05	2.979500372469268e-05	3.586484871695401e-05	3.781901628403159e-05	1.6336176209983968e-11	-1.2512211238210268e-10	5.769830044294341e-12	1.608204571711699e-10	0.11109999999999999
12	3.934999938206031e-06	3.965633251104156e-05	3.382683729026002e-05	4.138211909299231e-05	4.387015699384223e-05	6.484711297876847e-11	-1.0744832361208302e-10	5.668158726823134e-11	2.318937459648299e-10	0.11109999999999999
13	4.641666732764694e-06	4.542125473984022e-05	3.8246599411458436e-05	4.752696620381619e-05	5.065329341293985e-05	-1.3609181373980735e-11	-1.6435901908691083e-10	-1.4575013782050847e-11	1.8685138813083757e-10	0.11109999999999999
14	5.318333385289456e-06	5.1796443841918354e-05	4.3065945414464836e-05	5.433631059295091e-05	5.821294952988269e-05	5.140721669203206e-13	-1.4400322317740488e-10	6.633215646812286e-14	1.102469828169807e-10	0.126533333
15	1.0580000040581113e-05	5.880640044954502e-05	4.829261409702228e-05	6.186392023938803e-05	6.658702751837697e-05	-3.0664331035876674e-12	-1.3693788080332608e-10	-1.6632813976961172e-11	1.7638955058252903e-10	0.151233333
16	1.5709999979709445e-05	6.64693898734246e-05	5.3929758798455565e-05	7.010983692570216e-05	7.58062599418698e-05	4.32054185350273e-11	-1.4315899477148877e-10	4.297990341862178e-11	1.8774934849486712e-10	0.200616667
17	1.826500002490205e-05	7.479608173838544e-05	5.997529482655547e-05	7.908668926394271e-05	8.589184048932923e-05	1.365236466538512e-11	-1.286190865749413e-10	1.7144143416367357e-12	1.8005336731174625e-10	0.25
18	2.6099999981554042e-05	8.378817426329512e-05	6.643194408679792e-05	8.879703868877043e-05	9.685339004639746e-05	1.643330492135788e-11	-1.5279112305200842e-10	1.378081946930274e-11	2.278687034364742e-10	0.30865
19	2.809166664975787e-05	9.343704808495073e-05	7.327800057953532e-05	9.923184553328434e-05	0.00010869349890259918	-8.675167906648949e-12	-1.6354988283270002e-10	-2.3774720947885473e-11	1.640996425523857e-10	0.37655
20	3.123333329029276e-05	0.00010372250219668908	8.049188537397592e-05	0.00011036903297120693	0.00012140553176582093	3.0390518051383215e-12	-1.2167447190868257e-10	-1.9390274225928067e-11	1.5583230776740362e-10	0.44291666700000004
21	2.8683333391745546e-05	0.00011461163136672641	8.80454193139675e-05	0.00012217221812126796	0.00013494210692281965	1.619714848735912e-12	-1.38982637485506e-10	-7.269820633773433e-12	9.51696097049854e-11	0.500016667
22	2.6600000073783847e-05	0.00012605790951747295	9.590295866914521e-05	0.00013458968501285014	0.00014924886919861208	8.417184509383273e-13	-1.2817227119094245e-10	1.364746519767845e-12	1.8733987317131528e-10	0.532433333
23	2.606666665436936e-05	0.00013800054611618067	0.00010402133166337512	0.00014755367655103874	0.00016425141456542005	8.649182175613149e-12	-1.3324878379760628e-10	-5.736844888258755e-12	1.8547372170206166e-10	0.569466667
24	2.3066666654369358e-05	0.0001503641820370831	0.00011234995717467957	0.00016098008107717	0.0001798579896127946	1.64279092761108e-11	-1.1172426868903054e-10	6.394698573449423e-12	1.87183971480141e-10	0.597233333
25	2.5349999935439138e-05	0.00016305898671459452	0.00012074852886412196	0.00017476858285844803	0.0001959502713569242	2.2580369046767772e-11	-1.2903460171922153e-10	1.9713126991644782e-11	1.84327658674476e-10	0.61575
26	2.7583333410191505e-05	0.00017598120923158	0.0001292150353902408	0.0001888033342756463	0.00021239174849824766	1.6928272237049065e-11	-1.305381373533415e-10	1.631684835455266e-11	1.823295442150019e-10	0.620366667
27	3.2349999935439135e-05	0.00018901422196796757	0.00013766997175321412	0.00020295419039530264	0.0002290269099056033	5.384154572977032e-12	-1.3925998368314938e-10	2.527710458653154e-12	1.210109794550294e-10	0.624983333
28	3.5600000073783845e-05	0.00020203007653225275	0.00014604770292466163	0.0002170785240221744	0.00024568317024791685	1.526693831559343e-11	-7.444984608109742e-11	7.242211811938972e-12	1.4967818183209574e-10	0.657383333
29	4.036666659903147e-05	0.0002148915685426739	0.0001543765128370065	0.00023102361236199346	0.0002621737290961231	1.8087747383960167e-11	-1.2528756174776687e-10	5.189875266698503e-12	2.116780375186806e-10	0.685166667
30	4.1133333308738724e-05	0.0002274547813372675	0.00016250808893817175	0.00024462955581023053	0.0002783011942219151	-1.709643456634499e-12	-1.6230016316734024e-10	-1.5064965953873677e-11	1.983092448400498e-10	0.7129500000000001
31	4.4733333382522564e-05	0.00023957205042864383	0.000170341608648677	0.00025773265750112884	0.00029386188678697726	7.442782000166909e-12	-1.2374285585472932e-10	-3.0410481218925086e-12	1.246397366579887e-10	0.740733333
32	5.033333327184679e-05	0.0002510952624450924	0.00017775440343019327	0.0002701733471009996	0.0003086506984277191	1.0784084756110637e-11	-8.079865142949527e-11	-5.564157436824227e-12	1.8175814234301784e-10	0.768516667
33	5.011666664514638e-05	0.00026187937668316883	0.00018451977085707426	0.0002821938254975372	0.0003224663260733328	1.2694713533011682e-11	-9.802895403856061e-11	6.522314328919076e-13	1.404590119128354e-10	0.7963
34	5.1133333308738716e-05	0.0002717860365299867	0.00019072840772973507	0.00029328590386166174	0.00033511667379067814	3.7775052598504365e-11	-6.240905248993974e-11	2.865630513175559e-11	2.1970103441841997e-10	0.7963
35	4.865000006456087e-05	0.0002806871241617973	0.00019629575615689554	0.0003033050889664491	0.00034642418629849054	4.781000495282997e-11	-1.338430935005008e-10	5.4715063002305055e-11	2.1424393198168118e-10	0.7963
36	4.788333335485362e-05	0.0002884681067346743	0.0002011714104603759	0.0003121210626803402	0.0003562308688766403	2.0518370268824807e-11	-1.3885655705442447e-10	1.811283191983178e-11	1.9620840050718088e-10	0.7963
37	4.595000000922298e-05	0.0002950310268418167	0.00020531065925172604	0.0003196210971735246	0.00036440275547881373	6.819839840994967e-12	-1.382584416117623e-10	-1.5469888687640516e-12	1.3823725136898832e-10	0.7963
38	4.281666670048427e-05	0.00030029700447010835	0.00020867263035843727	0.00032545789887372423	0.0003708336110222983	1.4748952686722508e-11	-1.2797290240505828e-10	1.2439233357020847e-12	1.8709730823981892e-10	0.7963
39	4.16666667281532e-05	0.0003042081413001255	0.0002112270556649037	0.00032937427396592965	0.000375284925073478	1.4284125182364874e-11	-1.115000124256423e-10	1.22166989815673e-11	1.5123805807588272e-10	0.7963
40	3.893333334563064e-05	0.0003067287491642687	0.00021295476979467577	0.0003317391606512566	0.00037808352211863905	2.405491491710716e-11	-1.1879945103585458e-10	2.722430283304394e-11	1.6382895345657232e-10	0.7963
41	3.8199999963108076e-05	0.0003078458605571884	0.00021390278360483553	0.00033254427378423275	0.00037914502841833285	2.0447092261317073e-11	-1.347767436679514e-10	2.1319228965119475e-11	1.8514306842831426e-10	0.7963
42	3.7633333400968526e-05	0.0003075690171978703	0.00021403311089381944	0.0003318066752648053	0.0003783619214644809	3.705823767006957e-12	-1.4767886212804069e-10	-9.836926310729755e-12	1.7519017742221895e-10	0.7963
43	3.7600000073783847e-05	0.0003059293698833843	0.00021330030025005315	0.0003295675614113202	0.0003758908906349497	4.016399448172317e-12	-1.4262247334080482e-10	9.106589976376488e-13	1.63298764730789e-10	0.7963
44	3.418333329951574e-05	0.00030297815632689915	0.00021177465704249116	0.00032589036123290677	0.0003718888122479128	2.728424548127686e-11	-1.2198577624413585e-10	1.842700344379755e-11	2.0608576098544396e-10	0.7963
45	3.118333329951574e-05	0.00029878465105802115	0.00020948980725725747	0.00032085826012766597	0.00036666738044451854	2.0651665396908186e-11	-1.292527099447902e-10	2.4455103418956585e-11	1.5188810322066374e-10	0.7963
46	2.8816666700484262e-05	0.00029343370107995874	0.00020648773736311739	0.0003144100463851812	0.00035990199303182716	7.817398468458367e-12	-1.3145579867072185e-10	6.579548120620345e-13	1.698841158313175e-10	0.7963
47	2.7516666755822146e-05	0.0002870229721518429	0.00020248126704723246	0.0003062197468315705	0.00035177215491632264	3.4428520954829176e-11	-1.0331121419564423e-10	3.7890809745311865e-11	1.8497357222673362e-10	0.7963
48	2.5616666737376182e-05	0.00027966003319282565	0.00019773480754512306	0.0002970434108931087	0.00034247461853092364	1.9188078438325155e-11	-1.3436766319541772e-10	1.3352676854563397e-12	1.7685175554078538e-10	0.7963
49	2.1216666626700416e-05	0.0002714594012443915	0.00019245028369146123	0.0002870209416750638	0.00033203684344448295	1.4689794927838674e-11	-1.08995712014984e-10	3.784273860561974e-12	1.7945651767541506e-10	0.7963
50	1.6514999978787144e-05	0.0002625396579071821	0.00018669543076113159	0.00027629439518639853	0.00032067438116904697	1.3121381699635705e-11	-1.3343812824734772e-10	2.0499861337087723e-11	1.6440018962582e-10	0.7963
51	1.6265000024902048e-05	0.0002530207319545642	0.0001805393147133311	0.0002650048700409891	0.0003085544759782287	8.119253776989287e-12	-1.4170801677661083e-10	3.0574422532168364e-12	1.5968310569899012e-10	0.7963
52	1.789833324141096e-05	0.00024302142354496503	0.00017405105366580725	0.0002532897572574288	0.00029583941840555564	3.3249224643040695e-11	-1.2707804555120213e-10	3.7144618952876346e-11	1.81122771529618e-10	0.7963
53	1.6241666622088926e-05	0.00023265722498980355	0.0001672986574021205	0.00024128039959352607	0.0002827442033377686	1.5184296192730095e-11	-1.3856589979727057e-10	7.86112272481824e-12	1.781137365308334e-10	0.7963
54	1.5725000050726394e-05	0.00022203847281240002	0.000160348005016294	0.0002291001851936166	0.00026933765255949567	9.742113118259526e-12	-1.256800181548224e-10	-2.8929590279702703e-12	1.8606294033198878e-10	0.7963
55	1.4616666737376183e-05	0.00021126884706404952	0.00015326197334389303	0.00021686307851180602	0.00025575652375632433	2.0825360278557664e-11	-1.2671978004085828e-10	1.34590096794876e-11	1.9042772720228593e-10	0.787033333
56	1.6401666703251157e-05	0.0002004442175123932	0.00014609972193040062	0.00020467257325053836	0.00024212665733411035	1.2195982227150573e-11	-1.360826302457653e-10	8.06793710531753e-12	1.4501341033784335e-10	0.77315
57	1.3878333392667841e-05	0.00018965182278286614	0.00013891613453959162	0.00019262103787417702	0.00022856188706194198	1.0304336080527123e-11	-1.2708838280542623e-10	-7.980586813359636e-12	1.5663028212671585e-10	0.759266667
58	1.3594999927138452e-05	0.00017896975812450763	0.00013178078231641056	0.00018078941408765898	0.0002151633943664573	2.1576233265981116e-11	-1.333736508670581e-10	1.8706282549705737e-11	1.5866882700084704e-10	0.745383333
