time	data	mean	q025	med	q975
1	0.0	1.3854784225360937e-05	1.0860791657765226e-05	1.3854702714856942e-05	1.7354244815595944e-05
2	0.0	1.4567390497037668e-05	1.1500289075008502e-05	1.4601063066209171e-05	1.8120699108790043e-05
3	0.0	1.5301084776273202e-05	1.2163230491450145e-05	1.534066088789674e-05	1.8910364068001326e-05
4	0.0	1.6055361206330428e-05	1.2849370707653954e-05	1.6117392749581933e-05	1.971928252406246e-05
5	0.0	1.68296168020313e-05	1.35583527837225e-05	1.6905874552574255e-05	2.053731907130354e-05
6	0.0	1.7623118378145554e-05	1.4289675681872998e-05	1.7718703197229008e-05	2.136594319091351e-05
7	3.2666667255091817e-07	1.8435052618651138e-05	1.5025924402687415e-05	1.8539544992216808e-05	2.2206879764075206e-05
8	4.574999639589597e-07	1.9264539724815202e-05	1.5767789958007137e-05	1.9404660608515176e-05	2.3058938157066344e-05
9	4.574999639589597e-07	2.0110581998399305e-05	1.6528583812039102e-05	2.030364084780276e-05	2.3920924210266865e-05
10	5.884999758255335e-07	2.097206919154338e-05	1.7337072553483065e-05	2.1154013744596045e-05	2.479161448203148e-05
11	8.345000332950563e-07	2.184781426881427e-05	1.8163368043493867e-05	2.196050768230528e-05	2.5669594475041345e-05
12	7.528332916041833e-07	2.2736543977845005e-05	1.8969153948989486e-05	2.2841121464953242e-05	2.655345395723976e-05
13	1.5051666179744857e-06	2.363689167184348e-05	1.989380982988503e-05	2.3719999684180557e-05	2.7441683406347535e-05
14	2.2733332882207384e-06	2.4547399181833876e-05	2.0715754578759646e-05	2.4627808330757103e-05	2.8429234102061126e-05
15	3.514999986760434e-06	2.5466530818637102e-05	2.1550772447023166e-05	2.5512886458703584e-05	2.9395927940248498e-05
16	4.740000033344092e-06	2.6392672211274268e-05	2.2419118562264258e-05	2.641881849068887e-05	3.0283922915160996e-05
17	6.361666690694027e-06	2.7324138057944605e-05	2.3312475273131506e-05	2.7339161733324982e-05	3.120955429612132e-05
18	6.361666690694027e-06	2.825917999478747e-05	2.4215673367368257e-05	2.824934491942672e-05	3.219411266555663e-05
19	1.099499995537776e-05	2.9195989421701885e-05	2.5127215624532933e-05	2.9183858940189037e-05	3.317592051895139e-05
20	1.3896666659801707e-05	3.0132703391371443e-05	2.6045469318746638e-05	3.0141184050016606e-05	3.415079206398336e-05
21	1.6905000034815156e-05	3.106741230994081e-05	2.6969200958985864e-05	3.105472836796088e-05	3.511930286208507e-05
22	2.0733333372561676e-05	3.199816948041665e-05	2.7896194731423703e-05	3.198078508378158e-05	3.6079449538472885e-05
23	2.633333333333333e-05	3.292300520039192e-05	2.8824638360145862e-05	3.293938385384512e-05	3.695102163733204e-05
24	3.1266666627438324e-05	3.3839930752004304e-05	2.9753886145408982e-05	3.3868839254839495e-05	3.778106605234489e-05
25	3.6116666661763124e-05	3.474693815059209e-05	3.068134651771582e-05	3.473892365043946e-05	3.864106373951724e-05
26	4.1249999975482286e-05	3.5642025434090105e-05	3.1604566132303415e-05	3.562071163428362e-05	3.954325193057792e-05
27	4.883333338236877e-05	3.652318915454177e-05	3.2503555382322824e-05	3.652369213533472e-05	4.042438657819964e-05
28	5.834999998528937e-05	3.7388449044922755e-05	3.3424098799519534e-05	3.741465395255765e-05	4.128521016586349e-05
29	6.37833333284298e-05	3.823585496571246e-05	3.432005125462246e-05	3.8238260585123096e-05	4.2022742339762454e-05
30	6.613333331371917e-05	3.906349228475536e-05	3.520428765867607e-05	3.903121289587202e-05	4.2797426665140444e-05
31	7.270050003388349e-05	3.986948628084719e-05	3.599687561935737e-05	3.9862997222287825e-05	4.361925019054391e-05
32	7.693383335740972e-05	4.06520252165816e-05	3.672144738384427e-05	4.064188176718404e-05	4.4462135935046004e-05
33	7.790049995542679e-05	4.140934474513388e-05	3.742650736447959e-05	4.1391770663082514e-05	4.524586895897263e-05
34	7.708383332308493e-05	4.2139755481938704e-05	3.815088959732083e-05	4.218306677321162e-05	4.595587771490059e-05
35	7.456716662209346e-05	4.284165378672671e-05	3.892656492213528e-05	4.2896389486230266e-05	4.66341833496461e-05
36	7.96005000240764e-05	4.3513526998189094e-05	3.96189367739774e-05	4.364966347716161e-05	4.74112815936275e-05
37	7.006666670589502e-05	4.415395497565835e-05	4.0290147266243595e-05	4.435309464720859e-05	4.8165760053865884e-05
38	6.849999995096457e-05	4.476160459191125e-05	4.0922249048362945e-05	4.494926376740324e-05	4.8784933802694816e-05
39	6.713333331371916e-05	4.5335258312387924e-05	4.14950877701022e-05	4.549603630543802e-05	4.932563330288908e-05
40	6.651666670099146e-05	4.587381510214578e-05	4.2001606559486306e-05	4.6024858052222e-05	4.981996377918692e-05
41	8.086250004780954e-05	4.637628049787339e-05	4.2447144605592544e-05	4.646083211109837e-05	5.031308563826195e-05
42	7.696249995954577e-05	4.684177815940928e-05	4.290617580209328e-05	4.687240399291977e-05	5.079538519838128e-05
43	7.934583334681807e-05	4.726956089059291e-05	4.3325720337479094e-05	4.7256581086870776e-05	5.123327359897751e-05
44	7.341249995464223e-05	4.765900060949422e-05	4.360199742247677e-05	4.763705572896078e-05	5.162210197661874e-05
45	7.037916665073016e-05	4.800959366613834e-05	4.3924830622349495e-05	4.7921042281687595e-05	5.195608608680364e-05
46	6.757916667034433e-05	4.832097271453665e-05	4.425475285211324e-05	4.8196028380746115e-05	5.22857781330367e-05
