time	data	mean	q025	med	q975	x_mean	x_q025	x_med	x_q975	osi
1	0.0	7.042566658226688e-06	7.04113130533697e-06	7.0426839019530945e-06	7.043797274662738e-06	0.00010188170374315351	0.00010175744103976966	0.00010188201402955922	0.00010197708723369769	0.0
2	0.0	8.157775790765667e-06	8.155236972139647e-06	8.15806770718574e-06	8.160066606786692e-06	0.00010411488424168898	0.00010386457194996839	0.00010412042956532615	0.00010430095034446552	0.0
3	0.0	9.387429337690125e-06	9.383149025746677e-06	9.38799806173293e-06	9.390897644606205e-06	0.00010676859606478908	0.0001063863001112538	0.00010677672871396395	0.00010704964751562673	0.0
4	0.0	1.0732585372776818e-05	1.0726076902417455e-05	1.0733397141197017e-05	1.073815063137599e-05	0.00010990961849922291	0.00010938785835893806	0.00010991953720518213	0.00011029092340447692	0.0
5	0.0	1.2192582724233626e-05	1.2183312100401614e-05	1.2193664553281369e-05	1.2200615584805153e-05	0.00011361523488221958	0.00011294468155954007	0.00011362736284594555	0.00011410379273694301	0.0
6	0.0	1.3764889892411859e-05	1.3752303953676586e-05	1.3766418579876896e-05	1.3775826608115921e-05	0.0001179752756398479	0.0001171443943142377	0.00011799107777385969	0.0001185798643095115	0.0
7	3.2666667255091817e-07	1.5444954668087682e-05	1.5428452891093435e-05	1.5446972360259185e-05	1.5459332036113345e-05	0.00012309454302145584	0.0001220891708033124	0.0001231162469351866	0.00012382534221106432	0.055600000000000004
8	4.574999639589597e-07	1.722626734238778e-05	1.7205208220652277e-05	1.722873999114219e-05	1.7244642584604673e-05	0.0001290957682431481	0.0001278986132733015	0.00012912444034232236	0.0001299651573540861	0.09185
9	4.574999639589597e-07	1.910029866067903e-05	1.9074004540713167e-05	1.9103097978891808e-05	1.9123196048932164e-05	0.00013612331859275503	0.0001347133611910859	0.00013616033385222356	0.00013714628969118068	0.142
10	5.884999758255335e-07	2.1056567543197957e-05	2.102433545278471e-05	2.1059711953181132e-05	2.1084711610469508e-05	0.00014434745363762957	0.00014269923571247776	0.00014439458028719368	0.0001455420983780818	0.19215000000000002
11	8.345000332950563e-07	2.3082871953548512e-05	2.304397882453804e-05	2.3086377375801156e-05	2.3116911164819976e-05	0.00015396970182112002	0.00015205247257206087	0.00015402920537665245	0.00015535779359699637	0.25465
12	7.528332916041833e-07	2.5165303388667267e-05	2.511901523187162e-05	2.516918272615401e-05	2.5205893826824513e-05	0.00016522920256620537	0.00016300590157897166	0.00016530234554378487	0.00016683688341850676	0.31715
13	1.5051666179744857e-06	2.7288680941503345e-05	2.7234276997585277e-05	2.7292943697883708e-05	2.7336475192202838e-05	0.000178410160026176	0.00017583619766895007	0.00017849643614348005	0.00018026875973163552	0.37965
14	2.2733332882207384e-06	2.9436620306704278e-05	2.937339596129867e-05	2.944127227407653e-05	2.9492258837230178e-05	0.00019385131101978825	0.00019087311222621258	0.0001939618813015889	0.00019599831417198906	0.423633333
15	3.514999986760434e-06	3.159204067532707e-05	3.1519322782010634e-05	3.159708364073462e-05	3.1656137910605106e-05	0.00021195612837161517	0.0002085093908843947	0.00021210967938695656	0.00021443632460092313	0.456816667
