time	data	mean	q025	med	q975	x_mean	x_q025	x_med	x_q975	osi
1	0.0	2.3331898374337434e-08	2.3327365994544385e-08	2.3331419242198232e-08	2.3339083550877868e-08	0.09994768219129892	0.09986549008595298	0.09995687238880002	0.10000970596244599	0.0
2	0.0	3.1811050202464216e-08	3.180047457948688e-08	3.180992388047168e-08	3.182871934610176e-08	0.09990502027340487	0.09974121359026347	0.09992193698101344	0.10002528409432375	0.0
3	0.0	4.334718480612892e-08	4.3326379937132324e-08	4.334608541197464e-08	4.337982102747471e-08	0.0998693089801273	0.09962433249117778	0.09989392556956564	0.10004787046035292	0.0
4	0.0	5.9028510940724997e-08	5.898969285006684e-08	5.9028264605788205e-08	5.9083769585629306e-08	0.09984293085128133	0.09951673176125217	0.09987522076060579	0.10008055978733983	0.0
5	0.0	8.033731974072206e-08	8.026983665832267e-08	8.033908999244965e-08	8.042686538251272e-08	0.09982908896790707	0.0994216958921288	0.09986902574929821	0.10012612073132715	0.0
6	0.0	1.0927311725569111e-07	1.0915727839963126e-07	1.0927476114179873e-07	1.0941176287257984e-07	0.09983208472624798	0.09934345893936236	0.09987964237699509	0.10018875729442814	0.0
7	3.2666667255091817e-07	1.4854156519999196e-07	1.4835069059379542e-07	1.4854379081340237e-07	1.4875777985851128e-07	0.09985769483806067	0.09928777481899564	0.0999128467795556	0.10027409373954699	0.055600000000000004
8	4.574999639589597e-07	2.0180476757367887e-07	2.0149566442205756e-07	2.0180546139700083e-07	2.0213720760066334e-07	0.09991368122067733	0.09926232516304283	0.09997640067447985	0.10038995061713837	0.09185
9	4.574999639589597e-07	2.7400361743070427e-07	2.735114199547155e-07	2.739965080310662e-07	2.7450970389240556e-07	0.1000104732826541	0.09927742820456827	0.10008073230729567	0.1005468388064147	0.142
10	5.884999758255335e-07	3.718078925636934e-07	3.7103521122724746e-07	3.717945640940747e-07	3.725691623500917e-07	0.10016209485071735	0.09934695383181279	0.1002398633529494	0.10075889467171761	0.19215000000000002
11	8.345000332950563e-07	5.042102336727827e-07	5.030122474821141e-07	5.041699618855821e-07	5.053921184263738e-07	0.10038742240513943	0.09948956616329702	0.10047266620373099	0.10104515005493257	0.25465
12	7.528332916041833e-07	6.833204810167253e-07	6.814850620349337e-07	6.832697546612143e-07	6.851618526487799e-07	0.10071190285101668	0.09973042045109505	0.10080458071380817	0.10143126519198925	0.31715
13	1.5051666179744857e-06	9.254225166729115e-07	9.226373437411663e-07	9.253545845610076e-07	9.282631728732924e-07	0.10116991479668559	0.1001034961692394	0.1012699735547034	0.1019519105338864	0.37965
14	2.2733332882207384e-06	1.252374041745203e-06	1.2481792998334899e-06	1.2522275206857093e-06	1.2567185598720169e-06	0.10180804347620168	0.10065483409562838	0.1019154100073568	0.10265406923927188	0.423633333
15	3.514999986760434e-06	1.6934467441171816e-06	1.6871717300113073e-06	1.6932875058828074e-06	1.7000404589625105e-06	0.10268967302660582	0.10144707837422968	0.10280424086504933	0.10360166603847719	0.456816667
16	4.740000033344092e-06	2.2877218161060304e-06	2.27839291909681e-06	2.2874126860690416e-06	2.297659931789944e-06	0.10390151356604899	0.10256593743678989	0.10402312073937675	0.1048821421277008	0.49
17	6.361666690694027e-06	3.0871665982448828e-06	3.073374492106086e-06	3.086589074369765e-06	3.1020545099406593e-06	0.10556303116655967	0.10412953221437936	0.10569231976873414	0.10661509873030021	0.5200833330000001
18	6.361666690694027e-06	4.160508705990559e-06	4.140194719066385e-06	4.15946565708069e-06	4.18268512248345e-06	0.10784033558399375	0.1063021788537835	0.10797776117079216	0.10897133268005653	0.5856666669999999
19	1.099499995537776e-05	5.597924157811568e-06	5.567973565464924e-06	5.596210279441134e-06	5.630780249382219e-06	0.11096704417878434	0.10931513888437176	0.11111277544269788	0.11218669692999379	0.65125
20	1.3896666659801707e-05	7.516443063464493e-06	7.472503174689733e-06	7.514269159295754e-06	7.564874520262274e-06	0.11527636556804209	0.11349860493510827	0.11543052930952669	0.11659721033670205	0.6991
21	1.6905000034815156e-05	1.0065431936620417e-05	1.0001301109795128e-05	1.0062697249749846e-05	1.0136695401091158e-05	0.12125145919198958	0.11933205735579414	0.1214140202701654	0.12268007713440195	0.74385
22	2.0733333372561676e-05	1.343071083427617e-05	1.3337632378779932e-05	1.3427172914733983e-05	1.3535874963646888e-05	0.12960602201845547	0.1275281836191006	0.12977651761814046	0.131167649648436	0.7886
23	2.633333333333333e-05	1.7833824809661777e-05	1.7699610660321417e-05	1.7828272179485658e-05	1.7988051222712742e-05	0.1414146296405278	0.13915832743326012	0.14159160125617132	0.14313566646423184	0.8241
