time	data	mean	q025	med	q975
1	0.0	1.2675080368062058e-06	6.022706576545931e-07	1.2356260304634048e-06	2.469329389745136e-06
2	0.0	1.6306074903987513e-06	8.090369661935046e-07	1.5960908314417306e-06	3.0639066506787197e-06
3	0.0	2.0832502744215686e-06	1.0716981999191616e-06	2.051325336782628e-06	3.777963357837831e-06
4	0.0	2.643035763859284e-06	1.408014945235427e-06	2.609699825586701e-06	4.629358146822105e-06
5	0.0	3.3297602034404364e-06	1.8347835898032459e-06	3.2946007861720827e-06	5.6371687443133515e-06
6	0.0	4.165351083099936e-06	2.3714648511780634e-06	4.114266818764674e-06	6.803004953652751e-06
7	7.615000400941832e-07	5.173699936085744e-06	3.039975671450083e-06	5.105402033624153e-06	8.181077836456215e-06
8	1.0305000033508106e-06	6.3803587836484e-06	3.864952047483228e-06	6.300745757182567e-06	9.807063504220448e-06
9	1.2234999980357317e-06	7.812105614474513e-06	4.912031258452885e-06	7.737565306904709e-06	1.1649393220344745e-05
10	1.7436666789144576e-06	9.496344239194357e-06	6.190055793477682e-06	9.38990945974172e-06	1.3747135951805105e-05
11	2.0416666377803675e-06	1.1460347378694129e-05	7.730876109876235e-06	1.1392700932610018e-05	1.6120951044409768e-05
12	3.781666720972909e-06	1.3730333128102495e-05	9.569627757317843e-06	1.3660361847070544e-05	1.878622716502299e-05
13	4.648333341421497e-06	1.6330388570563954e-05	1.1740052013114464e-05	1.6243729729550895e-05	2.170088782369655e-05
14	5.688333355286921e-06	1.9281272804428218e-05	1.4276043760037598e-05	1.9140264387828548e-05	2.4981316282185592e-05
15	6.131666640091271e-06	2.259911772107809e-05	1.720547794566287e-05	2.2438487418913087e-05	2.8642727095631412e-05
16	7.726666629692205e-06	2.6294080813531508e-05	2.050831271122382e-05	2.6174639099898292e-05	3.2549401786932856e-05
17	1.0364999996533645e-05	3.0369015398412438e-05	2.42151893548928e-05	3.0293490693326825e-05	3.6708154662946954e-05
18	1.4665000042751724e-05	3.481821395220654e-05	2.8353733662838145e-05	3.48132432927055e-05	4.121200832791079e-05
19	2.3008333350665113e-05	3.962630184244371e-05	3.293703768857321e-05	3.957560589019777e-05	4.6026291390131916e-05
20	2.591333336106418e-05	4.4767371475251655e-05	3.790759371269397e-05	4.4839422542574445e-05	5.1017819223058087e-05
21	4.140000002310904e-05	5.0204418248387735e-05	4.328300784716549e-05	5.0367243209760925e-05	5.640128983221573e-05
22	5.2066666689775705e-05	5.588914418850798e-05	4.9014616476971395e-05	5.611481729386301e-05	6.191339516686553e-05
