time	data	mean	q025	med	q975	x_mean	x_q025	x_med	x_q975	osi
1	0.0	9.25634294128169e-06	9.06655518042664e-06	9.2433136531569e-06	9.46226544914208e-06	0.0771061983451248	0.0760493323972232	0.07713763056344566	0.07801823302258834	0.0
2	0.0	1.0217542224457088e-05	1.0000801925725363e-05	1.0202301974228744e-05	1.0455771935233998e-05	0.06579966499349284	0.06390968621451812	0.06585283381105575	0.06726375064557368	0.0
3	0.0	1.1266542229953922e-05	1.1019315723106937e-05	1.1247504459361066e-05	1.1535673504893192e-05	0.05626629467026704	0.05380511671364405	0.056336455266111626	0.05810459819002543	0.0
4	0.0	1.2409317101292995e-05	1.2127891546441556e-05	1.2382538313193782e-05	1.2712608872073434e-05	0.04824765528169192	0.04541731709137796	0.04833209032021342	0.05035310466384733	0.0
5	0.0	1.3652074784944273e-05	1.3332358438357495e-05	1.3628326909606863e-05	1.3997014402527792e-05	0.041515391045013936	0.0384681399178742	0.041617875952250444	0.04380138111608472	0.0
6	0.0	1.5001236944600172e-05	1.4638831902896718e-05	1.4982576233117872e-05	1.540008911881828e-05	0.035870786791779616	0.032717672617599655	0.035979803598671464	0.038263762434130544	0.0
7	7.615000400941832e-07	1.6463415458358534e-05	1.6044989421939145e-05	1.64501978046002e-05	1.6922895964489535e-05	0.031143008782258185	0.027962875832101743	0.031255007105136054	0.033589748922572715	0.166633333
8	1.0305000033508106e-06	1.8045385135301964e-05	1.7562572214489613e-05	1.8030940544240474e-05	1.857469346645449e-05	0.02718662579182811	0.02403321713109701	0.02729659610646385	0.029650120642364414	0.194416667
9	1.2234999980357317e-06	1.9754052860509455e-05	1.92031975386303e-05	1.973725858249794e-05	2.0357472053386467e-05	0.023878829680701097	0.020786639076428023	0.023980751982861426	0.026334845256797478	0.212933333
10	1.7436666789144576e-06	2.1596422547512287e-05	2.0979642650773306e-05	2.1571572714088872e-05	2.2284395215203255e-05	0.021116632993816182	0.018105593893355296	0.021211062321562182	0.023550929849273605	0.22219999999999998
11	2.0416666377803675e-06	2.3579555472071737e-05	2.289107679352141e-05	2.355564945976506e-05	2.4361162894062113e-05	0.01881421434753781	0.015893371007055096	0.018909658226544893	0.021220335849593458	0.23146666700000001
12	3.781666720972909e-06	2.5710525656008084e-05	2.4944262270166167e-05	2.569291036584919e-05	2.6595421124442618e-05	0.01690050782169158	0.014070986869929369	0.016990335928074484	0.019278054667067203	0.240733333
13	4.648333341421497e-06	2.7996369186970743e-05	2.7135412982816253e-05	2.7977111086134344e-05	2.8994418398907562e-05	0.015317083292133962	0.0125740038358844	0.015383344108926077	0.017660792595158983	0.25
14	5.688333355286921e-06	3.0444027008070837e-05	2.947402362752096e-05	3.0413601049215053e-05	3.156596622892398e-05	0.014016333966730401	0.011350227249267106	0.014066291806622295	0.016331819190887043	0.25
15	6.131666640091271e-06	3.306028334515597e-05	3.1971530268203997e-05	3.3058244601122215e-05	3.43173700668538e-05	0.012959970025824488	0.010357936867847993	0.012993062081015316	0.015258909927986468	0.25
16	7.726666629692205e-06	3.585168906111894e-05	3.463364515286331e-05	3.588096146625291e-05	3.7255654273549674e-05	0.012117811990560223	0.00956417243331706	0.012132172193159214	0.014414827955958796	0.25
17	1.0364999996533645e-05	3.882448021323568e-05	3.746600036844987e-05	3.886951685438741e-05	4.038149109500022e-05	0.011466875447453739	0.008943490994304974	0.011460349362725962	0.013779531514991034	0.25
18	1.4665000042751724e-05	4.198448041300129e-05	4.0473825294283044e-05	4.204591609979697e-05	4.3700971659544984e-05	0.01099074761230805	0.008477055186370106	0.010954115814993247	0.013339815426967652	0.263883333
19	2.3008333350665113e-05	4.533698735210818e-05	4.36605997667083e-05	4.5425322574034513e-05	4.722362635160866e-05	0.010679268061375955	0.00815204280826561	0.010623756954931996	0.01308927477151465	0.27776666699999997
20	2.591333336106418e-05	4.8886630454455974e-05	4.7020483813638783e-05	4.8991898354550545e-05	5.095393732194598e-05	0.010528545933306098	0.00796138474052765	0.010478860596442444	0.01303329313957297	0.29164999999999996
21	4.140000002310904e-05	5.263721414445592e-05	5.059115326074416e-05	5.277412039472222e-05	5.4895298186549897e-05	0.010541375288644222	0.007903877369804286	0.010503838148011885	0.013217363765368369	0.32405
22	5.2066666689775705e-05	5.659148983037993e-05	5.433870734752537e-05	5.673849032291199e-05	5.9049680306533726e-05	0.010728147638249088	0.007984721699500475	0.010680535881640994	0.013627631251213641	0.4043
23	5.859999997689096e-05	6.075088636561309e-05	5.827817888855765e-05	6.089437164119253e-05	6.341737668768132e-05	0.011108433022765514	0.008216643868245136	0.011047428175593354	0.014255412075569686	0.48455000000000004
24	5.868333336799689e-05	6.51151416969196e-05	6.240736875191145e-05	6.529127220709804e-05	6.79966192790252e-05	0.01171348505678076	0.008578500910935231	0.011674489013791865	0.015182025200700588	0.550916667
25	6.946266665372561e-05	6.968179292145962e-05	6.667645907271862e-05	6.989823562287305e-05	7.278256981853933e-05	0.0125900750663241	0.0090974822997342	0.01252367719078811	0.016475009533505777	0.6172833329999999
26	8.87043333608331e-05	7.444546430807717e-05	7.119199940857942e-05	7.467449852937915e-05	7.785363798547619e-05	0.013806279201452991	0.009929873713405677	0.013729218639059172	0.018232751437226646	0.68365
27	9.717316666169822e-05	7.939683812070508e-05	7.588361272055564e-05	7.96065965226511e-05	8.314029337343608e-05	0.015460189213077147	0.01112869589583145	0.01537639451548814	0.02059426355096241	0.7315
28	0.0001015690000094747	8.452114688439083e-05	8.06757902488281e-05	8.474823130672434e-05	8.851589800954607e-05	0.01769302934185884	0.012615170696290555	0.01763097215297956	0.02375784677266687	0.7315
29	0.00011737483335494029	8.979591059732374e-05	8.560800044664493e-05	9.00756753439316e-05	9.403216309699061e-05	0.020708976445352696	0.014406579885826212	0.020699484002159263	0.028007590263106008	0.7315
30	0.00013189483330410039	9.518752548013737e-05	9.066302938385403e-05	9.5502456062015e-05	9.961150936203731e-05	0.024805123404839383	0.016932151796175705	0.024697132257117012	0.03375247711667667	0.7315
31	0.00013137483335494028	0.00010064605931090338	9.580770095737624e-05	0.00010098168918950553	0.000105198965172415	0.03041661590879573	0.020841583335906667	0.03011186044125648	0.04158328836740429	0.7315
32	0.0001255011666598495	0.00010609733984101032	0.00010098572116253069	0.0001064755962655981	0.00011063988883438626	0.038183748194972146	0.02634034854804363	0.03764554116664829	0.05248310311518351	0.7315
33	0.00012234299996002136	0.00011143107349361974	0.00010608878530990493	0.00011188530471350492	0.00011593256781384419	0.049048742721279306	0.034169698001656534	0.048165074613619435	0.06763028167715358	0.7315
34	0.00012713816663512283	0.0001164836080548505	0.00011096122561104601	0.00011696204903930725	0.00012116555134041752	0.06438672728005616	0.04471689781578209	0.06315863749690348	0.08964123471288192	0.7315
35	0.00011619900002565103	0.00012101468884749035	0.00011560123336173574	0.00012139310935455684	0.0001257448425308503	0.08615984427948918	0.05974976229054721	0.08493660641432882	0.11926394730417031	0.7315
36	0.00011641083330964657	0.00012468086869339833	0.00011911391816074487	0.00012487430650400948	0.00012985399581026861	0.117038602019667	0.08262682958538208	0.11494541396321054	0.1601391822857514	0.7315
37	0.0001099181666166356	0.00012701718684097509	0.00012183676157808197	0.00012713406763316837	0.00013254736831030638	0.16033808169653402	0.11244027612567004	0.15818439603958057	0.2187888011374498	0.7315
38	0.00011471333329173706	0.00012745612253483706	0.000122367733557771	0.0001273484013992257	0.00013338924660474344	0.21947607229197125	0.15399994320156193	0.21568892374219356	0.29179454579622516	0.7315
39	0.00011359633338116904	0.00012543205206623598	0.00011993531061027055	0.00012513294841939664	0.00013223051355488132	0.2966199726386102	0.2105108078526459	0.2919830859716973	0.3827126068335506	0.7315
40	0.00010648866663385183	0.00012060671494844505	0.00011314152006336944	0.00012065660817475778	0.00012742763785939334	0.39062186643020574	0.28458091846557865	0.387403550970371	0.49104509642528643	0.7315
41	0.00010930116670606757	0.00011315298321510757	0.00010431005191207216	0.00011340780838034597	0.00012169741234513784	0.49545194963416883	0.3794670990919926	0.4947400760973877	0.5990137345480028	0.7315
42	9.970266662137296e-05	0.00010388125719521855	9.466595331778883e-05	0.00010414858711918363	0.00011331426402016315	0.6010720130092246	0.48326818596676224	0.6046081366958941	0.6924062815274906	0.7315
43	9.728600001247889e-05	9.400368405739126e-05	8.539302006255643e-05	9.424845288983854e-05	0.00010358495886645697	0.6971220475505286	0.5886238995834298	0.7010641781431005	0.7728095338203238	0.7315
44	8.637283338313331e-05	8.464342667956642e-05	7.730337481422381e-05	8.482156015032739e-05	9.3355071075002e-05	0.7768496697979467	0.6835509363947739	0.7804372058521083	0.8380550305498066	0.7315
45	8.575666666897757e-05	7.646361498229683e-05	7.049033639456398e-05	7.657837890582056e-05	8.367517899643387e-05	0.8384383396097284	0.7626988377345186	0.8406669589096378	0.8880661624543368	0.7315
46	8.560666670364113e-05	6.963197063528589e-05	6.461113134649701e-05	6.956328654995531e-05	7.535555116406809e-05	0.8836943224175603	0.8246759543536757	0.8864038539614899	0.9217111795100899	0.7315
47	7.792750001097678e-05	6.40064474193473e-05	5.988180229607439e-05	6.401981281255808e-05	6.862772577985404e-05	0.9159613444911366	0.8709665450510489	0.9181098018759923	0.9457759093598311	0.7315
48	7.71774999532042e-05	5.9335059687984874e-05	5.6076309604884525e-05	5.934396875834479e-05	6.308077149721083e-05	0.938636547086271	0.9050351926343224	0.9407374440410818	0.9613000003828236	0.7315
49	7.237750002253132e-05	5.53740059396706e-05	5.244456859853043e-05	5.544178326249143e-05	5.840275904128449e-05	0.9545188747377945	0.9296052705378278	0.9563519503153095	0.9719736891391695	0.7315
50	6.614416666608894e-05	5.193070662293189e-05	4.935590246044385e-05	5.1899095572960826e-05	5.448788915153615e-05	0.9656892965640889	0.9468256307652653	0.9670668520979085	0.9792829793714424	0.7315
51	5.114999996533644e-05	4.88669426337287e-05	4.652956658780578e-05	4.885367524878011e-05	5.110020254325538e-05	0.9736144208811531	0.9587234638677291	0.9745135098686444	0.9843642448003239	0.7315
52	4.4e-05	4.608804132863902e-05	4.380170261681996e-05	4.611488769402018e-05	4.8155137517094495e-05	0.9793008271115891	0.9673274989813347	0.9798890970401167	0.9879035423572359	0.7315
53	4.2e-05	4.353038706064079e-05	4.140366361819502e-05	4.355909033346837e-05	4.547821051587426e-05	0.983431987295768	0.9736561452302843	0.9837654989274035	0.990543454276107	0.7315
54	3.7966666712884745e-05	4.115130225254764e-05	3.898126249423712e-05	4.1201380587859114e-05	4.299012876810442e-05	0.986471390367171	0.9784240094968589	0.9866658176514156	0.992422631338294	0.7315
55	3.831666663200311e-05	3.892184937812924e-05	3.6770769133274426e-05	3.898563327019263e-05	4.067735187665188e-05	0.9887347317898487	0.981845837046088	0.9889152589284245	0.9938088957410154	0.7315
56	3.9533333287115255e-05	3.6822008802630805e-05	3.471855422515904e-05	3.6902931262332596e-05	3.852216628543157e-05	0.9904387046346291	0.9843994516631903	0.9905519643023388	0.9948447245918218	0.7315
57	3.868333336799689e-05	3.483754051352471e-05	3.278418689625561e-05	3.494105683849271e-05	3.653333264660708e-05	0.9917334639151428	0.9864937513588996	0.9918049095842104	0.9956276318247544	0.7315
58	3.326666664355763e-05	3.295796709545747e-05	3.095684396555546e-05	3.30833845727119e-05	3.464510585967066e-05	0.9927241233483506	0.9880440163735462	0.9927607962646565	0.99622516704843	0.7315
59	2.9583333391105936e-05	3.117528033142908e-05	2.922854381069861e-05	3.129785962501345e-05	3.2811427194898394e-05	0.9934850046060723	0.9892083922725899	0.9935020667342398	0.996684668727714	0.7315
60	2.730000004621808e-05	2.948311631731894e-05	2.7574510410633965e-05	2.963267586700468e-05	3.110300846900292e-05	0.9940691604952977	0.9900960148864669	0.9940481270217708	0.9970397687991523	0.7315
61	2.45e-05	2.7876212519361313e-05	2.5960377668865144e-05	2.8074372766483245e-05	2.9477915786345153e-05	0.9945147315238825	0.9907646239746983	0.9944609135028387	0.9973144900635235	0.7315
62	2.2216666655112145e-05	2.635006954164081e-05	2.4436537711357493e-05	2.657934182496033e-05	2.793110817188793e-05	0.9948492899521797	0.9912617358386349	0.99479567780975	0.997526220000874	0.7315
63	2.15e-05	2.490071584125675e-05	2.2997636996252163e-05	2.5130893726335985e-05	2.6423117099811606e-05	0.9950927650317937	0.991647000925324	0.9950233573902408	0.9976876357733511	0.7253166670000001
64	2.119999995378192e-05	2.352456120401398e-05	2.1674771998280755e-05	2.3748892904289478e-05	2.4998990464538782e-05	0.9952594811976674	0.9918987261221286	0.9951858599716576	0.9978078952041846	0.719133333
65	1.9183333367996893e-05	2.2218299870966034e-05	2.042921488134034e-05	2.2433219013183518e-05	2.3676372398336894e-05	0.9953595578304939	0.9919863868349427	0.9953357138312966	0.9978937232104833	0.7129500000000001
66	1.754999998844548e-05	2.097883799672413e-05	1.9251014787051584e-05	2.1198955665135205e-05	2.2416759167735613e-05	0.9953998677644158	0.9919732260783647	0.9954336036164884	0.9979499152260758	0.706766667
67	1.7516666701330227e-05	1.980325518572435e-05	1.8134028936567802e-05	2.0016241178969434e-05	2.121768381718358e-05	0.9953847080670787	0.9918740312323719	0.9954582131619525	0.9979808861716976	0.7005833330000001
68	1.5616666678221188e-05	1.868877332195454e-05	1.7061615612789595e-05	1.890453097786459e-05	2.0076593879724764e-05	0.995316240977922	0.9916908150123168	0.9953928959224734	0.9979922530177113	0.6944
69	1.4549999988445481e-05	1.7632730719260775e-05	1.605410334166358e-05	1.7846691324422498e-05	1.8955609609152956e-05	0.9951947801003186	0.9914112222732914	0.9952988899597015	0.9979797476750424	0.6944
70	1.4266666643557628e-05	1.6632576470469612e-05	1.5118998595569199e-05	1.6844256304692178e-05	1.7884116871870312e-05	0.9950189582065634	0.9910310342693159	0.995124715378803	0.9979440166988727	0.6944
71	1.3796666682842993e-05	1.56858604893925e-05	1.4232169733157976e-05	1.588515475345289e-05	1.6868867075859278e-05	0.9947857930846272	0.9905396358200241	0.994881660058011	0.9978849279046321	0.6944
72	1.158666663893582e-05	1.4790218754832668e-05	1.3381809450006022e-05	1.4989165101272133e-05	1.5919928163408227e-05	0.9944906759744305	0.9898962467369997	0.9945922714597162	0.9978016161684732	0.6944
73	9.118333302136131e-06	1.3943378501074218e-05	1.2580343071959287e-05	1.414164021959818e-05	1.5042604979963525e-05	0.9941272848518685	0.9891338473919303	0.9942545736498288	0.9976924828614987	0.6944
74	8.106666703641128e-06	1.314315538041078e-05	1.1825349352930781e-05	1.3335110819631472e-05	1.4210567168460148e-05	0.9936874332621309	0.9882408489708804	0.9938607879008893	0.9975552033963925	0.6944
75	7.516666701330226e-06	1.238744960839989e-05	1.1114683684060134e-05	1.2578714046944474e-05	1.3421940090941737e-05	0.9931608397011438	0.9871772075850961	0.9933444627024001	0.9973866107134558	0.6944
76	6.663333303291582e-06	1.1674239440842147e-05	1.0446649219240668e-05	1.185533169984249e-05	1.2674874461855953e-05	0.9925348409729096	0.9859170000497022	0.9927129331701927	0.9971826517719924	0.6944
77	6.239999967647345e-06	1.1001590720290871e-05	9.81865501699464e-06	1.1170211212576083e-05	1.1967502636965341e-05	0.9917940076426379	0.9844293584081957	0.9920124559503548	0.9969382692742483	0.675883333
78	6.4516666354694635e-06	1.0367654012999763e-05	9.24259746342456e-06	1.0528525378701306e-05	1.1298053831910964e-05	0.9909196829788172	0.9826767546713011	0.9912029898860695	0.9966472370686246	0.657366667
79	6.163333303291583e-06	9.770658193501697e-06	8.704341470141568e-06	9.92464654372256e-06	1.066489781940074e-05	0.9898894229528865	0.9806043116469219	0.9901750953104693	0.9963018296766124	0.63885
80	5.526666675910283e-06	9.208917507009495e-06	8.199522831615233e-06	9.351519342771132e-06	1.0066352667584656e-05	0.9886763151630008	0.9781216366631187	0.9890528050803568	0.9958978962978907	0.620333333
81	4.92999994684921e-06	8.680832224476786e-06	7.71403049872963e-06	8.817173212401291e-06	9.500813515599929e-06	0.9872481740877745	0.9751949975448309	0.9877659589127424	0.9954273557316479	0.601816667
82	5.064999950315565e-06	8.1848846169184e-06	7.2603479928470924e-06	8.314599971783405e-06	8.966854613553695e-06	0.9855666053042204	0.971744834427871	0.9862918858559212	0.9948728500448849	0.5832999999999999
83	5.141666614671328e-06	7.719643943890718e-06	6.837519128969804e-06	7.843612783736052e-06	8.463401425673779e-06	0.9835858960544895	0.9676329547112384	0.9845205811376229	0.9942191389518205	0.5832999999999999
84	4.678333380706864e-06	7.283764322562066e-06	6.444084072956843e-06	7.399072053701101e-06	7.992656527711157e-06	0.9812517626175914	0.962757055257726	0.9824588003513044	0.9934479286493623	0.5832999999999999
85	4.178333380706864e-06	6.875986009771945e-06	6.078814947670385e-06	6.9847299383828845e-06	7.549487019052823e-06	0.9784999128831252	0.9569991270632364	0.9799763642480976	0.9925371467746917	0.5832999999999999
86	3.948333387639575e-06	6.495136130216387e-06	5.740926990128992e-06	6.592841351127919e-06	7.1326987453805324e-06	0.9752544597299149	0.9504261222635408	0.9769200734156763	0.9914603262339017	0.5832999999999999
87	3.7550000450626268e-06	6.14012819977852e-06	5.4158500706216125e-06	6.223252667827942e-06	6.741157841648678e-06	0.9714261944828455	0.9427292614890673	0.9732764517123369	0.9901856320745223	0.5832999999999999
88	3.4666667128847455e-06	5.809962265039188e-06	5.134098292976516e-06	5.887245550227946e-06	6.3738134715109634e-06	0.9669107837565412	0.9335123626198141	0.969106778312357	0.9886748423612207	0.5832999999999999
89	2.5999999768909605e-06	5.503723755969518e-06	4.871570658661326e-06	5.5704773205527925e-06	6.029679552656523e-06	0.9615869719680873	0.9226969153790481	0.9640635738894672	0.9868820986633046	0.5832999999999999
90	2.6583333160015536e-06	5.2205817202328445e-06	4.617661913665122e-06	5.28140934849223e-06	5.7060382223310874e-06	0.955314940137349	0.9100380011448729	0.9582000002994304	0.9847524365228355	0.5832999999999999
91	2.6766666412467235e-06	4.959785666803646e-06	4.381876333464015e-06	5.020439025046319e-06	5.401555590916885e-06	0.9479350230792667	0.8952707243968195	0.950819883551419	0.9822200866621124	0.5832999999999999
92	2.464999973424605e-06	4.7206605983793725e-06	4.159879266897623e-06	4.7692154760578505e-06	5.12873284281604e-06	0.9392670839339553	0.8781393994116667	0.9421916844586004	0.9792065331986438	0.5832999999999999
93	1.9833332986697744e-06	4.502599854548858e-06	3.960900192703161e-06	4.544289347640352e-06	4.8697046620677045e-06	0.9291109209579382	0.8582859945055211	0.932288437546603	0.975618284644274	0.5832999999999999
94	1.5783332882707067e-06	4.305055134828994e-06	3.784691988312368e-06	4.342976061886126e-06	4.642678042821493e-06	0.9172481796887617	0.8355121791625636	0.9211113260120254	0.9713444904870235	0.5832999999999999
95	1.7133332917370626e-06	4.127523007801731e-06	3.629016256703867e-06	4.156727318724905e-06	4.451047827741721e-06	0.9034463100339416	0.8095617707000166	0.9077064680345797	0.9662542754649028	0.5832999999999999
96	1.9833332986697744e-06	3.969527750201598e-06	3.5015446483928247e-06	3.990420130985757e-06	4.275549251992144e-06	0.8874651184952081	0.7802572405192144	0.89178040903183	0.9601941466845849	0.578683333
97	2.0983333529760167e-06	3.830600163947976e-06	3.3813123093035946e-06	3.845908766687395e-06	4.153669236677714e-06	0.8690663912926527	0.7475093697711701	0.8732564433207841	0.9529854459668046	0.5740666670000001
98	2.2316666169822323e-06	3.71025257404669e-06	3.291065831545088e-06	3.7222125011934653e-06	4.005828319049655e-06	0.8480268590384847	0.7113478409841947	0.8511864207818631	0.94442227812618	0.56945
99	2.1166666782211866e-06	3.6079510017637608e-06	3.224059545823862e-06	3.618919348876561e-06	3.920714064864107e-06	0.8241543936913256	0.6719487386312389	0.8263997809785781	0.934270355685392	0.564833333
100	1.886166721088454e-06	3.5230859448671797e-06	3.143548466534221e-06	3.5253317032994476e-06	3.856949662534395e-06	0.7973067966435374	0.6296535782202624	0.7992688594483339	0.9222673279417543	0.5602166670000001
