time	data	mean	q025	med	q975
1	0.0	2.740635663241183e-07	2.0890233067419723e-07	2.751916595710158e-07	3.413407059287339e-07
2	0.0	3.118323402448077e-07	2.3901521361028976e-07	3.132748453315967e-07	3.8650245865387354e-07
3	0.0	3.543400183599237e-07	2.7309633958092255e-07	3.5586497967024994e-07	4.370119527581654e-07
4	0.0	4.021188292025227e-07	3.116187276658293e-07	4.036643612813201e-07	4.93496686006649e-07
5	0.0	4.5573010136052667e-07	3.550844116688827e-07	4.5756261153503574e-07	5.565577995055681e-07
6	0.0	5.15788456618292e-07	4.0404293948677504e-07	5.179491056177429e-07	6.26851909573643e-07
7	2.210000231122727e-08	5.829758290512588e-07	4.5911130768841863e-07	5.855105318695484e-07	7.051000499923653e-07
8	1.718333398614333e-08	6.580062805073242e-07	5.209161337174322e-07	6.609658089768414e-07	7.920528271166026e-07
9	1.718333398614333e-08	7.416571498681325e-07	5.901851963310524e-07	7.450108709304739e-07	8.885265655731002e-07
10	2.6999995625019122e-08	8.347802338134574e-07	6.677060273768742e-07	8.381055029256462e-07	9.954054696094695e-07
11	1.471666968324299e-08	9.382611168970188e-07	7.543028822758935e-07	9.414954358033884e-07	1.1136034585601112e-06
12	1.471666968324299e-08	1.053062913915277e-06	8.508674258530328e-07	1.0561642506027409e-06	1.2441140068842017e-06
13	1.471666968324299e-08	1.1802195274004763e-06	9.583763895407173e-07	1.1833581260162079e-06	1.3879902335388107e-06
14	1.7166673705426587e-08	1.320800459114337e-06	1.0785761024970881e-06	1.3239365443659086e-06	1.5463168704979517e-06
15	1.9616662997034837e-08	1.4759699475030116e-06	1.212588769663561e-06	1.4790551977204726e-06	1.720271905127195e-06
16	1.2250005380342646e-08	1.6469415786639585e-06	1.3611470779152316e-06	1.6499194090897106e-06	1.9110666321831568e-06
17	9.800001358159046e-09	1.834979875944356e-06	1.5255084727634436e-06	1.8377820164398951e-06	2.119964117442991e-06
18	9.800001358159046e-09	2.0414422116655997e-06	1.7070399172973844e-06	2.043990258067542e-06	2.3483069415540312e-06
19	9.800001358159046e-09	2.2677070009231654e-06	1.9060873768106588e-06	2.270054840541313e-06	2.5974464156860584e-06
20	7.3499973359754485e-09	2.515235973150959e-06	2.123642588471575e-06	2.5179891782747315e-06	2.8721225741135832e-06
21	7.3499973359754485e-09	2.7855346834353177e-06	2.3623124631356373e-06	2.7884856412643187e-06	3.1732399577661345e-06
22	9.81666163887579e-09	3.080138880844455e-06	2.6241700661009827e-06	3.0814156399135186e-06	3.50058880874723e-06
23	1.226666566105939e-08	3.4006590049250475e-06	2.911856456650099e-06	3.4011551178632467e-06	3.852574610632892e-06
24	1.226666566105939e-08	3.748695872291204e-06	3.225830161539895e-06	3.748287854198722e-06	4.230486550773126e-06
25	2.210000231122727e-08	4.12591488639071e-06	3.5678331671220326e-06	4.122303060440053e-06	4.638439129518044e-06
26	2.7016670636311214e-08	4.5339705895864145e-06	3.939629454065323e-06	4.526328111213648e-06	5.077979004747036e-06
27	3.438332825300341e-08	4.9745303832331655e-06	4.341076421303765e-06	4.962202736632992e-06	5.550981733154935e-06
28	3.6833332275187005e-08	5.44926841563869e-06	4.771083607457535e-06	5.431552505972039e-06	6.05877504116102e-06
29	5.1550001958429994e-08	5.95980890134484e-06	5.234976733082263e-06	5.9363709022536865e-06	6.602789418871376e-06
30	8.104999717835829e-08	6.507786583588539e-06	5.73461368793436e-06	6.478083373846399e-06	7.184502825806323e-06
31	8.104999717835829e-08	7.094741037847766e-06	6.271641730129624e-06	7.0592825053387055e-06	7.813400334561724e-06
32	1.5713333045890706e-07	7.722192242614041e-06	6.8526801043088065e-06	7.67813577878142e-06	8.487200499664889e-06
33	2.4548332940051525e-07	8.391547830888167e-06	7.4737250176970655e-06	8.341111840831298e-06	9.204335017236267e-06
34	3.73116664639494e-07	9.104132955613383e-06	8.132363324694689e-06	9.047457795393743e-06	9.966512787374982e-06
35	4.959499977101321e-07	9.86116171701603e-06	8.834407266782153e-06	9.795996061131528e-06	1.0774755952859413e-05
36	5.867833359659327e-07	1.0663689027455954e-05	9.58109646006123e-06	1.059014329211215e-05	1.1629680165191627e-05
37	7.678333316712334e-07	1.1512656389485953e-05	1.037359626397837e-05	1.14365920973262e-05	1.2532062280117e-05
38	8.21833337651847e-07	1.240878241486316e-05	1.1212864530969653e-05	1.2328456668027842e-05	1.3482454669998873e-05
39	8.561666703321249e-07	1.3352642554582457e-05	1.2099727149189942e-05	1.3268533466189128e-05	1.4469494323955257e-05
40	1.0828333395520912e-06	1.43445612773319e-05	1.3034798020248697e-05	1.4261308327702272e-05	1.5490482268847127e-05
41	1.5794999944833996e-06	1.5384652287626826e-05	1.4018469975645517e-05	1.5296225960701793e-05	1.6556951420764914e-05
42	2.470833335604297e-06	1.6472786134070548e-05	1.5050939228621067e-05	1.6373230941666846e-05	1.766847390480624e-05
43	3.4774999962805294e-06	1.760853772603425e-05	1.6132093435988158e-05	1.7503885245032855e-05	1.882511879862477e-05
44	4.5208333275024806e-06	1.879124835900935e-05	1.726161828019372e-05	1.8690737922890672e-05	2.005309317713191e-05
45	5.281666660307969e-06	2.001991352175438e-05	1.843885453348671e-05	1.9954279892286437e-05	2.1336064539718557e-05
46	6.008333336893222e-06	2.1293256087476126e-05	1.966287536254681e-05	2.124662384916031e-05	2.2671718018569938e-05
47	6.8816666662001985e-06	2.260967575715733e-05	2.0931765424795537e-05	2.255127364866864e-05	2.40504818273143e-05
48	7.75333333402076e-06	2.3967218193705985e-05	2.224438546210982e-05	2.3903975820894895e-05	2.5470151427161773e-05
49	9.019999996759274e-06	2.5363645757128266e-05	2.359900354218029e-05	2.5313121790370818e-05	2.6928212150224997e-05
50	1.045833333762975e-05	2.6796346607340704e-05	2.499916620638233e-05	2.6756857241817302e-05	2.8422389227839554e-05
51	1.2648333336304e-05	2.82623827068467e-05	2.644418882410313e-05	2.8234536858613657e-05	2.9948934446382304e-05
52	1.4543333338587238e-05	2.975851816172837e-05	2.7915095752887003e-05	2.972716639776561e-05	3.1504268308095903e-05
53	1.645000000073653e-05	3.12811519347272e-05	2.9403488990512086e-05	3.12355048710578e-05	3.3084442278364415e-05
54	2.033333332842314e-05	3.282638689701222e-05	3.0916433939721924e-05	3.277230995371766e-05	3.46852812417451e-05
55	2.3716666663475043e-05	3.439005576207959e-05	3.245174247924952e-05	3.4371540009293954e-05	3.63023014469115e-05
56	2.77666666701038e-05	3.596767749643605e-05	3.400996536261931e-05	3.5962320191998484e-05	3.793067629488692e-05
57	3.236666666126545e-05	3.7554509275247977e-05	3.559475131157017e-05	3.75475845950108e-05	3.956534645367627e-05
58	3.736666666126546e-05	3.9145612825855924e-05	3.7189835304171324e-05	3.913948471944381e-05	4.120112605630833e-05
59	4.093333333431537e-05	4.073582628412212e-05	3.879018168131163e-05	4.069376962702133e-05	4.283775898684545e-05
60	4.2266666662738514e-05	4.2319793982417735e-05	4.038459010724212e-05	4.2261156034886896e-05	4.447188341654481e-05
61	4.7033333332842314e-05	4.389203227319521e-05	4.1945178631636846e-05	4.38117796273437e-05	4.6091163826733744e-05
62	5.150000000736529e-05	4.544698371648493e-05	4.3493096981005405e-05	4.537057526730594e-05	4.768982719015318e-05
63	5.6033333332842316e-05	4.6979000835549185e-05	4.501636965518823e-05	4.687431582264042e-05	4.92618984310488e-05
64	6.0150000005155705e-05	4.848239028945886e-05	4.650911785693631e-05	4.834007652264477e-05	5.0801505583940765e-05
65	6.539999999410777e-05	4.995151438222898e-05	4.79731432370755e-05	4.976744114533194e-05	5.2302821047898704e-05
66	6.829999999558083e-05	5.138078713193422e-05	4.940304760866759e-05	5.1189270309033485e-05	5.3760047633275e-05
67	6.664999999779042e-05	5.2764707168462675e-05	5.0791911908087496e-05	5.2587768732311046e-05	5.516750649037332e-05
68	6.856666667304992e-05	5.40979106717983e-05	5.213424513376527e-05	5.389730795658771e-05	5.651973630198816e-05
69	6.981666666200198e-05	5.5375264377864216e-05	5.342175057156799e-05	5.516892921506402e-05	5.781156373648781e-05
70	7.039999999410777e-05	5.659185223012135e-05	5.4635967268961814e-05	5.640859996711701e-05	5.90509178609076e-05
71	7.021666667084034e-05	5.7742979607390096e-05	5.579022269270895e-05	5.757121682013252e-05	6.023146054275576e-05
72	7.093333333431537e-05	5.882426287081306e-05	5.6880136306668675e-05	5.8688137054383485e-05	6.133622599707949e-05
73	7.083333333578842e-05	5.9831711613393446e-05	5.7897598455468556e-05	5.968079972190346e-05	6.236100395835062e-05
74	6.646666665979239e-05	6.0761689449478834e-05	5.8837387313818956e-05	6.0609040007671386e-05	6.330765166444792e-05
75	6.331666666936727e-05	6.161088109552438e-05	5.9703140937442924e-05	6.146694405225447e-05	6.416697087909824e-05
76	6.129999999558082e-05	6.237641979951087e-05	6.049199916835107e-05	6.224222709869046e-05	6.49010913903393e-05
77	6.17666666701038e-05	6.305592605095701e-05	6.118322109371446e-05	6.294345937052118e-05	6.553516459711721e-05
78	6.416666666421157e-05	6.364746605298442e-05	6.176013831826531e-05	6.356209092595033e-05	6.612737481854271e-05
79	6.754999999926346e-05	6.414948421061966e-05	6.220617147481733e-05	6.407677163607665e-05	6.662721837015326e-05
80	7.050000000736528e-05	6.456092406193887e-05	6.253986825989725e-05	6.44823761460719e-05	6.703594145509156e-05
81	6.966666667157686e-05	6.488125280621668e-05	6.278933659482181e-05	6.481293827161257e-05	6.731799948533749e-05
82	7.094999999337125e-05	6.511036772977686e-05	6.29546708285989e-05	6.506244897192822e-05	6.751899145401412e-05
83	7.015000000515569e-05	6.524857756641388e-05	6.303886271668824e-05	6.519035738872155e-05	6.762338213213934e-05
84	7.054999999926348e-05	6.529667080745675e-05	6.314084146253028e-05	6.523538039093592e-05	6.763219173963786e-05
85	7.098333332621355e-05	6.525589352138654e-05	6.315894924235916e-05	6.51939721311303e-05	6.756111571071348e-05
86	7.15833333321058e-05	6.51278614167417e-05	6.305272139019463e-05	6.508802483757962e-05	6.740220197908075e-05
87	7.133333332842313e-05	6.49145589162431e-05	6.286425087689765e-05	6.487869883559193e-05	6.715255008692437e-05
88	6.791666666052894e-05	6.461837731120764e-05	6.259343386453644e-05	6.45867355465966e-05	6.68148512594804e-05
89	6.774999999631737e-05	6.424203258318683e-05	6.224516117860356e-05	6.420130006179844e-05	6.63921028203917e-05
90	6.583333333578843e-05	6.378851536648275e-05	6.182242803291036e-05	6.375357391354749e-05	6.588763229389911e-05
91	6.65333333402076e-05	6.326110130734961e-05	6.132825221218444e-05	6.32313123494962e-05	6.530508894977808e-05
92	6.648333333357885e-05	6.266332892427083e-05	6.0765981448577904e-05	6.264049572374073e-05	6.464836576902232e-05
93	6.886666666863074e-05	6.199892525683641e-05	6.013918324511464e-05	6.195927720490865e-05	6.392157039188505e-05
94	6.826666666273852e-05	6.12717791053457e-05	5.945153833792704e-05	6.120278030053193e-05	6.313732595855064e-05
95	6.403333333284231e-05	6.048593960875458e-05	5.870685110895829e-05	6.041850490704924e-05	6.23054486183059e-05
96	6.073333333726148e-05	5.9645566176129196e-05	5.790910281002754e-05	5.958586445542378e-05	6.14183105312927e-05
97	5.639999999410777e-05	5.875487829473204e-05	5.705414727838808e-05	5.8692574173931375e-05	6.048030100027616e-05
98	5.3633333338734544e-05	5.7818144464511725e-05	5.6130761334961023e-05	5.777485929680713e-05	5.949589114840312e-05
99	5.1266666662738516e-05	5.6839663908349374e-05	5.516028176479449e-05	5.680823131186452e-05	5.846954542131594e-05
100	5.083333333578843e-05	5.582371524984749e-05	5.4154573755887626e-05	5.581632646380133e-05	5.740566891682547e-05
101	4.8800000002946116e-05	5.4774524750898504e-05	5.3117781191265775e-05	5.478409416032992e-05	5.631722935478653e-05
102	4.619999999705389e-05	5.369626665494161e-05	5.205376651493492e-05	5.3717178894285644e-05	5.5208910377079715e-05
103	4.596666666715768e-05	5.2593044255432296e-05	5.094555049688868e-05	5.263972186994305e-05	5.4076210718784024e-05
104	4.4883333327686616e-05	5.14688506140694e-05	4.98069737157614e-05	5.153285502045295e-05	5.2907674169955376e-05
105	4.373333333726148e-05	5.032753771382224e-05	4.866089914310972e-05	5.039221550365148e-05	5.1756370636489934e-05
106	4.266666667157686e-05	4.9172824145730416e-05	4.753484953250882e-05	4.920546334228027e-05	5.061092189467537e-05
107	4.356666667304991e-05	4.8008306209136144e-05	4.639955860370358e-05	4.803529005069808e-05	4.944798855959193e-05
108	4.294999999337124e-05	4.683741085352183e-05	4.528787357339088e-05	4.6872354396424365e-05	4.826177165415208e-05
109	3.86166666649481e-05	4.5663370416141986e-05	4.418686216867353e-05	4.5714912234972e-05	4.707071962350676e-05
110	3.6616666664948096e-05	4.448923232764436e-05	4.305840734892295e-05	4.4572673136750204e-05	4.58781105338388e-05
111	3.601666667378644e-05	4.331788712791939e-05	4.193364506982443e-05	4.3412623779226606e-05	4.468666905228949e-05
112	3.62333333298962e-05	4.2152053743164676e-05	4.081330771954917e-05	4.221783400864325e-05	4.3499293431841154e-05
113	3.6316666669367276e-05	4.0994239178353854e-05	3.9700322727735265e-05	4.1053075994602905e-05	4.230008906592328e-05
114	3.625000000368264e-05	3.98467461251765e-05	3.856295163930767e-05	3.9888930924178606e-05	4.1097751837060365e-05
115	3.54666666597924e-05	3.871169677379491e-05	3.743681873165944e-05	3.8733005564376186e-05	3.9939120532429745e-05
116	3.2466666659792397e-05	3.759105467750631e-05	3.63263590890911e-05	3.759047274177362e-05	3.882350407803181e-05
117	2.893333333431537e-05	3.648660178154999e-05	3.523322707346385e-05	3.64722711772541e-05	3.770939492169692e-05
118	2.6350000002209587e-05	3.5399913434894195e-05	3.4158017517965527e-05	3.537797532747408e-05	3.659549439099221e-05
119	2.4516666666421154e-05	3.433239409260356e-05	3.309195062335281e-05	3.4306110620425e-05	3.5504785478358664e-05
120	2.37666666701038e-05	3.32852992234004e-05	3.2047877944326186e-05	3.326704042017599e-05	3.444408822730613e-05
121	2.37666666701038e-05	3.2259742192623295e-05	3.102679152733525e-05	3.226189604260466e-05	3.3404087565079984e-05
122	2.3150000005155703e-05	3.125667056672359e-05	3.0029486835581437e-05	3.124651271182982e-05	3.2385820536134456e-05
123	2.1816666662001986e-05	3.0276868826655876e-05	2.9056639559483008e-05	3.025821892669625e-05	3.139017051684387e-05
124	2.1299999995580825e-05	2.932099035487968e-05	2.8108915073307055e-05	2.9324538721158963e-05	3.0417826702696788e-05
125	2.0483333333578842e-05	2.8389581031522377e-05	2.7186768490451827e-05	2.8402568955430973e-05	2.9469393232735174e-05
126	1.95333333402076e-05	2.7483075599574175e-05	2.6290506097852853e-05	2.748890209783097e-05	2.8545455017424352e-05
127	1.8866666668630743e-05	2.6601785003864732e-05	2.5420305025928595e-05	2.660007274097551e-05	2.7646671209135594e-05
128	1.888333332768661e-05	2.574589497154206e-05	2.4576235907362912e-05	2.5732778850315107e-05	2.6773367537311288e-05
129	1.8199999997053886e-05	2.4915501764838617e-05	2.3758368686647826e-05	2.4889297991090813e-05	2.5930850722947333e-05
130	1.6416666667894215e-05	2.4110623706299614e-05	2.2966746503482466e-05	2.4074005943143618e-05	2.5121161957230334e-05
131	1.5483333333578842e-05	2.3331221286200414e-05	2.2201190975548072e-05	2.3291549658185894e-05	2.433659273419105e-05
132	1.5016666673786446e-05	2.257717872912291e-05	2.1461425738789576e-05	2.253452445114971e-05	2.3576526411036715e-05
133	1.4900000001473058e-05	2.184829589436328e-05	2.0739291043635863e-05	2.180272699625968e-05	2.2840763491530053e-05
134	1.4633333338734545e-05	2.1144301831058803e-05	2.0038154600005934e-05	2.1103152336109308e-05	2.2132070707096002e-05
135	1.526666666273851e-05	2.046488904699712e-05	1.936267582299071e-05	2.045627759987176e-05	2.1458707949182184e-05
136	1.5683333330632728e-05	1.980970722881307e-05	1.871241703601517e-05	1.9827890322958917e-05	2.080820214068948e-05
137	1.4983333326213555e-05	1.9178376705722316e-05	1.8086876828525493e-05	1.9205367335333107e-05	2.0180733279843824e-05
138	1.4666666671576857e-05	1.8570473490575554e-05	1.7476789958778848e-05	1.8585740254927816e-05	1.9575885915721782e-05
139	1.4416666667894214e-05	1.798553599461864e-05	1.6888372989098637e-05	1.7995370472422216e-05	1.8992902281824712e-05
140	1.4399999994107769e-05	1.742307763545851e-05	1.6323739507524227e-05	1.7434343878534138e-05	1.8431346921798794e-05
141	1.4316666669367272e-05	1.6882605578824176e-05	1.5782297335392834e-05	1.688483912876358e-05	1.7890820484695325e-05
142	1.454999999926347e-05	1.6363610362904688e-05	1.5263448667381604e-05	1.6354969747365484e-05	1.7370913062480666e-05
