time	data	mean	q025	med	q975	x_mean	x_q025	x_med	x_q975	osi
1	0.0	1.711002443747832e-06	1.7099218318428546e-06	1.7109034551275377e-06	1.712730337083453e-06	9.451003177571714e-05	9.392839172879175e-05	9.449004308967932e-05	9.520478900595132e-05	0.0
2	0.0	1.8566971973701598e-06	1.854976027401195e-06	1.8565803248201616e-06	1.8596795236576007e-06	8.935758476529035e-05	8.824841201715742e-05	8.930932970997531e-05	9.067864255902892e-05	0.0
3	0.0	2.0128580271187177e-06	2.0101650141190193e-06	2.0126076747057323e-06	2.017303937232142e-06	8.455625959026035e-05	8.299138298146446e-05	8.447385249940766e-05	8.643787718307951e-05	0.0
4	0.0	2.180067593480123e-06	2.1762716608166727e-06	2.179776015527835e-06	2.1862408726641055e-06	8.008420512281586e-05	7.811618513180651e-05	7.997348450073099e-05	8.246747490534366e-05	0.0
5	0.0	2.358915968926789e-06	2.3538965674440477e-06	2.358636493232426e-06	2.366941133483566e-06	7.592100612798253e-05	7.359666546137012e-05	7.578686018885974e-05	7.875313866736317e-05	0.0
6	0.0	2.5499961471242985e-06	2.5435931984870607e-06	2.5494691503331474e-06	2.5602139003775587e-06	7.204765886535309e-05	6.940859921108313e-05	7.189487965305957e-05	7.528148801161536e-05	0.0
7	2.210000231122727e-08	2.753877481160444e-06	2.7459083534168393e-06	2.753095491578364e-06	2.7664932247475507e-06	6.844652566273844e-05	6.55295954299122e-05	6.827663950712467e-05	7.20400400719754e-05	0.106466667
8	1.718333398614333e-08	2.9711793438161893e-06	2.96149579403107e-06	2.9701668231863993e-06	2.9864914516757647e-06	6.5101142593932e-05	6.193880787863107e-05	6.491543777628934e-05	6.90171144962823e-05	0.11109999999999999
9	1.718333398614333e-08	3.202539912640574e-06	3.190956183484695e-06	3.2012835079589063e-06	3.22090939313122e-06	6.19961703551265e-05	5.8616881950763556e-05	6.179212626099615e-05	6.620180688096543e-05	0.11109999999999999
10	2.6999995625019122e-08	3.448596784368032e-06	3.4348080011531807e-06	3.4471497897045913e-06	3.4704666527665727e-06	5.911738715825257e-05	5.5545932205280814e-05	5.889603435044221e-05	6.358398817589782e-05	0.11109999999999999
11	1.471666968324299e-08	3.7099570540757437e-06	3.693707886721176e-06	3.7083081847345527e-06	3.7357188375768384e-06	5.645165467749979e-05	5.270948028450629e-05	5.6213897569881984e-05	6.115429556055446e-05	0.11109999999999999
12	1.471666968324299e-08	3.987233403982619e-06	3.96824812463387e-06	3.985283298609694e-06	4.017308824928998e-06	5.398682685780352e-05	5.009228829254691e-05	5.373343082493559e-05	5.8904091757097936e-05	0.11109999999999999
13	1.471666968324299e-08	4.281077013733795e-06	4.259057560490918e-06	4.2788317397965215e-06	4.315920354751431e-06	5.171167641318391e-05	4.768026832295596e-05	5.144326784307118e-05	5.682543859643269e-05	0.11109999999999999
14	1.7166673705426587e-08	4.592140371634443e-06	4.566766171320499e-06	4.589585712115583e-06	4.6322383872298355e-06	4.961589125331721e-05	4.546047719165371e-05	4.933295689634231e-05	5.491109612603486e-05	0.11109999999999999
15	1.9616662997034837e-08	4.921046693817621e-06	4.891974816951391e-06	4.918148424505789e-06	4.966916978777265e-06	4.769005556551508e-05	4.3421066924880124e-05	4.739294336488923e-05	5.315452630916839e-05	0.11109999999999999
16	1.2250005380342646e-08	5.268376966352265e-06	5.2352397990584626e-06	5.265097814343738e-06	5.320571158928535e-06	4.592560663951697e-05	4.155120805190045e-05	4.561475555691013e-05	5.1549875073112e-05	0.11109999999999999
17	9.800001358159046e-09	5.634747832304497e-06	5.597151126890776e-06	5.631047575789658e-06	5.6938557269859586e-06	4.431479471297375e-05	3.9841007081595584e-05	4.3992903329930383e-05	5.009198517787505e-05	0.11109999999999999
18	9.800001358159046e-09	6.020781812021144e-06	5.978304175484394e-06	6.016587896668381e-06	6.0874310701393045e-06	4.285067716593391e-05	3.8281498728910764e-05	4.251795702357146e-05	4.877640391378138e-05	0.11109999999999999
19	9.800001358159046e-09	6.427081469111257e-06	6.379277003884732e-06	6.422284419087498e-06	6.501933496755101e-06	4.152711784068838e-05	3.686462435762123e-05	4.118365963692439e-05	4.760444616792575e-05	0.11109999999999999
20	7.3499973359754485e-09	6.8541707344473565e-06	6.800566692036914e-06	6.848697724870785e-06	6.937921610774773e-06	4.033876467146021e-05	3.5583184315508725e-05	3.998453778218268e-05	4.6569393717143815e-05	0.11109999999999999
21	7.3499973359754485e-09	7.30258550925546e-06	7.242678549840764e-06	7.2963565734724725e-06	7.395974165464663e-06	3.928105848009035e-05	3.443081141711142e-05	3.891590943872916e-05	4.566847445993897e-05	0.11109999999999999
22	9.81666163887579e-09	7.772868049630072e-06	7.706123406905877e-06	7.765795692325113e-06	7.876675887684237e-06	3.835025404381167e-05	3.340196413202834e-05	3.7973902196792545e-05	4.490037357269968e-05	0.11109999999999999
23	1.226666566105939e-08	8.265550494430644e-06	8.19140498189773e-06	8.257540464669762e-06	8.380596612521452e-06	3.754342821286305e-05	3.2491928865074874e-05	3.715546125469406e-05	4.426464163562142e-05	0.11109999999999999
24	1.226666566105939e-08	8.781071197398023e-06	8.698936614089909e-06	8.772086997740544e-06	8.908205222434051e-06	3.685849758312964e-05	3.169679670154563e-05	3.645431398811551e-05	4.376175297270411e-05	0.11109999999999999
25	2.210000231122727e-08	9.31984127038456e-06	9.229095697908742e-06	9.309830763153693e-06	9.459958306645852e-06	3.629425385491247e-05	3.101349038380744e-05	3.587285047925815e-05	4.3393183784718715e-05	0.11109999999999999
26	2.7016670636311214e-08	9.882273014921136e-06	9.782260138961991e-06	9.871149788293972e-06	1.0036313309935269e-05	3.585047859291148e-05	3.0439802054789572e-05	3.54112402337513e-05	4.316161218056613e-05	0.11109999999999999
27	3.438332825300341e-08	1.0468773855444396e-05	1.0358804169534653e-05	1.0456446704139868e-05	1.063772013315123e-05	3.552795856839653e-05	2.9974404632633956e-05	3.5069339427791876e-05	4.307094285121663e-05	0.11109999999999999
28	3.6833332275187005e-08	1.1079666467316656e-05	1.0959029171349685e-05	1.1066041476663897e-05	1.126452457575487e-05	3.532857660982722e-05	2.9616887996612696e-05	3.4848775260540744e-05	4.312646703913999e-05	0.11109999999999999
29	5.1550001958429994e-08	1.1715197655143089e-05	1.1583147608705562e-05	1.1700175059877357e-05	1.191701782499225e-05	3.5255351474412306e-05	2.9366477695591342e-05	3.475227134933193e-05	4.333493893215313e-05	0.11109999999999999
30	8.104999717835829e-08	1.2375606399339265e-05	1.2231363762244966e-05	1.2359160213531345e-05	1.2595482922092073e-05	3.531275374866797e-05	2.9219831898485095e-05	3.478395512962933e-05	4.37050795964736e-05	0.11109999999999999
31	8.104999717835829e-08	1.3061122492101776e-05	1.2903869879858586e-05	1.304333202716241e-05	1.3300196914267022e-05	3.550678206812202e-05	2.9185146348531742e-05	3.4949444566260995e-05	4.4247683975602527e-05	0.11109999999999999
32	1.5713333045890706e-07	1.3771924563038662e-05	1.3600825251578266e-05	1.3752722316808723e-05	1.4031354024276024e-05	3.584512625305343e-05	2.926641074948706e-05	3.525598057571577e-05	4.497589139676662e-05	0.11109999999999999
33	2.4548332940051525e-07	1.4508064168765439e-05	1.4322161213716182e-05	1.448737996373494e-05	1.4789044037968102e-05	3.633729953361704e-05	2.9468920897464415e-05	3.5712578901367055e-05	4.590538348938163e-05	0.11109999999999999
34	3.73116664639494e-07	1.5269577358169465e-05	1.5067940559923577e-05	1.5247341107567746e-05	1.5573340341387134e-05	3.6995197688034664e-05	2.9799732333709032e-05	3.6331682078371636e-05	4.705468671150559e-05	0.11109999999999999
35	4.959499977101321e-07	1.6056474474735956e-05	1.5838151568076052e-05	1.6032615355608176e-05	1.6384299778915332e-05	3.783354679226522e-05	3.02678207675027e-05	3.711901989682602e-05	4.8447256297159804e-05	0.11109999999999999
36	5.867833359659327e-07	1.6868750071483543e-05	1.6632759143145104e-05	1.684319869355956e-05	1.722194170053606e-05	3.887005311046635e-05	3.08844832975921e-05	3.810273417381825e-05	5.0110820191337624e-05	0.11109999999999999
37	7.678333316712334e-07	1.7706263151979543e-05	1.7451613380458045e-05	1.7678948548245418e-05	1.8086133729422978e-05	4.0126003501372005e-05	3.166315423921069e-05	3.933047641701587e-05	5.207812879438115e-05	0.11109999999999999
38	8.21833337651847e-07	1.8568823206633695e-05	1.829448862962282e-05	1.8539675029491376e-05	1.8976722112067637e-05	4.162674902327237e-05	3.261999695222163e-05	4.077298202085935e-05	5.438801261599272e-05	0.11109999999999999
39	8.561666703321249e-07	1.9456203107296306e-05	1.916112597190504e-05	1.942515066678066e-05	1.9893515599664608e-05	4.340357767748761e-05	3.377526533979427e-05	4.2502303293016414e-05	5.708819368346977e-05	0.11109999999999999
40	1.0828333395520912e-06	2.0368166526635504e-05	2.0051250598836182e-05	2.0335140164292032e-05	2.083631614024106e-05	4.549394718883255e-05	3.5153185798283457e-05	4.456471613058368e-05	6.02355121957715e-05	0.11109999999999999
41	1.5794999944833996e-06	2.1304407375237477e-05	2.0964556735924168e-05	2.126914713957896e-05	2.1804796841678426e-05	4.7942661189040994e-05	3.678308225486712e-05	4.6981266057529404e-05	6.389775955496305e-05	0.11109999999999999
42	2.470833335604297e-06	2.2264492504822263e-05	2.1900586457640002e-05	2.222662668038978e-05	2.2798558753130357e-05	5.0803082136104844e-05	3.86992705344007e-05	4.981363819291457e-05	6.815622567063996e-05	0.11109999999999999
43	3.4774999962805294e-06	2.324797902295609e-05	2.2858873053383877e-05	2.3207370824014436e-05	2.3817179054390766e-05	5.414065998487031e-05	4.098300618317262e-05	5.3145880206925264e-05	7.31106329261664e-05	0.114183333
44	4.5208333275024806e-06	2.4254392017072892e-05	2.383891061749438e-05	2.4210893166314604e-05	2.4860217699431537e-05	5.803529262816909e-05	4.367042703757608e-05	5.703832041140576e-05	7.88815186828352e-05	0.117266667
