time	data	mean	q025	med	q975	x_mean	x_q025	x_med	x_q975	osi
1	0.0	7.874433232226309e-07	7.867177386505732e-07	7.874556119190901e-07	7.881118533894703e-07	1.2632031050534801e-09	1.2599596906913364e-09	1.2624693777192368e-09	1.2698323427113705e-09	0.0
2	0.0	8.77925437461871e-07	8.769638647970197e-07	8.779714828135048e-07	8.788046050785171e-07	-6.818820584689336e-11	-6.911800831025016e-11	-6.807132101683195e-11	-6.774878874274879e-11	0.0
3	0.0	9.776918035369147e-07	9.764502433058671e-07	9.77752551649955e-07	9.788189511490516e-07	1.2492999222727865e-10	1.2311351035073743e-10	1.2515788718729756e-10	1.2576337867860684e-10	0.0
4	0.0	1.0875465309025583e-06	1.0859584501819513e-06	1.0876851978409023e-06	1.0889639555567866e-06	-3.7966555869550446e-11	-3.9134060444559195e-11	-3.8270185021013035e-11	-3.5477054905581375e-11	0.0
5	0.0	1.2083368376510135e-06	1.2063438199486845e-06	1.2085098476433653e-06	1.2100922734013715e-06	-7.206975096259055e-12	-1.2613103545515924e-11	-6.561512521025786e-12	-4.604972897562409e-12	0.0
6	0.0	1.3409586359953066e-06	1.3384906135851375e-06	1.3411329267473202e-06	1.3431057665080996e-06	5.066640248914706e-11	4.797151274373304e-11	4.996449798424689e-11	5.635129469691602e-11	0.0
7	2.210000231122727e-08	1.4863565043982497e-06	1.4833138307309393e-06	1.4865291471263066e-06	1.4889554967113084e-06	-6.377629673058902e-11	-6.524311534476858e-11	-6.360686142687589e-11	-6.299349287998612e-11	0.106466667
8	1.718333398614333e-08	1.6455232411759892e-06	1.6418168149166446e-06	1.645701527452493e-06	1.648634389592364e-06	1.4561513776279976e-10	1.4000760739187677e-10	1.46295365719132e-10	1.4812388636179027e-10	0.11109999999999999
9	1.718333398614333e-08	1.8194989541140563e-06	1.8150292458201e-06	1.819702540971787e-06	1.8231956446179682e-06	-5.720380126350644e-11	-5.909943766046016e-11	-5.769196378707095e-11	-5.302358919344821e-11	0.11109999999999999
10	2.6999995625019122e-08	2.0093696337770833e-06	2.004025831645438e-06	2.0096010141624184e-06	2.0137352982558254e-06	6.790799167092109e-12	-3.9494474061982235e-12	8.004860091710987e-12	1.200878281655213e-11	0.11109999999999999
11	1.471666968324299e-08	2.2162651695413384e-06	2.2099242994939184e-06	2.21652695445606e-06	2.2213919997156614e-06	5.64132463170356e-11	5.067082340634051e-11	5.501352781328013e-11	6.835224361087972e-11	0.11109999999999999
12	1.471666968324299e-08	2.441356757857482e-06	2.4338827836180363e-06	2.4416516632689757e-06	2.447344894232117e-06	-4.7802968544864916e-11	-5.1370102732668714e-11	-4.739854953544861e-11	-4.591286637345064e-11	0.11109999999999999
13	1.471666968324299e-08	2.685853661809425e-06	2.6770965709463342e-06	2.6861917548206514e-06	2.692813210147622e-06	1.550670479577517e-10	1.4229833981610582e-10	1.5657468548402597e-10	1.6070081602307196e-10	0.11109999999999999
14	1.7166673705426587e-08	2.9509992833944635e-06	2.9407941668801715e-06	2.9513567602536145e-06	2.9590509372851227e-06	-7.566437510781269e-11	-7.861293866854644e-11	-7.64597740818125e-11	-6.88685442312192e-11	0.11109999999999999
15	1.9616662997034837e-08	3.238066507721677e-06	3.2262599627561325e-06	3.2384640522862773e-06	3.247342762284198e-06	1.6231171820818375e-11	2.8757155155954585e-12	1.7716089070149713e-11	2.269336682223444e-11	0.11109999999999999
16	1.2250005380342646e-08	3.5483522947041175e-06	3.5347487645505046e-06	3.548798219430719e-06	3.5589976786219907e-06	1.1968355426394074e-10	1.1087047567374653e-10	1.177336006439068e-10	1.3733251440074207e-10	0.11109999999999999
17	9.800001358159046e-09	3.8831714875335596e-06	3.867560721852849e-06	3.883670204059238e-06	3.895342371085574e-06	-4.6882132028319394e-11	-5.194397152255506e-11	-4.6329106997951505e-11	-4.4175654130416664e-11	0.11109999999999999
18	9.800001358159046e-09	4.24384982400986e-06	4.2260192000315995e-06	4.244405975603646e-06	4.2577155560166925e-06	1.3003121793759215e-10	1.0810023025942169e-10	1.325763095285371e-10	1.3975767543180004e-10	0.11109999999999999
19	9.800001358159046e-09	4.631716142722209e-06	4.611428329939552e-06	4.632334595610251e-06	4.647459569903367e-06	-8.28766697646515e-11	-9.01122028577205e-11	-8.48259815410556e-11	-6.632060555195319e-11	0.11109999999999999
20	7.3499973359754485e-09	5.048093778868418e-06	5.025087899705915e-06	5.048779610296987e-06	5.0659160226425515e-06	1.3530549566245253e-11	7.761799631720418e-13	1.498104351468983e-11	1.966213563663551e-11	0.11109999999999999
21	7.3499973359754485e-09	5.4942911676358785e-06	5.468286980128752e-06	5.495049650447927e-06	5.514409819552568e-06	2.2712613621235012e-10	2.2469907116766483e-10	2.2728202981378253e-10	2.2860781250234635e-10	0.11109999999999999
22	9.81666163887579e-09	5.971591670739886e-06	5.942289065246401e-06	5.972428254212082e-06	5.994234583799622e-06	-7.315471836677558e-11	-7.649737714140102e-11	-7.282850606641838e-11	-7.102700489807888e-11	0.11109999999999999
23	1.226666566105939e-08	6.4812426635197955e-06	6.4483212598175374e-06	6.482162950273954e-06	6.506652906092282e-06	7.034186034894238e-11	6.220591682527496e-11	7.134890748568632e-11	7.337441956989015e-11	0.11109999999999999
24	1.226666566105939e-08	7.024443930582407e-06	6.987562789606467e-06	7.025453649413239e-06	7.052879982334346e-06	2.1415919363489923e-11	1.3893409965960452e-11	1.942023133536052e-11	3.854426588710162e-11	0.11109999999999999
25	2.210000231122727e-08	7.602335423407795e-06	7.561160221947381e-06	7.603440397860376e-06	7.634071271767583e-06	-4.5750413489892544e-11	-5.382628201051773e-11	-4.491357914411837e-11	-4.105579616820703e-11	0.11109999999999999
26	2.7016670636311214e-08	8.215984463389274e-06	8.170158626711536e-06	8.21719057603596e-06	8.251309590144187e-06	1.7427417077502695e-10	1.5601075599587292e-10	1.7649423640764936e-10	1.806749354920165e-10	0.11109999999999999
27	3.438332825300341e-08	8.866372470235476e-06	8.815502396192616e-06	8.867687139395415e-06	8.905586163672037e-06	-1.0934825297608769e-10	-1.159405004570202e-10	-1.1137103946585429e-10	-9.216442616261448e-11	0.11109999999999999
28	3.6833332275187005e-08	9.55438132089025e-06	9.498054118929356e-06	9.55585363664078e-06	9.597785160756664e-06	2.683555294963063e-11	7.571802704330256e-12	2.9023020645534676e-11	3.6149596232873656e-11	0.11109999999999999
