# 0.1.0+578d682 (2026-08-12)
replicate	t	S	E	I	R	Dead	flow_infection	flow_onset	flow_recovery	flow_death
1	0	180	1	0	0	0	0	0	0	0
1	1	180	1	0	0	0	0	0	0	0
1	2	180	1	0	0	0	0	0	0	0
1	3	180	1	0	0	0	0	0	0	0
1	4	180	1	0	0	0	0	0	0	0
1	5	180	1	0	0	0	0	0	0	0
1	6	180	1	0	0	0	0	0	0	0
1	7	180	1	0	0	0	0	0	0	0
1	8	180	1	0	0	0	0	0	0	0
1	9	180	1	0	0	0	0	0	0	0
1	10	180	1	0	0	0	0	0	0	0
1	11	180	1	0	0	0	0	0	0	0
1	12	180	1	0	0	0	0	0	0	0
1	13	180	1	0	0	0	0	0	0	0
1	14	180	1	0	0	0	0	0	0	0
1	15	180	1	0	0	0	0	0	0	0
1	16	180	1	0	0	0	0	0	0	0
1	17	180	0	1	0	0	0	1	0	0
1	18	180	0	1	0	0	0	0	0	0
1	19	180	0	1	0	0	0	0	0	0
1	20	180	0	1	0	0	0	0	0	0
1	21	180	0	1	0	0	0	0	0	0
1	22	180	0	0	1	0	0	0	1	0
1	23	180	0	0	1	0	0	0	0	0
1	24	180	0	0	1	0	0	0	0	0
1	25	180	0	0	1	0	0	0	0	0
1	26	180	0	0	1	0	0	0	0	0
1	27	180	0	0	1	0	0	0	0	0
1	28	180	0	0	1	0	0	0	0	0
1	29	180	0	0	1	0	0	0	0	0
1	30	180	0	0	1	0	0	0	0	0
1	31	180	0	0	1	0	0	0	0	0
1	32	180	0	0	1	0	0	0	0	0
1	33	180	0	0	1	0	0	0	0	0
1	34	180	0	0	1	0	0	0	0	0
1	35	180	0	0	1	0	0	0	0	0
1	36	180	0	0	1	0	0	0	0	0
1	37	180	0	0	1	0	0	0	0	0
2	0	180	1	0	0	0	0	0	0	0
2	1	180	1	0	0	0	0	0	0	0
2	2	180	0	1	0	0	0	1	0	0
2	3	180	0	1	0	0	0	0	0	0
2	4	180	0	1	0	0	0	0	0	0
2	5	178	2	0	1	0	2	0	1	0
2	6	178	2	0	1	0	0	0	0	0
2	7	178	2	0	1	0	0	0	0	0
2	8	178	2	0	1	0	0	0	0	0
2	9	178	2	0	1	0	0	0	0	0
2	10	178	2	0	1	0	0	0	0	0
2	11	178	2	0	1	0	0	0	0	0
2	12	178	2	0	1	0	0	0	0	0
2	13	178	2	0	1	0	0	0	0	0
2	14	178	1	1	1	0	0	1	0	0
2	15	178	1	1	1	0	0	0	0	0
2	16	178	0	2	1	0	0	1	0	0
2	17	178	0	2	1	0	0	0	0	0
2	18	177	1	2	1	0	1	0	0	0
2	19	177	1	2	1	0	0	0	0	0
2	20	176	2	2	1	0	1	0	0	0
