# 0.1.0+578d682 (2026-08-12)
replicate	draw	t	S	E	I	R	Dead	flow_infection	flow_onset	flow_recovery	flow_death
1	1	0	178	3	0	0	0	0	0	0	0
1	1	1	178	3	0	0	0	0	0	0	0
1	1	2	178	3	0	0	0	0	0	0	0
1	1	3	178	3	0	0	0	0	0	0	0
1	1	4	178	3	0	0	0	0	0	0	0
1	1	5	178	3	0	0	0	0	0	0	0
1	1	6	178	3	0	0	0	0	0	0	0
1	1	7	178	3	0	0	0	0	0	0	0
1	1	8	178	1	2	0	0	0	2	0	0
1	1	9	178	1	2	0	0	0	0	0	0
1	1	10	178	1	2	0	0	0	0	0	0
1	1	11	178	1	2	0	0	0	0	0	0
1	1	12	177	2	2	0	0	1	0	0	0
1	1	13	176	3	2	0	0	1	0	0	0
1	1	14	175	4	2	0	0	1	0	0	0
1	1	15	174	5	1	0	1	1	0	0	1
1	1	16	174	4	2	0	1	0	1	0	0
1	1	17	174	4	2	0	1	0	0	0	0
1	1	18	174	3	3	0	1	0	1	0	0
1	1	19	174	1	5	0	1	0	2	0	0
1	1	20	174	1	5	0	1	0	0	0	0
1	1	21	172	3	5	0	1	2	0	0	0
1	1	22	172	3	5	0	1	0	0	0	0
1	1	23	172	1	7	0	1	0	2	0	0
1	1	24	171	2	7	0	1	1	0	0	0
1	1	25	170	1	8	1	1	1	2	1	0
1	1	26	170	1	8	1	1	0	0	0	0
1	1	27	168	3	8	1	1	2	0	0	0
1	1	28	165	6	6	3	1	3	0	2	0
1	1	29	164	7	6	3	1	1	0	0	0
1	1	30	162	9	6	3	1	2	0	0	0
1	1	31	161	10	6	3	1	1	0	0	0
1	1	32	160	9	7	3	2	1	2	0	1
1	1	33	158	11	7	3	2	2	0	0	0
1	1	34	157	11	8	3	2	1	1	0	0
1	1	35	156	10	9	3	3	1	2	0	1
1	1	36	155	9	10	3	4	1	2	0	1
1	1	37	152	12	7	4	6	3	0	1	2
2	2	0	179	2	0	0	0	0	0	0	0
2	2	1	179	1	1	0	0	0	1	0	0
2	2	2	179	1	1	0	0	0	0	0	0
2	2	3	179	0	2	0	0	0	1	0	0
2	2	4	178	1	1	0	1	1	0	0	1
2	2	5	178	1	1	0	1	0	0	0	0
2	2	6	178	1	0	1	1	0	0	1	0
2	2	7	178	1	0	1	1	0	0	0	0
2	2	8	178	0	1	1	1	0	1	0	0
2	2	9	178	0	0	2	1	0	0	1	0
2	2	10	178	0	0	2	1	0	0	0	0
2	2	11	178	0	0	2	1	0	0	0	0
2	2	12	178	0	0	2	1	0	0	0	0
2	2	13	178	0	0	2	1	0	0	0	0
2	2	14	178	0	0	2	1	0	0	0	0
2	2	15	178	0	0	2	1	0	0	0	0
2	2	16	178	0	0	2	1	0	0	0	0
2	2	17	178	0	0	2	1	0	0	0	0
2	2	18	178	0	0	2	1	0	0	0	0
2	2	19	178	0	0	2	1	0	0	0	0
2	2	20	178	0	0	2	1	0	0	0	0
2	2	21	178	0	0	2	1	0	0	0	0
2	2	22	178	0	0	2	1	0	0	0	0
2	2	23	178	0	0	2	1	0	0	0	0
2	2	24	178	0	0	2	1	0	0	0	0
2	2	25	178	0	0	2	1	0	0	0	0
2	2	26	178	0	0	2	1	0	0	0	0
2	2	27	178	0	0	2	1	0	0	0	0
2	2	28	178	0	0	2	1	0	0	0	0
2	2	29	178	0	0	2	1	0	0	0	0
2	2	30	178	0	0	2	1	0	0	0	0
2	2	31	178	0	0	2	1	0	0	0	0
2	2	32	178	0	0	2	1	0	0	0	0
2	2	33	178	0	0	2	1	0	0	0	0
2	2	34	178	0	0	2	1	0	0	0	0
2	2	35	178	0	0	2	1	0	0	0	0
2	2	36	178	0	0	2	1	0	0	0	0
2	2	37	178	0	0	2	1	0	0	0	0
3	3	0	179	2	0	0	0	0	0	0	0
3	3	1	179	2	0	0	0	0	0	0	0
3	3	2	179	2	0	0	0	0	0	0	0
3	3	3	179	1	1	0	0	0	1	0	0
3	3	4	179	1	1	0	0	0	0	0	0
3	3	5	179	1	1	0	0	0	0	0	0
3	3	6	179	1	1	0	0	0	0	0	0
3	3	7	179	1	1	0	0	0	0	0	0
3	3	8	179	1	1	0	0	0	0	0	0
3	3	9	179	1	1	0	0	0	0	0	0
3	3	10	179	1	0	1	0	0	0	1	0
3	3	11	179	1	0	1	0	0	0	0	0
3	3	12	179	1	0	1	0	0	0	0	0
3	3	13	179	0	1	1	0	0	1	0	0
3	3	14	179	0	1	1	0	0	0	0	0
3	3	15	179	0	1	1	0	0	0	0	0
3	3	16	179	0	1	1	0	0	0	0	0
3	3	17	179	0	1	1	0	0	0	0	0
3	3	18	179	0	1	1	0	0	0	0	0
3	3	19	179	0	0	1	1	0	0	0	1
3	3	20	179	0	0	1	1	0	0	0	0
3	3	21	179	0	0	1	1	0	0	0	0
3	3	22	179	0	0	1	1	0	0	0	0
3	3	23	179	0	0	1	1	0	0	0	0
3	3	24	179	0	0	1	1	0	0	0	0
3	3	25	179	0	0	1	1	0	0	0	0
3	3	26	179	0	0	1	1	0	0	0	0
3	3	27	179	0	0	1	1	0	0	0	0
3	3	28	179	0	0	1	1	0	0	0	0
3	3	29	179	0	0	1	1	0	0	0	0
3	3	30	179	0	0	1	1	0	0	0	0
3	3	31	179	0	0	1	1	0	0	0	0
3	3	32	179	0	0	1	1	0	0	0	0
3	3	33	179	0	0	1	1	0	0	0	0
3	3	34	179	0	0	1	1	0	0	0	0
3	3	35	179	0	0	1	1	0	0	0	0
3	3	36	179	0	0	1	1	0	0	0	0
3	3	37	179	0	0	1	1	0	0	0	0
4	4	0	179	2	0	0	0	0	0	0	0
4	4	1	179	2	0	0	0	0	0	0	0
4	4	2	179	1	1	0	0	0	1	0	0
4	4	3	179	1	0	1	0	0	0	1	0
4	4	4	179	1	0	1	0	0	0	0	0
4	4	5	179	1	0	1	0	0	0	0	0
4	4	6	179	1	0	1	0	0	0	0	0
4	4	7	179	1	0	1	0	0	0	0	0
4	4	8	179	1	0	1	0	0	0	0	0
4	4	9	179	1	0	1	0	0	0	0	0
4	4	10	179	1	0	1	0	0	0	0	0
4	4	11	179	1	0	1	0	0	0	0	0
4	4	12	179	1	0	1	0	0	0	0	0
4	4	13	179	1	0	1	0	0	0	0	0
4	4	14	179	1	0	1	0	0	0	0	0
4	4	15	179	1	0	1	0	0	0	0	0
4	4	16	179	0	1	1	0	0	1	0	0
4	4	17	179	0	1	1	0	0	0	0	0
4	4	18	179	0	1	1	0	0	0	0	0
4	4	19	179	0	1	1	0	0	0	0	0
4	4	20	179	0	1	1	0	0	0	0	0
4	4	21	179	0	1	1	0	0	0	0	0
4	4	22	179	0	1	1	0	0	0	0	0
4	4	23	179	0	1	1	0	0	0	0	0
4	4	24	179	0	0	2	0	0	0	1	0
4	4	25	179	0	0	2	0	0	0	0	0
4	4	26	179	0	0	2	0	0	0	0	0
4	4	27	179	0	0	2	0	0	0	0	0
4	4	28	179	0	0	2	0	0	0	0	0
4	4	29	179	0	0	2	0	0	0	0	0
4	4	30	179	0	0	2	0	0	0	0	0
4	4	31	179	0	0	2	0	0	0	0	0
4	4	32	179	0	0	2	0	0	0	0	0
4	4	33	179	0	0	2	0	0	0	0	0
4	4	34	179	0	0	2	0	0	0	0	0
4	4	35	179	0	0	2	0	0	0	0	0
4	4	36	179	0	0	2	0	0	0	0	0
4	4	37	179	0	0	2	0	0	0	0	0
5	5	0	179	2	0	0	0	0	0	0	0
5	5	1	179	2	0	0	0	0	0	0	0
5	5	2	179	2	0	0	0	0	0	0	0
5	5	3	179	2	0	0	0	0	0	0	0
5	5	4	179	1	1	0	0	0	1	0	0
5	5	5	178	2	1	0	0	1	0	0	0
5	5	6	178	2	1	0	0	0	0	0	0
5	5	7	178	2	1	0	0	0	0	0	0
5	5	8	178	2	1	0	0	0	0	0	0
5	5	9	178	2	1	0	0	0	0	0	0
5	5	10	178	2	1	0	0	0	0	0	0
5	5	11	178	2	1	0	0	0	0	0	0
5	5	12	178	2	1	0	0	0	0	0	0
5	5	13	178	2	0	1	0	0	0	1	0
5	5	14	178	2	0	1	0	0	0	0	0
5	5	15	178	2	0	1	0	0	0	0	0
5	5	16	178	2	0	1	0	0	0	0	0
5	5	17	178	1	1	1	0	0	1	0	0
5	5	18	178	1	0	2	0	0	0	1	0
5	5	19	178	1	0	2	0	0	0	0	0
5	5	20	178	1	0	2	0	0	0	0	0
5	5	21	178	1	0	2	0	0	0	0	0
5	5	22	178	1	0	2	0	0	0	0	0
5	5	23	178	1	0	2	0	0	0	0	0
5	5	24	178	1	0	2	0	0	0	0	0
5	5	25	178	1	0	2	0	0	0	0	0
5	5	26	178	1	0	2	0	0	0	0	0
5	5	27	178	0	1	2	0	0	1	0	0
5	5	28	178	0	1	2	0	0	0	0	0
5	5	29	178	0	1	2	0	0	0	0	0
5	5	30	178	0	1	2	0	0	0	0	0
5	5	31	177	1	1	2	0	1	0	0	0
5	5	32	177	1	1	2	0	0	0	0	0
5	5	33	176	2	1	2	0	1	0	0	0
5	5	34	176	2	0	2	1	0	0	0	1
5	5	35	176	2	0	2	1	0	0	0	0
5	5	36	176	2	0	2	1	0	0	0	0
5	5	37	176	2	0	2	1	0	0	0	0
6	6	0	177	4	0	0	0	0	0	0	0
6	6	1	177	3	1	0	0	0	1	0	0
6	6	2	175	5	0	0	1	2	0	0	1
6	6	3	175	5	0	0	1	0	0	0	0
6	6	4	175	5	0	0	1	0	0	0	0
6	6	5	175	4	1	0	1	0	1	0	0
6	6	6	175	4	1	0	1	0	0	0	0
6	6	7	174	5	1	0	1	1	0	0	0
6	6	8	174	5	1	0	1	0	0	0	0
6	6	9	174	4	2	0	1	0	1	0	0
6	6	10	173	4	3	0	1	1	1	0	0
6	6	11	169	8	3	0	1	4	0	0	0
6	6	12	168	8	4	0	1	1	1	0	0
6	6	13	164	11	5	0	1	4	1	0	0
6	6	14	163	11	5	1	1	1	1	1	0
6	6	15	161	12	5	2	1	2	1	1	0
6	6	16	159	14	5	2	1	2	0	0	0
6	6	17	158	15	5	2	1	1	0	0	0
6	6	18	156	17	3	3	2	2	0	1	1
6	6	19	154	18	4	3	2	2	1	0	0
6	6	20	153	17	6	3	2	1	2	0	0
6	6	21	149	17	10	3	2	4	4	0	0
6	6	22	142	23	9	4	3	7	1	1	1
6	6	23	136	27	10	5	3	6	2	1	0
6	6	24	133	28	12	5	3	3	2	0	0
6	6	25	129	29	12	7	4	4	3	2	1
6	6	26	125	29	15	8	4	4	4	1	0
6	6	27	119	32	17	8	5	6	3	0	1
6	6	28	116	30	19	11	5	3	5	3	0
6	6	29	113	28	22	12	6	3	5	1	1
6	6	30	106	33	22	13	7	7	2	1	1
6	6	31	102	32	25	15	7	4	5	2	0
6	6	32	95	33	28	16	9	7	6	1	2
6	6	33	86	37	31	18	9	9	5	2	0
6	6	34	79	39	34	20	9	7	5	2	0
6	6	35	72	40	37	22	10	7	6	2	1
6	6	36	61	47	37	26	10	11	4	4	0
6	6	37	57	43	41	27	13	4	8	1	3
7	7	0	178	3	0	0	0	0	0	0	0
7	7	1	178	3	0	0	0	0	0	0	0
7	7	2	178	3	0	0	0	0	0	0	0
7	7	3	178	3	0	0	0	0	0	0	0
7	7	4	178	3	0	0	0	0	0	0	0
7	7	5	178	3	0	0	0	0	0	0	0
7	7	6	178	3	0	0	0	0	0	0	0
7	7	7	178	2	1	0	0	0	1	0	0
7	7	8	177	2	2	0	0	1	1	0	0
7	7	9	176	3	2	0	0	1	0	0	0
7	7	10	176	3	2	0	0	0	0	0	0
7	7	11	176	3	2	0	0	0	0	0	0
7	7	12	174	5	1	0	1	2	0	0	1
7	7	13	174	5	1	0	1	0	0	0	0
7	7	14	174	5	1	0	1	0	0	0	0
7	7	15	174	3	3	0	1	0	2	0	0
7	7	16	173	3	4	0	1	1	1	0	0
7	7	17	171	5	3	1	1	2	0	1	0
7	7	18	170	4	4	2	1	1	2	1	0
7	7	19	170	4	4	2	1	0	0	0	0
7	7	20	168	5	4	2	2	2	1	0	1
7	7	21	168	5	4	2	2	0	0	0	0
7	7	22	167	6	4	2	2	1	0	0	0
7	7	23	164	9	3	3	2	3	0	1	0
7	7	24	163	10	2	4	2	1	0	1	0
7	7	25	163	9	3	4	2	0	1	0	0
7	7	26	163	7	5	4	2	0	2	0	0
7	7	27	161	7	6	5	2	2	2	1	0
7	7	28	156	12	6	5	2	5	0	0	0
7	7	29	155	13	6	5	2	1	0	0	0
7	7	30	155	10	9	5	2	0	3	0	0
7	7	31	153	11	10	5	2	2	1	0	0
7	7	32	148	15	8	6	4	5	1	1	2
7	7	33	145	16	9	7	4	3	2	1	0
7	7	34	144	17	9	7	4	1	0	0	0
7	7	35	142	16	11	8	4	2	3	1	0
7	7	36	141	17	11	8	4	1	0	0	0
7	7	37	140	17	8	12	4	1	1	4	0
8	8	0	177	4	0	0	0	0	0	0	0
8	8	1	177	3	1	0	0	0	1	0	0
8	8	2	176	4	1	0	0	1	0	0	0
8	8	3	176	4	1	0	0	0	0	0	0
8	8	4	175	5	1	0	0	1	0	0	0
8	8	5	175	5	0	0	1	0	0	0	1
8	8	6	175	5	0	0	1	0	0	0	0
8	8	7	175	3	2	0	1	0	2	0	0
8	8	8	173	5	2	0	1	2	0	0	0
8	8	9	171	7	1	1	1	2	0	1	0
8	8	10	170	7	2	1	1	1	1	0	0
8	8	11	169	7	2	2	1	1	1	1	0
8	8	12	166	9	3	2	1	3	1	0	0
8	8	13	162	12	4	2	1	4	1	0	0
8	8	14	159	15	4	2	1	3	0	0	0
8	8	15	157	15	6	2	1	2	2	0	0
8	8	16	155	16	7	2	1	2	1	0	0
8	8	17	152	19	6	3	1	3	0	1	0
8	8	18	149	22	5	3	2	3	0	0	1
8	8	19	146	21	9	3	2	3	4	0	0
8	8	20	143	22	10	4	2	3	2	1	0
8	8	21	141	23	9	5	3	2	1	1	1
8	8	22	139	22	9	6	5	2	3	1	2
8	8	23	132	28	9	7	5	7	1	1	0
8	8	24	130	26	10	10	5	2	4	3	0
8	8	25	127	28	10	11	5	3	1	1	0
8	8	26	125	29	6	14	7	2	1	3	2
8	8	27	121	29	9	15	7	4	4	1	0
8	8	28	118	28	11	17	7	3	4	2	0
8	8	29	113	31	11	19	7	5	2	2	0
8	8	30	111	31	11	19	9	2	2	0	2
8	8	31	109	29	13	19	11	2	4	0	2
8	8	32	107	29	15	19	11	2	2	0	0
8	8	33	102	32	16	19	12	5	2	0	1
8	8	34	97	37	16	19	12	5	0	0	0
8	8	35	91	41	18	19	12	6	2	0	0
8	8	36	88	44	17	20	12	3	0	1	0
8	8	37	81	45	21	21	13	7	6	1	1
9	9	0	178	3	0	0	0	0	0	0	0
9	9	1	178	3	0	0	0	0	0	0	0
9	9	2	178	3	0	0	0	0	0	0	0
9	9	3	178	3	0	0	0	0	0	0	0
9	9	4	178	3	0	0	0	0	0	0	0
9	9	5	178	2	1	0	0	0	1	0	0
9	9	6	178	2	1	0	0	0	0	0	0
9	9	7	178	1	2	0	0	0	1	0	0
9	9	8	177	2	2	0	0	1	0	0	0
9	9	9	177	2	2	0	0	0	0	0	0
9	9	10	177	2	1	1	0	0	0	1	0
9	9	11	177	2	1	1	0	0	0	0	0
9	9	12	177	2	1	1	0	0	0	0	0
9	9	13	176	3	1	1	0	1	0	0	0
9	9	14	175	3	2	1	0	1	1	0	0
9	9	15	174	4	2	1	0	1	0	0	0
9	9	16	172	6	2	1	0	2	0	0	0
9	9	17	172	5	3	1	0	0	1	0	0
9	9	18	172	3	4	2	0	0	2	1	0
9	9	19	172	2	4	2	1	0	1	0	1
9	9	20	171	3	3	3	1	1	0	1	0
9	9	21	170	4	2	4	1	1	0	1	0
9	9	22	170	3	3	4	1	0	1	0	0
9	9	23	169	4	3	4	1	1	0	0	0
9	9	24	167	5	2	6	1	2	1	2	0
9	9	25	165	6	3	6	1	2	1	0	0
9	9	26	164	7	3	6	1	1	0	0	0
9	9	27	163	6	5	6	1	1	2	0	0
9	9	28	162	7	5	6	1	1	0	0	0
9	9	29	162	6	5	7	1	0	1	1	0
9	9	30	160	7	5	8	1	2	1	1	0
9	9	31	158	6	7	9	1	2	3	1	0
9	9	32	156	8	7	9	1	2	0	0	0
9	9	33	156	8	6	10	1	0	0	1	0
9	9	34	154	9	7	10	1	2	1	0	0
9	9	35	154	8	8	10	1	0	1	0	0
9	9	36	154	8	7	11	1	0	0	1	0
9	9	37	153	8	8	11	1	1	1	0	0
10	10	0	179	2	0	0	0	0	0	0	0
10	10	1	179	2	0	0	0	0	0	0	0
10	10	2	179	1	1	0	0	0	1	0	0
10	10	3	178	2	0	1	0	1	0	1	0
10	10	4	178	2	0	1	0	0	0	0	0
10	10	5	178	2	0	1	0	0	0	0	0
10	10	6	178	1	1	1	0	0	1	0	0
10	10	7	178	1	1	1	0	0	0	0	0
10	10	8	178	1	1	1	0	0	0	0	0
10	10	9	178	1	1	1	0	0	0	0	0
10	10	10	178	0	1	2	0	0	1	1	0
10	10	11	178	0	1	2	0	0	0	0	0
10	10	12	178	0	1	2	0	0	0	0	0
10	10	13	178	0	1	2	0	0	0	0	0
10	10	14	178	0	1	2	0	0	0	0	0
10	10	15	178	0	1	2	0	0	0	0	0
10	10	16	178	0	1	2	0	0	0	0	0
10	10	17	178	0	1	2	0	0	0	0	0
10	10	18	178	0	1	2	0	0	0	0	0
10	10	19	178	0	0	2	1	0	0	0	1
10	10	20	178	0	0	2	1	0	0	0	0
10	10	21	178	0	0	2	1	0	0	0	0
10	10	22	178	0	0	2	1	0	0	0	0
10	10	23	178	0	0	2	1	0	0	0	0
10	10	24	178	0	0	2	1	0	0	0	0
10	10	25	178	0	0	2	1	0	0	0	0
10	10	26	178	0	0	2	1	0	0	0	0
10	10	27	178	0	0	2	1	0	0	0	0
10	10	28	178	0	0	2	1	0	0	0	0
10	10	29	178	0	0	2	1	0	0	0	0
10	10	30	178	0	0	2	1	0	0	0	0
10	10	31	178	0	0	2	1	0	0	0	0
10	10	32	178	0	0	2	1	0	0	0	0
10	10	33	178	0	0	2	1	0	0	0	0
10	10	34	178	0	0	2	1	0	0	0	0
10	10	35	178	0	0	2	1	0	0	0	0
10	10	36	178	0	0	2	1	0	0	0	0
10	10	37	178	0	0	2	1	0	0	0	0
11	11	0	178	3	0	0	0	0	0	0	0
11	11	1	178	3	0	0	0	0	0	0	0
11	11	2	178	3	0	0	0	0	0	0	0
11	11	3	178	3	0	0	0	0	0	0	0
11	11	4	178	3	0	0	0	0	0	0	0
11	11	5	178	3	0	0	0	0	0	0	0
11	11	6	178	3	0	0	0	0	0	0	0
11	11	7	178	3	0	0	0	0	0	0	0
11	11	8	178	3	0	0	0	0	0	0	0
11	11	9	178	3	0	0	0	0	0	0	0
11	11	10	178	3	0	0	0	0	0	0	0
11	11	11	178	3	0	0	0	0	0	0	0
11	11	12	178	2	1	0	0	0	1	0	0
11	11	13	178	2	1	0	0	0	0	0	0
11	11	14	178	2	1	0	0	0	0	0	0
11	11	15	178	2	1	0	0	0	0	0	0
11	11	16	178	2	1	0	0	0	0	0	0
11	11	17	178	2	0	0	1	0	0	0	1
11	11	18	178	2	0	0	1	0	0	0	0
11	11	19	178	2	0	0	1	0	0	0	0
11	11	20	178	2	0	0	1	0	0	0	0
11	11	21	178	2	0	0	1	0	0	0	0
11	11	22	178	2	0	0	1	0	0	0	0
11	11	23	178	1	1	0	1	0	1	0	0
