replicate	draw	time	daily_cases
1	1	0	0
1	1	1	0
1	1	2	0
1	1	3	0
1	1	4	0
1	1	5	0
1	1	6	0
1	1	7	0
1	1	8	3
1	1	9	0
1	1	10	0
1	1	11	0
1	1	12	0
1	1	13	0
1	1	14	0
1	1	15	0
1	1	16	1
1	1	17	0
1	1	18	2
1	1	19	2
1	1	20	0
1	1	21	0
1	1	22	0
1	1	23	0
1	1	24	0
1	1	25	2
1	1	26	1
1	1	27	0
1	1	28	1
1	1	29	0
1	1	30	0
1	1	31	0
1	1	32	5
1	1	33	0
1	1	34	0
1	1	35	6
1	1	36	4
1	1	37	5
1	1	38	1
1	1	39	4
1	1	40	1
1	1	41	7
1	1	42	4
1	1	43	2
1	1	44	3
1	1	45	3
1	1	46	5
1	1	47	8
1	1	48	1
1	1	49	0
1	1	50	4
1	1	51	4
1	1	52	2
1	1	53	4
1	1	54	2
1	1	55	1
1	1	56	7
1	1	57	2
2	2	0	0
2	2	1	0
2	2	2	0
2	2	3	2
2	2	4	1
2	2	5	0
2	2	6	0
2	2	7	1
2	2	8	0
2	2	9	0
2	2	10	0
2	2	11	0
2	2	12	0
2	2	13	4
2	2	14	1
2	2	15	0
2	2	16	0
2	2	17	1
2	2	18	2
2	2	19	2
2	2	20	0
2	2	21	3
2	2	22	0
2	2	23	2
2	2	24	0
2	2	25	5
2	2	26	0
2	2	27	4
2	2	28	1
2	2	29	4
2	2	30	0
2	2	31	4
2	2	32	1
2	2	33	4
2	2	34	1
2	2	35	7
2	2	36	4
2	2	37	0
2	2	38	0
2	2	39	1
2	2	40	3
2	2	41	3
2	2	42	2
2	2	43	0
2	2	44	1
2	2	45	3
2	2	46	5
2	2	47	6
2	2	48	0
2	2	49	0
2	2	50	0
2	2	51	0
2	2	52	6
2	2	53	3
2	2	54	2
2	2	55	1
2	2	56	5
2	2	57	2
3	3	0	0
3	3	1	0
3	3	2	0
3	3	3	1
3	3	4	0
3	3	5	0
3	3	6	0
3	3	7	1
3	3	8	0
3	3	9	0
3	3	10	0
3	3	11	0
3	3	12	0
3	3	13	0
3	3	14	0
3	3	15	2
3	3	16	1
3	3	17	0
3	3	18	2
3	3	19	0
3	3	20	0
3	3	21	2
3	3	22	0
3	3	23	0
3	3	24	0
3	3	25	0
3	3	26	0
3	3	27	2
3	3	28	3
3	3	29	0
3	3	30	0
3	3	31	0
3	3	32	0
3	3	33	0
3	3	34	0
3	3	35	0
3	3	36	1
3	3	37	0
3	3	38	1
3	3	39	1
3	3	40	0
3	3	41	0
3	3	42	0
3	3	43	0
3	3	44	3
3	3	45	1
3	3	46	1
3	3	47	1
3	3	48	0
3	3	49	0
3	3	50	0
3	3	51	1
3	3	52	0
3	3	53	3
3	3	54	0
3	3	55	3
3	3	56	0
3	3	57	0
4	4	0	0
4	4	1	0
4	4	2	4
4	4	3	0
4	4	4	0
4	4	5	0
4	4	6	0
4	4	7	0
4	4	8	0
4	4	9	0
4	4	10	0
4	4	11	0
4	4	12	0
4	4	13	0
4	4	14	0
4	4	15	0
4	4	16	0
4	4	17	0
4	4	18	0
4	4	19	3
4	4	20	0
