beta	D	rmse
0.1	7	2.6252413016505534
0.1	8	2.6252413016505534
0.1	9	2.6252413016505534
0.1	10	2.6252413016505534
0.1	11	2.5967755473362044
0.1	12	2.5967755473362044
0.1	13	2.5242071273216906
0.1	14	2.348087203132267
0.15	7	2.621377809782791
0.15	8	2.621377809782791
0.15	9	2.5745637258336367
0.15	10	2.3234992250157194
0.15	11	2.2436095435221755
0.15	12	2.194895798794915
0.15	13	2.1747941810042
0.15	14	2.1513666303952887
0.2	7	2.1902733384893533
0.2	8	2.170128903880933
0.2	9	2.0351638489055106
0.2	10	1.7725382624620243
0.2	11	1.6885944899090934
0.2	12	1.674530995250328
0.2	13	1.617054379068578
0.2	14	1.5617903794008943
0.25	7	2.030177731535252
0.25	8	2.0582726948794923
0.25	9	1.9830361651852022
0.25	10	1.666441426221464
0.25	11	1.5747157615676963
0.25	12	1.4954887115877826
0.25	13	1.433197144168957
0.25	14	1.3925477331815916
0.3	7	1.598140811710299
0.3	8	1.5682663866382713
0.3	9	1.5134531841258059
0.3	10	1.2302493704584911
0.3	11	1.0997542723078912
0.3	12	1.033231613708934
0.3	13	0.965625409997289
0.3	14	0.9041944301794651
0.35	7	1.3852504895934594
0.35	8	1.260094376559882
0.35	9	1.150792911137501
0.35	10	0.9116364851634017
0.35	11	1.0134234194190634
0.35	12	1.0266713466606798
0.35	13	1.2439040546992752
0.35	14	1.1911838308669735
0.4	7	0.7165985720844785
0.4	8	0.8178746352094061
0.4	9	0.9829629780496396
0.4	10	1.454257496066245
0.4	11	1.666441426221464
0.4	12	2.1037289929255802
0.4	13	2.141923863688399
0.4	14	2.119727162453518
0.45	7	0.9299811099505543
0.45	8	1.35566877880913
0.45	9	1.617054379068578
0.45	10	2.1149404183033083
0.45	11	2.757054832851779
0.45	12	3.2601193810010054
0.45	13	3.1526479646781356
0.45	14	3.452378733412503
0.5	7	2.1387670102945586
0.5	8	2.5928696405667937
0.5	9	2.9751220733528485
0.5	10	3.491301933260598
0.5	11	4.315277699247364
0.5	12	4.517234265057039
0.5	13	4.5202248210053035
0.5	14	4.209866146681266
