time	weekly_cases
0	0
7	26
14	37
21	52
28	44
35	74
42	67
49	108
56	93
63	139
70	98
77	141
84	166
91	128
98	142
105	166
112	207
119	133
126	108
133	136
140	158
147	145
154	122
161	161
168	222
175	247
182	190
189	285
196	316
203	319
210	303
217	270
224	267
231	210
238	235
245	205
252	157
259	137
266	98
273	119
280	198
287	305
294	525
301	659
308	716
315	772
322	1116
329	1314
336	1306
343	1469
350	1168
357	1351
364	963
371	757
378	654
385	822
392	903
399	774
406	732
413	1005
420	1254
427	944
434	915
441	1005
448	847
455	492
462	551
469	457
476	629
483	546
490	534
497	508
504	330
511	247
518	280
525	254
532	212
539	144
546	169
553	131
560	80
567	96
574	100
581	100
588	78
595	76
602	47
609	48
616	24
623	25
630	26
637	22
644	28
651	34
658	80
665	80
672	90
679	87
686	97
693	73
700	109
707	92
714	120
721	132
728	158
735	111
742	102
749	68
756	87
763	91
770	105
777	129
784	166
791	142
798	81
805	80
812	101
819	95
826	93
833	96
840	113
847	66
854	74
861	100
868	124
875	107
882	96
889	123
896	99
903	159
910	254
917	359
924	440
931	499
938	408
945	418
952	392
959	400
966	262
973	227
980	152
987	150
994	117
1001	148
1008	101
1015	91
1022	156
1029	169
1036	196
1043	149
1050	160
1057	142
1064	164
1071	143
1078	240
1085	246
1092	430
1099	480
1106	466
1113	474
1120	629
1127	718
1134	967
1141	1530
1148	1580
1155	1913
1162	1876
1169	2052
1176	1877
1183	1845
1190	1784
1197	1554
1204	1326
1211	1225
1218	1025
1225	752
1232	964
1239	978
1246	1269
1253	1444
1260	1462
1267	1420
1274	1876
1281	1471
1288	1199
1295	942
1302	1138
1309	1080
1316	949
1323	727
1330	646
1337	558
1344	478
1351	352
1358	276
1365	210
1372	171
1379	259
1386	217
1393	248
1400	230
1407	249
1414	202
1421	202
1428	251
1435	276
1442	325
1449	385
1456	384
1463	331
1470	354
1477	305
1484	262
1491	346
1498	256
1505	395
1512	295
1519	321
1526	227
1533	256
1540	318
1547	248
1554	281
1561	283
1568	162
1575	191
1582	182
1589	146
1596	153
1603	170
1610	158
1617	100
1624	131
1631	160
1638	146
1645	194
1652	291
1659	177
1666	226
1673	220
1680	221
1687	247
1694	178
1701	137
1708	132
1715	112
1722	73
1729	65
1736	61
1743	125
1750	132
1757	166
1764	310
1771	257
1778	272
