n_fb,fb_t2_roster_confirmed,fb_t3_moved_signal,fb_t4_refusal_signal,fb_u,fb_t1_spouse_reported,n_2g,2g_t2_roster_confirmed,2g_t3_moved_signal,2g_t4_refusal_signal,2g_u,2g_t1_spouse_reported,n_3g,3g_t2_roster_confirmed,3g_t3_moved_signal,3g_t4_refusal_signal,3g_u,3g_t1_spouse_reported,fear_index,fear_refusal,depart_gap,pair,date,fips,months_span
38,0.0,0.07032718265424136,0.021972862303743634,0.092300044957985,0.0,33,0.0,0.0235216924752395,0.04729580884984994,0.07081750132508945,0.0,1323,0.009202554035045492,0.007605002381254916,0.06184328406872442,0.07865084048502483,0.0,0.021482543632895548,-0.02532294654610631,0.04680549017900186,jan23->feb23,2023-01-15,1,1
31,0.019979233323667762,0.030165786526934444,0.18033035795887659,0.23047537780947877,0.0,43,0.0,0.043137075412360615,0.11465819602100381,0.15779527143336441,0.0,610,0.01653473388800095,0.02901430590152482,0.07313291261237599,0.11868195240190176,0.0,0.07268010637611436,0.06567216193787277,0.007007944438241591,jan23->feb23,2023-01-15,2,1
200,0.0,0.004628303222945285,0.042845202720698895,0.047473505943644176,0.0,152,0.013695391989514076,0.0,0.09462574880659162,0.1083211407961057,0.0,675,0.004026452414419559,0.0,0.09936245051206426,0.10338890292648382,0.0,-0.06084763485246153,-0.05178054608589273,-0.009067088766568792,jan23->feb23,2023-01-15,4,1
85,0.022093733236372513,0.0809983356072977,0.1560491211598092,0.25914119000347935,0.0,41,0.0,0.0492149935412913,0.09008784236593526,0.13930283590722656,0.0,1045,0.0065890449378252615,0.018672955834504675,0.06479209699784803,0.09005409777017798,0.0008244121108427685,0.11983835409625279,0.06596127879387395,0.05387707530237891,jan23->feb23,2023-01-15,5,1
1798,0.01654135182321696,0.006638298583272253,0.05261640019102027,0.07579605059750949,0.0005051184248738933,1119,0.023816185181417197,0.006702765475881706,0.054138183115770226,0.08465713377306913,0.0,2361,0.010434930122349993,0.006868765477070859,0.0627680682006625,0.08007176380008336,0.0,-0.008861083175559642,-0.0015217829247499565,-0.00733930025080969,jan23->feb23,2023-01-15,6,1
74,0.0,0.0,0.08161387430358964,0.08161387430358964,0.0,84,0.0,0.011202229969711087,0.07205090273651109,0.08325313270622217,0.0,664,0.004406821214927509,0.004691882956946615,0.056906107170332024,0.06600481134220613,0.0,-0.001639258402632529,0.009562971567078554,-0.011202229969711087,jan23->feb23,2023-01-15,8,1
126,0.008318351894315092,0.038552947628021784,0.08175565548723107,0.12862695500956794,0.0,74,0.0,0.016270966565393882,0.09902545183546936,0.11529641840086324,0.0,471,0.012625040975700969,0.01189310731476842,0.07976919488298696,0.10428734317345632,0.0,0.013330536608704702,-0.01726979634823829,0.03060033295694299,jan23->feb23,2023-01-15,9,1
90,0.0170893911277161,0.044554914960406214,0.1345153064562414,0.19615961254436373,0.0,43,0.0,0.0,0.22844239537060965,0.22844239537060965,0.0,536,0.009570056627482067,0.0,0.09396222103035799,0.10353227765784004,0.0013585683685018524,-0.032282782826245915,-0.09392708891436824,0.06164430608812231,jan23->feb23,2023-01-15,10,1
125,0.010114722696021958,0.0,0.2378892830589634,0.24800400575498538,0.0,88,0.007289310477821902,0.01685476520282378,0.2805808603018623,0.30472493598250805,0.0,648,0.003099061144462677,0.02249556893526501,0.1406692774988234,0.1662639075785511,0.0,-0.05672093022752267,-0.042691577242898904,-0.014029352984623723,jan23->feb23,2023-01-15,11,1
763,0.021071018601493047,0.017186906979237044,0.07779179218958347,0.11604971777031357,0.0,287,0.02169541185221511,0.011305437089509521,0.08337693971920374,0.11637778866092836,0.0,1933,0.010165288604954312,0.010555666294352034,0.0779736348545544,0.09869458975386076,0.0008246350860382405,-0.00032807089061479,-0.005585147529620263,0.005257076639005457,jan23->feb23,2023-01-15,12,1
193,0.010970698021986603,0.005872811457445259,0.09184989570339183,0.10869340518282371,0.0,70,0.0,0.015182464435026174,0.07564775575166229,0.09083022018668846,0.0,999,0.011848049613990014,0.012573472599845863,0.08785534984239048,0.11227687205622633,0.0,0.017863184996135248,0.016202139951729547,0.0016610450444056873,jan23->feb23,2023-01-15,13,1
239,0.041305857380851574,0.014978339554605763,0.07960894104403107,0.1358931379794884,0.0,152,0.007733215458249973,0.0,0.1018213515371724,0.10955456699542238,0.0,613,0.013861445224724179,0.014453592230082296,0.0824460634263576,0.11076110088116409,0.0,0.02633857098406603,-0.02221241049314132,0.048550981477207364,jan23->feb23,2023-01-15,15,1
85,0.013680036793164265,0.009157300577558414,0.05363786712380917,0.07647520449453185,0.0,80,0.0,0.023611564035929504,0.12267600054173641,0.14628756457766592,0.0,974,0.005150164570732191,0.01614302749530625,0.07936491286989227,0.1006581049359307,0.0006698350289320936,-0.06981236008313407,-0.06903813341792725,-0.000774226665206823,jan23->feb23,2023-01-15,16,1
256,0.004541834807104569,0.01507878557445479,0.10333345236229273,0.12295407274385212,0.0,189,0.0,0.02207165183392737,0.14844376796286288,0.17051541979679025,0.0,1160,0.007760819564914802,0.019369356636508496,0.07199992133038283,0.09913009753180613,0.0,-0.04756134705293813,-0.04511031560057015,-0.0024510314523680105,jan23->feb23,2023-01-15,17,1
64,0.015161815407771652,0.0,0.08081382455197601,0.09597563995974767,0.0,44,0.024434049283931183,0.03353994151562349,0.036558884395851234,0.09453287519540592,0.0,876,0.01224572486949143,0.0015351748669944199,0.0641815932808161,0.07796249301730196,0.0,0.0014427647643417557,0.04425494015612478,-0.042812175391783024,jan23->feb23,2023-01-15,18,1
36,0.030945491718410986,0.0,0.12747241447874968,0.15841790619716067,0.0,38,0.0,0.0,0.09516762592571412,0.09516762592571412,0.0,653,0.015258183339876266,0.013353598410713027,0.048179130567477926,0.07679091231806723,0.0011862224923263323,0.06325028027144655,0.03230478855303556,0.030945491718410986,jan23->feb23,2023-01-15,19,1
49,0.050768706156772904,0.0,0.10489144400358508,0.15566015016035795,0.0,37,0.021009795398854912,0.036443252030252594,0.07655966759622716,0.13401271502533466,0.0,638,0.004490909704484399,0.00989708780170342,0.08460525171692307,0.09899324922311088,0.0,0.02164743513502329,0.028331776407357914,-0.006684341272334603,jan23->feb23,2023-01-15,20,1
31,0.028807468749315758,0.0,0.08685738107923481,0.11566484982855058,0.0,18,0.0,0.0,0.11754512215651308,0.11754512215651308,0.0,671,0.0025881780165098378,0.0067914853081718195,0.08183339322337549,0.09121305654805713,0.0,-0.0018802723279625067,-0.03068774107727827,0.028807468749315758,jan23->feb23,2023-01-15,21,1
91,0.02266599859959714,0.014135756480934757,0.1119129260429303,0.1487146811234622,0.0,46,0.0,0.0,0.12697915662988274,0.12697915662988274,0.0,1233,0.010527064611919547,0.010864095271047834,0.07437190667083354,0.09576306655380092,0.0005817367406646751,0.02173552449357946,-0.015066230586952445,0.03680175508053189,jan23->feb23,2023-01-15,22,1
20,0.0,0.0,0.18707323730241623,0.18707323730241623,0.0,29,0.0,0.0,0.028808691364775534,0.028808691364775534,0.0,466,0.009593748903250538,0.01630177688908176,0.13076936422400573,0.15666489001633802,0.0,0.1582645459376407,0.1582645459376407,0.0,jan23->feb23,2023-01-15,23,1
144,0.046939320339105035,0.0,0.15020996436917275,0.19714928470827778,0.0,66,0.0,0.0,0.11529695138387766,0.11529695138387766,0.0,554,0.00571602367664707,0.006332088214508007,0.11308008080223413,0.1251281926933892,0.0,0.08185233332440012,0.03491301298529509,0.046939320339105035,jan23->feb23,2023-01-15,24,1
284,0.0,0.005660378772345982,0.09000745293476156,0.09566783170710753,0.0,165,0.02307181859107413,0.02748134745184898,0.05471414117980306,0.10526730722272618,0.0,940,0.024201192675396662,0.01277842048539337,0.08120670312018606,0.1181863162809761,0.0,-0.009599475515618641,0.0352933117549585,-0.044892787270577134,jan23->feb23,2023-01-15,25,1
127,0.018356593769628615,0.013519408370146774,0.149017302598336,0.1808933047381114,0.0,98,0.0,0.04427532983210149,0.08389177075106784,0.1281671005831693,0.0,1221,0.01426472095445422,0.04000541158763656,0.03258287171463936,0.08685300425673015,0.0,0.05272620415494211,0.06512553184726817,-0.012399327692326101,jan23->feb23,2023-01-15,26,1
61,0.017473674099089564,0.016375289500552788,0.038417421914168595,0.07226638551381095,0.0,44,0.043088719406100366,0.05094886635156237,0.08821934766510915,0.18225693342277188,0.0,753,0.0068948387301195554,0.011650788291757535,0.0700990978564097,0.08864472487828681,0.001168330243691021,-0.10999054790896093,-0.04980192575094056,-0.060188622158020386,jan23->feb23,2023-01-15,27,1
29,0.0,0.0,0.10723885670609434,0.10723885670609434,0.0,16,0.0,0.0,0.049731361595613595,0.049731361595613595,0.0,1083,0.02046987083204313,0.009965990523054682,0.08909445399629144,0.11953031535138928,0.000548446405057053,0.05750749511048075,0.05750749511048075,0.0,jan23->feb23,2023-01-15,28,1
35,0.0,0.0,0.1074103819272401,0.1074103819272401,0.0,21,0.0,0.0,0.0,0.0,0.0,818,0.01323268900778669,0.009992391139527613,0.05260313932888641,0.0758282194762007,0.0,0.1074103819272401,0.1074103819272401,0.0,jan23->feb23,2023-01-15,29,1
26,0.0,0.0,0.1952017558585712,0.1952017558585712,0.0,61,0.023534980102465013,0.0,0.10622595240887345,0.1297609325113385,0.0,950,0.007688735355589778,0.007288368165901046,0.10846274577220348,0.12343984929369432,0.0,0.0654408233472327,0.08897580344969774,-0.023534980102465013,jan23->feb23,2023-01-15,30,1
61,0.0,0.032707964870145774,0.19783825409947794,0.23054621896962374,0.0,47,0.0,0.0,0.06535720555025425,0.06535720555025425,0.0,636,0.0015319374371228513,0.005251356917019564,0.07482846751387066,0.08161176186801308,0.0,0.16518901341936948,0.1324810485492237,0.032707964870145774,jan23->feb23,2023-01-15,31,1
142,0.0,0.012548127258960476,0.1458744249280358,0.15842255218699627,0.0,126,0.0068932536886997225,0.012490547007686892,0.159026375170503,0.1784101758668896,0.0,500,0.009700102100200095,0.001640396988691511,0.07460205693322416,0.08594255602211578,0.0011375902099647556,-0.019987623679893318,-0.013151950242467209,-0.006835673437426139,jan23->feb23,2023-01-15,32,1
59,0.0,0.0,0.08751898800221673,0.08751898800221673,0.0,54,0.0,0.0,0.1222399625705009,0.1222399625705009,0.0,632,0.008791883033295948,0.003461298971418816,0.06865343991088392,0.08090662191559866,0.0,-0.03472097456828417,-0.03472097456828417,0.0,jan23->feb23,2023-01-15,33,1
303,0.014496039928613183,0.00780031298686099,0.12249759330167923,0.1447939462171534,0.0,173,0.0,0.0,0.12059384479629373,0.12059384479629373,0.0,683,0.006633117230239389,0.0,0.11826939399271144,0.12490251122295083,0.0,0.024200101420859682,0.0019037485053854941,0.022296352915474174,jan23->feb23,2023-01-15,34,1
114,0.0,0.017664405781987996,0.05831779111030729,0.07598219689229528,0.0,101,0.0,0.03177030142067921,0.08044599531067005,0.11221629673134925,0.0,806,0.00499007419226973,0.00859611065470734,0.11867066386756414,0.13225684871454124,0.0,-0.03623409983905397,-0.02212820420036276,-0.014105895638691211,jan23->feb23,2023-01-15,35,1
614,0.008585668055253742,0.012896773787461327,0.08088003624368129,0.10236247808639636,0.0,351,0.009472276183465678,0.010444835093981381,0.10015790336847297,0.12007501464592003,0.0,1407,0.010543071292675149,0.00646755507121365,0.09857085158080299,0.11558147794469179,0.0,-0.01771253655952368,-0.01927786712479168,0.0015653305652680097,jan23->feb23,2023-01-15,36,1
180,0.03345154917284897,0.0,0.0301832457328013,0.06363479490565029,0.0,79,0.025493760348562114,0.012244861677686708,0.0,0.03773862202624882,0.0,1281,0.014166069787650901,0.014497073106433314,0.04199284664741552,0.07065598954149972,0.0,0.025896172879401463,0.0301832457328013,-0.004287072853399854,jan23->feb23,2023-01-15,37,1
47,0.03801598643343575,0.0,0.06553343068073993,0.10354941711417567,0.0,23,0.0,0.0,0.06952972136816524,0.06952972136816524,0.0,729,0.00514741059282148,0.007955347123285158,0.09211523329658071,0.10521799101268735,0.0015330407488334343,0.03401969574601044,-0.003996290687425311,0.03801598643343575,jan23->feb23,2023-01-15,38,1
69,0.01860507805880702,0.0,0.12816172702325088,0.1467668050820579,0.0,52,0.0,0.0,0.05551933269149707,0.05551933269149707,0.0,1277,0.005210771973266753,0.0068591886609223034,0.09324826974588844,0.10531823038007751,0.0,0.09124747239056082,0.0726423943317538,0.01860507805880702,jan23->feb23,2023-01-15,39,1
56,0.0,0.0,0.06285877696285486,0.06285877696285486,0.0,39,0.0,0.0,0.0630617097528493,0.0630617097528493,0.0,811,0.004063902814653728,0.014622560471200788,0.12063010474998954,0.13931656803584405,0.0,-0.00020293278999444775,-0.00020293278999444775,0.0,jan23->feb23,2023-01-15,40,1
116,0.03088460998230991,0.027925188795294285,0.046737788667633756,0.10554758744523797,0.0,103,0.021332311581906627,0.0,0.025075348321021932,0.046407659902928555,0.0,858,0.011290194291096489,0.00966159081293643,0.07553391485887384,0.09648569996290676,0.0,0.059139927542309415,0.021662440346611824,0.03747748719569757,jan23->feb23,2023-01-15,41,1
141,0.008229067682837456,0.013677968741741233,0.1729188142989935,0.1948258507235722,0.0,88,0.0,0.015751142187868408,0.0625706716325712,0.07832181382043961,0.0,1486,0.005062199956084399,0.010481122686873255,0.0770439997040794,0.09258732234703702,0.0,0.11650403690313259,0.1103481426664223,0.006155894236710282,jan23->feb23,2023-01-15,42,1
95,0.010058181014979356,0.011288616441740285,0.03442415476906916,0.05577095222578881,0.0,65,0.0,0.014707154095822553,0.06826457823755924,0.08297173233338179,0.0,417,0.003977349008140176,0.012818707669737018,0.1128880524178007,0.12968410909567787,0.0,-0.027200780107592977,-0.03384042346849008,0.006639643360897089,jan23->feb23,2023-01-15,44,1
107,0.011294260528248595,0.03329886827490586,0.08690364212600254,0.13149677092915704,0.0,54,0.017762702190144673,0.036157921027183786,0.05913343579160505,0.11305405900893349,0.0,954,0.006806917932154081,0.0035104216799907756,0.08023073483230046,0.09054807444444532,0.0008178964137395282,0.01844271192022355,0.027770206334397494,-0.009327494414174003,jan23->feb23,2023-01-15,45,1
18,0.0,0.0,0.0625079029298052,0.0625079029298052,0.0,17,0.0,0.0,0.1062429952911711,0.1062429952911711,0.0,628,0.01033631181811534,0.009108902313989248,0.07615879631145195,0.09560401044355654,0.0,-0.0437350923613659,-0.0437350923613659,0.0,jan23->feb23,2023-01-15,46,1
60,0.023078441057573354,0.0,0.09579351590919881,0.11887195696677218,0.0,42,0.0,0.0,0.0965192937971243,0.0965192937971243,0.0,981,0.006170185337337502,0.004047932295279916,0.06235945309350682,0.07257757072612425,0.0,0.022352663169647874,-0.0007257778879254939,0.023078441057573354,jan23->feb23,2023-01-15,47,1
776,0.010862742662245527,0.012996109793808022,0.10766571142539423,0.1315245638814478,0.0,502,0.01274309344266541,0.020923926293717334,0.13229573495963906,0.1659627546960218,0.0,2257,0.011878309396541513,0.01278756203855689,0.11707009160912532,0.14173596304422373,0.0003714341522544682,-0.03443819081457403,-0.02463002353424483,-0.009808167280329195,jan23->feb23,2023-01-15,48,1
117,0.016193744963430807,0.011159153943862833,0.08717483771197573,0.11452773661926939,0.0,73,0.0,0.0,0.04630985985193651,0.04630985985193651,0.0,812,0.0024970990436282868,0.009240347641226025,0.062023099314689,0.0737605459995433,0.0,0.06821787676733287,0.040864977860039224,0.02735289890729364,jan23->feb23,2023-01-15,49,1
26,0.0,0.0,0.1136431860406508,0.1136431860406508,0.0,68,0.0,0.0,0.09138933395317826,0.09138933395317826,0.0,773,0.01797574503266709,0.003395641270777971,0.09390017187876501,0.11527155818221006,0.0,0.022253852087472534,0.022253852087472534,0.0,jan23->feb23,2023-01-15,50,1
202,0.010175354861372617,0.0,0.1573492266291928,0.16752458149056543,0.0,92,0.0,0.007795014452856676,0.038892752299240094,0.04668776675209677,0.0,816,0.0014459951488475734,0.004078828084444517,0.12141574046939091,0.126940563702683,0.0,0.12083681473846866,0.1184564743299527,0.0023803404085159406,jan23->feb23,2023-01-15,51,1
158,0.017592255548585938,0.011083020551393319,0.12404888564576133,0.15272416174574058,0.0,135,0.0,0.022059098299216526,0.1283609337982382,0.15042003209745472,0.0,830,0.01428215636889416,0.015993341322106672,0.0729543089490256,0.10322980664002643,0.0016828083041665683,0.0023041296482858575,-0.004312048152476877,0.006616177800762731,jan23->feb23,2023-01-15,53,1
8,0.0,0.0,0.2823101870094148,0.2823101870094148,0.0,28,0.0,0.0,0.13514649214467253,0.13514649214467253,0.0,1233,0.011978631753256919,0.005061275962602203,0.09880577251595471,0.11584568023181384,0.000641508309331691,0.14716369486474226,0.14716369486474226,0.0,jan23->feb23,2023-01-15,54,1
32,0.0,0.0,0.09972913589979096,0.09972913589979096,0.0,34,0.0,0.024080894631093593,0.0,0.024080894631093593,0.0,854,0.005381431222206048,0.0034677893010352126,0.05447549894967595,0.06332471947291722,0.0009971621142268947,0.07564824126869737,0.09972913589979096,-0.024080894631093593,jan23->feb23,2023-01-15,55,1
17,0.0,0.0,0.0,0.0,0.0,35,0.03324562477862302,0.0,0.1548439400020493,0.18808956478067232,0.0,860,0.005042963436874176,0.008088985310440527,0.11745683502288111,0.13058878377019584,0.0,-0.18808956478067232,-0.1548439400020493,-0.03324562477862302,jan23->feb23,2023-01-15,56,1
33,0.05413930658686443,0.0,0.0656201899947347,0.11975949658159915,0.0,35,0.0,0.05880294573345181,0.02506818035737364,0.08387112609082546,0.0,1286,0.006845446808697669,0.010340585030673637,0.060896588813571434,0.07808262065294275,0.0010810086172952098,0.03588837049077369,0.04055200963736107,-0.004663639146587378,feb23->mar23,2023-02-15,1,1
41,0.0,0.0,0.0,0.0,0.0,49,0.0,0.023974804978409908,0.0418112483358248,0.0657860533142347,0.0,603,0.02567482671713247,0.039458139754535757,0.07051425402723778,0.13564722049890604,0.0,-0.0657860533142347,-0.0418112483358248,-0.023974804978409908,feb23->mar23,2023-02-15,2,1
198,0.0,0.008596360407342506,0.0870298758803848,0.0956262362877273,0.0,156,0.012897927762046648,0.021912269464320594,0.0581520904271793,0.09296228765354655,0.0,682,0.006014139090736444,0.008548660538218872,0.0771598043799165,0.09172260400887185,0.0,0.002663948634180749,0.028877785453205497,-0.026213836819024734,feb23->mar23,2023-02-15,4,1
81,0.0,0.0,0.10809324101772369,0.10809324101772369,0.0,41,0.0,0.030384864591794066,0.0,0.030384864591794066,0.0,1007,0.007362070535617392,0.03074822976081583,0.06503194657465189,0.10314224687108513,0.0,0.07770837642592962,0.10809324101772369,-0.030384864591794066,feb23->mar23,2023-02-15,5,1
1732,0.012172718671665332,0.014352841916910112,0.07436587368144464,0.10089143427002006,0.0006069515875307726,1098,0.015895257391721682,0.006535782801238086,0.07305237802139818,0.09548341821435793,0.0,2423,0.011371662123875081,0.009421437820692548,0.09100491191957419,0.11179801186414183,0.0,0.005408016055662129,0.0013134956600464598,0.004094520395615674,feb23->mar23,2023-02-15,6,1
68,0.03018989625076097,0.0,0.1256371429426698,0.1558270391934308,0.0,58,0.0,0.013933815723900561,0.03701765267613798,0.05095146840003853,0.0,629,0.007682433457695139,0.020023485054412087,0.10586637538988361,0.1335722939019908,0.0,0.10487557079339227,0.08861949026653183,0.01625608052686041,feb23->mar23,2023-02-15,8,1
111,0.010705294431365598,0.0,0.10267750206154168,0.11338279649290726,0.0,74,0.012521221253520646,0.013692437592558847,0.05448564439565836,0.08069930324173784,0.0,493,0.005818318601650694,0.015306854876691733,0.0717162800269405,0.09284145350528293,0.0,0.032683493251169426,0.04819185766588332,-0.015508364414713895,feb23->mar23,2023-02-15,9,1
79,0.010973402971968546,0.0,0.11473556507687503,0.12570896804884357,0.0,40,0.0,0.0,0.11528760993248302,0.11528760993248302,0.0,589,0.003370733736075411,0.006819899187431098,0.1398448505982111,0.15003548352171764,0.0,0.010421358116360552,-0.0005520448556079888,0.010973402971968546,feb23->mar23,2023-02-15,10,1
143,0.0,0.006074030762163756,0.2198488245543366,0.2259228553165004,0.0,82,0.0,0.008962862678609431,0.1263054183171935,0.13526828099580293,0.0,633,0.008408797122884639,0.023521979101459457,0.17017937547364997,0.20211015169799407,0.0,0.09065457432069746,0.0935434062371431,-0.002888831916445675,feb23->mar23,2023-02-15,11,1
676,0.012863823864361105,0.015671801468312048,0.09106163124148382,0.11959725657415697,0.0,270,0.008182995321361306,0.017134253490678406,0.08430767491071858,0.10962492372275828,0.0,1905,0.01585653056181466,0.01197115942673529,0.08421127438060798,0.11203896436915795,0.001179606249653736,0.009972332851398688,0.00675395633076524,0.0032183765206334446,feb23->mar23,2023-02-15,12,1
205,0.01015535730988649,0.017756915426196004,0.12901941022627061,0.1569316829623531,0.0,81,0.0,0.03480842606208367,0.10213185998432335,0.136940286046407,0.0,1104,0.013603995952977682,0.010558665708921909,0.08356253639317202,0.10772519805507162,0.0017625519514218727,0.01999139691594609,0.026887550241947264,-0.006896153326001173,feb23->mar23,2023-02-15,13,1
216,0.01268438108945049,0.04162844555155653,0.07530511438409497,0.12961794102510202,0.0,152,0.030797562608020215,0.008882264697241349,0.0966408736467537,0.1363207009520153,0.006729895862995197,566,0.004011543037387173,0.013487570392754361,0.05092930418611516,0.0684284176162567,0.0,-0.006702759926913271,-0.021335759262658724,0.014632999335745456,feb23->mar23,2023-02-15,15,1
85,0.04171720002646123,0.053822310028545185,0.08888022163656646,0.18441973169157289,0.0,75,0.026943695707476904,0.04649560946656921,0.09838185482463253,0.1718211599986786,0.0,943,0.008934353347162168,0.008262887196892705,0.069132654692174,0.08632989523622887,0.003152209661714375,0.012598571692894273,-0.009501633188066072,0.022100204880960303,feb23->mar23,2023-02-15,16,1
279,0.008233453504457441,0.014295676432696204,0.10174621588343084,0.1242753458205845,0.0,182,0.027067090661142146,0.0,0.07272983186362664,0.09979692252476881,0.0,1146,0.00805069743731932,0.007267755511157327,0.12423919055214293,0.13955764350061955,0.0,0.02447842329581569,0.029016384019804206,-0.004537960723988502,feb23->mar23,2023-02-15,17,1
76,0.010239856313191773,0.0,0.08938683369671775,0.09962669000990952,0.0,59,0.04900282705046071,0.0,0.0364091282774235,0.0854119553278842,0.0,882,0.01113330710549694,0.012406160433959703,0.05487935670534004,0.07841882424479668,0.0012363265596440991,0.014214734682025318,0.05297770541929425,-0.038762970737268934,feb23->mar23,2023-02-15,18,1
45,0.03970336950760301,0.0,0.1141637724995681,0.15386714200717108,0.0,28,0.0,0.0,0.19545161528141594,0.19545161528141594,0.0,669,0.010804761070359124,0.013000725555139543,0.08521882221900105,0.1090243088444997,0.0,-0.04158447327424486,-0.08128784278184784,0.03970336950760301,feb23->mar23,2023-02-15,19,1
51,0.0,0.0,0.07860575084333671,0.07860575084333671,0.0,22,0.0,0.0,0.14858489069979422,0.14858489069979422,0.0,633,0.0023242061506860384,0.015612522463098393,0.06707739014051546,0.08501411875429989,0.0,-0.06997913985645751,-0.06997913985645751,0.0,feb23->mar23,2023-02-15,20,1
31,0.0,0.0,0.32411029315686013,0.32411029315686013,0.0,17,0.06202221962471215,0.0,0.07136605922210974,0.13338827884682186,0.0,691,0.004348369609352791,0.009721636303246132,0.1319247971729499,0.1459948030855488,0.0,0.19072201431003827,0.2527442339347504,-0.06202221962471215,feb23->mar23,2023-02-15,21,1
86,0.0,0.01257203550765286,0.05965560522993413,0.07222764073758699,0.0,42,0.0,0.0,0.0244373396068346,0.0244373396068346,0.0,1233,0.011974177414501394,0.011954889770321915,0.09943612315739046,0.12336519034221377,0.0012479660248459743,0.04779030113075239,0.03521826562309953,0.01257203550765286,feb23->mar23,2023-02-15,22,1
24,0.0,0.0,0.20894902378589136,0.20894902378589136,0.0,28,0.0,0.0,0.10165655950440032,0.10165655950440032,0.0,476,0.0016474646438226174,0.020249722722078103,0.13582997179790865,0.15772715916380933,0.0,0.10729246428149104,0.10729246428149104,0.0,feb23->mar23,2023-02-15,23,1
145,0.03822121186392827,0.0,0.12265766269215553,0.16087887455608377,0.0,75,0.00862859781371253,0.0,0.21592114904788778,0.2245497468616003,0.0,531,0.006366296443843381,0.0017894294759597778,0.11485569027759107,0.12301141619739425,0.0017004092004432546,-0.06367087230551655,-0.09326348635573226,0.029592614050215738,feb23->mar23,2023-02-15,24,1
332,0.00959444185683558,0.036884859497671264,0.06536720602983771,0.11184650738434457,0.0,183,0.020087991193206374,0.004140463574321647,0.07547333279561806,0.09970178756314609,0.0,907,0.011529276869740228,0.003511504146503576,0.06029762210503871,0.07533840312128251,0.0,0.012144719821198482,-0.010106126765780349,0.02225084658697882,feb23->mar23,2023-02-15,25,1
